Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,802305.000000,1394820.000000,564165.000000,1292760.000000,1292760.000000,56
2000-01-08,1474200.000000,1695330.000000,1048950.000000,1156680.000000,1156680.000000,87
2000-01-15,1221885.000000,1587600.000000,1122660.000000,1539405.000000,1539405.000000,47
2000-01-22,1621620.000000,1916460.000000,1406160.000000,1428840.000000,1428840.000000,52
2000-01-29,1519560.000000,2931390.000000,1179360.000000,2667735.000000,2667735.000000,134
2000-02-05,2585520.000000,3379320.000000,2358720.000000,3109995.000000,3109995.000000,59
2000-02-12,3254580.000000,6327720.000000,3056130.000000,5726700.000000,5726700.000000,111
2000-02-19,5842935.000000,5842935.000000,4003020.000000,4337550.000000,4337550.000000,82
2000-02-26,4484970.000000,4847850.000000,3994515.000000,4326210.000000,4326210.000000,60
2000-03-04,4416930.000000,4433940.000000,2908710.000000,2985255.000000,2985255.000000,57
2000-03-11,2749950.000000,3263085.000000,1803060.000000,2449440.000000,2449440.000000,170
2000-03-18,2624501.250000,2942730.000000,1944810.000000,2404080.000000,2404080.000000,96
2000-03-25,2426760.000000,2494800.000000,1508220.000000,2024190.000000,2024190.000000,63
2000-04-01,1944810.000000,2086560.000000,1219050.000000,1803060.000000,1803060.000000,82
2000-04-08,1944810.000000,1944810.000000,929880.000000,1020600.000000,1020600.000000,44
2000-04-15,941220.000000,1406160.000000,771120.000000,1196370.000000,1196370.000000,51
2000-04-22,1193535.000000,1360800.000000,1009260.000000,1278585.000000,1278585.000000,26
2000-04-29,1352295.000000,1644300.000000,1247400.000000,1428840.000000,1428840.000000,29
2000-05-06,1411830.000000,1525230.000000,1168020.000000,1346625.000000,1346625.000000,14
2000-05-13,1338120.000000,1508220.000000,1258740.000000,1258740.000000,1258740.000000,13
2000-05-20,1261575.000000,1315440.000000,864675.000000,924210.000000,924210.000000,19
2000-05-27,997920.000000,1360800.000000,963900.000000,1335285.000000,1335285.000000,13
2000-06-03,1315440.000000,1814400.000000,1272915.000000,1814400.000000,1814400.000000,48
2000-06-10,1865430.000000,1919295.000000,1343790.000000,1513890.000000,1513890.000000,29
2000-06-17,1513890.000000,1848420.000000,1428840.000000,1579095.000000,1579095.000000,28
2000-06-24,1649970.000000,2126250.000000,1579095.000000,2061045.000000,2061045.000000,44
2000-07-01,1922130.000000,2219805.000000,1899450.000000,2131920.000000,2131920.000000,15
2000-07-08,2093647.500000,2415420.000000,2046870.000000,2114910.000000,2114910.000000,45
2000-07-15,2097900.000000,2268000.000000,1973160.000000,2157435.000000,2157435.000000,19
2000-07-22,2180115.000000,2199960.000000,1508220.000000,1528065.000000,1528065.000000,25
2000-07-29,1564920.000000,1808730.000000,1372140.000000,1655640.000000,1655640.000000,20
2000-08-05,1763370.000000,1763370.000000,1479870.000000,1666980.000000,1666980.000000,15
2000-08-12,1689660.000000,1709505.000000,1519560.000000,1630125.000000,1630125.000000,8
2000-08-19,1624455.000000,1993005.000000,1522395.000000,1893780.000000,1893780.000000,14
2000-08-26,1873935.000000,2001510.000000,1803060.000000,1956150.000000,1956150.000000,10
2000-09-02,1978830.000000,1978830.000000,1678320.000000,1732185.000000,1732185.000000,10
2000-09-09,1723680.000000,1837080.000000,1672650.000000,1701000.000000,1701000.000000,6
2000-09-16,1726515.000000,1726515.000000,1474200.000000,1627290.000000,1627290.000000,17
2000-09-23,1627290.000000,1771875.000000,1406160.000000,1658475.000000,1658475.000000,10
2000-09-30,1664145.000000,1678320.000000,1360800.000000,1451520.000000,1451520.000000,12
2000-10-07,1474200.000000,1474200.000000,1236060.000000,1355130.000000,1355130.000000,9
