Date,Open,High,Low,Close,Adj Close,Volume
2004-04-12,15000.000000,15000.000000,15000.000000,15000.000000,15000.000000,0
2004-04-19,15000.000000,15000.000000,15000.000000,15000.000000,15000.000000,0
2004-04-26,15000.000000,15000.000000,15000.000000,15000.000000,15000.000000,0
2004-05-03,15000.000000,15000.000000,15000.000000,15000.000000,15000.000000,0
2004-05-10,15000.000000,15000.000000,1666.666626,3333.333252,3333.333252,7
2004-05-17,3333.333252,3333.333252,3333.333252,3333.333252,3333.333252,0
2004-05-24,3333.333252,16666.666016,3333.333252,16666.666016,16666.666016,0
2004-05-31,20000.000000,48333.332031,16833.333984,46666.667969,46666.667969,2
2004-06-07,46666.667969,46666.667969,46666.667969,46666.667969,46666.667969,0
2004-06-14,47500.000000,47500.000000,46666.667969,46666.667969,46666.667969,0
2004-06-21,46666.667969,46666.667969,46666.667969,46666.667969,46666.667969,0
2004-06-28,46666.667969,46666.667969,27166.666016,27166.666016,27166.666016,0
2004-07-05,27166.666016,27166.666016,27166.666016,27166.666016,27166.666016,0
2004-07-12,27166.666016,27166.666016,27166.666016,27166.666016,27166.666016,0
2004-07-19,27166.666016,27166.666016,21666.666016,21666.666016,21666.666016,0
2004-07-26,21666.666016,21666.666016,21666.666016,21666.666016,21666.666016,0
2004-08-02,21666.666016,21666.666016,21666.666016,21666.666016,21666.666016,0
2004-08-09,21666.666016,21666.666016,21666.666016,21666.666016,21666.666016,0
2004-08-16,21666.666016,21666.666016,21666.666016,21666.666016,21666.666016,0
2004-08-23,21666.666016,26666.666016,21666.666016,22500.000000,22500.000000,0
2004-08-30,22500.000000,22500.000000,22500.000000,22500.000000,22500.000000,0
2004-09-06,22500.000000,22500.000000,22500.000000,22500.000000,22500.000000,0
2004-09-13,22500.000000,22500.000000,22500.000000,22500.000000,22500.000000,0
2004-09-20,22500.000000,26666.666016,22500.000000,26666.666016,26666.666016,0
2004-09-27,26666.666016,26666.666016,26666.666016,26666.666016,26666.666016,0
2004-10-04,26666.666016,28333.333984,20000.000000,28333.333984,28333.333984,7
2004-10-11,25000.000000,30000.000000,21666.666016,30000.000000,30000.000000,5
2004-10-18,25000.000000,30000.000000,25000.000000,30000.000000,30000.000000,2
2004-10-25,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,0
2004-11-01,30000.000000,31666.666016,30000.000000,31666.666016,31666.666016,0
2004-11-08,31666.666016,31666.666016,21666.666016,30000.000000,30000.000000,2
2004-11-15,30000.000000,30000.000000,26666.666016,26666.666016,26666.666016,0
2004-11-22,30000.000000,30000.000000,23333.333984,26666.666016,26666.666016,1
2004-11-29,24166.666016,29166.666016,24166.666016,24166.666016,24166.666016,0
2004-12-06,23333.333984,25000.000000,20000.000000,21333.333984,21333.333984,2
2004-12-13,21333.333984,21333.333984,21333.333984,21333.333984,21333.333984,0
2004-12-20,21333.333984,21333.333984,21333.333984,21333.333984,21333.333984,0
2004-12-27,21333.333984,21333.333984,19666.666016,21333.333984,21333.333984,0
2005-01-03,21333.333984,21666.666016,20000.000000,20000.000000,20000.000000,3
2005-01-10,20000.000000,20333.333984,19666.666016,19666.666016,19666.666016,0
2005-01-17,20000.000000,28000.000000,20000.000000,27666.666016,27666.666016,14
2005-01-24,27833.333984,29000.000000,26666.666016,26666.666016,26666.666016,8
2005-01-31,28166.666016,28833.333984,23333.333984,23333.333984,23333.333984,4
2005-02-07,20533.333984,23333.333984,20533.333984,23333.333984,23333.333984,1
2005-02-14,23333.333984,26166.666016,20533.333984,20533.333984,20533.333984,4
2005-02-21,20166.666016,20333.333984,16666.666016,17000.000000,17000.000000,1
2005-02-28,16666.666016,17500.000000,15000.000000,16500.000000,16500.000000,6
2005-03-07,17000.000000,17000.000000,15833.333008,16000.000000,16000.000000,4
2005-03-14,16000.000000,18300.000000,14166.666992,18300.000000,18300.000000,1
2005-03-21,18300.000000,18300.000000,18300.000000,18300.000000,18300.000000,0
2005-03-28,17066.666016,17066.666016,16633.333984,16633.333984,16633.333984,0
