Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.458162,4.501029,4.315272,4.429584,1.912169,1093936
2000-01-08,4.372428,4.386717,4.229538,4.300983,1.856653,454021
2000-01-15,4.315272,4.458162,4.186671,4.343850,1.875159,404158
2000-01-22,4.401006,4.572474,4.343850,4.486740,1.936841,380319
2000-01-29,4.515318,4.572474,4.229538,4.401006,1.911445,245818
2000-02-05,4.429584,4.486740,4.372428,4.429584,1.923858,544127
2000-02-12,4.358139,4.486740,4.343850,4.401006,1.911445,219356
2000-02-19,4.401006,4.408150,4.286694,4.286694,1.861798,1003396
2000-02-26,4.300983,4.343850,4.258116,4.286694,1.861798,557247
2000-03-04,4.286694,4.343850,4.115226,4.300983,1.868003,316677
2000-03-11,4.229538,4.315272,4.143804,4.315272,1.874210,662879
2000-03-18,4.315272,4.315272,4.229538,4.258116,1.849386,355170
2000-03-25,4.258116,4.343850,4.229538,4.343850,1.886622,317115
2000-04-01,4.322417,4.401006,4.200960,4.200960,1.824561,393004
2000-04-08,4.200960,4.515318,4.143804,4.172382,1.812150,369383
2000-04-15,4.258116,4.343850,3.943759,4.115226,1.787326,357138
2000-04-22,4.115226,4.486740,4.115226,4.315272,1.874210,251724
2000-04-29,4.258116,4.343850,4.229538,4.315272,1.886122,195956
2000-05-06,4.300983,4.365283,4.300983,4.315272,1.886122,260035
2000-05-13,4.322417,4.458162,4.315272,4.429584,1.936085,211264
2000-05-20,4.401006,4.601052,4.401006,4.543896,1.986050,319741
2000-05-27,4.572474,4.658208,4.458162,4.658208,2.036013,420779
2000-06-03,4.572474,4.858253,4.572474,4.858253,2.123449,316678
2000-06-10,4.858253,5.401235,4.858253,5.258345,2.298322,521600
2000-06-17,5.129744,5.201189,4.972565,5.086877,2.223377,431496
2000-06-24,5.086877,5.258345,5.086877,5.229767,2.285830,263970
2000-07-01,5.172611,5.344079,5.172611,5.344079,2.335794,101915
2000-07-08,5.201189,5.401235,5.201189,5.286923,2.310812,99946
2000-07-15,5.229767,5.486968,5.229767,5.401235,2.360776,192893
2000-07-22,5.429813,5.486968,5.144033,5.144033,2.248358,95134
2000-07-29,5.115455,5.258345,5.115455,5.172611,2.272706,139094
2000-08-05,5.286923,5.286923,4.801097,4.858253,2.134586,166430
2000-08-12,4.886831,5.086877,4.829675,5.086877,2.235038,138874
2000-08-19,5.058299,5.115455,5.001143,5.029721,2.209924,178896
2000-08-26,5.029721,5.401235,5.029721,5.344079,2.348045,176929
2000-09-02,5.329790,5.372657,5.201189,5.229767,2.297819,177804
2000-09-09,5.229767,5.858482,5.172611,5.601280,2.461052,742705
2000-09-16,5.601280,5.801326,5.515546,5.572702,2.448496,230511
2000-09-23,5.572702,5.572702,5.201189,5.229767,2.297819,191144
2000-09-30,5.272634,5.286923,5.144033,5.172611,2.272706,89448
2000-10-07,5.172611,5.172611,4.686786,4.943987,2.172254,134063
2000-10-14,5.029721,5.029721,4.743941,4.886831,2.147143,146310
2000-10-21,4.751086,4.929698,4.743941,4.915409,2.159699,341828
2000-10-28,4.915409,5.086877,4.886831,4.915409,2.172038,191362
2000-11-04,4.943987,4.972565,4.886831,4.943987,2.184665,214982
2000-11-11,5.029721,5.115455,4.915409,5.029721,2.222549,158995
2000-11-18,4.943987,5.029721,4.915409,4.972565,2.197294,50738
2000-11-25,4.943987,5.029721,4.915409,5.001143,2.209922,195737
2000-12-02,5.029721,5.086877,4.915409,5.086877,2.247806,221542
2000-12-09,5.058299,5.687014,5.058299,5.458390,2.411972,619577
2000-12-16,5.415524,5.515546,4.915409,5.115455,2.260433,302244
2000-12-23,5.115455,5.401235,5.029721,5.258345,2.323575,284747
2000-12-30,5.258345,5.458390,4.972565,5.429813,2.399343,214982
2001-01-06,5.429813,5.629858,5.258345,5.401235,2.386715,314271
2001-01-13,5.315501,5.658436,5.315501,5.486968,2.424599,318865
2001-01-20,5.315501,5.658436,5.315501,5.658436,2.500369,344233
2001-01-27,5.658436,6.172840,5.572702,5.972794,2.639278,363043
2001-02-03,5.887060,6.172840,5.887060,5.915638,2.628892,143249
2001-02-10,6.115684,6.630087,5.944216,6.630087,2.946392,547188
2001-02-17,6.622942,6.622942,6.229995,6.515775,2.895590,216077
2001-02-24,6.487197,6.572931,6.172840,6.401463,2.844790,153529
2001-03-03,6.401463,6.630087,6.372885,6.515775,2.895590,120285
2001-03-10,6.372885,6.458619,6.172840,6.372885,2.832091,518319
