Date,Open,High,Low,Close,Adj Close,Volume
2014-10-27,8.750000,8.750000,8.750000,8.750000,8.750000,40
2014-11-03,8.750000,8.750000,7.500000,7.500000,7.500000,2040
2014-11-10,7.625000,7.750000,7.125000,7.125000,7.125000,3080
2014-11-17,7.125000,7.250000,6.875000,7.250000,7.250000,4800
2014-11-24,7.250000,7.250000,7.250000,7.250000,7.250000,160
2014-12-01,7.000000,7.475000,7.000000,7.125000,7.125000,1840
2014-12-08,7.175000,7.200000,6.525000,7.050000,7.050000,4280
2014-12-15,7.050000,7.100000,6.400000,7.075000,7.075000,4560
2014-12-22,6.925000,6.975000,6.400000,6.400000,6.400000,1200
2014-12-29,6.925000,7.000000,6.500000,7.000000,7.000000,1160
2015-01-05,6.875000,7.125000,6.400000,6.550000,6.550000,9800
2015-01-12,6.275000,6.500000,4.025000,5.750000,5.750000,13840
2015-01-19,5.150000,5.725000,5.000000,5.500000,5.500000,9080
2015-01-26,5.250000,5.850000,4.175000,4.975000,4.975000,6600
2015-02-02,4.975000,4.987500,3.800000,4.375000,4.375000,1720
2015-02-09,4.625000,6.187500,3.275000,4.775000,4.775000,9880
2015-02-16,4.750000,6.870000,4.275000,5.050000,5.050000,1880
2015-02-23,5.600000,6.500000,4.425000,5.375000,5.375000,3640
2015-03-02,5.680000,6.025000,4.975000,4.975000,4.975000,5640
2015-03-09,4.900000,4.900000,4.300000,4.625000,4.625000,25400
2015-03-16,4.612500,5.562500,4.375000,4.725000,4.725000,14960
2015-03-23,4.750000,5.625000,4.375000,4.375000,4.375000,12760
2015-03-30,4.375000,6.750000,4.375000,6.500000,6.500000,57400
2015-04-06,6.750000,11.550000,6.575000,11.550000,11.550000,110320
2015-04-13,11.925000,12.000000,8.250000,9.725000,9.725000,68600
2015-04-20,9.725000,10.625000,7.525000,9.050000,9.050000,37880
2015-04-27,9.050000,12.000000,6.275000,7.750000,7.750000,29520
2015-05-04,7.875000,7.875000,5.025000,7.375000,7.375000,53960
2015-05-11,6.650000,8.725000,5.375000,6.875000,6.875000,51960
2015-05-18,6.875000,7.500000,6.125000,6.875000,6.875000,26440
2015-05-25,6.850000,7.575000,6.150000,6.950000,6.950000,26720
2015-06-01,6.950000,7.450000,5.375000,7.000000,7.000000,38240
2015-06-08,7.000000,7.475000,6.250000,6.625000,6.625000,25960
2015-06-15,6.400000,6.975000,5.250000,6.000000,6.000000,40760
2015-06-22,5.875000,6.250000,5.000000,5.875000,5.875000,38040
2015-06-29,5.500000,5.875000,5.250000,5.475000,5.475000,18960
2015-07-06,5.237500,5.750000,4.375000,5.000000,5.000000,59880
2015-07-13,4.875000,5.250000,3.750000,4.800000,4.800000,49040
2015-07-20,4.725000,5.250000,3.850000,4.625000,4.625000,36320
2015-07-27,4.600000,5.125000,4.125000,4.375000,4.375000,33960
2015-08-03,4.375000,5.000000,4.200000,4.400000,4.400000,50920
2015-08-10,4.412500,4.412500,3.750000,4.250000,4.250000,26600
2015-08-17,4.237500,4.250000,3.550000,3.750000,3.750000,17440
2015-08-24,3.175000,4.750000,3.175000,3.775000,3.775000,57320
2015-08-31,3.775000,4.125000,3.625000,4.125000,4.125000,28320
2015-09-07,4.000000,4.250000,3.950000,4.125000,4.125000,17360
2015-09-14,4.200000,4.200000,3.750000,4.125000,4.125000,17440
2015-09-21,4.175000,4.175000,3.550000,4.175000,4.175000,3880
2015-09-28,4.175000,4.750000,2.825000,4.000000,4.000000,35440
2015-10-05,3.800000,4.500000,3.125000,4.000000,4.000000,33720
2015-10-12,3.875000,4.225000,3.650000,4.225000,4.225000,20520
2015-10-19,4.000000,4.000000,3.000000,3.400000,3.400000,27520
2015-10-26,3.125000,4.200000,2.875000,3.450000,3.450000,41800
2015-11-02,3.325000,3.750000,3.250000,3.500000,3.500000,10240
2015-11-09,3.625000,4.325000,3.250000,3.825000,3.825000,27480
2015-11-16,3.750000,4.000000,3.500000,3.625000,3.625000,12000
2015-11-23,3.562500,3.700000,3.000000,3.700000,3.700000,16640
2015-11-30,3.250000,3.500000,3.100000,3.250000,3.250000,29640
2015-12-07,3.225000,3.725000,3.000000,3.125000,3.125000,59840
2015-12-14,3.025000,3.175000,2.700000,3.150000,3.150000,40440
2015-12-21,3.125000,3.700000,3.000000,3.500000,3.500000,33880
2015-12-28,3.500000,3.500000,3.000000,3.237500,3.237500,15800
2016-01-04,3.425000,3.425000,2.900000,2.975000,2.975000,13320
2016-01-11,2.900000,3.250000,2.300000,2.700000,2.700000,19360
2016-01-18,2.612500,3.975000,2.250000,3.975000,3.975000,28080
2016-01-25,3.500000,3.977500,2.725000,3.050000,3.050000,52520
2016-02-01,3.200000,3.200000,2.250000,2.800000,2.800000,63400
2016-02-08,2.750000,2.850000,2.300000,2.750000,2.750000,66280
2016-02-15,2.750000,3.875000,2.725000,3.050000,3.050000,69160
2016-02-22,3.500000,3.625000,2.800000,2.975000,2.975000,79480
2016-02-29,3.225000,3.825000,2.750000,3.625000,3.625000,100200
2016-03-07,3.700000,3.875000,2.750000,3.250000,3.250000,62720
2016-03-14,3.275000,3.477500,2.800000,3.325000,3.325000,62200
2016-03-21,3.500000,3.675000,2.750000,3.625000,3.625000,70880
2016-03-28,3.300000,3.750000,3.125000,3.500000,3.500000,97560
