Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,2.500000,3.250000,2.500000,3.062500,2.469213,19200
2000-01-08,3.062500,3.062500,2.781250,2.781250,2.242448,10200
2000-01-15,2.781250,2.812500,2.750000,2.750000,2.217252,24800
2000-01-22,2.750000,2.781250,2.750000,2.781250,2.242448,108800
2000-01-29,2.781250,2.781250,2.593750,2.687500,2.166860,15800
2000-02-05,2.687500,2.843750,2.687500,2.843750,2.292840,4000
2000-02-12,2.906250,2.906250,2.687500,2.812500,2.267644,1200
2000-02-19,2.812500,2.812500,2.750000,2.750000,2.217252,1600
2000-02-26,2.750000,2.750000,2.750000,2.750000,2.217252,2800
2000-03-04,2.750000,2.875000,2.312500,2.312500,1.864508,9000
2000-03-11,2.500000,2.875000,2.406250,2.531250,2.040880,8800
2000-03-18,2.640625,2.968750,2.562500,2.968750,2.393625,1800
2000-03-25,2.968750,3.875000,2.812500,3.875000,3.124310,138000
2000-04-01,3.843750,3.875000,3.500000,3.500000,2.821958,2200
2000-04-08,3.468750,3.875000,3.281250,3.750000,3.043159,14000
2000-04-15,3.281250,3.687500,3.281250,3.687500,2.992441,29400
2000-04-22,3.687500,3.687500,3.687500,3.687500,2.992441,0
2000-04-29,3.687500,3.750000,3.468750,3.750000,3.043159,41200
2000-05-06,3.750000,3.812500,3.750000,3.812500,3.093879,18600
2000-05-13,3.812500,3.812500,3.125000,3.125000,2.535966,41000
2000-05-20,3.125000,3.500000,3.125000,3.500000,2.840282,4400
2000-05-27,3.500000,4.000000,3.500000,4.000000,3.246037,41000
2000-06-03,4.125000,4.312500,4.125000,4.312500,3.499634,6400
2000-06-10,4.312500,4.312500,4.062500,4.062500,3.296756,12400
2000-06-17,3.937500,3.937500,3.875000,3.875000,3.144598,8600
2000-06-24,3.875000,3.875000,3.812500,3.843750,3.119239,23400
2000-07-01,3.671875,3.687500,3.500000,3.687500,3.011872,2000
2000-07-08,3.687500,4.125000,3.687500,4.125000,3.369212,15400
2000-07-15,4.125000,4.125000,4.000000,4.000000,3.267115,68200
