Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,9.718750,9.718750,8.125000,8.937500,5.262783,6566200
2000-01-08,9.000000,9.593750,9.000000,9.250000,5.446799,2567800
2000-01-15,9.125000,10.187500,8.875000,10.000000,5.888430,3479900
2000-01-22,9.984375,10.875000,9.250000,9.484375,5.584809,2782000
2000-01-29,9.468750,9.750000,8.937500,9.437500,5.557208,1790500
2000-02-05,9.531250,10.000000,9.000000,9.125000,5.373193,1287800
2000-02-12,9.218750,10.125000,9.000000,9.812500,5.778022,3054700
2000-02-19,9.843750,10.187500,9.687500,9.750000,5.741218,2489100
2000-02-26,9.843750,9.875000,8.562500,8.625000,5.078772,3958000
2000-03-04,8.687500,9.093750,8.437500,8.546875,5.032767,3498500
2000-03-11,8.500000,9.468750,8.375000,9.250000,5.446799,1984000
2000-03-18,9.437500,9.500000,8.781250,8.812500,5.189180,2319000
2000-03-25,8.937500,10.500000,8.890625,10.000000,5.888430,3092300
2000-04-01,10.031250,12.687500,9.750000,12.500000,7.360536,6902900
2000-04-08,12.500000,13.500000,11.437500,13.250000,7.802172,3778800
2000-04-15,12.937500,13.187500,10.937500,13.000000,7.654960,1968900
2000-04-22,12.812500,14.000000,12.625000,13.875000,8.170197,2806000
2000-04-29,13.875000,14.125000,12.812500,14.000000,8.243799,2811700
2000-05-06,13.937500,14.375000,13.625000,13.875000,8.170197,3038700
2000-05-13,13.937500,14.000000,12.312500,12.375000,7.286932,2764300
2000-05-20,12.375000,14.437500,12.062500,13.937500,8.207000,2573500
2000-05-27,13.937500,15.250000,13.437500,14.937500,8.795840,1906300
2000-06-03,15.093750,15.312500,14.000000,14.062500,8.280603,2228100
2000-06-10,14.062500,15.187500,13.187500,14.812500,8.722236,3041200
2000-06-17,14.750000,15.000000,13.875000,14.562500,8.575025,2301000
2000-06-24,14.562500,15.062500,14.375000,14.687500,8.648630,2166100
2000-07-01,14.812500,15.062500,14.375000,14.937500,8.795840,834500
2000-07-08,15.000000,15.312500,14.312500,14.375000,8.464617,1123300
2000-07-15,14.500000,14.750000,13.125000,13.125000,7.728564,1514400
2000-07-22,13.312500,13.375000,11.875000,12.000000,7.066116,1580400
2000-07-29,12.250000,12.625000,11.750000,12.187500,7.176527,2892700
2000-08-05,12.375000,13.437500,12.187500,12.812500,7.544549,1026500
2000-08-12,12.687500,13.125000,12.125000,12.375000,7.286932,916900
2000-08-19,12.312500,12.625000,12.125000,12.187500,7.176527,880700
2000-08-26,12.312500,12.500000,11.875000,12.500000,7.360536,1739900
2000-09-02,12.468750,14.500000,12.187500,14.125000,8.317408,2778800
2000-09-09,14.218750,14.625000,13.687500,14.062500,8.280603,2350100
2000-09-16,14.000000,14.562500,13.937500,14.125000,8.317408,1610100
2000-09-23,14.031250,14.687500,13.750000,14.375000,8.464617,3270100
2000-09-30,14.312500,14.375000,13.625000,13.937500,8.207000,1507800
2000-10-07,13.937500,14.625000,13.625000,14.500000,8.538221,2043900
2000-10-14,14.500000,15.125000,13.812500,14.562500,8.575025,2411800
2000-10-21,14.625000,15.937500,14.437500,15.812500,9.311075,2439800
2000-10-28,15.687500,19.062500,15.687500,18.000000,10.599174,8413600
2000-11-04,18.000000,18.062500,17.437500,17.812500,10.488762,1536300
2000-11-11,17.750000,21.312500,17.375000,20.937500,12.328898,6413900
2000-11-18,21.000000,22.125000,20.625000,22.000000,12.954548,3562600
2000-11-25,21.937500,22.875000,20.750000,22.625000,13.322574,3983900
2000-12-02,22.625000,24.250000,21.187500,24.125000,14.205839,3669300
2000-12-09,23.437500,23.625000,18.000000,18.500000,10.893598,6646000
2000-12-16,18.562500,19.312500,17.625000,18.187500,10.718953,3840000
2000-12-23,18.062500,18.687500,17.000000,18.187500,10.718953,1608100
2000-12-30,17.937500,18.562500,17.250000,18.000000,10.608450,1674100
2001-01-06,17.937500,18.375000,15.687500,17.187500,10.129595,5781500
2001-01-13,17.187500,18.187500,17.125000,17.937500,10.571618,1840000
2001-01-20,18.000000,20.000000,17.875000,19.875000,11.713494,2645500
2001-01-27,19.812500,20.375000,19.250000,20.062500,11.823999,1612500
