Date,Open,High,Low,Close,Adj Close,Volume
2011-06-13,20.000000,20.160000,18.510000,18.549999,7.681703,1390400
2011-06-20,18.540001,18.540001,17.500000,17.740000,7.346277,284500
2011-06-27,17.969999,19.230000,17.790001,19.010000,7.872190,128500
2011-07-04,19.230000,19.230000,18.719999,19.200001,7.950874,49300
2011-07-11,19.010000,19.139999,18.000000,18.450001,7.640292,67600
2011-07-18,18.389999,19.389999,17.750000,19.100000,7.909463,136400
2011-07-25,19.000000,19.389999,18.580000,18.910000,7.830783,66300
2011-08-01,19.000000,19.389999,15.950000,16.440001,6.824820,97000
2011-08-08,14.570000,18.900000,14.570000,17.000000,7.057292,77300
2011-08-15,16.500000,16.950001,14.450000,15.250000,6.330806,157400
2011-08-22,15.510000,17.190001,14.700000,15.150000,6.289293,132900
2011-08-29,15.950000,15.970000,15.030000,15.030000,6.239476,49300
2011-09-05,15.000000,15.510000,14.030000,15.510000,6.438741,56400
2011-09-12,15.950000,15.950000,14.570000,15.300000,6.351564,55100
2011-09-19,14.950000,15.700000,14.420000,14.500000,6.019455,89500
2011-09-26,14.310000,15.500000,14.300000,15.410000,6.397229,40300
2011-10-03,14.580000,15.360000,13.920000,14.600000,6.060970,47200
2011-10-10,15.500000,15.560000,14.750000,14.960000,6.210418,22900
2011-10-17,14.960000,15.750000,14.920000,15.310000,6.355715,25300
2011-10-24,15.300000,17.040001,15.250000,15.800000,6.559132,58700
2011-10-31,15.800000,16.540001,15.010000,15.540000,6.608010,31100
2011-11-07,15.860000,15.860000,14.000000,14.600000,6.208298,116100
2011-11-14,15.200000,15.580000,14.660000,15.000000,6.378388,17800
2011-11-21,15.030000,15.030000,14.510000,14.550000,6.187037,18000
2011-11-28,14.710000,15.200000,14.000000,14.300000,6.080730,106900
2011-12-05,14.100000,14.450000,13.460000,14.200000,6.038207,105800
2011-12-12,13.960000,14.890000,13.500000,14.810000,6.297595,101500
2011-12-19,14.630000,15.300000,14.550000,15.300000,6.505956,79500
2011-12-26,15.340000,15.340000,14.660000,15.000000,6.378388,107200
2012-01-02,15.250000,16.450001,15.000000,16.400000,6.973703,77100
2012-01-09,16.240000,16.870001,16.100000,16.750000,7.122535,99900
2012-01-16,16.799999,17.000000,16.030001,16.400000,6.973703,78200
2012-01-23,16.600000,16.770000,15.390000,15.620000,6.642027,88200
2012-01-30,15.680000,15.950000,15.270000,15.650000,6.654783,44200
2012-02-06,15.580000,16.129999,15.260000,15.750000,6.867905,66900
2012-02-13,15.900000,16.450001,15.130000,16.450001,7.173146,150200
