Date,Open,High,Low,Close,Adj Close,Volume
2017-09-18,12.600000,15.554000,11.100000,13.630000,13.630000,1461000
2017-09-25,13.820000,14.550000,11.140000,12.240000,12.240000,451100
2017-10-02,12.250000,13.319000,11.677000,13.060000,13.060000,170600
2017-10-09,13.200000,16.160000,12.010000,15.300000,15.300000,192500
2017-10-16,15.170000,16.969999,15.080000,16.240000,16.240000,295500
2017-10-23,16.370001,16.959999,15.650000,16.340000,16.340000,84800
2017-10-30,16.205000,19.840000,16.020000,19.830000,19.830000,132300
2017-11-06,19.830000,21.650000,18.219999,21.650000,21.650000,243900
2017-11-13,21.010000,21.980000,18.049999,18.250000,18.250000,183200
2017-11-20,18.330000,19.645000,15.574000,18.430000,18.430000,124700
2017-11-27,18.709999,20.450001,17.000000,18.000000,18.000000,166700
2017-12-04,18.100000,19.000000,17.348000,18.110001,18.110001,84700
2017-12-11,17.940001,21.000000,17.728001,18.780001,18.780001,472200
2017-12-18,18.920000,20.000000,17.730000,19.049999,19.049999,155200
2017-12-25,19.219999,19.299999,18.100000,18.950001,18.950001,69200
2018-01-01,18.459999,22.730000,18.459999,21.299999,21.299999,104900
2018-01-08,21.500000,21.629999,19.000000,19.639999,19.639999,101000
2018-01-15,19.730000,19.900000,19.070000,19.190001,19.190001,64900
2018-01-22,19.660999,20.100000,19.000000,19.280001,19.280001,76200
2018-01-29,19.389999,19.389999,16.000000,16.299999,16.299999,73100
2018-02-05,15.820000,17.502001,15.600000,17.330000,17.330000,105900
2018-02-12,17.302000,18.000000,16.240000,18.000000,18.000000,38800
2018-02-19,17.969999,17.969999,17.115000,17.580000,17.580000,56300
2018-02-26,16.840000,17.761000,15.590000,16.650000,16.650000,59600
2018-03-05,16.139999,16.940001,15.800000,16.139999,16.139999,18400
2018-03-12,16.188999,16.510000,14.640000,14.680000,14.680000,159100
2018-03-19,14.510000,16.000000,13.160000,15.780000,15.780000,115900
2018-03-26,16.350000,16.680000,15.275000,16.480000,16.480000,48500
2018-04-02,16.430000,16.850000,16.000000,16.730000,16.730000,81500
2018-04-09,16.770000,18.584999,16.719999,17.830000,17.830000,95400
2018-04-16,17.730000,17.730000,16.760000,17.410000,17.410000,59100
2018-04-23,16.851000,19.955000,16.851000,18.870001,18.870001,85200
2018-04-30,19.480000,20.000000,18.080000,19.900000,19.900000,45800
2018-05-07,19.510000,20.917999,19.339001,19.990000,19.990000,107300
2018-05-14,20.139999,20.139999,18.350000,19.520000,19.520000,78000
2018-05-21,19.200001,19.910000,18.850000,18.950001,18.950001,61100
2018-05-28,19.260000,19.730000,18.500000,18.500000,18.500000,75200
