Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,6.500000,6.650000,6.200000,6.260000,6.260000,121800
2015-10-19,6.600000,6.600000,6.000000,6.210000,6.210000,176000
2015-10-26,6.100000,6.370000,5.570000,5.740000,5.740000,225600
2015-11-02,5.520000,5.960000,5.460000,5.753000,5.753000,32000
2015-11-09,5.800000,5.800000,3.750000,4.000000,4.000000,430300
2015-11-16,4.000000,4.700000,3.740000,4.400000,4.400000,280000
2015-11-23,4.410000,4.510000,3.980000,4.380000,4.380000,55800
2015-11-30,4.400000,4.400000,3.490000,3.550000,3.550000,32200
2015-12-07,3.550000,3.550000,2.670000,3.130000,3.130000,135700
2015-12-14,3.050000,3.940000,2.750000,3.120000,3.120000,106200
2015-12-21,3.300000,4.340000,3.300000,3.990000,3.990000,49300
2015-12-28,4.090000,4.090000,3.350000,3.350000,3.350000,48800
2016-01-04,3.300000,4.800000,3.200000,3.700000,3.700000,330500
2016-01-11,3.990000,4.249000,3.100000,3.270000,3.270000,151400
2016-01-18,3.300000,4.200000,3.000000,3.200000,3.200000,291500
2016-01-25,3.240000,3.390000,2.960000,3.143000,3.143000,71800
2016-02-01,2.870000,3.140000,2.690000,2.970000,2.970000,110800
2016-02-08,3.000000,3.090000,2.850000,2.913000,2.913000,48500
2016-02-15,3.050000,3.100000,2.770000,3.000000,3.000000,91400
2016-02-22,2.995000,3.220000,2.880000,3.197000,3.197000,40800
2016-02-29,3.240000,3.310000,3.160000,3.250000,3.250000,26900
2016-03-07,3.250000,3.830000,3.012000,3.450000,3.450000,37100
2016-03-14,3.520000,5.190000,3.520000,4.230000,4.230000,327600
2016-03-21,4.230000,4.550000,3.350000,3.755000,3.755000,86100
2016-03-28,3.770000,3.799000,3.290000,3.650000,3.650000,62900
2016-04-04,3.690000,3.970000,3.650000,3.960000,3.960000,36300
2016-04-11,3.950000,4.390000,3.600000,3.650000,3.650000,319300
2016-04-18,3.840000,3.924000,3.320000,3.880000,3.880000,90900
2016-04-25,3.700000,4.056000,3.580000,3.870000,3.870000,60400
2016-05-02,3.800000,4.059000,3.590000,3.800000,3.800000,88600
2016-05-09,3.840000,4.000000,3.370000,3.810000,3.810000,166400
2016-05-16,3.620000,3.880000,3.140000,3.210000,3.210000,258000
2016-05-23,3.130000,3.484000,2.300000,2.490000,2.490000,446900
2016-05-30,2.500000,2.500000,2.100000,2.220000,2.220000,277900
