Date,Open,High,Low,Close,Adj Close,Volume
2017-02-13,7.460416,7.876628,7.460416,7.853069,7.610269,21138
2017-02-20,7.837363,7.837363,2.458011,4.484102,4.345463,986493
2017-02-27,4.476249,4.829637,4.087522,4.523368,4.383515,75258
2017-03-06,4.476249,4.908168,3.926535,4.908168,4.756418,68253
2017-03-13,4.908168,5.462595,4.798225,5.129625,4.971028,28906
2017-03-20,5.096642,5.340087,4.444837,4.680429,4.535720,76022
2017-03-27,5.057376,5.159466,4.672576,4.908168,4.908168,15916
2017-04-03,4.774666,4.849270,4.633311,4.633311,4.633311,10823
2017-04-10,4.711841,4.829637,4.554780,4.554780,4.554780,14261
2017-04-17,4.554780,4.696135,4.261075,4.547712,4.547712,24703
2017-04-24,4.676503,4.711056,4.103229,4.405572,4.405572,56157
2017-05-01,4.221025,4.342747,4.130714,4.169980,4.169980,11970
2017-05-08,4.216313,4.476249,4.108726,4.429916,4.429916,45332
2017-05-15,4.389866,5.175173,4.382013,4.672576,4.672576,68763
2017-05-22,5.057376,5.505001,4.879897,5.300822,5.300822,111549
2017-05-29,5.497148,5.614944,5.410765,5.465736,5.465736,7767
2017-06-05,5.701328,5.717034,5.418618,5.618086,5.618086,35018
2017-06-12,5.618086,5.618086,5.497148,5.583532,5.583532,6112
2017-06-19,5.605521,6.078275,5.536414,6.039010,6.039010,105182
2017-06-26,6.243190,6.243190,4.908168,5.889802,5.889802,24832
2017-07-03,6.086129,6.086129,5.867028,6.015451,6.015451,4075
2017-07-10,6.023304,6.196072,6.007598,6.086129,6.086129,7640
2017-07-17,6.086129,6.086129,5.657351,5.657351,5.657351,17828
2017-07-24,5.874096,6.039010,5.874096,5.987180,5.987180,32089
2017-07-31,6.031157,6.039010,5.897655,5.991892,5.991892,24068
2017-08-07,6.023304,6.031157,5.897655,5.968332,5.968332,4839
2017-08-14,5.968332,6.016236,5.730385,5.732740,5.732740,12097
2017-08-21,5.911005,6.023304,5.850536,5.925141,5.925141,22157
2017-08-28,5.986395,6.090840,5.889802,6.072778,6.072778,31834
2017-09-04,6.093982,6.140315,6.046863,6.140315,6.140315,10441
2017-09-11,6.188218,6.282455,5.300822,5.614944,5.614944,39984
2017-09-18,6.072778,6.340568,5.614944,6.111651,6.111651,12619
2017-09-25,6.038225,6.219631,5.614944,5.659000,5.659000,20027
2017-10-02,6.046863,6.202354,5.684051,6.029586,6.029586,113678
2017-10-09,6.020948,6.392398,6.020948,6.066731,6.066731,22921
2017-10-16,6.066731,6.176439,6.046863,6.057229,6.057229,7525
2017-10-23,6.275780,6.275780,5.787712,5.787712,5.787712,6367
2017-10-30,5.709967,5.801533,5.364431,5.364431,5.364431,17134
2017-11-06,5.364431,5.364431,4.574884,5.105280,5.105280,6483
2017-11-13,4.996437,4.996437,4.629306,4.837491,4.837491,7525
2017-11-20,4.863406,5.010258,4.725192,4.751107,4.751107,7409
2017-11-27,4.751107,4.897959,4.751107,4.794299,4.794299,3936
2017-12-04,4.794299,4.977432,4.768384,4.967066,4.967066,10767
2017-12-11,4.967066,5.008530,4.725192,4.846129,4.846129,12272
2017-12-18,4.846129,4.860814,4.621531,4.621531,4.621531,15627
2017-12-25,4.274268,4.807256,4.060037,4.586978,4.586978,23731
2018-01-01,4.345103,4.866861,4.345103,4.664723,4.664723,7756
2018-01-08,4.656085,5.096642,4.317460,4.405572,4.405572,34729
2018-01-15,4.353741,5.053450,4.353741,4.958428,4.958428,27320
2018-01-22,5.053450,5.191664,4.906598,4.923874,4.923874,12618
2018-01-29,4.923874,4.923874,4.751107,4.751107,4.751107,5556
2018-02-05,4.760609,4.923874,4.760609,4.838354,4.838354,21880
2018-02-12,4.838354,4.923874,4.751107,4.829716,4.829716,3241
2018-02-19,4.751107,5.070727,4.751107,4.794299,4.794299,47232
2018-02-26,4.837491,5.183026,4.751107,4.768384,4.768384,24309
2018-03-05,4.768384,4.768384,4.751107,4.751971,4.751971,18290
2018-03-12,4.967066,5.900011,4.939423,5.900011,5.900011,17133
2018-03-19,5.900011,5.900011,5.632221,5.649498,5.649498,2547
2018-03-26,5.217579,5.398985,4.794299,5.034014,5.034014,4978
2018-04-02,5.034014,5.034014,4.535147,4.535147,4.535147,1654
2018-04-09,4.580499,4.988662,4.580499,4.988662,4.988662,1213
2018-04-16,4.988662,4.988662,4.535147,4.562358,4.562358,6836
2018-04-23,4.675737,4.675737,4.580499,4.580499,4.580499,3749
2018-04-30,4.580499,4.897959,4.172336,4.707483,4.707483,18413
2018-05-07,4.671202,4.671202,4.544218,4.544218,4.544218,8490
2018-05-14,4.553288,4.834467,3.804989,4.430839,4.430839,50385
2018-05-21,4.458050,4.562358,4.426304,4.562358,4.562358,3308
2018-05-28,4.562358,4.562358,4.562358,4.562358,4.562358,0
2018-06-04,4.562358,4.562358,4.355556,4.469841,4.469841,993
2018-06-11,4.362812,4.594104,4.317460,4.317460,4.317460,7277
2018-06-18,4.317460,4.318367,4.154195,4.199546,4.199546,6065
2018-06-25,4.199546,4.199546,4.126984,4.126984,4.126984,1103
2018-07-02,4.126984,4.126984,3.718821,3.945578,3.945578,441
2018-07-09,3.673469,3.836735,3.655329,3.809524,3.809524,18191
2018-07-16,3.826757,3.826757,3.826757,3.826757,3.826757,221
2018-07-23,3.990930,3.990930,3.782313,3.811338,3.811338,1764
2018-07-30,3.808617,3.845805,3.582766,3.764172,3.764172,24586
2018-08-06,3.764172,3.900227,3.764172,3.900227,3.900227,2315
2018-08-13,3.639909,3.942857,3.546485,3.744218,3.744218,7827
2018-08-20,3.764172,3.764172,3.554649,3.628118,3.628118,12128
2018-08-27,3.587302,3.945578,3.554649,3.661678,3.661678,25027
2018-09-03,3.582766,3.582766,3.174603,3.453968,3.453968,23595
2018-09-10,3.453968,3.682540,3.453968,3.664399,3.664399,3638
2018-09-17,3.664399,3.664399,3.219955,3.445805,3.445805,1544
2018-09-24,3.445805,3.445805,3.445805,3.445805,3.445805,0
2018-10-01,3.445805,3.628118,3.310658,3.455782,3.455782,8930
2018-10-08,3.446712,3.464853,3.201814,3.201814,3.201814,2316
2018-10-15,3.108390,3.174603,3.102041,3.174603,3.174603,1985
2018-10-22,3.174603,3.274376,3.083900,3.211791,3.211791,9040
2018-10-29,3.084807,3.129252,3.026757,3.092063,3.092063,6285
2018-11-05,3.092063,3.174603,2.843537,3.174603,3.174603,9261
2018-11-12,3.174603,3.174603,2.902494,2.979592,2.979592,4521
2018-11-19,2.956916,2.958730,2.934240,2.958730,2.958730,4301
2018-11-26,2.958730,2.958730,2.630385,2.630385,2.630385,24365
2018-12-03,2.630385,2.630385,2.267574,2.267574,2.267574,9151
2018-12-10,2.200454,2.267574,1.061224,1.668934,1.668934,23264
2018-12-17,1.596372,1.610884,1.219955,1.360544,1.360544,13671
2018-12-24,1.360544,1.401361,1.360544,1.360544,1.360544,20397
2018-12-31,1.287982,1.287982,1.134694,1.170068,1.170068,6946
2019-01-07,1.179138,1.297052,1.179138,1.269841,1.269841,3418
2019-01-14,1.224490,1.378685,1.224490,1.360544,1.360544,3859
2019-01-21,1.444898,2.321995,1.384127,1.632653,1.632653,92280
2019-01-28,1.215420,2.226757,1.215420,2.226757,2.226757,5514
2019-02-04,2.222222,3.111111,1.904762,2.204082,2.204082,17532
2019-02-11,2.167800,2.167800,1.795918,1.795918,1.795918,1544
2019-02-18,1.868481,1.968254,1.768707,1.768707,1.768707,7607
2019-02-25,1.678005,1.741497,1.505669,1.741497,1.741497,3088
2019-03-04,1.886621,1.895692,1.777778,1.832200,1.832200,4742
2019-03-11,1.832200,1.832200,1.424036,1.424036,1.424036,2867
2019-03-18,1.405896,1.405896,1.405896,1.405896,1.405896,2866
2019-03-25,1.405896,1.557370,1.360544,1.557370,1.557370,2314
2019-04-01,1.557370,1.557370,1.315193,1.315193,1.315193,441
2019-04-08,1.913832,2.721088,1.587302,1.949206,1.949206,49723
2019-04-15,1.523810,1.786848,1.309751,1.605442,1.605442,8931
2019-04-22,1.605442,1.614512,1.523810,1.523810,1.523810,2756
2019-04-29,1.006803,1.115646,1.006803,1.015873,1.015873,5733
2019-05-06,1.015873,1.297052,1.015873,1.297052,1.297052,1323
2019-05-13,1.088435,1.414966,1.088435,1.229932,1.229932,8490
2019-05-20,1.378685,1.405896,0.907029,1.160998,1.160998,19184
2019-05-27,1.215420,1.224490,1.070295,1.170068,1.170068,12128
2019-06-03,1.179138,1.233560,0.997732,1.140136,1.140136,12017
2019-06-10,1.224490,1.287982,1.160998,1.269841,1.269841,11135
2019-06-17,1.306122,1.360544,1.133787,1.360544,1.360544,9702
2019-06-24,1.360544,1.587302,0.943311,1.043084,1.043084,81586
2019-07-01,1.070295,1.070295,0.907029,0.907029,0.907029,16979
2019-07-08,0.834467,1.043084,0.770975,0.780045,0.780045,26350
2019-07-15,0.816327,0.934240,0.816327,0.907029,0.907029,7497
2019-07-22,0.988662,1.034014,0.908844,0.908844,0.908844,882
2019-07-29,0.908844,0.952381,0.761905,0.761905,0.761905,5623
2019-08-05,0.770975,0.907029,0.580499,0.907029,0.907029,7499
2019-08-12,0.907029,0.907029,0.725624,0.725624,0.725624,1543
2019-08-19,0.743764,1.360544,0.399093,0.689342,0.689342,56008
2019-08-26,0.689342,0.721995,0.671202,0.721995,0.721995,9151
2019-09-02,0.654875,0.716553,0.654875,0.713832,0.713832,3309
2019-09-09,0.713832,0.770975,0.625850,0.770975,0.770975,2646
2019-09-16,0.770975,1.043084,0.734694,1.043084,1.043084,6837
2019-09-23,0.952381,1.097506,0.707483,0.888571,0.888571,31300
2019-09-30,0.888571,0.904762,0.888571,0.904762,0.904762,840
2019-10-07,0.719048,0.838095,0.590476,0.681905,0.681905,14595
2019-10-14,0.649524,0.711429,0.576190,0.576190,0.576190,9345
2019-10-21,0.714286,0.809524,0.571429,0.676190,0.676190,44205
2019-10-28,0.676190,0.695238,0.666667,0.666667,0.666667,5250
2019-11-04,0.666667,0.952381,0.666667,0.762857,0.762857,9240
2019-11-11,0.762857,0.762857,0.762857,0.762857,0.762857,420
2019-11-18,0.762857,0.777143,0.733333,0.733333,0.733333,3885
2019-11-25,0.676190,0.733333,0.666667,0.666667,0.666667,7665
2019-12-02,0.667619,0.667619,0.485714,0.485714,0.485714,47250
2019-12-09,0.477143,0.492381,0.467619,0.467619,0.467619,27405
2019-12-16,0.466667,1.333333,0.136190,0.495238,0.495238,249270
2019-12-23,0.495238,1.180952,0.495238,0.714286,0.714286,94290
2019-12-30,0.914286,0.942857,0.600000,0.676190,0.676190,78015
2020-01-06,0.713333,0.713333,0.571429,0.590476,0.590476,7140
2020-01-13,0.590476,1.304762,0.580952,0.905714,0.905714,231315
2020-01-20,0.952381,0.985714,0.828571,0.828571,0.828571,24570
2020-01-27,0.942857,1.109524,0.819048,1.066667,1.066667,58065
2020-02-03,1.066667,1.895238,0.873333,1.450476,1.450476,159075
2020-02-10,1.428571,1.438095,0.971429,1.438095,1.438095,16275
2020-02-17,1.571429,2.180952,1.564762,2.142857,2.142857,17745
2020-02-24,2.219048,2.219048,1.814286,1.814286,1.814286,5145
2020-03-02,1.714286,1.714286,1.714286,1.714286,1.714286,1050
2020-03-09,1.609524,1.780952,1.380952,1.380952,1.380952,2205
2020-03-16,1.519048,1.809524,1.380952,1.380952,1.380952,42525
2020-03-23,1.142857,1.619048,1.142857,1.619048,1.619048,13860
2020-03-30,1.238095,1.428571,1.019048,1.019048,1.019048,4410
2020-04-06,1.019048,1.019048,1.009524,1.019048,1.019048,5040
2020-04-13,1.019048,1.174286,0.647619,0.847619,0.847619,17325
2020-04-20,0.857143,0.857143,0.542857,0.761905,0.761905,3675
2020-04-27,0.761905,0.771429,0.761905,0.771429,0.771429,1890
2020-05-04,0.761905,0.904762,0.761905,0.900952,0.900952,3360
2020-05-11,0.900952,1.238095,0.857143,1.019048,1.019048,2730
2020-05-18,0.961905,1.142857,0.952381,1.119048,1.119048,6825
2020-05-25,1.123810,1.169524,1.095238,1.169524,1.169524,2835
2020-06-01,1.542857,2.019048,1.333333,2.019048,2.019048,121590
2020-06-08,2.019048,2.190476,1.600000,1.723810,1.723810,50610
2020-06-15,1.971429,2.190476,1.800000,1.800000,1.800000,2520
2020-06-22,1.904762,2.057143,1.638095,1.995238,1.995238,8925
