Date,Open,High,Low,Close,Adj Close,Volume
2015-06-29,15.000000,25.997999,15.000000,23.500000,23.500000,9111000
2015-07-06,25.000000,26.000000,21.799999,22.280001,22.280001,3211900
2015-07-13,23.299999,23.749001,20.100000,21.049999,21.049999,1993000
2015-07-20,21.350000,22.700001,20.809999,22.120001,22.120001,800400
2015-07-27,21.820000,23.500000,21.240000,23.080000,23.080000,783400
2015-08-03,23.500000,26.930000,23.299999,24.900000,24.900000,1755400
2015-08-10,24.969999,25.160000,21.980000,22.030001,22.030001,1782200
2015-08-17,22.100000,23.200001,20.400000,21.320000,21.320000,1625800
2015-08-24,19.830000,20.958000,19.080000,19.780001,19.780001,1342300
2015-08-31,16.000000,17.410000,13.570000,14.180000,14.180000,4063700
2015-09-07,14.350000,14.964000,14.270000,14.560000,14.560000,1567500
2015-09-14,14.470000,18.020000,13.330000,16.870001,16.870001,3500500
2015-09-21,16.990000,18.799999,16.379999,17.049999,17.049999,1582300
2015-09-28,16.920000,19.000000,15.750000,17.870001,17.870001,3162500
2015-10-05,18.000000,20.889999,17.565001,20.620001,20.620001,1510600
2015-10-12,20.520000,21.790001,19.520000,20.350000,20.350000,719700
2015-10-19,20.400000,21.740000,18.200001,18.959999,18.959999,1268600
2015-10-26,18.959999,20.780001,18.490000,19.570000,19.570000,845800
2015-11-02,19.500000,23.617001,19.320000,22.559999,22.559999,1062800
2015-11-09,22.480000,22.690001,19.049999,19.410000,19.410000,668000
2015-11-16,19.440001,21.070999,19.209999,20.000000,20.000000,842000
2015-11-23,19.930000,21.559999,19.930000,21.110001,21.110001,552400
2015-11-30,21.250000,22.180000,20.600000,21.219999,21.219999,723400
2015-12-07,21.330000,22.600000,20.700001,21.969999,21.969999,776800
2015-12-14,21.950001,22.309999,19.110001,20.000000,20.000000,823900
2015-12-21,19.950001,20.000000,18.040001,18.129999,18.129999,745300
2015-12-28,18.040001,18.840000,16.900000,17.290001,17.290001,1733500
2016-01-04,16.900000,17.350000,14.070000,14.290000,14.290000,3675200
2016-01-11,14.450000,14.590000,12.280000,13.710000,13.710000,4573500
2016-01-18,13.610000,13.660000,9.550000,11.550000,11.550000,5215600
2016-01-25,11.740000,11.890000,10.460000,11.000000,11.000000,2960600
2016-02-01,10.900000,11.068000,9.400000,9.640000,9.640000,1329500
2016-02-08,9.670000,9.670000,7.555000,8.610000,8.610000,1823800
2016-02-15,8.720000,8.725000,7.640000,8.320000,8.320000,1484300
2016-02-22,8.500000,9.500000,8.090000,9.420000,9.420000,1446200
2016-02-29,9.430000,11.550000,8.940000,11.520000,11.520000,2101000
2016-03-07,11.630000,11.770000,9.580000,10.000000,10.000000,2135200
2016-03-14,9.940000,10.190000,8.700000,9.320000,9.320000,2105600
2016-03-21,9.450000,9.900000,8.690000,9.170000,9.170000,911100
2016-03-28,9.170000,12.130000,8.720000,11.990000,11.990000,1630400
2016-04-04,11.250000,13.740000,10.140000,12.380000,12.380000,2803600
2016-04-11,12.390000,12.810000,11.510000,12.400000,12.400000,1280700
2016-04-18,12.350000,13.073000,12.220000,12.550000,12.550000,1099700
2016-04-25,12.560000,13.830000,12.250000,12.390000,12.390000,1705300
2016-05-02,12.500000,12.698000,11.020000,11.210000,11.210000,971600
2016-05-09,11.140000,11.980000,4.800000,5.120000,5.120000,13410400
2016-05-16,5.130000,6.500000,5.100000,6.490000,6.490000,5835200
2016-05-23,6.440000,7.550000,6.410000,7.370000,7.370000,2256800
2016-05-30,7.330000,7.891000,7.250000,7.640000,7.640000,1743100
2016-06-06,7.610000,7.950000,7.245000,7.490000,7.490000,1649100
2016-06-13,7.500000,7.830000,6.820000,7.110000,7.110000,2112500
2016-06-20,7.230000,7.500000,6.500000,6.680000,6.680000,4616100
2016-06-27,6.530000,7.300000,6.050000,7.270000,7.270000,1757100
2016-07-04,7.190000,7.720000,6.890000,7.640000,7.640000,1106400
2016-07-11,7.640000,8.450000,7.090000,7.180000,7.180000,2129300
2016-07-18,7.110000,7.450000,6.760000,6.840000,6.840000,1459500
2016-07-25,6.840000,7.269000,6.620000,6.970000,6.970000,1197300
2016-08-01,6.970000,7.620000,6.660000,7.350000,7.350000,1470600
2016-08-08,7.370000,8.240000,7.180000,8.180000,8.180000,2032800
2016-08-15,8.210000,9.440000,8.190000,8.400000,8.400000,2178500
2016-08-22,8.410000,8.647000,7.550000,7.680000,7.680000,1158600
2016-08-29,7.690000,8.410000,7.610000,8.110000,8.110000,833400
2016-09-05,8.160000,9.170000,8.160000,8.380000,8.380000,1268400
2016-09-12,8.350000,9.830000,8.080000,9.670000,9.670000,2547000
2016-09-19,9.890000,9.900000,9.000000,9.530000,9.530000,1397800
2016-09-26,9.410000,10.000000,9.055000,9.920000,9.920000,1475400
2016-10-03,9.960000,10.480000,9.605000,10.290000,10.290000,1626900
2016-10-10,10.390000,10.930000,8.350000,8.580000,8.580000,1969500
2016-10-17,8.520000,9.400000,8.350000,8.840000,8.840000,1414800
2016-10-24,8.940000,9.016000,7.548000,7.660000,7.660000,1085100
2016-10-31,7.650000,9.580000,6.660000,9.090000,9.090000,3575900
2016-11-07,9.300000,10.160000,8.250000,9.770000,9.770000,2668200
2016-11-14,9.950000,10.042000,8.980000,9.300000,9.300000,1631000
2016-11-21,9.310000,9.380000,8.650000,9.230000,9.230000,594100
2016-11-28,9.160000,9.190000,8.610000,8.780000,8.780000,882300
2016-12-05,8.850000,9.470000,8.480000,9.070000,9.070000,1042800
2016-12-12,8.990000,9.260000,8.670000,8.830000,8.830000,1244300
2016-12-19,8.870000,8.985000,8.000000,8.660000,8.660000,1362300
2016-12-26,8.570000,8.700000,8.040000,8.100000,8.100000,1161800
2017-01-02,8.250000,8.610000,7.710000,8.470000,8.470000,923700
2017-01-09,8.460000,8.720000,8.270000,8.510000,8.510000,738600
2017-01-16,8.450000,8.610000,8.055000,8.600000,8.600000,560700
2017-01-23,8.510000,8.610000,8.200000,8.470000,8.470000,1129100
2017-01-30,8.450000,8.605000,8.040000,8.480000,8.480000,880000
2017-02-06,8.390000,8.425000,7.780000,8.290000,8.290000,773100
2017-02-13,8.330000,8.610000,5.150000,5.910000,5.910000,8261600
2017-02-20,6.010000,6.010000,5.120000,5.390000,5.390000,2556000
2017-02-27,5.400000,5.490000,4.830000,4.930000,4.930000,2231100
2017-03-06,4.900000,5.490000,4.350000,5.160000,5.160000,2144500
2017-03-13,5.150000,5.540000,4.990000,5.100000,5.100000,2278200
2017-03-20,5.090000,5.150000,4.590000,4.860000,4.860000,1526500
2017-03-27,4.770000,5.310000,4.770000,5.220000,5.220000,952600
2017-04-03,5.210000,5.330000,4.800000,5.180000,5.180000,1082300
2017-04-10,5.160000,5.340000,5.060000,5.180000,5.180000,634100
2017-04-17,5.180000,5.640000,5.150000,5.290000,5.290000,924800
2017-04-24,5.390000,5.710000,5.180000,5.620000,5.620000,1245200
2017-05-01,5.630000,5.980000,5.430000,5.470000,5.470000,1026600
2017-05-08,5.480000,5.890000,5.000000,5.090000,5.090000,1432300
2017-05-15,5.110000,5.240000,4.660000,4.680000,4.680000,1396800
2017-05-22,4.710000,4.820000,4.050000,4.120000,4.120000,1679500
2017-05-29,4.090000,4.435000,3.890000,4.380000,4.380000,1256300
2017-06-05,4.400000,4.400000,3.890000,4.060000,4.060000,1308000
2017-06-12,4.100000,4.320000,4.070000,4.120000,4.120000,1524700
2017-06-19,4.160000,4.580000,3.790000,4.320000,4.320000,3489900
2017-06-26,4.320000,4.370000,4.080000,4.290000,4.290000,815200
2017-07-03,4.230000,4.350000,4.130000,4.190000,4.190000,687200
2017-07-10,4.230000,4.470000,4.050000,4.360000,4.360000,882100
2017-07-17,4.380000,5.080000,4.302000,4.660000,4.660000,1284500
2017-07-24,4.670000,5.728000,4.610000,5.080000,5.080000,3729200
2017-07-31,5.090000,5.220000,3.220000,3.750000,3.750000,3618800
2017-08-07,3.750000,3.750000,3.351000,3.590000,3.590000,2153300
2017-08-14,3.670000,3.929000,3.310000,3.470000,3.470000,979700
2017-08-21,3.500000,3.510000,3.250000,3.400000,3.400000,699500
2017-08-28,3.400000,3.800000,3.390000,3.780000,3.780000,769000
2017-09-04,3.760000,4.050000,3.580000,3.810000,3.810000,523200
2017-09-11,3.810000,3.950000,3.520000,3.530000,3.530000,740700
2017-09-18,3.540000,3.770000,3.350000,3.570000,3.570000,820500
2017-09-25,3.540000,3.620000,3.351000,3.520000,3.520000,605800
2017-10-02,3.510000,4.150000,3.460000,4.130000,4.130000,903300
2017-10-09,4.100000,4.170000,3.530000,3.550000,3.550000,738500
2017-10-16,3.590000,3.670000,3.438000,3.610000,3.610000,598200
2017-10-23,3.620000,3.650000,3.400000,3.540000,3.540000,414400
2017-10-30,3.400000,3.750000,3.310000,3.520000,3.520000,1058500
2017-11-06,3.520000,3.830000,3.400000,3.680000,3.680000,1000100
2017-11-13,3.670000,3.727000,3.030000,3.270000,3.270000,1709200
2017-11-20,3.270000,3.350000,3.170000,3.260000,3.260000,772700
