Date,Open,High,Low,Close,Adj Close,Volume
2015-01-12,25.150000,29.400000,24.139999,25.520000,16.771250,3568400
2015-01-19,25.500000,25.900000,25.250000,25.790001,16.948689,2735700
2015-01-26,25.820000,26.600000,25.760000,26.540001,17.441574,1835100
2015-02-02,26.530001,26.590000,26.040001,26.120001,17.165554,1092000
2015-02-09,26.160000,26.840000,26.129999,26.680000,17.533577,959200
2015-02-16,26.719999,26.719999,26.250000,26.636999,17.505318,620200
2015-02-23,26.690001,27.280001,26.670000,27.170000,17.855598,978600
2015-03-02,27.110001,27.280001,26.809999,26.850000,17.645298,562500
2015-03-09,26.850000,27.040001,26.611000,26.690001,17.540150,288200
2015-03-16,26.790001,27.370001,26.670000,27.340000,18.217331,339100
2015-03-23,27.170000,27.365000,27.139999,27.299999,18.190687,355700
2015-03-30,27.379999,27.930000,27.330000,27.930000,18.610460,334500
2015-04-06,27.950001,28.090000,27.680000,27.840000,18.550493,432900
2015-04-13,27.840000,28.100000,27.450001,28.070000,18.703749,2437100
2015-04-20,27.950001,28.139999,27.900000,28.120001,18.737061,410400
2015-04-27,28.160000,28.200001,27.750000,27.820000,18.537165,265800
2015-05-04,27.700001,27.999001,26.799999,27.430000,18.277304,479100
2015-05-11,27.379999,28.000000,27.049999,27.760000,18.497185,278500
2015-05-18,27.730000,27.730000,27.309999,27.450001,18.290630,243900
2015-05-25,27.590000,27.625000,27.230000,27.270000,18.170692,198800
2015-06-01,27.350000,27.639999,27.260000,27.554001,18.359928,212300
2015-06-08,27.500000,27.750000,27.139999,27.219999,18.137373,273800
2015-06-15,27.240000,27.260000,26.900000,27.100000,18.369221,175100
2015-06-22,27.150000,27.200001,26.910000,27.080000,18.355661,203100
2015-06-29,27.049999,27.240000,26.860001,27.240000,18.464117,191100
2015-07-06,27.190001,27.240000,27.010000,27.059999,18.342106,150400
2015-07-13,27.070000,27.570000,27.049999,27.490000,18.633577,847500
2015-07-20,27.469999,27.500000,27.139999,27.309999,18.511566,209500
2015-07-27,27.219999,27.280001,27.120001,27.219999,18.450560,125900
2015-08-03,27.250000,27.350000,27.129999,27.299999,18.504793,233000
2015-08-10,27.180000,27.340000,27.120001,27.150000,18.403109,252300
2015-08-17,27.360001,27.370001,26.900000,27.059999,18.342106,224600
2015-08-24,26.940001,27.190001,26.730000,27.139999,18.396334,189900
2015-08-31,27.070000,27.299999,27.049999,27.290001,18.498005,143000
2015-09-07,27.400000,27.400000,27.110001,27.200001,18.437000,320400
2015-09-14,26.790001,26.830000,26.540001,26.660000,18.070974,191600
2015-09-21,26.799999,26.799999,26.525999,26.590000,18.339752,255900
2015-09-28,26.620001,26.709999,26.340000,26.500000,18.277678,231500
2015-10-05,26.570000,27.200001,26.555000,27.010000,18.629436,160100
2015-10-12,27.049999,27.240000,27.010000,27.200001,18.760481,212700
2015-10-19,27.200001,27.500000,27.100000,27.440001,18.926016,129000
2015-10-26,27.340000,27.860001,27.320000,27.770000,19.153624,175000
2015-11-02,27.870001,27.940001,27.542000,27.709999,19.112244,138100
2015-11-09,27.840000,28.049999,27.500000,27.730000,19.126036,143600
2015-11-16,27.719999,27.940001,27.549999,27.660000,19.077753,134200
2015-11-23,27.760000,27.870001,27.639999,27.719999,19.119137,93300
2015-11-30,27.750000,27.879999,27.660000,27.790001,19.167421,123300
2015-12-07,27.840000,27.940001,27.340000,27.350000,18.863941,156900
2015-12-14,27.040001,27.129999,26.311001,27.010000,18.629436,191000
2015-12-21,27.139999,27.450001,27.000000,27.240000,19.115871,131700
2015-12-28,27.370001,27.370001,26.959999,27.049999,18.982536,149800
2016-01-04,27.049999,27.490000,26.900000,27.219999,19.101833,206500
2016-01-11,27.240000,27.389999,26.570000,26.799999,18.807096,274400
2016-01-18,26.830000,26.959999,25.730000,26.559999,18.638680,291900
2016-01-25,26.690001,27.040001,26.110001,26.889999,18.870256,248400
2016-02-01,26.990000,27.150000,26.620001,26.760000,18.779030,175200
2016-02-08,26.750000,26.750000,25.360001,26.100000,18.315872,338400
2016-02-15,26.120001,27.270000,26.120001,27.270000,19.136927,172700
2016-02-22,27.360001,27.360001,26.809999,27.129999,19.038681,134600
2016-02-29,27.309999,27.680000,26.900000,27.230000,19.108856,141800
2016-03-07,27.389999,27.700001,27.129999,27.549999,19.333420,114300
2016-03-14,27.670000,27.670000,27.120001,27.600000,19.368507,142500
2016-03-21,27.670000,27.700001,27.400000,27.455000,19.599840,102700
2016-03-28,27.600000,27.900000,27.510000,27.660000,19.746189,180600
2016-04-04,27.799999,27.799999,27.260000,27.530001,19.653383,110900
2016-04-11,27.559999,27.900000,27.290001,27.430000,19.581995,303200
2016-04-18,27.459999,27.840000,27.430000,27.790001,19.838999,114000
2016-04-25,27.799999,27.799999,27.469999,27.662001,19.747620,125600
2016-05-02,27.719999,27.930000,27.559999,27.900000,19.917522,128100
2016-05-09,27.940001,27.969999,27.719999,27.920000,19.931805,147900
2016-05-16,28.000000,28.230000,27.799999,28.000000,19.988913,209900
