Date,Open,High,Low,Close,Adj Close,Volume
2007-07-23,15.000000,15.010000,15.000000,15.000000,3.756146,2112100
2007-07-30,14.750000,14.760000,14.000000,14.120000,3.535786,1142600
2007-08-06,14.050000,14.380000,13.400000,13.870000,3.473180,571800
2007-08-13,13.950000,14.100000,11.010000,13.350000,3.369463,1355000
2007-08-20,13.350000,13.890000,13.000000,13.660000,3.447704,455400
2007-08-27,13.650000,14.090000,12.950000,13.720000,3.462848,529000
2007-09-03,13.760000,14.080000,13.620000,13.970000,3.525946,468200
2007-09-10,13.870000,13.920000,13.000000,13.340000,3.366938,566600
2007-09-17,13.240000,13.800000,12.930000,13.770000,3.503811,700000
2007-09-24,13.790000,13.870000,13.140000,13.190000,3.356224,949400
2007-10-01,13.260000,13.870000,13.100000,13.620000,3.465639,839400
2007-10-08,13.630000,13.820000,13.260000,13.380000,3.404569,634100
2007-10-15,13.380000,13.500000,13.020000,13.290000,3.408921,834800
2007-10-22,13.140000,13.460000,12.850000,13.070000,3.352491,1031900
2007-10-29,13.120000,13.240000,12.910000,12.970000,3.326840,928300
2007-11-05,12.920000,14.880000,12.010000,12.390000,3.178067,1115000
2007-11-12,12.280000,12.720000,12.130000,12.260000,3.171579,1119000
2007-11-19,12.360000,12.360000,11.770000,12.300000,3.181928,1063400
2007-11-26,12.170000,12.930000,11.710000,12.770000,3.303515,1683000
2007-12-03,12.830000,12.830000,12.190000,12.710000,3.287994,1713700
2007-12-10,12.710000,12.930000,12.320000,12.580000,3.283001,1795400
2007-12-17,12.420000,12.760000,11.970000,12.320000,3.215147,2159900
2007-12-24,12.190000,12.890000,12.190000,12.660000,3.303878,1421800
2007-12-31,12.660000,13.140000,12.390000,12.760000,3.358956,981100
2008-01-07,12.760000,13.140000,12.520000,12.930000,3.403707,806200
2008-01-14,13.010000,13.070000,11.910000,12.010000,3.161524,899800
2008-01-21,11.740000,12.240000,10.850000,12.050000,3.172055,828400
2008-01-28,12.060000,12.890000,11.930000,12.890000,3.393178,513000
2008-02-04,12.850000,12.940000,11.920000,12.150000,3.198377,570100
2008-02-11,12.110000,12.390000,11.260000,11.480000,3.049141,963300
2008-02-18,11.540000,11.850000,11.400000,11.670000,3.099608,663000
2008-02-25,11.680000,12.240000,11.640000,11.800000,3.134138,799400
2008-03-03,11.720000,11.980000,11.060000,11.300000,3.001335,687200
2008-03-10,11.250000,11.300000,10.410000,10.680000,2.836658,862200
2008-03-17,10.200000,11.030000,10.070000,10.840000,2.908507,831500
2008-03-24,10.980000,11.570000,10.960000,11.110000,2.980952,608300
2008-03-31,11.140000,11.730000,11.020000,11.690000,3.136574,579300
2008-04-07,11.710000,11.970000,11.250000,11.250000,3.018514,589600
2008-04-14,11.310000,12.070000,11.040000,11.770000,3.187503,767400
2008-04-21,11.720000,11.980000,11.500000,11.810000,3.198336,767800
2008-04-28,11.780000,12.390000,11.710000,12.380000,3.352699,690800
2008-05-05,12.290000,12.390000,12.110000,12.280000,3.325618,594500
2008-05-12,12.360000,12.580000,12.190000,12.500000,3.415847,644600
2008-05-19,12.520000,13.030000,12.290000,12.380000,3.383055,979300
2008-05-26,12.360000,12.730000,12.300000,12.620000,3.448637,436800
2008-06-02,12.660000,13.460000,12.370000,12.600000,3.443175,530500
2008-06-09,12.600000,12.680000,11.780000,12.130000,3.314738,567700
2008-06-16,11.990000,12.360000,11.920000,12.210000,3.366683,614900
2008-06-23,12.090000,12.140000,11.150000,11.190000,3.085437,710500
2008-06-30,10.710000,11.130000,10.410000,10.940000,3.016502,448300
2008-07-07,11.040000,11.050000,10.410000,10.630000,2.931025,551800
2008-07-14,10.900000,10.900000,9.550000,10.840000,3.019205,1089800
2008-07-21,10.990000,11.150000,10.760000,10.960000,3.052628,546600
2008-07-28,10.980000,11.150000,10.680000,11.140000,3.102762,574900
2008-08-04,11.190000,11.190000,10.750000,10.920000,3.041485,456100
2008-08-11,10.840000,10.890000,10.460000,10.640000,2.992921,548200
2008-08-18,10.650000,10.650000,10.220000,10.640000,2.992921,720200
2008-08-25,10.630000,10.690000,10.330000,10.630000,2.990106,810300
2008-09-01,10.730000,10.780000,10.050000,10.160000,2.857903,547000
2008-09-08,10.460000,10.460000,9.320000,9.500000,2.700061,835400
2008-09-15,9.080000,9.540000,6.940000,8.900000,2.529531,2516500
2008-09-22,8.950000,8.990000,8.100000,8.620000,2.449948,1144400
2008-09-29,8.440000,8.440000,7.010000,7.610000,2.162891,984500
2008-10-06,7.200000,7.300000,3.580000,4.550000,1.293187,2703200
2008-10-13,4.990000,6.710000,4.990000,6.210000,1.799718,1152100
2008-10-20,6.510000,6.600000,5.560000,5.810000,1.683794,906400
2008-10-27,5.520000,6.350000,5.250000,6.350000,1.840291,929300
2008-11-03,6.250000,7.710000,5.800000,6.200000,1.796820,745100
2008-11-10,6.190000,6.200000,4.850000,5.630000,1.631629,1221900
2008-11-17,5.500000,6.070000,3.570000,4.390000,1.288896,1735500
2008-11-24,4.300000,5.200000,4.300000,5.160000,1.514965,671900
2008-12-01,5.000000,5.000000,4.260000,4.740000,1.391654,1046600
2008-12-08,4.870000,5.190000,4.650000,4.860000,1.451702,1291800
2008-12-15,4.890000,5.450000,4.650000,5.350000,1.598067,1364500
2008-12-22,5.370000,5.510000,5.130000,5.510000,1.645860,967500
2008-12-29,5.420000,6.100000,5.280000,6.100000,1.822096,1257600
2009-01-05,6.170000,6.490000,5.950000,6.350000,1.924716,1285800
2009-01-12,6.370000,6.440000,5.470000,6.110000,1.851971,1616100
2009-01-19,6.060000,6.060000,5.600000,5.780000,1.751947,680700
2009-01-26,5.910000,6.350000,5.750000,6.110000,1.851971,1147900
2009-02-02,6.060000,6.440000,5.830000,6.440000,1.951995,963100
2009-02-09,6.450000,6.590000,6.200000,6.320000,1.939987,1014600
2009-02-16,6.270000,6.290000,5.070000,5.300000,1.626887,1274500
2009-02-23,5.330000,5.340000,4.770000,5.030000,1.544009,1137100
2009-03-02,4.730000,4.800000,4.060000,4.380000,1.344485,1539400
2009-03-09,4.140000,4.990000,4.070000,4.910000,1.507173,1248400
