Date,Open,High,Low,Close,Adj Close,Volume
2016-05-30,8.000000,8.450000,7.000000,7.060000,7.060000,2549400
2016-06-06,7.060000,7.410000,6.740000,6.900000,6.900000,530700
2016-06-13,6.916000,7.150000,6.725000,7.100000,7.100000,175500
2016-06-20,7.100000,7.150000,6.670000,6.800000,6.800000,172200
2016-06-27,6.810000,7.350000,6.750000,6.780000,6.780000,471100
2016-07-04,6.810000,7.130000,6.500000,6.545000,6.545000,64300
2016-07-11,6.650000,7.200000,5.750000,6.600000,6.600000,89400
2016-07-18,6.760000,6.800000,6.470000,6.590000,6.590000,31300
2016-07-25,6.580000,6.770000,6.050000,6.050000,6.050000,57700
2016-08-01,5.950000,6.730000,5.950000,6.190000,6.190000,50200
2016-08-08,6.220000,7.199000,5.650000,7.190000,7.190000,63700
2016-08-15,6.930000,7.196000,6.700000,7.020000,7.020000,32300
2016-08-22,7.000000,7.450000,6.880000,7.010000,7.010000,84500
2016-08-29,7.037000,8.180000,7.037000,8.160000,8.160000,133700
2016-09-05,8.060000,8.500000,7.640000,8.400000,8.400000,105400
2016-09-12,8.400000,8.800000,7.360000,8.370000,8.370000,576600
2016-09-19,8.620000,13.980000,8.350000,13.980000,13.980000,639300
2016-09-26,14.100000,18.200001,14.100000,17.350000,17.350000,1682400
2016-10-03,17.350000,23.500000,16.590000,23.370001,23.370001,1040000
2016-10-10,24.400000,25.080000,18.080000,20.160000,20.160000,1062700
2016-10-17,20.350000,22.240000,18.510000,18.879999,18.879999,459500
2016-10-24,19.090000,20.480000,18.868999,19.930000,19.930000,516800
2016-10-31,20.080000,22.309999,13.650000,16.100000,16.100000,783900
2016-11-07,16.360001,20.000000,13.930000,19.830000,19.830000,629400
2016-11-14,19.980000,24.730000,19.780001,23.049999,23.049999,343200
2016-11-21,23.049999,23.790001,20.840000,21.420000,21.420000,253000
2016-11-28,21.549999,22.049999,13.900000,15.620000,15.620000,921800
2016-12-05,15.640000,16.129999,8.610000,9.000000,9.000000,4215500
2016-12-12,9.090000,9.430000,8.087000,9.070000,9.070000,2938600
2016-12-19,9.100000,9.430000,8.650000,9.050000,9.050000,1015200
2016-12-26,9.130000,9.240000,8.890000,8.940000,8.940000,524600
2017-01-02,9.020000,10.461000,9.000000,10.160000,10.160000,955600
2017-01-09,10.200000,10.350000,9.010000,9.250000,9.250000,957000
2017-01-16,9.220000,9.220000,7.620000,7.690000,7.690000,668300
2017-01-23,7.640000,8.390000,7.260000,7.870000,7.870000,798300
2017-01-30,7.840000,7.900000,7.180000,7.640000,7.640000,797000
2017-02-06,7.580000,7.815000,7.000000,7.710000,7.710000,485200
2017-02-13,7.770000,8.150000,7.360000,7.670000,7.670000,457900
2017-02-20,7.660000,8.150000,6.501000,8.060000,8.060000,1057000
2017-02-27,8.440000,9.420000,7.501000,8.470000,8.470000,2045400
2017-03-06,8.500000,8.500000,7.010000,7.350000,7.350000,749000
2017-03-13,7.360000,7.600000,5.440000,6.930000,6.930000,1687600
2017-03-20,6.970000,7.380000,6.713000,7.060000,7.060000,945100
2017-03-27,6.940000,8.300000,6.910000,7.940000,7.940000,994100
2017-04-03,7.950000,8.070000,7.320000,8.010000,8.010000,852200
2017-04-10,8.020000,8.256000,7.410000,7.710000,7.710000,356500
2017-04-17,7.710000,7.860000,7.250000,7.430000,7.430000,1061400
2017-04-24,7.580000,8.050000,7.365000,7.960000,7.960000,395400
2017-05-01,7.950000,8.580000,7.676000,7.900000,7.900000,736800
2017-05-08,7.900000,9.170000,7.510000,8.980000,8.980000,657400
2017-05-15,8.980000,9.160000,8.000000,8.030000,8.030000,493700
2017-05-22,8.020000,8.300000,7.170000,7.250000,7.250000,713100
2017-05-29,7.300000,7.504000,6.800000,7.370000,7.370000,1031600
2017-06-05,7.360000,8.110000,7.221000,7.650000,7.650000,660500
2017-06-12,7.600000,8.270000,7.530000,7.820000,7.820000,664100
2017-06-19,7.830000,9.760000,7.830000,9.690000,9.690000,1853300
2017-06-26,9.650000,10.033000,9.010000,9.110000,9.110000,841500
2017-07-03,9.150000,9.740000,8.750000,9.510000,9.510000,419300
2017-07-10,9.440000,10.000000,9.109000,9.520000,9.520000,357300
2017-07-17,9.580000,10.360000,9.360000,9.930000,9.930000,616400
2017-07-24,10.160000,10.160000,8.680000,8.790000,8.790000,562400
2017-07-31,8.730000,8.870000,8.060000,8.130000,8.130000,351000
2017-08-07,8.020000,8.187000,6.420000,7.040000,7.040000,651800
