Date,Open,High,Low,Close,Adj Close,Volume
2015-08-10,9.750000,10.690000,9.750000,10.500000,10.500000,646600
2015-08-17,10.500000,10.680000,9.670000,10.420000,10.420000,230600
2015-08-24,10.000000,10.950000,9.500000,10.395000,10.395000,134500
2015-08-31,10.205000,10.240000,9.730000,10.110000,10.110000,29600
2015-09-07,9.800000,10.340000,9.800000,9.980000,9.980000,37600
2015-09-14,9.860000,10.400000,9.750000,10.030000,10.030000,188300
2015-09-21,10.190000,10.310000,9.750000,9.910000,9.910000,58400
2015-09-28,9.950000,10.300000,8.510000,9.270000,9.270000,238500
2015-10-05,9.250000,9.970000,9.250000,9.800000,9.800000,70900
2015-10-12,9.750000,9.960000,8.618000,9.140000,9.140000,277600
2015-10-19,9.080000,10.000000,8.910000,9.700000,9.700000,169300
2015-10-26,9.820000,9.870000,8.990000,9.560000,9.560000,206000
2015-11-02,9.630000,9.720000,9.060000,9.380000,9.380000,103200
2015-11-09,9.390000,9.810000,9.110000,9.195000,9.195000,79000
2015-11-16,9.580000,9.580000,8.477000,9.100000,9.100000,125900
2015-11-23,9.100000,10.090000,9.000000,10.090000,10.090000,102300
2015-11-30,9.820000,10.050000,9.091000,9.780000,9.780000,190700
2015-12-07,9.710000,10.050000,9.360000,9.480000,9.480000,132900
2015-12-14,9.660000,10.050000,8.250000,9.250000,9.250000,228200
2015-12-21,9.190000,9.960000,8.790000,9.130000,9.130000,86100
2015-12-28,9.130000,9.400000,9.000000,9.270000,9.270000,80600
2016-01-04,9.120000,9.320000,8.480000,8.600000,8.600000,94700
2016-01-11,8.840000,8.900000,7.853000,8.170000,8.170000,120400
2016-01-18,8.290000,8.700000,6.750000,8.230000,8.230000,127000
2016-01-25,8.270000,8.270000,7.080000,7.710000,7.710000,103600
2016-02-01,7.740000,8.120000,6.830000,7.800000,7.800000,117000
2016-02-08,7.710000,8.220000,6.000000,6.540000,6.540000,284100
2016-02-15,6.630000,7.010000,6.080000,6.430000,6.430000,313500
2016-02-22,6.590000,6.650000,5.320000,6.040000,6.040000,459500
2016-02-29,6.010000,7.168000,5.820000,6.920000,6.920000,145500
2016-03-07,6.850000,7.200000,6.030000,6.310000,6.310000,112100
2016-03-14,6.330000,7.690000,6.000000,6.950000,6.950000,130000
2016-03-21,6.900000,7.480000,6.310000,7.180000,7.180000,100700
2016-03-28,7.250000,7.530000,6.379000,6.570000,6.570000,60000
2016-04-04,6.760000,7.070000,6.400000,6.670000,6.670000,55500
2016-04-11,6.680000,7.128000,6.480000,6.630000,6.630000,59000
2016-04-18,6.840000,7.130000,6.350000,6.510000,6.510000,108500
2016-04-25,6.520000,7.080000,6.485000,6.780000,6.780000,134500
2016-05-02,6.730000,6.950000,6.390000,6.520000,6.520000,104200
2016-05-09,6.550000,6.930000,6.240000,6.600000,6.600000,150300
2016-05-16,6.550000,6.908000,6.254000,6.550000,6.550000,113000
2016-05-23,6.520000,6.770000,6.020000,6.430000,6.430000,99800
2016-05-30,6.430000,6.970000,6.190000,6.390000,6.390000,99800
2016-06-06,6.490000,6.590000,6.150000,6.560000,6.560000,86300
2016-06-13,6.510000,6.840000,6.290000,6.500000,6.500000,81200
2016-06-20,6.500000,6.960000,6.296000,6.500000,6.500000,61000
2016-06-27,6.510000,8.280000,6.420000,7.650000,7.650000,115900
2016-07-04,7.710000,8.420000,6.990000,7.280000,7.280000,56300
2016-07-11,7.420000,8.032000,6.860000,7.150000,7.150000,35400
2016-07-18,7.200000,7.510000,6.696000,7.260000,7.260000,66600
2016-07-25,7.270000,8.240000,7.200000,8.240000,8.240000,10300
2016-08-01,8.220000,8.220000,7.450000,7.650000,7.650000,18800
2016-08-08,7.480000,8.150000,7.290000,7.570000,7.570000,20300
2016-08-15,7.730000,8.150000,7.490000,7.930000,7.930000,75500
2016-08-22,7.820000,8.400000,7.450000,7.502000,7.502000,357600
2016-08-29,7.610000,7.900000,7.180000,7.900000,7.900000,27500
2016-09-05,7.770000,8.190000,7.510000,7.620000,7.620000,12900
2016-09-12,7.850000,9.020000,7.850000,8.290000,8.290000,90800
2016-09-19,7.900000,8.460000,7.710000,7.870000,7.870000,79600
2016-09-26,7.620000,8.330000,7.600000,8.330000,8.330000,95200
2016-10-03,8.600000,8.600000,8.040000,8.070000,8.070000,18400
2016-10-10,8.400000,8.410000,8.010000,8.400000,8.400000,20600
2016-10-17,8.068000,8.440000,7.904000,8.240000,8.240000,59600
2016-10-24,7.499000,8.250000,7.499000,7.540000,7.540000,13700
2016-10-31,7.500000,7.925000,7.250000,7.900000,7.900000,23300
2016-11-07,8.000000,8.400000,7.250000,7.550000,7.550000,29600
2016-11-14,7.550000,8.023000,7.350000,7.475000,7.475000,62500
2016-11-21,7.400000,7.425000,7.150000,7.150000,7.150000,72100
2016-11-28,7.200000,7.800000,7.000000,7.150000,7.150000,167400
2016-12-05,7.227000,7.850000,6.875000,7.150000,7.150000,69400
2016-12-12,7.080000,7.150000,6.650000,7.100000,7.100000,39800
2016-12-19,7.100000,7.325000,6.850000,6.905000,6.905000,54200
2016-12-26,7.000000,8.150000,6.750000,8.150000,8.150000,51400
2017-01-02,8.116000,8.150000,7.000000,7.100000,7.100000,251000
2017-01-09,7.150000,7.300000,6.850000,7.000000,7.000000,9800
2017-01-16,6.950000,7.350000,6.905000,7.050000,7.050000,8000
2017-01-23,6.950000,7.850000,6.650000,6.950000,6.950000,45000
2017-01-30,7.000000,7.600000,7.000000,7.000000,7.000000,12000
2017-02-06,6.950000,7.450000,6.950000,7.200000,7.200000,29000
2017-02-13,7.450000,7.550000,7.000000,7.350000,7.350000,78500
2017-02-20,7.300000,7.350000,7.200000,7.250000,7.250000,36900
2017-02-27,7.271000,7.271000,6.700000,6.700000,6.700000,46600
2017-03-06,6.800000,7.300000,6.550000,6.800000,6.800000,38400
2017-03-13,6.750000,7.500000,6.750000,7.350000,7.350000,47800
2017-03-20,7.350000,7.350000,7.150000,7.250000,7.250000,9500
2017-03-27,7.250000,7.350000,7.150000,7.300000,7.300000,10500
2017-04-03,7.250000,7.600000,7.100000,7.400000,7.400000,31700
2017-04-10,7.500000,8.200000,7.500000,8.050000,8.050000,21800
2017-04-17,8.050000,8.050000,7.655000,7.800000,7.800000,9300
2017-04-24,7.900000,7.900000,7.800000,7.900000,7.900000,1200
2017-05-01,7.766000,7.950000,7.600000,7.850000,7.850000,56600
2017-05-08,7.850000,8.000000,7.750000,7.850000,7.850000,12600
2017-05-15,7.700000,8.000000,7.680000,7.680000,7.680000,22200
2017-05-22,7.550000,7.550000,6.950000,7.200000,7.200000,297000
2017-05-29,7.250000,7.300000,6.850000,6.850000,6.850000,5100
2017-06-05,7.050000,7.089000,6.855000,6.875000,6.875000,6500
2017-06-12,6.860000,6.919000,6.750000,6.750000,6.750000,5900
2017-06-19,6.800000,7.000000,6.800000,6.950000,6.950000,4500
2017-06-26,7.000000,7.400000,6.900000,6.900000,6.900000,38100
2017-07-03,7.450000,7.450000,6.850000,7.050000,7.050000,38000
2017-07-10,6.880000,7.250000,6.880000,7.100000,7.100000,17400
2017-07-17,6.900000,6.900000,6.500000,6.745000,6.745000,75700
2017-07-24,6.750000,7.200000,6.570000,7.133000,7.133000,8000
2017-07-31,7.133000,7.200000,7.120000,7.200000,7.200000,400
2017-08-07,6.820000,7.150000,6.800000,7.150000,7.150000,9400
2017-08-14,6.855000,6.900000,6.405000,6.600000,6.600000,8500
2017-08-21,6.505000,6.600000,6.500000,6.510000,6.510000,5900
2017-08-28,6.300000,6.600000,6.100000,6.400000,6.400000,18500
2017-09-04,6.305000,6.850000,6.050000,6.800000,6.800000,124800
2017-09-11,6.825000,7.000000,6.400000,6.400000,6.400000,20500
2017-09-18,6.650000,6.650000,6.100000,6.250000,6.250000,16400
2017-09-25,6.050000,6.156000,6.050000,6.055000,6.055000,2800
2017-10-02,6.000000,7.200000,6.000000,7.150000,7.150000,29400
2017-10-09,7.100000,7.200000,7.100000,7.100000,7.100000,9100
2017-10-16,7.040000,7.040000,6.450000,6.605000,6.605000,8000
2017-10-23,6.600000,6.800000,6.464000,6.671000,6.671000,5100
2017-10-30,6.461000,6.640000,6.205000,6.205000,6.205000,6400
2017-11-06,6.205000,6.450000,6.205000,6.250000,6.250000,3100
2017-11-13,6.350000,6.350000,5.850000,6.100000,6.100000,14400
2017-11-20,6.000000,6.000000,5.550000,5.800000,5.800000,50300
2017-11-27,5.900000,6.050000,5.510000,6.050000,6.050000,53100
2017-12-04,6.000000,6.140000,5.500000,5.800000,5.800000,92400
2017-12-11,5.800000,5.900000,5.500000,5.650000,5.650000,42400
2017-12-18,5.750000,5.923000,5.500000,5.800000,5.800000,134500
2017-12-25,5.400000,5.840000,5.300000,5.800000,5.800000,91500
2018-01-01,5.800000,6.100000,5.575000,5.900000,5.900000,18600
2018-01-08,6.179000,6.179000,5.800000,6.050000,6.050000,25500
2018-01-15,5.945000,6.200000,5.800000,6.150000,6.150000,17300
2018-01-22,6.100000,6.500000,6.050000,6.050000,6.050000,40300
2018-01-29,6.050000,7.200000,5.900000,6.000000,6.000000,14800
2018-02-05,5.650000,7.050000,5.400000,5.650000,5.650000,74400
2018-02-12,5.748000,6.150000,5.400000,5.850000,5.850000,37200
2018-02-19,5.800000,5.850000,5.000000,5.150000,5.150000,61800
2018-02-26,5.200000,5.750000,5.050000,5.750000,5.750000,23000
2018-03-05,5.700000,6.850000,5.650000,6.300000,6.300000,46000
2018-03-12,6.760000,6.845000,5.900000,6.000000,6.000000,37900
2018-03-19,5.805000,6.395000,5.400000,6.200000,6.200000,26000
2018-03-26,5.750000,6.025000,5.400000,5.850000,5.850000,40700
2018-04-02,5.855000,6.150000,5.800000,5.800000,5.800000,11300
2018-04-09,5.800000,5.800000,5.800000,5.800000,5.800000,1700
2018-04-16,5.800000,6.000000,5.650000,6.000000,6.000000,13200
2018-04-23,6.000000,6.000000,5.500000,5.750000,5.750000,14400
2018-04-30,5.750000,5.850000,5.500000,5.740000,5.740000,15800
2018-05-07,5.700000,6.050000,5.625000,6.050000,6.050000,13200
2018-05-14,6.000000,6.250000,5.500000,5.900000,5.900000,17200
2018-05-21,5.900000,6.400000,5.800000,6.340000,6.340000,6400
2018-05-28,6.150000,6.300000,5.850000,6.100000,6.100000,5500
2018-06-04,6.050000,6.400000,6.000000,6.310000,6.310000,20000
