Date,Open,High,Low,Close,Adj Close,Volume
2005-04-11,6.312500,6.750000,6.312500,6.750000,5.947670,3200
2005-04-18,6.750000,8.312500,6.750000,7.812500,6.883877,103600
2005-04-25,7.812500,9.375000,7.812500,8.500000,7.489660,176000
2005-05-02,8.500000,8.500000,7.500000,7.612500,6.707651,1230000
2005-05-09,7.500000,7.500000,6.750000,7.212500,6.355196,1708400
2005-05-16,7.250000,7.262500,6.987500,7.000000,6.167955,253600
2005-05-23,7.000000,7.000000,6.225000,6.375000,5.617243,46400
2005-05-30,7.000000,7.000000,6.875000,7.000000,6.167955,8800
2005-06-06,7.000000,7.562500,7.000000,7.562500,6.663593,200000
2005-06-13,7.562500,7.562500,7.562500,7.562500,6.663593,0
2005-06-20,7.562500,7.562500,6.500000,7.250000,6.388239,3200
2005-06-27,6.750000,7.062500,6.500000,6.775000,5.969698,488000
2005-07-04,6.750000,6.750000,6.750000,6.750000,5.947670,190800
2005-07-11,6.750000,6.812500,6.750000,6.812500,6.002742,502000
2005-07-18,6.812500,6.812500,6.687500,6.762500,5.958683,613200
2005-07-25,6.750000,6.760000,6.750000,6.760000,5.956481,1200
2005-08-01,6.760000,6.775000,6.700000,6.750000,5.947670,39600
2005-08-08,6.750000,6.750000,6.750000,6.750000,5.947670,1200
2005-08-15,6.750000,6.762500,6.750000,6.762500,5.958683,400
2005-08-22,6.750000,6.812500,6.625000,6.625000,5.837527,17600
2005-08-29,6.562500,8.500000,6.375000,8.250000,7.269375,38400
2005-09-05,8.250000,8.250000,6.750000,6.755000,5.952075,2433200
2005-09-12,7.500000,8.625000,7.500000,8.500000,7.489660,680400
2005-09-19,7.875000,8.525000,7.875000,8.500000,7.489660,876400
2005-09-26,8.250000,8.500000,8.000000,8.475000,7.467632,181600
2005-10-03,8.475000,8.500000,8.462500,8.462500,7.456617,16400
2005-10-10,7.500000,7.500000,7.500000,7.500000,6.608521,18000
2005-10-17,7.500000,8.000000,7.437500,7.500000,6.608521,41600
2005-10-24,7.500000,7.500000,7.000000,7.500000,6.608521,142800
2005-10-31,7.500000,7.900000,7.250000,7.500000,6.608521,285200
2005-11-07,7.750000,7.912500,7.737500,7.737500,6.817792,1125200
2005-11-14,7.725000,7.750000,7.725000,7.737500,6.817792,324000
2005-11-21,7.737500,7.737500,7.737500,7.737500,6.817792,4000
2005-11-28,7.725000,8.487500,7.725000,8.250000,7.269375,260400
2005-12-05,8.250000,8.432500,7.655000,7.737500,6.817792,57200
2005-12-12,7.810000,8.372500,7.745000,7.987500,7.038077,294400
2005-12-19,8.000000,8.250000,7.977500,8.102500,7.139406,260400
2005-12-26,8.000000,8.025000,7.937500,7.975000,7.027062,102800
2006-01-02,8.100000,8.745000,7.940000,8.500000,7.489660,968400
2006-01-09,8.500000,8.875000,8.437500,8.542500,7.527106,850000
2006-01-16,8.500000,8.800000,8.500000,8.685000,7.652669,573600
2006-01-23,8.625000,8.625000,8.375000,8.537500,7.522703,1952000
2006-01-30,8.625000,9.062500,8.375000,8.955000,7.890575,849200
2006-02-06,8.920000,9.062500,8.527500,8.972500,7.905997,369600
2006-02-13,8.932500,9.697500,8.757500,9.250000,8.150509,928000
2006-02-20,9.375000,9.837500,9.082500,9.837500,8.668176,851200
2006-02-27,9.875000,10.000000,9.680000,9.860000,8.688004,974400
2006-03-06,9.785000,10.180000,9.522500,9.942500,8.760697,494400
2006-03-13,9.890000,9.937500,9.762500,9.800000,8.635138,305200
2006-03-20,9.875000,10.062500,9.687500,9.997500,8.809160,237200
2006-03-27,9.662500,10.000000,9.450000,9.565000,8.428067,391600
2006-04-03,9.700000,9.720000,9.290000,9.312500,8.205580,247200
2006-04-10,9.452500,10.182500,9.302500,10.065000,8.868637,271200
2006-04-17,9.875000,10.142500,9.590000,9.952500,8.769506,344000
2006-04-24,9.635000,10.525000,9.635000,10.525000,9.273961,1350000
2006-05-01,10.330000,10.897500,10.150000,10.737500,9.461202,198000
2006-05-08,10.750000,11.375000,10.530000,10.952500,9.650646,326800
2006-05-15,10.950000,10.975000,10.387500,10.617500,9.355465,406400
2006-05-22,10.557500,10.615000,9.302500,9.660000,8.511779,2056400
2006-05-29,9.560000,9.900000,9.375000,9.597500,8.456708,518400
2006-06-05,9.572500,9.967500,8.970000,9.367500,8.254045,832800
2006-06-12,9.477500,9.725000,9.245000,9.547500,8.412647,250400
2006-06-19,9.637500,9.722500,9.250000,9.540000,8.406037,568400
2006-06-26,9.635000,9.635000,8.800000,8.950000,7.886170,5025600
2006-07-03,8.887500,9.725000,8.395000,8.542500,7.527106,469600
2006-07-10,8.507500,8.872500,8.345000,8.747500,7.707738,800800
2006-07-17,8.750000,8.762500,8.195000,8.332500,7.342069,1071200
