Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,1.625000,2.187500,1.375000,1.937500,1.937500,552600
2000-01-08,1.968750,2.125000,1.687500,1.968750,1.968750,282800
2000-01-15,1.843750,2.000000,1.625000,1.625000,1.625000,228300
2000-01-22,1.625000,1.875000,1.500000,1.593750,1.593750,223300
2000-01-29,1.671875,1.750000,1.312500,1.500000,1.500000,294800
2000-02-05,1.562500,2.000000,1.500000,1.812500,1.812500,705700
2000-02-12,2.000000,2.000000,1.625000,1.750000,1.750000,204400
2000-02-19,1.781250,1.812500,1.625000,1.750000,1.750000,180200
2000-02-26,1.750000,1.968750,1.625000,1.687500,1.687500,314200
2000-03-04,1.687500,1.750000,1.312500,1.625000,1.625000,395700
2000-03-11,1.625000,1.750000,1.437500,1.625000,1.625000,349400
2000-03-18,1.625000,2.250000,1.500000,1.875000,1.875000,548400
2000-03-25,2.000000,2.937500,1.625000,1.875000,1.875000,1062200
2000-04-01,2.125000,2.250000,1.625000,1.750000,1.750000,253100
2000-04-08,1.750000,1.843750,1.000000,1.250000,1.250000,344200
2000-04-15,1.156250,1.718750,1.125000,1.625000,1.625000,290500
2000-04-22,1.500000,1.500000,1.250000,1.250000,1.250000,121800
2000-04-29,1.250000,1.375000,1.000000,1.125000,1.125000,172600
2000-05-06,1.187500,1.343750,1.093750,1.187500,1.187500,122900
2000-05-13,1.250000,1.781250,0.687500,1.062500,1.062500,523400
2000-05-20,1.187500,1.312500,0.750000,1.000000,1.000000,286800
2000-05-27,1.000000,1.125000,0.937500,1.125000,1.125000,157700
2000-06-03,1.125000,1.125000,0.937500,1.031250,1.031250,181700
2000-06-10,1.031250,1.250000,1.031250,1.125000,1.125000,178300
2000-06-17,1.031250,1.250000,1.031250,1.250000,1.250000,199500
2000-06-24,1.171875,1.187500,1.000000,1.031250,1.031250,232000
2000-07-01,1.125000,1.500000,1.031250,1.312500,1.312500,203700
2000-07-08,1.187500,1.375000,1.125000,1.312500,1.312500,207900
2000-07-15,1.312500,1.875000,1.312500,1.625000,1.625000,348400
2000-07-22,1.625000,1.843750,1.500000,1.500000,1.500000,57500
2000-07-29,1.468750,1.625000,1.250000,1.281250,1.281250,97600
2000-08-05,1.281250,1.312500,1.062500,1.250000,1.250000,122000
2000-08-12,1.312500,1.875000,1.312500,1.625000,1.625000,379600
2000-08-19,1.500000,1.937500,1.375000,1.625000,1.625000,159900
2000-08-26,1.562500,1.937500,1.500000,1.718750,1.718750,193600
2000-09-02,1.625000,1.750000,1.625000,1.750000,1.750000,103100
2000-09-09,1.750000,1.750000,1.453125,1.593750,1.593750,166300
2000-09-16,1.625000,1.625000,1.437500,1.625000,1.625000,142300
2000-09-23,1.687500,1.812500,1.562500,1.687500,1.687500,175900
2000-09-30,1.843750,1.937500,1.687500,1.875000,1.875000,363300
2000-10-07,1.875000,1.875000,1.625000,1.625000,1.625000,176300
2000-10-14,1.625000,1.750000,1.562500,1.562500,1.562500,102700
2000-10-21,1.578125,1.843750,1.562500,1.687500,1.687500,128800
2000-10-28,1.625000,1.875000,1.562500,1.625000,1.625000,180700
2000-11-04,1.718750,1.750000,1.562500,1.625000,1.625000,64200
2000-11-11,1.625000,1.750000,1.125000,1.671875,1.671875,308000
2000-11-18,1.703125,1.812500,1.562500,1.687500,1.687500,403100
2000-11-25,1.578125,1.875000,1.468750,1.625000,1.625000,230300
2000-12-02,1.625000,1.750000,1.531250,1.531250,1.531250,214600
2000-12-09,1.562500,1.562500,1.437500,1.500000,1.500000,186500
2000-12-16,1.500000,1.500000,1.187500,1.375000,1.375000,221100
2000-12-23,1.218750,1.562500,1.218750,1.437500,1.437500,195700
2000-12-30,1.500000,1.687500,1.437500,1.687500,1.687500,68400
2001-01-06,1.687500,1.937500,1.687500,1.812500,1.812500,244000
2001-01-13,1.812500,1.937500,1.781250,1.875000,1.875000,103800
2001-01-20,1.875000,1.968750,1.750000,1.843750,1.843750,174100
2001-01-27,1.812500,2.000000,1.750000,1.875000,1.875000,138100
2001-02-03,1.875000,1.968750,1.750000,1.812500,1.812500,58400
2001-02-10,1.812500,1.937500,1.781250,1.875000,1.875000,54400
2001-02-17,1.875000,2.000000,1.625000,1.843750,1.843750,46900
2001-02-24,1.843750,1.937500,1.781250,1.875000,1.875000,29400
2001-03-03,1.937500,1.937500,1.625000,1.750000,1.750000,45000
2001-03-10,1.703125,1.750000,1.250000,1.531250,1.531250,55500
2001-03-17,1.593750,2.187500,1.562500,1.812500,1.812500,62100
2001-03-24,1.812500,2.125000,1.765625,1.875000,1.875000,64800
2001-03-31,1.875000,1.875000,0.937500,1.625000,1.625000,97100
2001-04-07,1.620000,1.860000,1.550000,1.750000,1.750000,88000
2001-04-14,1.750000,1.940000,1.680000,1.840000,1.840000,69700
2001-04-21,1.830000,1.990000,1.830000,1.930000,1.930000,125300
2001-04-28,1.910000,1.910000,1.540000,1.800000,1.800000,100700
2001-05-05,1.860000,1.860000,1.700000,1.750000,1.750000,34100
2001-05-12,1.720000,1.820000,1.680000,1.750000,1.750000,62100
2001-05-19,1.750000,1.850000,1.750000,1.770000,1.770000,61400
2001-05-26,1.830000,1.830000,1.750000,1.750000,1.750000,15200
2001-06-02,1.820000,1.830000,1.720000,1.750000,1.750000,40700
2001-06-09,1.820000,1.950000,1.760000,1.940000,1.940000,88800
2001-06-16,1.940000,1.940000,1.580000,1.740000,1.740000,122000
2001-06-23,1.700000,1.770000,1.510000,1.750000,1.750000,25200
2001-06-30,1.750000,1.840000,1.500000,1.500000,1.500000,43500
2001-07-07,1.480000,1.790000,1.190000,1.700000,1.700000,168100
2001-07-14,1.630000,1.730000,1.570000,1.570000,1.570000,34200
2001-07-21,1.600000,1.700000,1.510000,1.550000,1.550000,64600
2001-07-28,1.600000,1.600000,1.250000,1.500000,1.500000,71500
2001-08-04,1.470000,1.540000,1.310000,1.410000,1.410000,70600
2001-08-11,1.450000,1.500000,1.360000,1.370000,1.370000,25500
2001-08-18,1.320000,1.440000,1.300000,1.440000,1.440000,58000
2001-08-25,1.310000,1.500000,1.250000,1.350000,1.350000,79400
2001-09-01,1.350000,1.450000,1.350000,1.400000,1.400000,22300
2001-09-08,1.300000,1.450000,1.270000,1.450000,1.450000,20900
2001-09-15,1.450000,1.620000,1.210000,1.270000,1.270000,489400
2001-09-22,1.270000,1.480000,1.010000,1.220000,1.220000,186700
2001-09-29,1.200000,1.250000,1.110000,1.240000,1.240000,86600
2001-10-06,1.240000,1.350000,1.160000,1.350000,1.350000,162100
2001-10-13,1.150000,1.330000,1.100000,1.200000,1.200000,33200
2001-10-20,1.200000,1.500000,1.150000,1.300000,1.300000,112900
2001-10-27,1.340000,1.450000,1.150000,1.350000,1.350000,70900
2001-11-03,1.390000,1.600000,1.350000,1.590000,1.590000,16500
2001-11-10,1.460000,1.950000,1.410000,1.800000,1.800000,77600
2001-11-17,1.910000,2.140000,1.700000,1.900000,1.900000,108700
2001-11-24,1.900000,1.980000,1.790000,1.950000,1.950000,70700
2001-12-01,2.000000,2.120000,1.900000,2.060000,2.060000,53600
2001-12-08,1.980000,2.000000,1.600000,1.760000,1.760000,64700
2001-12-15,1.700000,1.890000,1.530000,1.870000,1.870000,28400
2001-12-22,1.720000,1.890000,1.700000,1.700000,1.700000,67700
2001-12-29,1.700000,1.900000,1.350000,1.600000,1.600000,59500
2002-01-05,1.570000,1.700000,1.260000,1.520000,1.520000,85100
2002-01-12,1.540000,1.730000,1.510000,1.650000,1.650000,43300
2002-01-19,1.710000,1.750000,1.560000,1.750000,1.750000,32700
2002-01-26,1.750000,1.840000,1.600000,1.600000,1.600000,4500
2002-02-02,1.600000,1.600000,1.400000,1.500000,1.500000,87100
2002-02-09,1.500000,1.500000,1.430000,1.430000,1.430000,39200
2002-02-16,1.390000,1.410000,1.110000,1.350000,1.350000,20500
2002-02-23,1.150000,1.550000,1.150000,1.540000,1.540000,41100
2002-03-02,1.500000,1.800000,1.450000,1.600000,1.600000,201500
2002-03-09,1.600000,2.050000,1.600000,2.000000,2.000000,546500
2002-03-16,1.710000,2.080000,1.690000,1.900000,1.900000,323500
2002-03-23,1.910000,1.910000,1.760000,1.890000,1.890000,69000
2002-03-30,1.780000,1.940000,1.720000,1.830000,1.830000,69100
2002-04-06,1.880000,2.500000,1.780000,2.250000,2.250000,146200
2002-04-13,2.100000,3.810000,2.100000,3.000000,3.000000,779100
2002-04-20,3.000000,3.090000,2.050000,2.260000,2.260000,280700
2002-04-27,2.220000,2.550000,2.130000,2.400000,2.400000,113900
2002-05-04,2.250000,2.430000,2.060000,2.300000,2.300000,58800
2002-05-11,2.380000,2.440000,2.050000,2.300000,2.300000,76400
2002-05-18,2.420000,2.850000,2.130000,2.780000,2.780000,111700
2002-05-25,2.980000,3.100000,2.530000,2.660000,2.660000,71200
2002-06-01,2.530000,2.830000,2.330000,2.750000,2.750000,36600
2002-06-08,2.450000,2.600000,2.350000,2.590000,2.590000,23200
2002-06-15,2.490000,2.780000,2.360000,2.780000,2.780000,56100
2002-06-22,2.610000,3.000000,2.310000,2.650000,2.650000,32500
2002-06-29,2.380000,2.650000,2.120000,2.160000,2.160000,30900
2002-07-06,2.110000,2.500000,1.200000,1.500000,1.500000,77900
2002-07-13,1.620000,1.840000,1.400000,1.620000,1.620000,86700
2002-07-20,1.670000,1.820000,1.500000,1.600000,1.600000,46600
2002-07-27,1.820000,1.820000,1.600000,1.600000,1.600000,61500
2002-08-03,1.500000,2.260000,1.200000,1.800000,1.800000,109800
2002-08-10,1.830000,2.000000,1.600000,1.810000,1.810000,99000
2002-08-17,1.940000,2.200000,1.850000,1.910000,1.910000,26100
2002-08-24,1.900000,2.020000,1.850000,1.850000,1.850000,35800
2002-08-31,1.980000,2.000000,1.860000,1.900000,1.900000,17100
2002-09-07,1.900000,1.940000,1.800000,1.850000,1.850000,38600
2002-09-14,1.850000,1.950000,1.810000,1.880000,1.880000,23700
2002-09-21,1.850000,2.030000,1.690000,1.800000,1.800000,126400
2002-09-28,1.770000,1.810000,1.510000,1.550000,1.550000,58000
2002-10-05,1.650000,1.900000,1.560000,1.900000,1.900000,65800
2002-10-12,1.910000,2.030000,1.680000,1.680000,1.680000,31600
2002-10-19,1.750000,2.100000,1.710000,1.900000,1.900000,77300
2002-10-26,2.070000,2.070000,1.710000,1.950000,1.950000,69200
2002-11-02,1.940000,2.100000,1.760000,2.000000,2.000000,73000
2002-11-09,1.950000,2.080000,1.900000,2.020000,2.020000,58800
2002-11-16,2.080000,2.500000,2.040000,2.150000,2.150000,43400
2002-11-23,2.190000,2.480000,2.100000,2.180000,2.180000,16500
2002-11-30,2.190000,2.220000,2.010000,2.050000,2.050000,25600
2002-12-07,2.060000,2.200000,2.010000,2.100000,2.100000,26300
2002-12-14,2.060000,2.110000,2.010000,2.100000,2.100000,38300
2002-12-21,2.070000,2.200000,2.010000,2.080000,2.080000,18900
2002-12-28,2.070000,2.150000,1.820000,2.020000,2.020000,41400
2003-01-04,2.120000,2.200000,1.550000,1.860000,1.860000,37400
2003-01-11,1.860000,1.950000,1.850000,1.910000,1.910000,22000
2003-01-18,1.850000,2.100000,1.810000,1.850000,1.850000,22800
2003-01-25,1.850000,1.850000,1.600000,1.700000,1.700000,14100
2003-02-01,1.690000,1.990000,1.690000,1.870000,1.870000,55700
2003-02-08,1.820000,1.990000,1.820000,1.900000,1.900000,15400
2003-02-15,1.900000,1.950000,1.610000,1.850000,1.850000,14800
2003-02-22,1.900000,1.950000,1.640000,1.750000,1.750000,104600
2003-03-01,1.800000,1.850000,1.700000,1.700000,1.700000,14600
2003-03-08,1.740000,1.760000,1.600000,1.690000,1.690000,53000
2003-03-15,1.650000,1.730000,1.500000,1.600000,1.600000,30200
2003-03-22,1.600000,1.660000,1.520000,1.620000,1.620000,26300
2003-03-29,1.690000,1.730000,1.630000,1.700000,1.700000,173500
2003-04-05,1.700000,1.700000,1.650000,1.700000,1.700000,21800
2003-04-12,1.650000,1.700000,1.650000,1.690000,1.690000,40000
2003-04-19,1.750000,1.750000,1.650000,1.700000,1.700000,69700
2003-04-26,1.690000,1.700000,1.650000,1.690000,1.690000,58500
2003-05-03,1.700000,2.250000,1.650000,1.920000,1.920000,306500
2003-05-10,1.920000,2.200000,1.770000,2.200000,2.200000,260300
2003-05-17,2.100000,2.890000,2.100000,2.760000,2.760000,347300
2003-05-24,2.950000,2.950000,2.430000,2.580000,2.580000,204400
2003-05-31,2.480000,2.720000,2.030000,2.030000,2.030000,350400
2003-06-07,2.170000,2.730000,2.000000,2.650000,2.650000,168500
2003-06-14,2.740000,3.450000,2.610000,3.330000,3.330000,309700
2003-06-21,3.390000,3.390000,2.650000,2.880000,2.880000,168100
2003-06-28,2.880000,2.940000,2.740000,2.780000,2.780000,56100
2003-07-05,2.760000,3.160000,2.690000,2.910000,2.910000,114900
2003-07-12,2.910000,3.100000,2.550000,3.020000,3.020000,203700
2003-07-19,2.880000,3.200000,2.860000,3.080000,3.080000,170800
2003-07-26,3.210000,3.700000,3.190000,3.280000,3.280000,534000
2003-08-02,3.250000,3.280000,2.480000,2.910000,2.910000,473300
2003-08-09,2.710000,3.040000,2.570000,3.000000,3.000000,122200
2003-08-16,2.950000,3.140000,2.840000,2.960000,2.960000,302000
2003-08-23,3.150000,3.210000,2.940000,3.000000,3.000000,113300
2003-08-30,3.000000,3.060000,2.830000,2.970000,2.970000,73700
2003-09-06,2.980000,3.030000,2.830000,3.010000,3.010000,135600
2003-09-13,2.900000,3.140000,2.900000,2.920000,2.920000,126300
2003-09-20,2.920000,3.070000,2.830000,2.830000,2.830000,200200
2003-09-27,2.850000,3.000000,2.810000,2.850000,2.850000,105200
2003-10-04,2.810000,2.990000,2.750000,2.990000,2.990000,65400
2003-10-11,2.980000,3.500000,2.860000,3.320000,3.320000,122000
2003-10-18,3.300000,3.500000,3.210000,3.450000,3.450000,120600
2003-10-25,3.440000,3.550000,2.920000,3.000000,3.000000,271100
2003-11-01,2.990000,3.500000,2.900000,3.500000,3.500000,156200
2003-11-08,3.500000,3.850000,3.400000,3.850000,3.850000,213700
2003-11-15,3.900000,4.180000,3.650000,3.920000,3.920000,141500
2003-11-22,3.990000,4.030000,3.750000,3.760000,3.760000,66000
2003-11-29,3.700000,3.920000,3.670000,3.790000,3.790000,74500
2003-12-06,3.790000,3.850000,3.670000,3.760000,3.760000,54700
2003-12-13,3.670000,3.910000,3.520000,3.650000,3.650000,70300
2003-12-20,3.890000,3.890000,3.700000,3.740000,3.740000,87100
2003-12-27,3.790000,3.790000,3.530000,3.640000,3.640000,101000
2004-01-03,3.630000,3.940000,3.500000,3.760000,3.760000,117900
2004-01-10,3.740000,3.750000,3.510000,3.750000,3.750000,111800
2004-01-17,3.780000,3.780000,3.520000,3.520000,3.520000,38000
2004-01-24,3.520000,3.520000,3.120000,3.290000,3.290000,107400
2004-01-31,3.420000,3.420000,3.120000,3.300000,3.300000,26700
2004-02-07,3.360000,3.700000,3.120000,3.570000,3.570000,52400
2004-02-14,3.390000,3.750000,3.390000,3.680000,3.680000,58900
2004-02-21,3.680000,3.960000,3.400000,3.450000,3.450000,112300
2004-02-28,3.400000,3.800000,3.250000,3.620000,3.620000,76300
2004-03-06,3.620000,3.730000,3.370000,3.490000,3.490000,37400
2004-03-13,3.370000,3.490000,3.000000,3.080000,3.080000,81800
2004-03-20,3.060000,3.500000,2.940000,3.210000,3.210000,70600
2004-03-27,3.250000,3.500000,3.060000,3.420000,3.420000,81800
2004-04-03,3.150000,3.720000,3.150000,3.720000,3.720000,107100
2004-04-10,3.820000,4.970000,3.820000,4.100000,4.100000,206100
2004-04-17,4.250000,4.760000,3.800000,4.010000,4.010000,102500
2004-04-24,3.800000,4.400000,3.660000,4.180000,4.180000,50800
2004-05-01,4.260000,4.600000,4.000000,4.490000,4.490000,111900
2004-05-08,4.410000,4.680000,4.150000,4.320000,4.320000,115100
2004-05-15,4.290000,4.650000,4.150000,4.390000,4.390000,97800
2004-05-22,4.280000,4.650000,4.150000,4.440000,4.440000,63900
2004-05-29,4.500000,4.620000,4.370000,4.370000,4.370000,17400
2004-06-05,4.440000,4.450000,4.260000,4.420000,4.420000,38500
2004-06-12,4.330000,4.450000,4.110000,4.350000,4.350000,66700
