Date,Open,High,Low,Close,Adj Close,Volume
2014-10-27,3.000000,3.000000,3.000000,3.000000,3.000000,2500
2014-11-03,3.000000,3.000000,3.000000,3.000000,3.000000,100
2014-11-10,3.000000,4.650000,3.000000,3.500000,3.500000,14400
2014-11-17,3.250000,3.300000,3.010000,3.100000,3.100000,23600
2014-11-24,3.300000,3.300000,2.950000,3.000000,3.000000,56000
2014-12-01,3.000000,4.950000,3.000000,4.950000,4.950000,76800
2014-12-08,4.000000,4.000000,3.500000,3.700000,3.700000,61700
2014-12-15,3.700000,3.700000,3.050000,3.300000,3.300000,61000
2014-12-22,3.120000,3.150000,2.710000,2.720000,2.720000,28900
2014-12-29,2.990000,3.200000,2.720000,2.840000,2.840000,19300
2015-01-05,2.840000,3.150000,2.580000,3.010000,3.010000,74500
2015-01-12,3.010000,3.010000,2.380000,2.450000,2.450000,44700
2015-01-19,2.260000,2.500000,2.000000,2.240000,2.240000,20100
2015-01-26,2.300000,2.450000,2.030000,2.100000,2.100000,26700
2015-02-02,2.100000,2.200000,2.010000,2.054000,2.054000,43500
2015-02-09,2.100000,2.220000,2.034000,2.120000,2.120000,40200
2015-02-16,2.120000,2.220000,2.100000,2.150000,2.150000,48700
2015-02-23,2.170000,2.550000,2.000000,2.500000,2.500000,162800
2015-03-02,2.550000,3.100000,2.300000,3.000000,3.000000,57100
2015-03-09,3.050000,3.250000,2.900000,3.080000,3.080000,75200
2015-03-16,3.100000,3.100000,2.850000,2.990000,2.990000,14900
2015-03-23,2.900000,2.900000,2.750000,2.770000,2.770000,54400
2015-03-30,2.900000,2.900000,2.630000,2.900000,2.900000,50200
2015-04-06,2.900000,3.000000,2.750000,2.900000,2.900000,135200
2015-04-13,2.800000,3.880000,2.630000,3.170000,3.170000,561500
2015-04-20,3.030000,3.750000,2.630000,3.500000,3.500000,466100
2015-04-27,3.500000,3.500000,2.800000,3.160000,3.160000,326900
2015-05-04,3.260000,3.850000,2.850000,3.630000,3.630000,502200
2015-05-11,3.670000,4.150000,3.400000,4.000000,4.000000,325900
2015-05-18,4.100000,4.310000,3.770000,3.850000,3.850000,365300
2015-05-25,3.840000,3.880000,3.110000,3.310000,3.310000,265900
2015-06-01,3.290000,3.440000,2.760000,3.140000,3.140000,575500
2015-06-08,3.150000,3.750000,2.900000,3.150000,3.150000,1610500
2015-06-15,3.180000,3.640000,3.060000,3.170000,3.170000,1267900
2015-06-22,3.200000,3.330000,3.070000,3.250000,3.250000,531400
2015-06-29,3.240000,3.240000,2.900000,3.040000,3.040000,223900
2015-07-06,2.980000,3.120000,2.920000,2.990000,2.990000,118200
2015-07-13,3.000000,3.000000,2.760000,2.900000,2.900000,308700
2015-07-20,2.880000,2.970000,2.550000,2.580000,2.580000,214300
2015-07-27,2.560000,2.560000,1.880000,1.950000,1.950000,1484500
2015-08-03,2.000000,2.260000,1.840000,1.870000,1.870000,869100
2015-08-10,1.840000,2.101000,1.800000,1.850000,1.850000,548500
2015-08-17,1.900000,4.220000,1.860000,2.050000,2.050000,46773500
2015-08-24,2.030000,2.030000,1.770000,1.920000,1.920000,2424000
2015-08-31,2.020000,2.020000,1.790000,1.860000,1.860000,926800
2015-09-07,1.980000,1.990000,1.790000,1.990000,1.990000,1650700
2015-09-14,2.010000,2.270000,1.950000,2.240000,2.240000,1437000
2015-09-21,2.290000,2.290000,1.880000,1.980000,1.980000,841900
2015-09-28,1.990000,1.990000,1.449000,1.630000,1.630000,1309400
2015-10-05,1.650000,1.880000,1.650000,1.880000,1.880000,347100
2015-10-12,1.890000,1.910000,1.650000,1.760000,1.760000,332200
2015-10-19,1.750000,2.550000,1.690000,1.710000,1.710000,4603300
2015-10-26,1.720000,1.780000,1.620000,1.630000,1.630000,542600
2015-11-02,1.710000,1.810000,1.620000,1.680000,1.680000,343900
2015-11-09,1.700000,1.780000,1.640000,1.700000,1.700000,403700
2015-11-16,1.690000,1.750000,1.650000,1.700000,1.700000,194100
2015-11-23,1.700000,1.860000,1.665000,1.800000,1.800000,673200
2015-11-30,1.800000,1.880000,1.650000,1.690000,1.690000,428900
2015-12-07,1.700000,1.820000,1.520000,1.580000,1.580000,875200
2015-12-14,1.580000,1.650000,1.500000,1.560000,1.560000,315900
2015-12-21,1.590000,1.680000,1.520000,1.620000,1.620000,273600
2015-12-28,1.640000,1.670000,1.580000,1.650000,1.650000,413200
2016-01-04,1.660000,1.660000,1.330000,1.440000,1.440000,467100
2016-01-11,1.440000,1.530000,1.080000,1.110000,1.110000,366300
2016-01-18,1.120000,1.560000,1.010000,1.500000,1.500000,401500
2016-01-25,1.500000,1.500000,1.240000,1.410000,1.410000,412200
2016-02-01,1.420000,1.585000,1.207000,1.250000,1.250000,292700
2016-02-08,1.260000,1.300000,1.010000,1.160000,1.160000,308800
2016-02-15,1.200000,1.470000,1.070000,1.380000,1.380000,311100
2016-02-22,1.600000,1.600000,1.230000,1.360000,1.360000,426100
2016-02-29,1.390000,1.710000,1.210000,1.650000,1.650000,324500
2016-03-07,1.710000,1.950000,1.630000,1.750000,1.750000,509600
2016-03-14,1.760000,1.850000,1.710000,1.770000,1.770000,232000
2016-03-21,1.800000,1.880000,1.750000,1.860000,1.860000,162300
2016-03-28,1.850000,1.880000,1.750000,1.800000,1.800000,157100
2016-04-04,1.780000,2.180000,1.780000,2.140000,2.140000,629200
2016-04-11,2.180000,2.730000,2.130000,2.230000,2.230000,1468300
2016-04-18,2.250000,2.440000,2.080000,2.380000,2.380000,452600
2016-04-25,2.410000,2.430000,2.210000,2.240000,2.240000,438300
2016-05-02,2.230000,2.300000,2.100000,2.260000,2.260000,281500
2016-05-09,2.300000,2.500000,2.245000,2.310000,2.310000,725800
2016-05-16,2.289000,2.800000,2.260000,2.710000,2.710000,1562300
2016-05-23,2.620000,3.120000,2.380000,3.000000,3.000000,1263700
2016-05-30,2.940000,3.850000,2.920000,3.750000,3.750000,2235500
2016-06-06,3.750000,3.750000,2.700000,2.980000,2.980000,2533900
2016-06-13,2.950000,3.140000,2.840000,2.930000,2.930000,664200
2016-06-20,2.930000,3.110000,2.620000,2.990000,2.990000,1002600
2016-06-27,2.950000,3.110000,2.830000,3.110000,3.110000,809600
2016-07-04,3.000000,3.000000,2.850000,2.990000,2.990000,440600
2016-07-11,2.990000,3.360000,2.850000,2.880000,2.880000,1798900
2016-07-18,2.900000,2.930000,2.680000,2.850000,2.850000,599200
2016-07-25,2.880000,2.940000,2.770000,2.770000,2.770000,411900
2016-08-01,2.780000,3.200000,2.760000,2.900000,2.900000,375500
2016-08-08,2.860000,3.230000,2.860000,3.220000,3.220000,1559400
2016-08-15,3.220000,3.980000,2.950000,3.700000,3.700000,3899500
2016-08-22,3.740000,4.330000,3.500000,4.290000,4.290000,3488500
2016-08-29,4.250000,4.340000,4.000000,4.270000,4.270000,1731800
2016-09-05,4.250000,5.500000,4.250000,5.200000,5.200000,3552200
2016-09-12,5.250000,7.880000,5.030000,7.140000,7.140000,13297700
2016-09-19,7.220000,7.850000,6.211000,6.250000,6.250000,8070400
2016-09-26,6.200000,7.180000,5.900000,6.790000,6.790000,4105700
2016-10-03,6.750000,9.950000,6.570000,9.790000,9.790000,20023400
2016-10-10,9.950000,10.780000,8.211000,8.930000,8.930000,9156200
2016-10-17,8.850000,9.000000,6.600000,8.950000,8.950000,11003300
2016-10-24,9.100000,9.400000,5.075000,5.250000,5.250000,12419300
2016-10-31,5.100000,5.800000,4.650000,4.800000,4.800000,5495800
2016-11-07,5.000000,6.850000,4.965000,5.850000,5.850000,4750100
2016-11-14,9.850000,10.300000,6.750000,6.950000,6.950000,18908100
2016-11-21,6.800000,8.300000,6.800000,7.800000,7.800000,6666400
2016-11-28,7.800000,8.500000,7.100000,7.200000,7.200000,4360800
2016-12-05,7.300000,7.950000,7.250000,7.800000,7.800000,1805500
2016-12-12,7.800000,8.900000,7.650000,8.200000,8.200000,3947100
2016-12-19,8.200000,8.950000,8.200000,8.550000,8.550000,1999100
2016-12-26,8.600000,9.179000,8.400000,8.450000,8.450000,1932900
2017-01-02,8.600000,8.750000,8.200000,8.300000,8.300000,1970800
2017-01-09,8.350000,8.500000,7.250000,7.500000,7.500000,2969800
2017-01-16,7.600000,7.700000,6.800000,6.900000,6.900000,2305200
2017-01-23,6.950000,7.550000,6.400000,6.750000,6.750000,2957000
2017-01-30,6.750000,6.900000,6.250000,6.850000,6.850000,2492500
2017-02-06,6.800000,7.550000,6.150000,7.100000,7.100000,5536600
2017-02-13,7.350000,9.200000,7.200000,8.850000,8.850000,8336500
2017-02-20,9.050000,9.350000,8.050000,8.500000,8.500000,3782300
2017-02-27,8.700000,10.150000,8.000000,9.300000,9.300000,7807800
2017-03-06,9.500000,9.550000,9.000000,9.500000,9.500000,5243000
2017-03-13,9.600000,9.850000,8.850000,9.600000,9.600000,3984000
2017-03-20,9.750000,10.500000,8.500000,9.100000,9.100000,8644100
2017-03-27,9.250000,9.900000,7.200000,8.250000,8.250000,14946400
2017-04-03,8.250000,8.450000,7.000000,7.200000,7.200000,7120900
2017-04-10,7.250000,7.350000,6.650000,6.850000,6.850000,3344700
2017-04-17,6.850000,7.100000,6.300000,6.500000,6.500000,3911900
2017-04-24,6.450000,7.500000,5.950000,7.200000,7.200000,4084600
2017-05-01,7.200000,7.350000,6.200000,6.300000,6.300000,3009600
2017-05-08,6.350000,6.750000,5.300000,6.300000,6.300000,5407000
2017-05-15,6.450000,6.700000,5.900000,6.450000,6.450000,2721700
2017-05-22,6.500000,6.950000,6.350000,6.450000,6.450000,1745100
2017-05-29,6.400000,6.750000,5.750000,6.750000,6.750000,1639600
2017-06-05,6.750000,7.050000,5.900000,5.900000,5.900000,3148500
2017-06-12,6.000000,6.150000,5.600000,5.750000,5.750000,2896900
2017-06-19,5.850000,6.475000,5.800000,6.350000,6.350000,7981400
2017-06-26,6.250000,6.450000,6.000000,6.300000,6.300000,2617800
2017-07-03,6.400000,6.450000,6.025000,6.400000,6.400000,1232100
2017-07-10,6.450000,7.250000,6.300000,6.850000,6.850000,3148600
2017-07-17,6.800000,7.000000,6.300000,6.400000,6.400000,2036500
