Date,Open,High,Low,Close,Adj Close,Volume
2010-05-10,16.000000,20.000000,2.000000,12.300000,12.300000,4120
2010-05-17,12.500000,15.200000,12.500000,13.000000,13.000000,25020
2010-05-24,13.500000,14.100000,11.500000,13.550000,13.550000,6680
2010-05-31,13.550000,14.700000,12.450000,13.450000,13.450000,4280
2010-06-07,13.200000,13.500000,11.800000,12.250000,12.250000,4840
2010-06-14,12.000000,12.500000,11.250000,11.700000,11.700000,3380
2010-06-21,11.500000,12.500000,9.350000,11.600000,11.600000,12160
2010-06-28,11.500000,11.750000,10.150000,10.350000,10.350000,2560
2010-07-05,10.500000,10.500000,9.100000,9.300000,9.300000,7140
2010-07-12,9.100000,9.750000,7.850000,8.750000,8.750000,15580
2010-07-19,8.750000,8.750000,6.850000,7.400000,7.400000,2560
2010-07-26,7.300000,7.550000,6.100000,7.250000,7.250000,9240
2010-08-02,7.000000,10.150000,6.750000,8.500000,8.500000,6880
2010-08-09,8.350000,8.600000,7.000000,7.500000,7.500000,6480
2010-08-16,7.500000,8.750000,7.500000,7.500000,7.500000,2160
2010-08-23,7.500000,8.950000,6.500000,8.950000,8.950000,6960
2010-08-30,9.000000,9.000000,8.500000,8.500000,8.500000,160
2010-09-06,8.300000,8.300000,7.250000,7.950000,7.950000,9860
2010-09-13,7.950000,8.650000,7.750000,8.150000,8.150000,4700
2010-09-20,8.100000,8.100000,5.900000,7.350000,7.350000,8240
2010-09-27,6.550000,8.750000,5.400000,8.300000,8.300000,14320
2010-10-04,8.050000,8.200000,6.300000,7.050000,7.050000,10240
2010-10-11,7.350000,7.900000,6.250000,7.200000,7.200000,9760
2010-10-18,7.100000,7.800000,6.100000,7.000000,7.000000,27260
2010-10-25,7.500000,8.000000,6.600000,7.000000,7.000000,29600
2010-11-01,6.500000,7.050000,6.500000,6.800000,6.800000,11640
2010-11-08,7.000000,7.750000,6.950000,7.500000,7.500000,5800
2010-11-15,7.000000,8.000000,6.250000,6.500000,6.500000,8640
2010-11-22,6.500000,6.750000,5.750000,6.000000,6.000000,11840
2010-11-29,6.200000,6.450000,5.600000,6.150000,6.150000,4180
2010-12-06,5.950000,7.250000,5.500000,7.100000,7.100000,13120
2010-12-13,7.200000,10.000000,7.200000,9.450000,9.450000,41060
2010-12-20,9.500000,10.400000,8.150000,9.000000,9.000000,16420
2010-12-27,8.900000,9.850000,8.350000,9.100000,9.100000,30000
2011-01-03,9.250000,9.900000,8.750000,9.200000,9.200000,9020
2011-01-10,9.200000,12.450000,8.250000,10.500000,10.500000,45420
2011-01-17,12.500000,12.500000,10.500000,11.100000,11.100000,12980
2011-01-24,11.250000,11.500000,9.250000,9.700000,9.700000,19260
2011-01-31,9.500000,9.800000,8.300000,8.800000,8.800000,13140
2011-02-07,8.650000,8.800000,7.850000,8.050000,8.050000,10280
2011-02-14,8.050000,8.500000,7.200000,7.500000,7.500000,20680
2011-02-21,7.500000,8.900000,7.350000,7.750000,7.750000,13740
2011-02-28,8.250000,8.750000,7.650000,8.350000,8.350000,11020
2011-03-07,8.300000,8.600000,7.750000,8.450000,8.450000,12600
2011-03-14,8.750000,10.200000,8.250000,9.950000,9.950000,14500
2011-03-21,10.000000,10.500000,9.000000,9.700000,9.700000,18140
2011-03-28,9.650000,9.650000,8.550000,8.750000,8.750000,14760
2011-04-04,8.750000,9.400000,8.250000,8.500000,8.500000,17880
2011-04-11,8.500000,10.000000,8.100000,9.200000,9.200000,12400
2011-04-18,8.750000,9.550000,8.750000,8.800000,8.800000,4280
2011-04-25,8.750000,9.550000,8.750000,9.350000,9.350000,5240
2011-05-02,9.350000,10.200000,9.300000,9.700000,9.700000,10920
2011-05-09,9.400000,9.900000,8.500000,8.500000,8.500000,14760
2011-05-16,9.000000,9.000000,7.500000,8.400000,8.400000,12700
2011-05-23,8.500000,8.900000,8.400000,8.550000,8.550000,7060
2011-05-30,8.550000,8.700000,7.900000,7.900000,7.900000,2460
2011-06-06,8.000000,8.500000,7.800000,8.200000,8.200000,5460
2011-06-13,8.000000,8.250000,7.500000,8.250000,8.250000,3580
2011-06-20,8.000000,8.750000,6.650000,6.850000,6.850000,11820
2011-06-27,6.950000,7.400000,6.900000,7.300000,7.300000,5100
2011-07-04,7.350000,7.500000,7.250000,7.450000,7.450000,1820
2011-07-11,7.350000,7.350000,7.250000,7.250000,7.250000,460
2011-07-18,7.250000,7.500000,6.400000,6.750000,6.750000,13120
2011-07-25,6.700000,6.700000,6.400000,6.500000,6.500000,7180
2011-08-01,6.500000,6.500000,5.350000,5.600000,5.600000,4300
2011-08-08,5.500000,5.500000,5.300000,5.400000,5.400000,1660
2011-08-15,5.600000,5.600000,5.600000,5.600000,5.600000,100
2011-08-22,5.600000,5.600000,5.100000,5.300000,5.300000,2460
2011-08-29,5.150000,5.200000,4.500000,4.650000,4.650000,11520
2011-09-05,4.750000,5.500000,4.750000,5.150000,5.150000,4960
2011-09-12,5.150000,5.400000,4.900000,5.200000,5.200000,1620
2011-09-19,5.200000,5.300000,4.450000,4.650000,4.650000,3480
2011-09-26,4.750000,4.850000,4.100000,4.550000,4.550000,2000
2011-10-03,4.500000,4.500000,1.600000,1.850000,1.850000,57160
2011-10-10,1.950000,2.250000,1.450000,1.600000,1.600000,40900
2011-10-17,1.750000,1.750000,1.100000,1.550000,1.550000,40100
2011-10-24,1.500000,1.850000,1.500000,1.800000,1.800000,14440
2011-10-31,1.850000,3.750000,1.850000,2.600000,2.600000,13940
2011-11-07,2.500000,2.500000,1.700000,1.700000,1.700000,5260
2011-11-14,1.650000,1.650000,1.050000,1.500000,1.500000,14980
2011-11-21,1.500000,1.900000,1.400000,1.750000,1.750000,6200
2011-11-28,1.750000,1.850000,1.300000,1.800000,1.800000,12140
2011-12-05,1.700000,1.850000,1.550000,1.650000,1.650000,7720
2011-12-12,1.500000,1.750000,1.400000,1.700000,1.700000,19840
2011-12-19,1.550000,1.900000,1.400000,1.400000,1.400000,14500
2011-12-26,1.400000,1.500000,1.150000,1.400000,1.400000,45620
2012-01-02,1.300000,1.750000,1.200000,1.450000,1.450000,28560
2012-01-09,1.350000,1.850000,1.350000,1.850000,1.850000,13320
2012-01-16,2.450000,2.450000,1.750000,2.100000,2.100000,14400
2012-01-23,2.000000,2.150000,1.850000,1.900000,1.900000,7000
2012-01-30,1.850000,2.250000,1.650000,2.150000,2.150000,7220
2012-02-06,2.150000,2.200000,1.700000,2.150000,2.150000,6120
2012-02-13,2.050000,2.100000,1.850000,1.850000,1.850000,4700
2012-02-20,1.800000,2.150000,1.700000,2.100000,2.100000,5300
2012-02-27,2.000000,2.000000,1.600000,1.700000,1.700000,8780
2012-03-05,1.800000,1.950000,1.650000,1.750000,1.750000,6840
2012-03-12,1.650000,2.850000,1.550000,2.750000,2.750000,46140
2012-03-19,2.750000,3.100000,2.150000,2.250000,2.250000,44260
2012-03-26,2.300000,2.500000,2.250000,2.350000,2.350000,14900
2012-04-02,2.350000,2.500000,2.350000,2.400000,2.400000,7680
2012-04-09,2.350000,2.400000,2.000000,2.000000,2.000000,9920
2012-04-16,2.000000,2.050000,1.650000,1.800000,1.800000,4380
2012-04-23,1.800000,2.050000,1.750000,1.950000,1.950000,16080
2012-04-30,1.850000,1.950000,1.500000,1.750000,1.750000,10300
2012-05-07,1.650000,1.650000,1.150000,1.450000,1.450000,13140
2012-05-14,1.350000,1.450000,1.050000,1.200000,1.200000,9260
2012-05-21,1.300000,1.450000,1.200000,1.350000,1.350000,3460
2012-05-28,1.250000,1.250000,0.800000,0.950000,0.950000,15200
2012-06-04,0.900000,1.650000,0.900000,1.250000,1.250000,6000
2012-06-11,1.250000,1.250000,0.750000,0.900000,0.900000,20820
2012-06-18,0.950000,1.250000,0.950000,1.250000,1.250000,11040
2012-06-25,1.300000,1.300000,1.000000,1.050000,1.050000,2160
2012-07-02,0.950000,1.100000,0.900000,1.050000,1.050000,1500
2012-07-09,1.050000,1.250000,1.000000,1.250000,1.250000,4500
2012-07-16,1.100000,1.250000,1.050000,1.200000,1.200000,1080
2012-07-23,1.150000,1.500000,1.050000,1.300000,1.300000,15200
2012-07-30,1.200000,1.200000,1.000000,1.000000,1.000000,6200
2012-08-06,1.000000,1.200000,1.000000,1.050000,1.050000,5200
2012-08-13,1.050000,1.400000,0.800000,0.850000,0.850000,4400
2012-08-20,0.900000,1.100000,0.900000,1.000000,1.000000,4260
2012-08-27,0.900000,0.900000,0.900000,0.900000,0.900000,280
2012-09-03,0.900000,0.900000,0.800000,0.850000,0.850000,3340
2012-09-10,0.900000,0.900000,0.800000,0.900000,0.900000,640
2012-09-17,1.100000,1.750000,0.950000,1.600000,1.600000,24540
2012-09-24,1.500000,1.700000,1.300000,1.300000,1.300000,16220
2012-10-01,1.250000,1.300000,1.200000,1.200000,1.200000,2800
2012-10-08,1.200000,2.250000,1.200000,2.200000,2.200000,33140
2012-10-15,2.200000,6.250000,2.100000,3.350000,3.350000,113960
2012-10-22,3.750000,4.000000,2.650000,2.850000,2.850000,36420
2012-10-29,2.900000,3.350000,2.650000,2.650000,2.650000,1100
2012-11-05,2.700000,2.750000,1.900000,2.200000,2.200000,15620
2012-11-12,2.250000,2.550000,1.950000,2.150000,2.150000,10380
2012-11-19,2.150000,2.350000,1.500000,2.100000,2.100000,14980
2012-11-26,2.150000,3.600000,2.150000,3.600000,3.600000,36120
2012-12-03,3.700000,3.900000,3.100000,3.500000,3.500000,16280
2012-12-10,3.550000,3.550000,2.650000,2.900000,2.900000,10700
2012-12-17,3.000000,3.600000,2.900000,3.000000,3.000000,13380
2012-12-24,3.050000,3.800000,3.000000,3.500000,3.500000,9180
2012-12-31,3.150000,4.950000,2.550000,4.500000,4.500000,69160
2013-01-07,4.750000,5.500000,4.300000,4.500000,4.500000,59480
2013-01-14,4.500000,5.550000,3.750000,4.550000,4.550000,31660
2013-01-21,4.600000,4.850000,4.300000,4.450000,4.450000,14480
2013-01-28,4.450000,5.100000,4.000000,4.550000,4.550000,30120
2013-02-04,4.550000,4.800000,4.450000,4.550000,4.550000,10200
2013-02-11,4.500000,4.500000,4.100000,4.350000,4.350000,15400
2013-02-18,4.400000,5.000000,4.350000,4.750000,4.750000,18620
2013-02-25,4.700000,4.700000,3.900000,3.950000,3.950000,34660
2013-03-04,4.000000,4.600000,3.950000,4.400000,4.400000,78780
2013-03-11,4.500000,4.550000,3.950000,4.200000,4.200000,37720
2013-03-18,4.300000,4.700000,4.250000,4.350000,4.350000,24620
2013-03-25,4.350000,4.400000,4.050000,4.050000,4.050000,8640
2013-04-01,4.100000,4.500000,4.050000,4.200000,4.200000,10520
2013-04-08,4.050000,4.150000,3.100000,3.950000,3.950000,20500
