Date,Open,High,Low,Close,Adj Close,Volume
2003-10-06,0.660000,0.720000,0.660000,0.660000,0.325980,5500
2003-10-13,0.660000,0.720000,0.640000,0.660000,0.325980,2900
2003-10-20,0.660000,0.680000,0.640000,0.650000,0.321041,73900
2003-10-27,0.630000,0.670000,0.610000,0.620000,0.306223,35100
2003-11-03,0.640000,0.650000,0.610000,0.650000,0.321041,45400
2003-11-10,0.650000,0.880000,0.610000,0.630000,0.311162,236800
2003-11-17,0.610000,0.620000,0.580000,0.580000,0.286467,81600
2003-11-24,0.570000,0.570000,0.520000,0.520000,0.256832,36000
2003-12-01,0.520000,0.560000,0.470000,0.560000,0.276589,159200
2003-12-08,0.570000,0.600000,0.500000,0.600000,0.296345,51000
2003-12-15,0.550000,0.560000,0.550000,0.550000,0.271650,10700
2003-12-22,0.550000,0.600000,0.500000,0.500000,0.246954,11400
2003-12-29,0.500000,0.600000,0.500000,0.500000,0.246954,21300
2004-01-05,0.550000,0.550000,0.510000,0.520000,0.256832,15200
2004-01-12,0.520000,0.530000,0.510000,0.520000,0.256832,51700
2004-01-19,0.570000,0.600000,0.560000,0.560000,0.276589,3800
2004-01-26,0.620000,0.730000,0.600000,0.720000,0.355614,20500
2004-02-02,0.720000,0.900000,0.700000,0.750000,0.370431,35700
2004-02-09,0.840000,0.900000,0.700000,0.780000,0.385249,72300
2004-02-16,0.760000,0.780000,0.700000,0.700000,0.345736,62400
2004-02-23,0.700000,0.700000,0.600000,0.600000,0.296345,15600
2004-03-01,0.650000,0.650000,0.610000,0.620000,0.306223,53500
2004-03-08,0.620000,0.640000,0.570000,0.580000,0.286467,13700
2004-03-15,0.570000,0.600000,0.550000,0.550000,0.271650,23300
2004-03-22,0.550000,0.550000,0.520000,0.550000,0.271650,200
2004-03-29,0.550000,0.550000,0.520000,0.530000,0.261772,50800
2004-04-05,0.540000,0.570000,0.520000,0.530000,0.261772,8000
2004-04-12,0.550000,0.620000,0.530000,0.560000,0.276589,39000
2004-04-19,0.560000,0.780000,0.560000,0.780000,0.385249,18900
2004-04-26,0.670000,0.700000,0.670000,0.670000,0.330919,8400
2004-05-03,0.700000,0.710000,0.660000,0.660000,0.325980,28200
2004-05-10,0.660000,0.660000,0.600000,0.600000,0.296345,8600
2004-05-17,0.600000,0.600000,0.520000,0.520000,0.256832,200
2004-05-24,0.520000,0.700000,0.520000,0.520000,0.256832,13700
2004-05-31,0.520000,0.650000,0.520000,0.650000,0.321041,500
2004-06-07,0.650000,0.670000,0.600000,0.670000,0.330919,70400
2004-06-14,0.600000,0.800000,0.560000,0.700000,0.345736,171400
2004-06-21,0.660000,0.750000,0.660000,0.750000,0.370431,73100
2004-06-28,0.680000,0.780000,0.680000,0.700000,0.345736,32800
2004-07-05,0.700000,0.740000,0.650000,0.650000,0.321041,5900
2004-07-12,0.650000,0.720000,0.650000,0.650000,0.321041,1200
2004-07-19,0.720000,0.720000,0.660000,0.700000,0.345736,7200
2004-07-26,0.660000,0.670000,0.650000,0.660000,0.325980,61400
2004-08-02,0.650000,0.690000,0.620000,0.620000,0.306223,63500
2004-08-09,0.620000,0.650000,0.590000,0.600000,0.296345,16600
2004-08-16,0.590000,0.590000,0.560000,0.560000,0.276589,13700
2004-08-23,0.620000,0.670000,0.560000,0.560000,0.276589,74300
2004-08-30,0.550000,0.570000,0.530000,0.530000,0.261772,15100
2004-09-06,0.550000,0.600000,0.540000,0.600000,0.296345,23200
2004-09-13,0.600000,0.620000,0.470000,0.620000,0.306223,186300
2004-09-20,0.650000,0.650000,0.650000,0.650000,0.321041,11500
2004-09-27,0.590000,0.600000,0.520000,0.530000,0.261772,8400
2004-10-04,0.530000,0.550000,0.520000,0.520000,0.256832,37400
2004-10-11,0.520000,0.550000,0.500000,0.520000,0.256832,27900
2004-10-18,0.500000,0.520000,0.470000,0.500000,0.246954,14100
2004-10-25,0.430000,0.550000,0.430000,0.540000,0.266711,21600
2004-11-01,0.550000,0.550000,0.480000,0.480000,0.237076,23000
2004-11-08,0.500000,0.550000,0.480000,0.500000,0.246954,78200
2004-11-15,0.500000,0.540000,0.470000,0.470000,0.232137,31100
2004-11-22,0.510000,0.510000,0.500000,0.510000,0.251893,12500
2004-11-29,0.510000,0.560000,0.480000,0.480000,0.237076,16100
2004-12-06,0.480000,0.500000,0.470000,0.470000,0.232137,49700
2004-12-13,0.470000,0.550000,0.430000,0.530000,0.261772,443400
2004-12-20,0.500000,0.500000,0.430000,0.470000,0.232137,46300
2004-12-27,0.430000,0.600000,0.430000,0.550000,0.271650,160400
2005-01-03,0.600000,0.750000,0.550000,0.600000,0.296345,145500
2005-01-10,0.600000,0.690000,0.590000,0.590000,0.291406,43600
2005-01-17,0.600000,0.650000,0.590000,0.590000,0.291406,52900
2005-01-24,0.590000,0.610000,0.570000,0.570000,0.281528,65200
2005-01-31,0.570000,0.570000,0.570000,0.570000,0.281528,5800
2005-02-07,0.570000,0.660000,0.560000,0.600000,0.296345,116100
2005-02-14,0.600000,0.650000,0.580000,0.580000,0.286467,42500
2005-02-21,0.580000,0.660000,0.580000,0.650000,0.321041,171800
2005-02-28,0.640000,0.690000,0.630000,0.680000,0.335858,33300
2005-03-07,0.690000,0.690000,0.580000,0.580000,0.286467,152600
2005-03-14,0.580000,0.600000,0.560000,0.560000,0.276589,13600
2005-03-21,0.560000,0.600000,0.560000,0.560000,0.276589,11000
2005-03-28,0.530000,0.530000,0.440000,0.490000,0.242015,84800
2005-04-04,0.500000,0.530000,0.470000,0.480000,0.237076,26900
2005-04-11,0.480000,0.480000,0.480000,0.480000,0.237076,700
2005-04-18,0.510000,0.550000,0.450000,0.540000,0.266711,41300
2005-04-25,0.540000,0.540000,0.540000,0.540000,0.266711,23300
2005-05-02,0.540000,0.600000,0.540000,0.600000,0.296345,143700
2005-05-09,0.570000,0.570000,0.570000,0.570000,0.281528,23000
2005-05-16,0.570000,0.580000,0.560000,0.570000,0.281528,12000
2005-05-23,0.570000,0.570000,0.450000,0.510000,0.251893,30300
2005-05-30,0.510000,0.510000,0.430000,0.480000,0.237076,83900
2005-06-06,0.510000,0.530000,0.440000,0.440000,0.217320,24300
2005-06-13,0.440000,0.540000,0.440000,0.540000,0.266711,33300
2005-06-20,0.540000,0.540000,0.440000,0.540000,0.266711,24100
2005-06-27,0.540000,0.540000,0.440000,0.460000,0.227198,12300
2005-07-04,0.460000,0.500000,0.460000,0.460000,0.227198,28700
2005-07-11,0.460000,0.460000,0.450000,0.450000,0.222259,700
2005-07-18,0.450000,0.450000,0.450000,0.450000,0.222259,2000
2005-07-25,0.450000,0.510000,0.450000,0.510000,0.251893,9200
2005-08-01,0.510000,0.630000,0.510000,0.600000,0.296345,91500
2005-08-08,0.600000,0.690000,0.560000,0.630000,0.311162,39000
2005-08-15,0.620000,0.620000,0.540000,0.600000,0.296345,61800
2005-08-22,0.570000,0.600000,0.530000,0.530000,0.261772,32700
2005-08-29,0.600000,0.600000,0.530000,0.530000,0.261772,2000
2005-09-05,0.530000,0.550000,0.520000,0.550000,0.271650,22600
2005-09-12,0.550000,0.550000,0.520000,0.550000,0.271650,10100
2005-09-19,0.530000,0.550000,0.520000,0.520000,0.256832,49900
2005-09-26,0.520000,0.520000,0.510000,0.510000,0.251893,86000
2005-10-03,0.470000,0.470000,0.470000,0.470000,0.232137,2500
2005-10-10,0.470000,0.550000,0.470000,0.470000,0.232137,31100
2005-10-17,0.500000,0.550000,0.500000,0.510000,0.251893,60600
2005-10-24,0.510000,0.550000,0.470000,0.470000,0.232137,53000
2005-10-31,0.470000,0.500000,0.440000,0.440000,0.217320,19600
2005-11-07,0.470000,0.600000,0.470000,0.580000,0.286467,69000
2005-11-14,0.580000,0.680000,0.580000,0.670000,0.330919,157800
2005-11-21,0.690000,0.700000,0.650000,0.680000,0.335858,29100
2005-11-28,0.650000,0.650000,0.610000,0.610000,0.301284,21800
2005-12-05,0.610000,0.650000,0.610000,0.650000,0.321041,15000
2005-12-12,0.570000,0.620000,0.570000,0.570000,0.281528,32000
2005-12-19,0.540000,0.570000,0.540000,0.560000,0.276589,10600
2005-12-26,0.560000,0.730000,0.540000,0.700000,0.345736,303400
2006-01-02,0.700000,0.700000,0.610000,0.610000,0.301284,800
2006-01-09,0.610000,0.690000,0.600000,0.690000,0.340797,5300
2006-01-16,0.690000,0.690000,0.690000,0.690000,0.340797,0
2006-01-23,0.620000,0.680000,0.580000,0.580000,0.286467,25200
2006-01-30,0.560000,0.600000,0.550000,0.550000,0.271650,16900
2006-02-06,0.550000,0.690000,0.550000,0.600000,0.296345,25700
2006-02-13,0.600000,0.690000,0.600000,0.690000,0.340797,105100
2006-02-20,0.640000,0.690000,0.640000,0.640000,0.316101,7700
2006-02-27,0.690000,0.690000,0.640000,0.640000,0.316101,16400
2006-03-06,0.630000,0.670000,0.630000,0.670000,0.330919,97600
2006-03-13,0.640000,0.640000,0.630000,0.630000,0.311162,9000
2006-03-20,0.630000,0.630000,0.580000,0.580000,0.286467,5100
2006-03-27,0.600000,0.650000,0.600000,0.640000,0.316101,36500
2006-04-03,0.590000,0.680000,0.590000,0.680000,0.335858,97100
2006-04-10,0.640000,0.650000,0.600000,0.650000,0.321041,67400
2006-04-17,0.650000,0.650000,0.600000,0.640000,0.316101,59700
2006-04-24,0.600000,0.630000,0.570000,0.570000,0.281528,29000
2006-05-01,0.600000,0.600000,0.590000,0.590000,0.291406,20400
2006-05-08,0.590000,0.610000,0.580000,0.580000,0.286467,12100
2006-05-15,0.640000,0.640000,0.600000,0.600000,0.296345,19000
2006-05-22,0.600000,0.600000,0.580000,0.580000,0.286467,19700
2006-05-29,0.580000,0.580000,0.570000,0.570000,0.281528,3400
2006-06-05,0.570000,0.580000,0.570000,0.580000,0.286467,11500
2006-06-12,0.570000,0.700000,0.570000,0.650000,0.321041,140100
2006-06-19,0.650000,0.660000,0.650000,0.660000,0.325980,2900
2006-06-26,0.660000,0.700000,0.630000,0.650000,0.321041,37000
2006-07-03,0.650000,0.650000,0.650000,0.650000,0.321041,700
2006-07-10,0.650000,2.090000,0.650000,1.900000,0.938426,2036300
2006-07-17,1.850000,2.300000,1.830000,2.100000,1.037207,456400
2006-07-24,2.050000,2.430000,2.050000,2.250000,1.111294,394900
2006-07-31,2.250000,2.400000,2.250000,2.350000,1.160685,129700
2006-08-07,2.350000,2.430000,2.010000,2.130000,1.052025,426300
