Date,Open,High,Low,Close,Adj Close,Volume
2019-07-22,20.000000,24.747999,17.110001,22.990000,22.990000,2665600
2019-07-29,22.969999,24.520000,19.639999,21.809999,21.809999,1019000
2019-08-05,21.670000,22.160000,19.049999,21.510000,21.510000,474700
2019-08-12,21.450001,21.910000,19.570000,20.250000,20.250000,307300
2019-08-19,20.400000,24.000000,18.549999,23.500000,23.500000,854400
2019-08-26,23.760000,28.045000,23.200001,27.920000,27.920000,793300
2019-09-02,28.129999,28.500000,24.520000,25.410000,25.410000,569600
2019-09-09,25.389999,25.389999,20.980000,22.030001,22.030001,368200
2019-09-16,21.780001,24.160000,20.260000,23.000000,23.000000,1247900
2019-09-23,22.719999,23.969999,17.930000,18.450001,18.450001,730500
2019-09-30,18.510000,20.004999,16.780001,19.000000,19.000000,591300
2019-10-07,19.070000,20.110001,17.790001,19.670000,19.670000,364200
2019-10-14,19.709999,20.379999,18.230000,18.740000,18.740000,400100
2019-10-21,19.020000,19.600000,15.260000,18.110001,18.110001,894500
2019-10-28,18.120001,23.975000,17.350000,22.770000,22.770000,644700
2019-11-04,22.799999,22.895000,20.980000,22.080000,22.080000,375900
2019-11-11,21.570000,30.270000,21.340000,28.760000,28.760000,1098200
2019-11-18,29.150000,29.754000,25.730000,26.790001,26.790001,457500
2019-11-25,26.450001,28.047001,25.790001,26.930000,26.930000,292400
2019-12-02,26.950001,31.160000,25.730000,30.320000,30.320000,454100
2019-12-09,30.410000,30.600000,25.799999,29.500000,29.500000,461400
2019-12-16,29.500000,29.840000,24.809999,29.320000,29.320000,714300
2019-12-23,29.500000,39.770000,28.139999,33.990002,33.990002,544900
2019-12-30,34.930000,37.500000,32.349998,33.020000,33.020000,374700
2020-01-06,32.509998,36.389999,32.400002,33.610001,33.610001,625400
2020-01-13,33.880001,34.610001,30.299999,32.389999,32.389999,417300
2020-01-20,32.200001,32.974998,29.549999,29.889999,29.889999,500100
2020-01-27,29.030001,31.170000,29.030001,30.840000,30.840000,662500
2020-02-03,30.850000,32.000000,29.200001,30.980000,30.980000,550400
2020-02-10,30.990000,32.369999,26.389999,31.799999,31.799999,837500
2020-02-17,31.660000,33.500000,31.000000,32.410000,32.410000,412500
2020-02-24,31.830000,32.549999,25.920000,29.940001,29.940001,707200
2020-03-02,30.190001,32.889999,28.709999,32.189999,32.189999,839300
2020-03-09,30.870001,33.369999,22.250000,24.070000,24.070000,1183000
2020-03-16,22.129999,29.785000,21.010000,28.100000,28.100000,1477600
2020-03-23,28.040001,31.385000,24.510000,28.270000,28.270000,1121100
2020-03-30,28.850000,30.709999,25.065001,27.350000,27.350000,669600
2020-04-06,28.459999,31.850000,27.500000,28.049999,28.049999,428900
2020-04-13,27.969999,31.850000,27.420000,29.600000,29.600000,502200
2020-04-20,29.190001,31.510000,27.670000,29.450001,29.450001,602100
2020-04-27,29.500000,31.750000,27.500000,28.340000,28.340000,744100
2020-05-04,28.000000,32.240002,26.129999,31.500000,31.500000,690000
2020-05-11,30.940001,37.990002,30.700001,37.450001,37.450001,2181800
2020-05-18,38.000000,39.599998,35.000000,37.930000,37.930000,716600
2020-05-25,38.230000,39.790001,34.860001,38.430000,38.430000,785600
2020-06-01,38.310001,39.209999,36.000000,37.689999,37.689999,664300
2020-06-08,37.880001,39.009998,35.779999,37.020000,37.020000,664800
2020-06-15,36.720001,44.529999,36.070000,42.384998,42.384998,1586000
2020-06-22,42.380001,43.619999,34.720001,35.090000,35.090000,3444900
2020-06-29,35.240002,39.860001,35.110001,38.470001,38.470001,860500
2020-07-06,38.639999,44.480000,38.169998,41.750000,41.750000,965400
2020-07-13,41.709999,45.619999,40.180000,42.990002,42.990002,876200
2020-07-20,43.369999,43.845001,37.705002,39.040001,39.040001,570200
2020-07-27,39.549999,40.450001,37.720001,38.720001,38.720001,413900
2020-08-03,38.840000,42.400002,36.145000,41.799999,41.799999,463700
2020-08-10,41.820000,44.959999,38.410000,41.320000,41.320000,1048500
2020-08-17,41.529999,46.230000,40.722000,45.779999,45.779999,850900
2020-08-24,45.970001,46.500000,44.790001,45.560001,45.560001,782000
2020-08-31,45.490002,49.000000,43.790001,48.049999,48.049999,1173200
2020-09-07,48.070000,52.320000,45.520000,48.599998,48.599998,995400
2020-09-14,49.410000,51.435001,46.105999,51.040001,51.040001,1222400
2020-09-21,49.650002,52.408001,48.561001,49.619999,49.619999,778400
2020-09-28,50.799999,52.849998,49.680000,51.430000,51.430000,1011400
2020-10-05,51.639999,55.055000,51.470001,54.860001,54.860001,1120600
2020-10-12,55.310001,55.310001,49.750000,49.970001,49.970001,800900
2020-10-19,50.099998,52.360001,47.009998,51.840000,51.840000,618500
2020-10-26,51.290001,52.590000,45.500000,46.430000,46.430000,502100
2020-11-02,47.169998,53.369999,43.789001,51.700001,51.700001,786200
2020-11-09,50.419998,53.097000,44.472000,50.360001,50.360001,1196700
2020-11-16,51.000000,51.490002,45.150002,48.080002,48.080002,826100
2020-11-23,47.880001,48.820000,43.369999,44.470001,44.470001,501500
2020-11-30,44.980000,52.049999,44.259998,52.000000,52.000000,1224600
2020-12-07,53.000000,62.540001,51.700001,59.740002,59.740002,2079500
2020-12-14,60.259998,70.500000,58.169998,62.330002,62.330002,4590100
2020-12-21,62.290001,78.394997,60.419998,71.309998,71.309998,1343400
2020-12-28,72.110001,74.860001,64.070000,68.809998,68.809998,1365000
