Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,1.000000,1.000000,0.875000,1.000000,1.000000,3500
2000-01-08,0.875000,0.875000,0.875000,0.875000,0.875000,100
2000-01-15,0.937500,2.000000,0.937500,1.921875,1.921875,218500
2000-01-22,1.875000,2.000000,1.687500,1.750000,1.750000,86200
2000-01-29,1.500000,1.750000,1.500000,1.562500,1.562500,48000
2000-02-05,1.625000,2.125000,1.500000,1.875000,1.875000,66800
2000-02-12,1.875000,2.062500,1.687500,1.875000,1.875000,56800
2000-02-19,2.125000,2.125000,1.875000,1.875000,1.875000,23100
2000-02-26,2.000000,3.625000,1.875000,3.375000,3.375000,158100
2000-03-04,3.375000,3.687500,3.000000,3.375000,3.375000,103000
2000-03-11,3.375000,4.000000,3.062500,3.500000,3.500000,79300
2000-03-18,3.500000,3.500000,3.000000,3.250000,3.250000,59400
2000-03-25,3.500000,3.750000,2.500000,2.875000,2.875000,62800
2000-04-01,2.875000,2.875000,2.187500,2.750000,2.750000,34400
2000-04-08,2.750000,2.750000,2.312500,2.437500,2.437500,28400
2000-04-15,2.687500,2.750000,2.312500,2.750000,2.750000,34200
2000-04-22,2.750000,2.750000,2.250000,2.250000,2.250000,12600
2000-04-29,2.500000,2.750000,1.937500,1.937500,1.937500,38200
2000-05-06,1.937500,2.625000,1.500000,2.437500,2.437500,86500
2000-05-13,2.500000,2.500000,2.312500,2.437500,2.437500,34700
2000-05-20,2.406250,2.437500,2.281250,2.281250,2.281250,22300
2000-05-27,2.437500,2.468750,2.281250,2.375000,2.375000,17700
2000-06-03,2.375000,2.625000,2.375000,2.500000,2.500000,15000
2000-06-10,2.625000,2.687500,2.375000,2.625000,2.625000,60800
2000-06-17,2.562500,2.750000,2.437500,2.437500,2.437500,14100
2000-06-24,2.500000,2.812500,2.468750,2.562500,2.562500,9100
2000-07-01,2.468750,2.750000,2.468750,2.468750,2.468750,6300
2000-07-08,2.750000,2.750000,2.375000,2.437500,2.437500,12200
2000-07-15,2.437500,2.625000,2.375000,2.500000,2.500000,10000
2000-07-22,2.625000,2.687500,2.250000,2.437500,2.437500,18300
2000-07-29,2.250000,2.437500,2.125000,2.187500,2.187500,14100
2000-08-05,2.187500,2.625000,2.000000,2.000000,2.000000,13600
2000-08-12,2.125000,2.375000,1.750000,2.250000,2.250000,18000
2000-08-19,2.250000,3.187500,2.250000,3.000000,3.000000,31200
2000-08-26,3.187500,3.500000,2.875000,3.000000,3.000000,27300
2000-09-02,3.187500,3.781250,3.187500,3.781250,3.781250,22100
2000-09-09,3.875000,5.375000,3.625000,5.375000,5.375000,90800
2000-09-16,4.812500,5.250000,4.062500,4.375000,4.375000,53100
2000-09-23,4.125000,4.250000,3.375000,3.375000,3.375000,39300
2000-09-30,3.312500,3.312500,2.750000,3.000000,3.000000,10600
2000-10-07,2.750000,2.875000,2.218750,2.750000,2.750000,13500
2000-10-14,2.750000,3.625000,2.500000,3.625000,3.625000,25600
2000-10-21,3.187500,3.875000,3.187500,3.625000,3.625000,16400
2000-10-28,3.250000,4.000000,3.187500,4.000000,4.000000,24500
2000-11-04,3.750000,5.000000,3.750000,4.750000,4.750000,62700
2000-11-11,4.500000,4.937500,4.250000,4.562500,4.562500,4000
2000-11-18,4.562500,4.625000,4.125000,4.125000,4.125000,29600
2000-11-25,4.125000,4.375000,4.000000,4.000000,4.000000,16000
2000-12-02,4.062500,4.500000,4.000000,4.000000,4.000000,19100
2000-12-09,4.000000,4.250000,3.500000,3.500000,3.500000,13500
2000-12-16,3.437500,4.000000,3.031250,3.031250,3.031250,8600
2000-12-23,3.062500,3.875000,3.062500,3.875000,3.875000,2300
2000-12-30,3.500000,4.000000,3.375000,3.906250,3.906250,11500
2001-01-06,3.750000,5.125000,3.750000,4.750000,4.750000,69900
2001-01-13,5.125000,5.125000,4.437500,4.437500,4.437500,30200
2001-01-20,4.750000,5.093750,4.437500,4.750000,4.750000,16100
2001-01-27,4.500000,4.500000,4.375000,4.375000,4.375000,4800
2001-02-03,4.375000,5.125000,4.375000,4.875000,4.875000,27800
2001-02-10,4.875000,4.875000,4.500000,4.500000,4.500000,13200
2001-02-17,4.375000,4.375000,4.000000,4.250000,4.250000,2300
2001-02-24,4.250000,4.312500,3.500000,3.500000,3.500000,8900
2001-03-03,3.750000,4.625000,3.750000,4.375000,4.375000,17300
2001-03-10,4.250000,4.375000,3.562500,3.562500,3.562500,20400
2001-03-17,3.750000,4.000000,3.750000,4.000000,4.000000,6700
2001-03-24,3.625000,4.250000,3.625000,4.000000,4.000000,10700
2001-03-31,4.000000,4.000000,3.500000,3.750000,3.750000,3900
2001-04-07,3.380000,3.500000,3.010000,3.400000,3.400000,7600
2001-04-14,3.380000,3.850000,3.050000,3.750000,3.750000,8900
2001-04-21,3.800000,4.000000,3.750000,3.850000,3.850000,29100
2001-04-28,3.950000,4.000000,3.850000,3.900000,3.900000,27700
2001-05-05,3.850000,4.250000,3.850000,4.250000,4.250000,35000
2001-05-12,4.250000,4.250000,3.800000,3.800000,3.800000,14100
2001-05-19,3.800000,3.900000,3.000000,3.500000,3.500000,12100
2001-05-26,3.500000,3.800000,3.250000,3.750000,3.750000,13400
2001-06-02,3.750000,3.750000,3.600000,3.650000,3.650000,11300
2001-06-09,3.650000,3.700000,3.600000,3.600000,3.600000,3700
2001-06-16,3.500000,3.500000,3.350000,3.350000,3.350000,2700
2001-06-23,3.350000,3.350000,3.150000,3.190000,3.190000,5100
2001-06-30,3.150000,3.150000,3.050000,3.050000,3.050000,5700
2001-07-07,3.050000,3.050000,3.050000,3.050000,3.050000,2800
2001-07-14,3.050000,3.150000,3.020000,3.150000,3.150000,3500
2001-07-21,3.150000,3.150000,3.100000,3.150000,3.150000,700
2001-07-28,3.150000,3.150000,3.100000,3.110000,3.110000,2500
2001-08-04,3.110000,3.170000,3.000000,3.000000,3.000000,6500
2001-08-11,3.000000,3.600000,3.000000,3.500000,3.500000,22100
2001-08-18,3.450000,3.490000,3.200000,3.200000,3.200000,3700
2001-08-25,3.200000,3.200000,3.000000,3.100000,3.100000,13300
2001-09-01,3.140000,3.250000,3.100000,3.100000,3.100000,4400
2001-09-08,3.050000,3.050000,3.050000,3.050000,3.050000,500
2001-09-15,2.950000,3.050000,2.200000,2.200000,2.200000,16800
2001-09-22,2.100000,2.200000,2.010000,2.080000,2.080000,14300
2001-09-29,2.240000,2.250000,2.000000,2.100000,2.100000,11700
2001-10-06,2.100000,2.400000,2.100000,2.400000,2.400000,4900
2001-10-13,2.450000,2.500000,2.450000,2.450000,2.450000,4200
2001-10-20,2.450000,2.600000,2.450000,2.590000,2.590000,2900
2001-10-27,2.500000,2.500000,2.300000,2.500000,2.500000,12000
2001-11-03,2.500000,2.600000,2.500000,2.580000,2.580000,3300
2001-11-10,2.580000,3.200000,2.580000,3.100000,3.100000,19100
2001-11-17,3.200000,4.000000,3.200000,3.890000,3.890000,38600
2001-11-24,4.000000,4.100000,3.210000,3.210000,3.210000,55300
2001-12-01,3.190000,3.360000,3.000000,3.250000,3.250000,19100
2001-12-08,3.250000,3.450000,3.250000,3.450000,3.450000,9600
2001-12-15,3.400000,3.410000,2.640000,2.640000,2.640000,22000
2001-12-22,2.700000,2.800000,2.700000,2.800000,2.800000,4900
2001-12-29,2.900000,2.950000,2.660000,2.670000,2.670000,15900
2002-01-05,2.600000,2.950000,2.600000,2.950000,2.950000,9300
2002-01-12,3.000000,3.100000,2.860000,2.950000,2.950000,8700
2002-01-19,2.850000,3.000000,2.850000,2.900000,2.900000,4200
2002-01-26,2.900000,2.900000,2.700000,2.700000,2.700000,6400
2002-02-02,2.700000,2.740000,2.500000,2.500000,2.500000,6900
2002-02-09,2.500000,2.500000,2.400000,2.490000,2.490000,13100
2002-02-16,2.450000,2.450000,2.350000,2.400000,2.400000,4600
2002-02-23,2.500000,2.500000,2.300000,2.300000,2.300000,4800
2002-03-02,2.500000,2.600000,2.350000,2.600000,2.600000,6100
2002-03-09,2.700000,2.700000,2.600000,2.700000,2.700000,5000
2002-03-16,2.600000,2.700000,2.600000,2.600000,2.600000,4500
2002-03-23,2.600000,2.800000,2.510000,2.550000,2.550000,11100
2002-03-30,2.500000,2.650000,2.500000,2.510000,2.510000,7700
2002-04-06,2.600000,2.800000,2.550000,2.610000,2.610000,16600
2002-04-13,2.700000,2.930000,2.700000,2.920000,2.920000,8300
2002-04-20,2.810000,2.950000,2.810000,2.900000,2.900000,3000
2002-04-27,2.820000,3.000000,2.800000,2.850000,2.850000,16500
2002-05-04,2.900000,2.900000,2.700000,2.750000,2.750000,2800
2002-05-11,2.750000,2.750000,2.600000,2.600000,2.600000,5600
2002-05-18,2.500000,2.600000,2.500000,2.550000,2.550000,10800
2002-05-25,2.550000,2.600000,2.550000,2.600000,2.600000,4000
2002-06-01,2.600000,2.600000,2.550000,2.600000,2.600000,4000
2002-06-08,2.600000,2.600000,2.600000,2.600000,2.600000,1000
2002-06-15,2.550000,2.550000,2.100000,2.120000,2.120000,12400
2002-06-22,2.120000,2.200000,2.050000,2.150000,2.150000,8000
2002-06-29,2.150000,2.150000,2.100000,2.130000,2.130000,4400
2002-07-06,2.130000,2.250000,2.130000,2.150000,2.150000,3600
2002-07-13,2.290000,2.290000,2.150000,2.150000,2.150000,1700
2002-07-20,2.150000,2.150000,2.000000,2.000000,2.000000,2100
2002-07-27,2.000000,2.000000,1.850000,1.900000,1.900000,4600
2002-08-03,1.900000,1.900000,1.800000,1.900000,1.900000,2100
2002-08-10,1.940000,2.100000,1.750000,1.750000,1.750000,12700
2002-08-17,1.750000,1.750000,1.700000,1.740000,1.740000,3100
2002-08-24,1.740000,1.750000,1.650000,1.650000,1.650000,2000
2002-08-31,1.550000,1.550000,1.540000,1.540000,1.540000,1300
2002-09-07,1.540000,1.640000,1.540000,1.640000,1.640000,2500
2002-09-14,1.640000,1.700000,1.640000,1.700000,1.700000,2500
2002-09-21,1.700000,1.700000,1.560000,1.600000,1.600000,900
2002-09-28,1.600000,1.600000,1.350000,1.350000,1.350000,9000
2002-10-05,1.350000,1.350000,0.700000,0.800000,0.800000,37400
2002-10-12,0.750000,0.750000,0.700000,0.750000,0.750000,7300
2002-10-19,0.700000,0.800000,0.700000,0.750000,0.750000,2700
2002-10-26,0.750000,0.750000,0.690000,0.700000,0.700000,14500
2002-11-02,0.700000,0.720000,0.680000,0.700000,0.700000,17100
2002-11-09,0.700000,2.000000,0.600000,1.890000,1.890000,200000
2002-11-16,1.990000,2.000000,1.800000,1.850000,1.850000,46500
2002-11-23,1.850000,1.900000,1.800000,1.900000,1.900000,1900
2002-11-30,1.900000,1.990000,1.890000,1.950000,1.950000,60800
2002-12-07,1.920000,1.920000,1.810000,1.880000,1.880000,13700
2002-12-14,1.810000,1.990000,1.800000,1.800000,1.800000,18600
2002-12-21,1.800000,1.800000,1.700000,1.700000,1.700000,1500
2002-12-28,1.680000,1.690000,1.500000,1.550000,1.550000,9300
2003-01-04,1.620000,1.620000,1.620000,1.620000,1.620000,4500
2003-01-11,1.620000,1.620000,1.500000,1.500000,1.500000,5700
2003-01-18,1.500000,1.500000,1.490000,1.490000,1.490000,400
2003-01-25,1.490000,1.490000,1.410000,1.410000,1.410000,400
2003-02-01,1.410000,1.450000,1.410000,1.450000,1.450000,200
2003-02-08,1.450000,1.450000,1.300000,1.300000,1.300000,1200
2003-02-15,1.300000,1.300000,1.200000,1.200000,1.200000,2000
2003-02-22,1.200000,1.200000,1.100000,1.100000,1.100000,2000
2003-03-01,1.100000,1.100000,1.100000,1.100000,1.100000,0
2003-03-08,1.100000,1.100000,1.100000,1.100000,1.100000,0
2003-03-15,1.100000,1.100000,0.820000,1.000000,1.000000,24200
2003-03-22,1.050000,1.200000,1.050000,1.190000,1.190000,6700
2003-03-29,1.190000,1.290000,1.150000,1.150000,1.150000,24200
2003-04-05,1.200000,1.200000,1.200000,1.200000,1.200000,500
2003-04-12,1.150000,1.200000,1.150000,1.200000,1.200000,6700
2003-04-19,1.210000,1.230000,1.200000,1.230000,1.230000,5000
2003-04-26,1.230000,1.250000,1.150000,1.250000,1.250000,7500
2003-05-03,1.250000,1.350000,1.250000,1.350000,1.350000,1000
2003-05-10,1.350000,1.350000,0.850000,1.050000,1.050000,18200
2003-05-17,1.010000,1.100000,1.010000,1.080000,1.080000,4900
2003-05-24,1.080000,1.300000,1.070000,1.250000,1.250000,4300
2003-05-31,1.500000,2.000000,1.200000,1.200000,1.200000,27700
2003-06-07,1.000000,1.150000,1.000000,1.150000,1.150000,12500
2003-06-14,1.150000,1.150000,1.050000,1.080000,1.080000,4100
2003-06-21,1.100000,1.100000,1.000000,1.010000,1.010000,9600
2003-06-28,1.010000,1.200000,1.000000,1.200000,1.200000,3800
2003-07-05,1.200000,1.990000,1.200000,1.700000,1.700000,74900
2003-07-12,1.770000,1.990000,1.610000,1.900000,1.900000,14100
2003-07-19,1.850000,1.870000,1.600000,1.600000,1.600000,6800
2003-07-26,1.500000,1.510000,1.180000,1.500000,1.500000,17200
2003-08-02,1.510000,1.510000,1.220000,1.290000,1.290000,10500
2003-08-09,1.300000,1.300000,1.270000,1.270000,1.270000,300
2003-08-16,1.220000,1.550000,1.220000,1.530000,1.530000,15400
2003-08-23,1.530000,1.750000,1.510000,1.600000,1.600000,9200
2003-08-30,1.510000,1.540000,1.300000,1.490000,1.490000,33900
2003-09-06,1.490000,1.500000,1.410000,1.410000,1.410000,35400
2003-09-13,1.490000,1.550000,1.400000,1.470000,1.470000,4700
2003-09-20,1.400000,1.470000,1.360000,1.370000,1.370000,43500
2003-09-27,1.380000,1.380000,1.380000,1.380000,1.380000,2000
2003-10-04,1.380000,1.430000,1.320000,1.430000,1.430000,5400
