Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,19.000000,19.250000,17.500000,18.000000,18.000000,740200
2000-01-08,18.062500,18.250000,17.750000,17.937500,17.937500,270800
2000-01-15,17.906250,18.000000,17.500000,17.625000,17.625000,406900
2000-01-22,17.625000,17.687500,15.000000,15.312500,15.312500,750900
2000-01-29,15.500000,15.500000,14.250000,15.125000,15.125000,623600
2000-02-05,15.125000,15.437500,13.875000,14.312500,14.312500,297200
2000-02-12,14.250000,14.500000,13.750000,13.875000,13.875000,266300
2000-02-19,13.781250,14.375000,6.781250,7.375000,7.375000,3142400
2000-02-26,7.625000,7.750000,6.375000,7.437500,7.437500,3500100
2000-03-04,7.562500,8.250000,7.250000,7.250000,7.250000,1034300
2000-03-11,7.250000,7.750000,6.875000,7.687500,7.687500,1138500
2000-03-18,7.750000,8.437500,7.250000,7.718750,7.718750,667100
2000-03-25,7.703125,8.000000,7.000000,7.500000,7.500000,735000
2000-04-01,7.250000,7.750000,7.000000,7.250000,7.250000,893800
2000-04-08,7.312500,7.312500,5.562500,5.718750,5.718750,749200
2000-04-15,5.875000,6.500000,5.687500,6.187500,6.187500,920700
2000-04-22,6.062500,7.500000,5.875000,7.437500,7.437500,1728200
2000-04-29,7.500000,9.375000,7.437500,8.750000,8.750000,3133300
2000-05-06,8.750000,10.500000,8.375000,9.937500,9.937500,1671400
2000-05-13,9.937500,12.125000,9.937500,12.000000,12.000000,1738900
2000-05-20,12.000000,13.125000,11.750000,12.625000,12.625000,697800
2000-05-27,12.562500,13.687500,12.125000,13.062500,13.062500,815100
2000-06-03,13.000000,13.375000,10.937500,12.375000,12.375000,770000
2000-06-10,12.125000,13.000000,12.125000,13.000000,13.000000,747100
2000-06-17,13.000000,13.000000,11.125000,11.125000,11.125000,623200
2000-06-24,11.031250,12.000000,10.250000,10.750000,10.750000,1072100
2000-07-01,10.656250,10.750000,10.250000,10.500000,10.500000,355200
2000-07-08,10.406250,11.062500,10.000000,11.062500,11.062500,882600
2000-07-15,11.031250,12.437500,11.000000,12.312500,12.312500,278700
2000-07-22,12.250000,12.375000,10.250000,10.750000,10.750000,339500
2000-07-29,10.625000,11.812500,10.625000,11.750000,11.750000,203700
2000-08-05,11.468750,11.500000,10.875000,11.062500,11.062500,211600
2000-08-12,11.062500,11.562500,10.500000,11.000000,11.000000,186600
2000-08-19,10.875000,12.500000,10.812500,12.500000,12.500000,444400
2000-08-26,12.375000,12.437500,8.187500,8.375000,8.375000,574600
2000-09-02,8.671875,9.312500,8.625000,9.218750,9.218750,649600
2000-09-09,9.000000,10.500000,8.750000,10.000000,10.000000,1181400
2000-09-16,10.250000,10.750000,9.937500,10.250000,10.250000,326900
2000-09-23,10.187500,10.500000,10.062500,10.125000,10.125000,734200
2000-09-30,10.187500,10.187500,9.187500,9.406250,9.406250,353300
2000-10-07,9.250000,9.562500,8.437500,8.937500,8.937500,351100
2000-10-14,9.000000,9.000000,7.937500,8.250000,8.250000,157700
2000-10-21,8.359375,8.812500,8.000000,8.718750,8.718750,199800
2000-10-28,8.687500,9.187500,8.562500,9.187500,9.187500,150600
2000-11-04,9.171875,9.312500,8.703125,9.125000,9.125000,430300
2000-11-11,8.937500,9.375000,4.156250,4.500000,4.500000,5024000
2000-11-18,4.500000,4.968750,3.875000,4.593750,4.593750,2064800
2000-11-25,4.750000,4.812500,3.250000,4.093750,4.093750,1264400
2000-12-02,4.093750,4.375000,3.750000,3.937500,3.937500,1627300
2000-12-09,4.187500,5.562500,3.937500,5.375000,5.375000,796200
2000-12-16,5.250000,6.093750,5.000000,5.890625,5.890625,1451800
2000-12-23,6.187500,8.875000,6.093750,8.687500,8.687500,865200
2000-12-30,8.578125,8.625000,7.125000,7.937500,7.937500,477800
2001-01-06,7.937500,8.187500,7.250000,7.750000,7.750000,384100
2001-01-13,7.750000,7.750000,6.812500,7.062500,7.062500,409300
2001-01-20,7.062500,7.187500,6.750000,7.062500,7.062500,524100
2001-01-27,7.000000,7.968750,6.500000,6.625000,6.625000,1222300
2001-02-03,6.687500,7.437500,6.375000,7.062500,7.062500,407900
2001-02-10,6.937500,7.250000,6.625000,7.000000,7.000000,270500
2001-02-17,7.000000,7.125000,6.062500,6.468750,6.468750,346600
2001-02-24,6.500000,6.562500,5.625000,6.312500,6.312500,302100
2001-03-03,6.187500,9.562500,6.187500,9.500000,9.500000,1227800
2001-03-10,9.281250,9.500000,8.062500,8.687500,8.687500,2067500
2001-03-17,8.750000,9.187500,8.062500,9.125000,9.125000,607700
2001-03-24,9.125000,9.187500,8.625000,8.937500,8.937500,422200
2001-03-31,8.937500,9.000000,7.437500,7.687500,7.687500,560100
2001-04-07,7.630000,9.000000,7.620000,9.000000,9.000000,216600
2001-04-14,8.990000,9.150000,8.640000,9.060000,9.060000,221100
