Date,Open,High,Low,Close,Adj Close,Volume
2019-03-18,12.500000,14.496000,12.500000,14.496000,14.496000,9800
2019-03-25,15.190000,21.030001,15.190000,21.030001,21.030001,1200
2019-04-01,22.850000,22.850000,13.900000,16.270000,16.270000,1751900
2019-04-08,16.270000,19.889999,15.160000,18.290001,18.290001,2609400
2019-04-15,18.000000,18.870001,15.010000,15.560000,15.560000,673100
2019-04-22,15.750000,17.415001,15.235000,15.500000,15.500000,525700
2019-04-29,15.610000,16.818001,15.040000,15.300000,15.300000,612400
2019-05-06,15.200000,17.459999,15.110000,16.639999,16.639999,482900
2019-05-13,15.660000,15.690000,13.495000,14.610000,14.610000,836100
2019-05-20,14.470000,15.730000,14.470000,15.150000,15.150000,669400
2019-05-27,15.250000,15.340000,12.470000,13.950000,13.950000,585600
2019-06-03,13.930000,13.970000,10.000000,10.120000,10.120000,1151700
2019-06-10,10.200000,10.630000,9.100000,9.780000,9.780000,868700
2019-06-17,9.670000,12.230000,9.060000,11.120000,11.120000,1318400
2019-06-24,11.260000,12.005000,10.495000,11.450000,11.450000,2362100
2019-07-01,11.640000,12.420000,11.280000,12.150000,12.150000,617800
2019-07-08,12.050000,12.730000,11.720000,12.470000,12.470000,737600
2019-07-15,12.500000,12.860000,11.650000,11.980000,11.980000,572000
2019-07-22,11.880000,12.330000,9.720000,9.770000,9.770000,543600
2019-07-29,9.790000,10.250000,8.390000,8.810000,8.810000,464200
2019-08-05,8.710000,9.470000,8.140000,8.800000,8.800000,276300
2019-08-12,8.370000,9.070000,7.830000,8.850000,8.850000,292400
2019-08-19,9.090000,10.960000,8.280000,8.830000,8.830000,1020800
2019-08-26,8.890000,10.290000,8.310000,9.510000,9.510000,339500
2019-09-02,9.460000,10.970000,9.150000,10.100000,10.100000,373900
2019-09-09,10.160000,12.230000,9.765000,11.140000,11.140000,558000
2019-09-16,10.960000,14.830000,10.960000,14.540000,14.540000,751400
2019-09-23,14.440000,14.535000,13.150000,13.250000,13.250000,481200
2019-09-30,13.220000,13.750000,8.420000,8.720000,8.720000,455500
2019-10-07,8.690000,9.570000,8.060000,8.670000,8.670000,270100
2019-10-14,8.640000,10.830000,8.100000,9.540000,9.540000,233600
