Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,10.812500,13.312500,10.687500,12.250000,12.250000,686000
2000-01-08,12.125000,13.250000,11.625000,12.875000,12.875000,378300
2000-01-15,12.875000,15.125000,12.750000,13.562500,13.562500,1057300
2000-01-22,13.562500,13.750000,12.000000,12.625000,12.625000,398800
2000-01-29,12.375000,13.000000,11.187500,12.500000,12.500000,750300
2000-02-05,12.375000,13.062500,12.000000,12.750000,12.750000,624300
2000-02-12,12.625000,13.375000,9.875000,11.000000,11.000000,1052500
2000-02-19,11.312500,11.625000,10.625000,10.812500,10.812500,1390000
2000-02-26,10.625000,11.750000,10.500000,10.625000,10.625000,366800
2000-03-04,11.062500,11.125000,10.250000,10.500000,10.500000,660600
2000-03-11,10.000000,10.625000,8.187500,8.562500,8.562500,987900
2000-03-18,8.750000,9.937500,8.500000,9.500000,9.500000,353000
2000-03-25,9.656250,9.875000,9.000000,9.250000,9.250000,238300
2000-04-01,9.250000,9.625000,8.125000,8.875000,8.875000,573400
2000-04-08,8.812500,9.250000,7.375000,7.625000,7.625000,316400
2000-04-15,7.125000,8.125000,6.750000,7.125000,7.125000,327300
2000-04-22,7.000000,7.125000,5.437500,5.437500,5.437500,948900
2000-04-29,5.625000,6.125000,5.562500,5.718750,5.718750,661300
2000-05-06,5.625000,6.125000,5.187500,5.812500,5.812500,2234600
2000-05-13,5.750000,5.812500,5.375000,5.375000,5.375000,440300
2000-05-20,5.375000,5.500000,4.625000,5.062500,5.062500,455900
2000-05-27,5.250000,5.750000,4.875000,5.750000,5.750000,907600
2000-06-03,5.687500,6.125000,5.000000,5.843750,5.843750,403600
2000-06-10,5.843750,6.000000,5.500000,5.531250,5.531250,881700
2000-06-17,5.656250,6.625000,5.187500,6.296875,6.296875,1523900
2000-06-24,6.000000,7.375000,5.937500,6.500000,6.500000,435300
2000-07-01,6.625000,7.500000,6.500000,7.250000,7.250000,158500
2000-07-08,7.250000,7.375000,6.625000,7.062500,7.062500,308900
2000-07-15,7.046875,7.812500,6.625000,6.687500,6.687500,334600
2000-07-22,6.750000,7.062500,6.000000,6.125000,6.125000,190500
2000-07-29,6.281250,6.562500,6.125000,6.218750,6.218750,163100
2000-08-05,6.218750,6.500000,6.031250,6.031250,6.031250,224500
2000-08-12,6.031250,6.875000,6.000000,6.875000,6.875000,155500
2000-08-19,6.718750,6.875000,6.250000,6.875000,6.875000,167500
2000-08-26,6.937500,8.500000,6.437500,7.687500,7.687500,426300
2000-09-02,7.500000,8.187500,7.062500,8.000000,8.000000,376400
2000-09-09,8.000000,9.062500,7.750000,8.875000,8.875000,387400
2000-09-16,8.906250,8.937500,7.562500,7.750000,7.750000,423600
2000-09-23,7.750000,8.187500,7.437500,7.875000,7.875000,161900
2000-09-30,7.500000,8.000000,7.250000,7.312500,7.312500,172000
2000-10-07,7.000000,7.250000,6.437500,6.875000,6.875000,377000
2000-10-14,6.812500,7.312500,6.625000,6.625000,6.625000,208700
2000-10-21,6.625000,6.625000,5.375000,6.375000,6.375000,394700
2000-10-28,6.281250,7.250000,6.000000,6.250000,6.250000,210500
2000-11-04,6.250000,8.375000,6.125000,8.125000,8.125000,1264000
2000-11-11,8.000000,9.250000,7.250000,8.375000,8.375000,738500
2000-11-18,8.187500,8.312500,6.500000,6.750000,6.750000,158500
2000-11-25,6.937500,7.687500,5.531250,6.687500,6.687500,326400
2000-12-02,6.875000,8.312500,6.625000,8.250000,8.250000,423100
2000-12-09,8.078125,8.078125,7.000000,7.125000,7.125000,614800
2000-12-16,7.000000,7.375000,5.812500,6.000000,6.000000,533500
2000-12-23,6.000000,6.687500,6.000000,6.125000,6.125000,759200
2000-12-30,6.312500,7.125000,6.125000,6.875000,6.875000,272600
2001-01-06,6.812500,8.000000,6.500000,7.500000,7.500000,302000
