Date,Open,High,Low,Close,Adj Close,Volume
2006-10-30,960.000000,960.000000,960.000000,960.000000,960.000000,1
2006-11-06,960.000000,960.000000,960.000000,960.000000,960.000000,0
2006-11-13,960.000000,960.000000,960.000000,960.000000,960.000000,0
2006-11-20,960.000000,960.000000,960.000000,960.000000,960.000000,0
2006-11-27,960.000000,960.000000,960.000000,960.000000,960.000000,0
2006-12-04,960.000000,1530.000000,960.000000,1530.000000,1530.000000,4
2006-12-11,1530.000000,1530.000000,1530.000000,1530.000000,1530.000000,0
2006-12-18,1530.000000,1530.000000,1530.000000,1530.000000,1530.000000,0
2006-12-25,1530.000000,1530.000000,1530.000000,1530.000000,1530.000000,0
2007-01-01,1530.000000,7500.000000,1530.000000,7500.000000,7500.000000,2
2007-01-08,7500.000000,7500.000000,4500.000000,4500.000000,4500.000000,5
2007-01-15,4500.000000,4800.000000,810.000000,4500.000000,4500.000000,3
2007-01-22,4500.000000,4500.000000,480.000000,600.000000,600.000000,55
2007-01-29,870.000000,900.000000,450.000000,450.000000,450.000000,40
2007-02-05,360.000000,360.000000,360.000000,360.000000,360.000000,9
2007-02-12,360.000000,750.000000,300.000000,450.000000,450.000000,3
2007-02-19,750.000000,900.000000,600.000000,900.000000,900.000000,19
2007-02-26,900.000000,900.000000,780.000000,780.000000,780.000000,2
2007-03-05,780.000000,780.000000,780.000000,780.000000,780.000000,2
2007-03-12,780.000000,780.000000,450.000000,450.000000,450.000000,5
2007-03-19,450.000000,450.000000,240.000000,240.000000,240.000000,22
2007-03-26,240.000000,240.000000,240.000000,240.000000,240.000000,0
2007-04-02,240.000000,240.000000,240.000000,240.000000,240.000000,3
2007-04-09,240.000000,240.000000,150.000000,150.000000,150.000000,14
2007-04-16,150.000000,150.000000,150.000000,150.000000,150.000000,0
2007-04-23,150.000000,450.000000,150.000000,300.000000,300.000000,21
2007-04-30,300.000000,300.000000,240.000000,240.000000,240.000000,1
2007-05-07,240.000000,240.000000,240.000000,240.000000,240.000000,0
2007-05-14,270.000000,330.000000,270.000000,300.000000,300.000000,40
2007-05-21,300.000000,330.000000,200.000000,300.000000,300.000000,189
2007-05-28,340.000000,570.000000,300.000000,570.000000,570.000000,146
2007-06-04,570.000000,700.000000,550.000000,650.000000,650.000000,216
2007-06-11,622.000000,750.000000,520.000000,650.000000,650.000000,106
2007-06-18,650.000000,650.000000,370.000000,370.000000,370.000000,64
2007-06-25,310.000000,570.000000,310.000000,570.000000,570.000000,38
2007-07-02,570.000000,570.000000,262.000000,360.000000,360.000000,43
2007-07-09,320.000000,600.000000,300.000000,540.000000,540.000000,170
2007-07-16,540.000000,590.000000,460.000000,460.000000,460.000000,74
2007-07-23,550.000000,600.000000,270.000000,270.000000,270.000000,477
2007-07-30,480.000000,490.000000,320.000000,420.000000,420.000000,104
2007-08-06,370.000000,400.000000,300.000000,390.000000,390.000000,56
2007-08-13,390.000000,390.000000,270.000000,290.000000,290.000000,54
2007-08-20,300.000000,300.000000,220.000000,300.000000,300.000000,39
2007-08-27,240.000000,340.000000,220.000000,220.000000,220.000000,67
2007-09-03,220.000000,300.000000,130.000000,210.000000,210.000000,168
2007-09-10,230.000000,250.000000,200.000000,200.000000,200.000000,61
2007-09-17,140.000000,240.000000,140.000000,220.000000,220.000000,69
2007-09-24,210.000000,220.000000,140.000000,200.000000,200.000000,34
2007-10-01,200.000000,360.000000,200.000000,360.000000,360.000000,44
2007-10-08,300.000000,300.000000,220.000000,220.000000,220.000000,19
2007-10-15,240.000000,280.000000,120.000000,260.000000,260.000000,170
2007-10-22,260.000000,390.000000,260.000000,302.000000,302.000000,171
2007-10-29,302.000000,424.000000,290.000000,350.000000,350.000000,143
2007-11-05,350.000000,420.000000,350.000000,370.000000,370.000000,180
2007-11-12,350.000000,380.000000,260.000000,300.000000,300.000000,141
2007-11-19,300.000000,370.000000,270.000000,270.000000,270.000000,52
2007-11-26,300.000000,370.000000,270.000000,300.000000,300.000000,95
2007-12-03,300.000000,300.000000,220.000000,280.000000,280.000000,41
2007-12-10,280.000000,400.000000,270.000000,340.000000,340.000000,161
2007-12-17,338.000000,340.000000,240.000000,280.000000,280.000000,122
2007-12-24,338.000000,340.000000,282.000000,282.000000,282.000000,78
2007-12-31,330.000000,338.000000,280.000000,280.000000,280.000000,81
2008-01-07,280.000000,280.000000,240.000000,280.000000,280.000000,56
2008-01-14,280.000000,300.000000,260.000000,280.000000,280.000000,57
2008-01-21,280.000000,280.000000,232.000000,270.000000,270.000000,83
2008-01-28,240.000000,270.000000,210.000000,250.000000,250.000000,82
2008-02-04,270.000000,280.000000,180.000000,268.000000,268.000000,55
2008-02-11,268.000000,268.000000,150.000000,202.000000,202.000000,65
2008-02-18,228.000000,228.000000,152.000000,202.000000,202.000000,82
2008-02-25,170.000000,202.000000,140.000000,202.000000,202.000000,133
2008-03-03,130.000000,202.000000,130.000000,202.000000,202.000000,148
2008-03-10,202.000000,202.000000,150.000000,168.000000,168.000000,68
2008-03-17,180.000000,190.000000,140.000000,190.000000,190.000000,93
2008-03-24,190.000000,190.000000,130.000000,150.000000,150.000000,315
2008-03-31,150.000000,202.000000,150.000000,196.000000,196.000000,537
2008-04-07,194.000000,194.000000,130.000000,140.000000,140.000000,377
2008-04-14,150.000000,200.000000,150.000000,150.000000,150.000000,215
2008-04-21,112.000000,200.000000,112.000000,142.000000,142.000000,133
2008-04-28,120.000000,140.000000,120.000000,120.000000,120.000000,20
2008-05-05,190.000000,190.000000,120.000000,120.000000,120.000000,173
2008-05-12,190.000000,190.000000,120.000000,150.000000,150.000000,248
2008-05-19,140.000000,150.000000,80.000000,110.000000,110.000000,371
2008-05-26,110.000000,140.000000,110.000000,126.000000,126.000000,78
2008-06-02,126.000000,140.000000,110.000000,130.000000,130.000000,330
2008-06-09,130.000000,160.000000,60.000000,148.000000,148.000000,1701
2008-06-16,140.000000,180.000000,130.000000,170.000000,170.000000,734
2008-06-23,180.000000,200.000000,110.000000,160.000000,160.000000,1549
2008-06-30,140.000000,160.000000,140.000000,150.000000,150.000000,754
2008-07-07,140.000000,140.000000,120.000000,130.000000,130.000000,400
2008-07-14,128.000000,250.000000,128.000000,196.000000,196.000000,2738
2008-07-21,196.000000,206.000000,180.000000,202.000000,202.000000,880
2008-07-28,202.000000,240.000000,202.000000,230.000000,230.000000,389
2008-08-04,224.000000,226.000000,190.000000,196.000000,196.000000,183
2008-08-11,202.000000,202.000000,172.000000,180.000000,180.000000,234
2008-08-18,180.000000,180.000000,170.000000,180.000000,180.000000,53
2008-08-25,180.000000,180.000000,160.000000,160.000000,160.000000,85
2008-09-01,150.000000,156.000000,146.000000,156.000000,156.000000,61
2008-09-08,146.000000,150.000000,120.000000,120.000000,120.000000,458
2008-09-15,120.000000,166.000000,120.000000,164.000000,164.000000,910
2008-09-22,160.000000,224.000000,160.000000,224.000000,224.000000,818
2008-09-29,224.000000,226.000000,196.000000,206.000000,206.000000,803
2008-10-06,210.000000,210.000000,160.000000,170.000000,170.000000,780
2008-10-13,170.000000,220.000000,160.000000,190.000000,190.000000,1202
2008-10-20,200.000000,210.000000,188.000000,200.000000,200.000000,555
2008-10-27,182.000000,200.000000,172.000000,190.000000,190.000000,194
2008-11-03,188.000000,190.000000,174.000000,174.000000,174.000000,211
2008-11-10,184.000000,190.000000,170.000000,180.000000,180.000000,378
