Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,7.500000,7.750000,6.750000,7.062500,7.062500,118600
2000-01-08,7.125000,7.500000,6.750000,7.437500,7.437500,148100
2000-01-15,7.500000,7.500000,6.625000,6.625000,6.625000,183300
2000-01-22,6.750000,7.000000,5.500000,6.125000,6.125000,197700
2000-01-29,6.125000,6.406250,5.625000,5.875000,5.875000,88700
2000-02-05,5.937500,6.125000,5.750000,6.000000,6.000000,369200
2000-02-12,6.125000,6.750000,5.625000,5.937500,5.937500,275100
2000-02-19,6.000000,6.187500,5.500000,5.812500,5.812500,54700
2000-02-26,5.750000,6.125000,5.562500,5.750000,5.750000,191000
2000-03-04,5.875000,6.187500,5.500000,5.500000,5.500000,125900
2000-03-11,5.625000,6.625000,5.500000,6.000000,6.000000,156900
2000-03-18,6.000000,6.000000,5.500000,5.812500,5.812500,138600
2000-03-25,5.875000,5.875000,4.062500,4.437500,4.437500,1338800
2000-04-01,4.437500,4.531250,4.125000,4.500000,4.500000,588700
2000-04-08,4.531250,4.562500,4.000000,4.062500,4.062500,475600
2000-04-15,4.250000,4.375000,4.000000,4.250000,4.250000,207500
2000-04-22,4.375000,4.375000,4.125000,4.125000,4.125000,257400
2000-04-29,4.250000,4.500000,4.062500,4.437500,4.437500,162700
2000-05-06,4.375000,4.500000,4.125000,4.437500,4.437500,210100
2000-05-13,4.437500,4.437500,4.000000,4.015625,4.015625,309200
2000-05-20,4.093750,4.093750,3.750000,3.750000,3.750000,286100
2000-05-27,3.750000,3.937500,3.500000,3.625000,3.625000,258700
2000-06-03,3.625000,3.625000,3.500000,3.500000,3.500000,301900
2000-06-10,3.546875,6.437500,3.500000,4.750000,4.750000,590100
2000-06-17,4.750000,4.750000,4.000000,4.250000,4.250000,102100
2000-06-24,4.218750,4.625000,3.625000,3.875000,3.875000,91700
2000-07-01,4.000000,4.875000,4.000000,4.625000,4.625000,157100
2000-07-08,4.625000,5.062500,4.625000,5.000000,5.000000,75900
2000-07-15,5.000000,5.875000,5.000000,5.718750,5.718750,233500
2000-07-22,5.625000,5.750000,5.187500,5.250000,5.250000,131800
2000-07-29,5.187500,5.500000,5.062500,5.312500,5.312500,85600
2000-08-05,5.250000,5.250000,4.906250,4.937500,4.937500,130000
2000-08-12,5.000000,5.125000,4.625000,4.625000,4.625000,78800
2000-08-19,4.562500,4.687500,4.500000,4.500000,4.500000,36900
2000-08-26,4.625000,4.625000,3.562500,3.968750,3.968750,221500
2000-09-02,4.000000,4.750000,3.875000,4.062500,4.062500,161100
2000-09-09,4.125000,4.375000,3.875000,4.062500,4.062500,170900
2000-09-16,4.187500,4.187500,3.750000,4.000000,4.000000,90000
2000-09-23,3.843750,4.000000,3.468750,3.875000,3.875000,486000
2000-09-30,3.625000,3.750000,3.375000,3.625000,3.625000,73400
2000-10-07,3.625000,3.750000,3.375000,3.375000,3.375000,67600
2000-10-14,3.562500,3.625000,3.250000,3.312500,3.312500,142700
2000-10-21,3.375000,3.375000,3.000000,3.187500,3.187500,92100
2000-10-28,3.187500,3.250000,3.000000,3.250000,3.250000,156100
2000-11-04,3.187500,3.250000,2.875000,3.000000,3.000000,546100
2000-11-11,3.000000,3.234375,2.937500,2.937500,2.937500,253200
2000-11-18,3.000000,3.250000,2.750000,3.250000,3.250000,158600
2000-11-25,3.234375,3.250000,2.812500,3.218750,3.218750,153600
2000-12-02,3.125000,3.187500,2.812500,3.062500,3.062500,91400
2000-12-09,3.187500,3.187500,2.875000,3.062500,3.062500,93200
2000-12-16,2.875000,3.000000,2.500000,2.562500,2.562500,181700
2000-12-23,2.562500,2.875000,2.187500,2.375000,2.375000,348300
2000-12-30,2.500000,2.750000,2.250000,2.750000,2.750000,108700
2001-01-06,2.437500,2.812500,2.437500,2.562500,2.562500,130800
2001-01-13,2.781250,2.937500,2.500000,2.875000,2.875000,546900
2001-01-20,2.875000,2.875000,2.375000,2.562500,2.562500,532900
2001-01-27,2.562500,2.625000,1.875000,2.375000,2.375000,1325300
2001-02-03,2.437500,2.562500,2.312500,2.468750,2.468750,219800
2001-02-10,2.500000,2.875000,2.281250,2.750000,2.750000,124900
2001-02-17,2.750000,2.812500,2.437500,2.437500,2.437500,23900
2001-02-24,2.437500,3.750000,2.437500,2.906250,2.906250,170900
2001-03-03,3.250000,3.343750,2.500000,3.031250,3.031250,61700
2001-03-10,3.187500,3.187500,2.781250,2.781250,2.781250,64900
2001-03-17,2.750000,3.187500,2.625000,3.125000,3.125000,74900
2001-03-24,3.125000,3.375000,2.781250,3.125000,3.125000,71000
2001-03-31,3.125000,3.312500,3.000000,3.062500,3.062500,63400
2001-04-07,3.060000,3.200000,3.060000,3.120000,3.120000,30400
2001-04-14,3.100000,3.200000,3.090000,3.150000,3.150000,36600
2001-04-21,3.120000,4.750000,3.100000,4.230000,4.230000,184600
2001-04-28,4.400000,4.990000,3.350000,3.450000,3.450000,219100
2001-05-05,3.670000,4.200000,3.490000,3.810000,3.810000,50500
2001-05-12,4.050000,4.500000,3.700000,3.950000,3.950000,36700
2001-05-19,3.750000,5.240000,3.750000,5.150000,5.150000,451000
2001-05-26,5.160000,5.470000,4.900000,5.350000,5.350000,198300
2001-06-02,5.250000,5.250000,4.250000,4.550000,4.550000,153900
2001-06-09,4.500000,4.550000,4.230000,4.500000,4.500000,61300
2001-06-16,4.510000,4.700000,4.210000,4.300000,4.300000,37300
2001-06-23,4.210000,4.780000,4.080000,4.750000,4.750000,69000
2001-06-30,4.700000,4.700000,4.510000,4.550000,4.550000,16800
2001-07-07,4.550000,4.750000,4.420000,4.740000,4.740000,43500
2001-07-14,4.210000,5.000000,4.200000,4.900000,4.900000,65500
2001-07-21,4.950000,4.980000,4.500000,4.930000,4.930000,15100
2001-07-28,4.530000,5.000000,4.530000,4.610000,4.610000,40000
2001-08-04,4.610000,5.000000,4.500000,4.890000,4.890000,38400
2001-08-11,4.650000,5.000000,4.600000,5.000000,5.000000,27800
2001-08-18,4.750000,4.910000,4.610000,4.900000,4.900000,17100
2001-08-25,4.840000,5.050000,4.620000,5.050000,5.050000,94200
2001-09-01,4.700000,5.040000,4.500000,5.000000,5.000000,76600
2001-09-08,4.520000,5.000000,4.520000,5.000000,5.000000,10400
2001-09-15,4.650000,4.870000,3.500000,3.800000,3.800000,141000
2001-09-22,3.430000,5.000000,3.430000,5.000000,5.000000,141200
2001-09-29,4.990000,5.000000,4.210000,5.000000,5.000000,122000
2001-10-06,4.940000,5.100000,4.500000,4.900000,4.900000,72500
2001-10-13,4.890000,5.030000,4.560000,5.000000,5.000000,21400
2001-10-20,4.940000,5.000000,4.400000,4.900000,4.900000,125300
2001-10-27,4.750000,4.860000,4.370000,4.800000,4.800000,35100
2001-11-03,4.800000,4.940000,4.170000,4.800000,4.800000,69800
2001-11-10,4.680000,4.900000,4.680000,4.900000,4.900000,67100
2001-11-17,4.700000,4.900000,4.600000,4.900000,4.900000,15100
2001-11-24,4.860000,5.000000,4.350000,5.000000,5.000000,207600
