Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,1.312500,1.312500,1.312500,1.312500,0.709897,1350
2000-01-08,1.312500,1.958333,1.312500,1.833333,0.991602,25500
2000-01-15,1.916667,1.916667,1.500000,1.500000,0.811310,2850
2000-01-22,1.916667,1.916667,1.500000,1.541667,0.833847,15600
2000-01-29,1.708333,1.750000,1.583333,1.666667,0.911878,22200
2000-02-05,1.666667,1.916667,1.312500,1.750000,0.957471,27150
2000-02-12,1.916667,4.604167,1.583333,2.229167,1.219637,370950
2000-02-19,2.479167,2.479167,1.875000,2.333333,1.276629,77550
2000-02-26,2.541667,3.333333,1.937500,3.291667,1.800958,246750
2000-03-04,3.333333,3.625000,2.833333,3.125000,1.709771,236700
2000-03-11,3.083333,3.208333,2.666667,3.000000,1.641379,60300
2000-03-18,2.916667,3.250000,2.500000,3.250000,1.778161,75300
2000-03-25,3.083333,3.166667,2.833333,2.833333,1.550192,33300
2000-04-01,3.083333,3.083333,2.333333,2.416667,1.322223,40950
2000-04-08,2.333333,2.541667,1.833333,2.000000,1.094253,36750
2000-04-15,1.833333,2.000000,1.500000,2.000000,1.094253,1350
2000-04-22,2.000000,2.333333,2.000000,2.291667,1.253832,1950
2000-04-29,2.291667,2.416667,1.750000,2.333333,1.287666,11250
2000-05-06,2.666667,3.333333,2.666667,3.333333,1.839523,51600
2000-05-13,3.291667,3.291667,2.541667,3.000000,1.655570,40050
2000-05-20,3.000000,3.083333,2.666667,2.750000,1.517606,16050
2000-05-27,2.916667,3.500000,2.916667,3.500000,1.931498,76200
2000-06-03,3.583333,6.541667,3.500000,5.583333,3.081201,640650
2000-06-10,6.333333,6.416667,3.666667,4.250000,2.345392,485700
2000-06-17,4.531250,5.416667,4.083333,4.166667,2.299404,248700
2000-06-24,3.729167,4.333333,3.333333,3.333333,1.839523,59700
2000-07-01,3.333333,4.500000,3.250000,4.000000,2.207428,87300
2000-07-08,4.000000,4.000000,3.416667,3.750000,2.069463,89700
2000-07-15,3.666667,5.000000,3.666667,3.875000,2.138446,205500
2000-07-22,3.958333,3.958333,3.333333,3.333333,1.839523,47700
2000-07-29,3.500000,3.750000,3.333333,3.583333,1.977487,13050
2000-08-05,3.916667,3.916667,3.250000,3.354167,1.851020,23400
2000-08-12,3.208333,3.750000,3.125000,3.500000,1.942599,25200
2000-08-19,3.500000,3.625000,3.250000,3.625000,2.011978,7050
2000-08-26,3.583333,3.625000,3.166667,3.333333,1.850095,39450
2000-09-02,3.333333,3.791667,3.333333,3.583333,1.988852,34050
2000-09-09,3.583333,4.250000,3.583333,4.166667,2.312619,39150
2000-09-16,4.000000,4.000000,3.291667,3.666667,2.035104,20100
2000-09-23,3.500000,3.500000,3.041667,3.208333,1.780716,12750
2000-09-30,3.208333,3.625000,3.041667,3.500000,1.942599,33900
2000-10-07,3.479167,3.541667,3.291667,3.333333,1.850095,15450
2000-10-14,3.333333,3.500000,3.000000,3.500000,1.942599,24750
2000-10-21,3.500000,3.500000,3.375000,3.458333,1.919473,11700
2000-10-28,3.416667,3.500000,3.250000,3.500000,1.942599,19500
2000-11-04,3.500000,3.666667,3.166667,3.583333,2.000282,14250
2000-11-11,3.750000,3.833333,3.291667,3.833333,2.139837,72900
2000-11-18,3.833333,4.000000,3.291667,3.500000,1.953764,51150
2000-11-25,3.500000,3.500000,2.083333,2.833333,1.581618,68850
2000-12-02,2.833333,3.083333,2.666667,3.000000,1.674654,26100
2000-12-09,3.000000,3.000000,2.666667,2.666667,1.488582,3150
2000-12-16,2.833333,2.833333,2.333333,2.541667,1.418805,11550
2000-12-23,2.666667,3.291667,2.666667,3.041667,1.697914,39450
2000-12-30,2.916667,3.666667,2.833333,3.666667,2.046801,13950
2001-01-06,3.666667,3.916667,3.375000,3.750000,2.093319,20850
2001-01-13,3.666667,3.833333,3.666667,3.666667,2.046801,12900
2001-01-20,3.666667,3.666667,3.625000,3.666667,2.046801,6150
2001-01-27,3.666667,3.666667,3.500000,3.500000,1.953764,22050
2001-02-03,3.916667,5.625000,3.916667,4.208333,2.349169,70650
2001-02-10,4.208333,4.583333,3.541667,3.833333,2.139837,35400
2001-02-17,4.041667,4.083333,3.666667,3.666667,2.046801,13950
2001-02-24,3.833333,4.750000,3.375000,3.500000,1.964239,48850
2001-03-03,3.625000,3.875000,3.500000,3.750000,2.104543,14100
2001-03-10,3.750000,3.812500,2.437500,2.812500,1.578407,67100
2001-03-17,2.875000,3.312500,2.187500,2.562500,1.438104,60700
2001-03-24,2.500000,2.562500,2.437500,2.562500,1.438104,24000
2001-03-31,2.500000,2.937500,2.437500,2.500000,1.403029,24900
2001-04-07,2.610000,2.690000,2.370000,2.690000,1.509658,17800
2001-04-14,2.740000,3.450000,2.540000,3.150000,1.767816,34900
2001-04-21,3.230000,3.340000,2.890000,2.940000,1.649961,16600
2001-04-28,3.090000,3.900000,3.090000,3.400000,1.908119,52000
2001-05-05,3.410000,3.500000,3.320000,3.350000,1.880058,8700
2001-05-12,3.300000,3.850000,3.260000,3.600000,2.020361,20200
2001-05-19,3.500000,4.910000,3.200000,4.100000,2.300967,77400
2001-05-26,4.000000,4.220000,4.000000,4.220000,2.387778,11400
2001-06-02,4.000000,4.100000,3.890000,4.000000,2.263296,8000
2001-06-09,4.000000,4.000000,3.750000,3.760000,2.127499,33900
2001-06-16,3.980000,3.980000,3.750000,3.750000,2.121841,13400
2001-06-23,3.750000,3.800000,3.290000,3.800000,2.150131,3600
2001-06-30,3.800000,3.800000,3.410000,3.680000,2.082233,2800
2001-07-07,3.680000,3.790000,3.680000,3.680000,2.082233,3300
2001-07-14,3.680000,4.000000,3.400000,3.700000,2.093550,5600
2001-07-21,3.700000,3.990000,3.700000,3.850000,2.178423,4300
2001-07-28,3.850000,4.150000,3.770000,4.100000,2.319879,44300
2001-08-04,3.870000,4.050000,3.650000,4.000000,2.263296,21100
2001-08-11,4.000000,4.050000,3.550000,3.560000,2.014334,19100
2001-08-18,3.560000,3.920000,3.380000,3.920000,2.218031,2500
2001-08-25,3.920000,4.090000,3.570000,3.900000,2.226476,11800
2001-09-01,3.900000,3.990000,3.200000,3.200000,1.826852,16500
2001-09-08,3.200000,3.200000,3.200000,3.200000,1.826852,0
2001-09-15,3.210000,3.480000,3.200000,3.200000,1.826852,5700
2001-09-22,3.200000,3.200000,2.790000,2.970000,1.695547,17900
2001-09-29,2.950000,3.000000,2.940000,2.950000,1.684129,3700
2001-10-06,3.000000,3.200000,2.800000,2.910000,1.661294,76900
2001-10-13,3.240000,3.250000,3.000000,3.000000,1.712673,5200
2001-10-20,3.000000,3.190000,3.000000,3.050000,1.741218,1600
2001-10-27,3.050000,3.050000,3.050000,3.050000,1.741218,700
2001-11-03,3.050000,3.170000,2.900000,3.170000,1.809725,2700
2001-11-10,3.100000,3.300000,3.010000,3.300000,1.883941,34300
2001-11-17,3.300000,3.400000,3.100000,3.200000,1.826852,24500
2001-11-24,3.280000,3.470000,3.120000,3.150000,1.815273,27700
2001-12-01,3.200000,3.600000,3.200000,3.400000,1.959342,34900
2001-12-08,3.400000,3.500000,3.370000,3.370000,1.942053,3300
2001-12-15,3.500000,4.230000,3.500000,3.950000,2.276294,49300
2001-12-22,3.950000,4.030000,3.710000,4.020000,2.316634,2200
2001-12-29,4.040000,4.160000,4.010000,4.120000,2.374261,16400
2002-01-05,4.130000,4.200000,3.970000,4.030000,2.322396,32700
2002-01-12,4.240000,4.240000,4.010000,4.020000,2.316634,10000
2002-01-19,4.020000,4.090000,4.000000,4.090000,2.356972,5700
2002-01-26,4.080000,4.080000,3.900000,4.040000,2.328159,7400
2002-02-02,3.950000,4.070000,3.680000,3.880000,2.235955,23800
2002-02-09,3.870000,3.870000,3.680000,3.720000,2.143749,6600
2002-02-16,3.680000,3.680000,3.620000,3.620000,2.102724,9400
2002-02-23,3.620000,3.620000,3.200000,3.250000,1.887804,7100
2002-03-02,3.460000,3.740000,3.300000,3.740000,2.172427,5900
2002-03-09,3.730000,4.100000,3.510000,3.800000,2.207279,22700
2002-03-16,3.990000,4.190000,3.810000,4.100000,2.381537,21700
2002-03-23,4.150000,4.150000,4.000000,4.000000,2.323451,2200
2002-03-30,4.000000,4.170000,4.000000,4.170000,2.422198,13400
2002-04-06,4.170000,4.170000,4.070000,4.100000,2.381537,12300
2002-04-13,4.130000,4.920000,4.130000,4.850000,2.817184,32400
2002-04-20,4.920000,4.990000,4.650000,4.650000,2.701011,17600
2002-04-27,4.790000,4.790000,3.920000,4.450000,2.584839,41500
2002-05-04,4.440000,4.570000,4.360000,4.380000,2.544178,29600
2002-05-11,4.450000,4.450000,4.080000,4.240000,2.462858,9300
2002-05-18,4.260000,4.560000,4.120000,4.120000,2.393154,14600
2002-05-25,4.080000,4.230000,4.050000,4.230000,2.473917,5100
2002-06-01,4.200000,4.200000,3.600000,4.100000,2.397887,19100
2002-06-08,4.010000,4.370000,4.000000,4.050000,2.368644,7200
2002-06-15,4.190000,4.300000,4.010000,4.300000,2.514856,1100
2002-06-22,4.310000,4.390000,3.880000,4.390000,2.567493,14800
2002-06-29,4.250000,4.340000,4.000000,4.100000,2.397887,3200
2002-07-06,4.100000,4.240000,3.880000,3.880000,2.269220,14300
2002-07-13,3.920000,4.240000,3.590000,3.880000,2.269220,20000
2002-07-20,3.610000,3.690000,3.060000,3.590000,2.099613,12600
2002-07-27,3.590000,3.590000,3.060000,3.060000,1.789641,2400
2002-08-03,3.260000,3.400000,3.020000,3.020000,1.766248,10300
2002-08-10,3.040000,3.500000,3.040000,3.440000,2.030924,8700
2002-08-17,3.530000,3.530000,3.210000,3.210000,1.895136,2200
2002-08-24,3.230000,3.230000,3.020000,3.070000,1.812483,4300
2002-08-31,3.080000,3.080000,3.000000,3.010000,1.777060,15800
2002-09-07,3.000000,3.100000,3.000000,3.000000,1.771156,8300
2002-09-14,3.000000,3.110000,2.950000,3.080000,1.818387,40200
2002-09-21,3.000000,3.100000,2.810000,2.970000,1.753444,12400
2002-09-28,2.970000,3.490000,2.430000,2.700000,1.594040,40000
2002-10-05,3.120000,3.250000,2.780000,2.800000,1.653078,8500
2002-10-12,2.940000,2.940000,2.840000,2.870000,1.694405,7600
