Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,9.800000,10.000000,9.700000,9.760000,9.760000,2607800
2020-09-21,9.780000,9.850000,9.730000,9.730000,9.730000,868600
2020-09-28,9.800000,9.850000,9.700000,9.770000,9.770000,528700
2020-10-05,9.840000,9.840000,9.710000,9.750000,9.750000,30900
2020-10-12,9.750000,9.750000,9.690000,9.690000,9.690000,418200
2020-10-19,9.750000,9.750000,9.700000,9.710000,9.710000,141600
2020-10-26,9.720000,9.750000,9.700000,9.700000,9.700000,348600
2020-11-02,9.750000,9.770000,9.700000,9.750000,9.750000,509500
2020-11-09,9.750000,9.830000,9.690000,9.830000,9.830000,1164500
2020-11-16,9.760000,9.830000,9.680000,9.780000,9.780000,632400
2020-11-23,9.749000,9.918000,9.735000,9.880000,9.880000,96800
2020-11-30,9.900000,9.930000,9.675000,9.930000,9.930000,267800
2020-12-07,9.940000,10.040000,9.820000,9.930000,9.930000,120500
2020-12-14,9.960000,10.050000,9.860000,9.960000,9.960000,599600
2020-12-21,9.961000,10.010000,9.900000,9.980000,9.980000,192400
2020-12-28,10.010000,10.350000,10.000000,10.070000,10.070000,481800
