Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,7.605956,7.693381,7.605956,7.605956,3.148878,1144
2000-01-08,7.431106,7.693381,7.256257,7.256257,3.004102,5720
2000-01-15,7.693381,8.043080,7.081407,7.343682,3.040297,64627
2000-01-22,8.043080,8.043080,7.081407,7.081407,2.931714,2860
2000-01-29,7.343682,8.217930,6.993983,7.955655,3.293655,23163
2000-02-05,7.955655,8.217930,7.737093,7.737093,3.203169,74922
2000-02-12,7.824518,7.824518,7.168832,7.168832,2.967908,10295
2000-02-19,6.950270,7.649668,6.906558,6.906558,2.859327,4862
2000-02-26,6.906558,7.605956,6.906558,7.605956,3.148878,3146
2000-03-04,6.906558,7.605956,6.644283,7.605956,3.148878,20303
2000-03-11,7.605956,9.791576,6.644283,8.742478,3.646536,29740
2000-03-18,8.742478,8.742478,7.474819,7.474819,3.117789,102660
2000-03-25,7.605956,7.605956,6.819133,7.081407,2.953696,35458
2000-04-01,7.081407,7.338218,6.950270,7.037695,2.935462,4290
2000-04-08,7.037695,7.125120,6.993983,7.125120,2.971927,13440
2000-04-15,7.562244,7.605956,7.081407,7.168832,2.990160,4004
2000-04-22,7.168832,7.600492,6.906558,6.906558,2.880765,28597
2000-04-29,7.256257,7.256257,6.906558,7.168832,2.990160,3146
2000-05-06,7.168832,7.431106,7.168832,7.431106,3.099556,572
2000-05-13,7.431106,7.431106,7.343682,7.343682,3.063092,3146
2000-05-20,7.343682,7.343682,6.906558,6.906558,2.880765,4576
2000-05-27,6.906558,6.906558,6.906558,6.906558,2.880765,0
2000-06-03,6.993983,7.343682,6.976498,6.976498,2.909938,16968
2000-06-10,6.976498,6.976498,6.907651,6.976498,2.933981,5720
2000-06-17,6.930600,6.976498,6.517518,6.517518,2.740955,20698
2000-06-24,6.609314,7.527274,6.242129,6.976498,2.933981,44119
2000-07-01,6.976498,7.710866,6.884702,7.710866,3.242821,9804
2000-07-08,7.343682,7.710866,7.343682,7.664968,3.223519,2995
2000-07-15,7.664968,7.664968,6.976498,6.976498,2.933981,7898
2000-07-22,6.976498,7.045345,6.884702,6.884702,2.895375,5447
2000-07-29,6.884702,6.884702,6.792906,6.792906,2.856771,1362
