Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,17.250000,18.687500,16.500000,17.656250,8.060863,6404000
2000-01-08,18.406250,19.500000,18.281250,19.250000,8.788483,5517600
2000-01-15,19.125000,19.531250,18.625000,19.437500,8.874093,6507200
2000-01-22,19.437500,21.250000,19.375000,20.593750,9.401972,19331800
2000-01-29,20.625000,21.843750,20.281250,21.500000,9.815707,14402600
2000-02-05,21.312500,21.468750,20.593750,20.625000,9.416231,10799400
2000-02-12,20.625000,20.750000,19.718750,19.781250,9.031024,9506600
2000-02-19,19.812500,20.312500,18.812500,19.281250,8.802752,7488600
2000-02-26,19.281250,19.906250,18.656250,19.750000,9.073736,7188000
2000-03-04,19.750000,19.875000,18.843750,19.125000,8.786588,8146600
2000-03-11,19.031250,20.375000,18.500000,19.250000,8.844016,6515000
2000-03-18,19.125000,19.593750,18.593750,19.000000,8.729159,5979200
2000-03-25,18.812500,19.343750,17.968750,18.437500,8.470731,7320200
2000-04-01,18.625000,21.000000,18.281250,19.843750,9.116811,8258000
2000-04-08,19.875000,22.468750,19.843750,21.484375,9.870556,8514200
2000-04-15,20.906250,21.562500,19.875000,20.812500,9.561877,4003800
2000-04-22,20.937500,22.093750,20.812500,20.843750,9.576234,4570200
2000-04-29,20.656250,21.812500,20.312500,21.500000,9.877737,5463600
2000-05-06,21.500000,22.875000,21.500000,22.312500,10.251024,6452400
2000-05-13,22.218750,22.875000,21.406250,21.718750,9.978236,4726600
2000-05-20,22.062500,23.406250,22.062500,22.593750,10.380237,7599800
2000-05-27,22.625000,22.687500,21.406250,21.750000,10.047194,6720200
2000-06-03,21.562500,22.187500,20.750000,22.156250,10.234862,5797400
2000-06-10,22.031250,22.687500,21.218750,21.562500,9.960586,9421400
2000-06-17,21.718750,21.781250,20.750000,21.156250,9.772921,6665000
2000-06-24,21.187500,21.687500,20.125000,20.156250,9.310983,6728000
2000-07-01,20.281250,21.250000,20.250000,20.625000,9.527515,2991800
2000-07-08,20.625000,21.812500,20.625000,21.343750,9.859536,4419800
2000-07-15,21.281250,22.500000,21.281250,22.000000,10.162684,5524000
2000-07-22,22.031250,22.062500,21.406250,21.750000,10.047194,5317600
2000-07-29,21.500000,23.000000,21.312500,23.000000,10.624625,7085000
2000-08-05,22.843750,23.812500,22.687500,23.664063,10.931379,4990800
2000-08-12,23.625000,24.875000,23.562500,24.343750,11.245352,5966000
2000-08-19,24.250000,24.625000,23.812500,23.906250,11.043255,4179800
2000-08-26,23.656250,24.343750,23.656250,24.156250,11.158739,11615200
2000-09-02,24.375000,27.000000,24.250000,26.859375,12.472639,11659200
2000-09-09,26.937500,29.593750,26.937500,29.257813,13.586395,18613800
2000-09-16,29.250000,29.250000,26.406250,28.031250,13.016815,9243000
2000-09-23,28.000000,30.687500,27.500000,30.289063,14.065273,10438800
2000-09-30,30.406250,31.281250,27.468750,28.312500,13.147419,11155000
2000-10-07,28.250000,30.250000,28.218750,28.968750,13.452164,12096400
2000-10-14,29.250000,31.250000,29.062500,29.750000,13.814959,11332400
2000-10-21,29.750000,31.031250,26.937500,29.000000,13.466675,17061200
2000-10-28,29.125000,30.625000,28.218750,28.562500,13.298833,11717400
2000-11-04,28.437500,30.000000,27.593750,29.843750,13.895389,11912600
2000-11-11,30.062500,30.906250,29.156250,30.593750,14.244592,13375600
2000-11-18,30.468750,31.718750,30.000000,30.781250,14.331889,7075400
2000-11-25,31.187500,33.625000,30.437500,32.250000,15.015748,14843000
2000-12-02,32.325001,33.744999,31.325001,33.325001,15.516269,10921000
2000-12-09,33.000000,34.145000,31.625000,31.870001,14.838816,13086000
2000-12-16,32.700001,34.599998,31.725000,34.235001,15.939970,12309000
2000-12-23,34.250000,35.500000,34.200001,35.105000,16.345049,10339800
2000-12-30,34.875000,34.875000,28.400000,29.850000,13.898294,20636800
2001-01-06,30.450001,31.350000,27.270000,28.480000,13.260419,19746800
2001-01-13,28.600000,29.900000,26.799999,29.684999,13.821465,14307000
2001-01-20,29.775000,31.209999,29.250000,30.415001,14.161355,10916200
2001-01-27,30.975000,31.485001,29.955000,30.570000,14.233531,10500000
2001-02-03,30.500000,32.849998,30.490000,32.625000,15.190351,10535000
2001-02-10,32.740002,33.244999,31.629999,32.064999,14.929608,11662400
2001-02-17,32.674999,33.740002,31.879999,32.355000,15.194427,10208800
2001-02-24,32.355000,33.494999,31.955000,33.314999,15.645253,8666400
2001-03-03,33.500000,33.575001,32.125000,32.349998,15.192072,8686600
2001-03-10,32.355000,32.625000,30.900000,31.975000,15.015971,11832800
2001-03-17,31.924999,32.244999,29.575001,29.895000,14.039170,12550000
2001-03-24,29.889999,32.980000,29.889999,32.799999,15.403399,11684800
2001-03-31,32.799999,34.474998,31.605000,32.330002,15.182687,19218800
2001-04-07,31.950001,34.555000,31.950001,33.505001,15.734485,11890400
2001-04-14,33.450001,34.990002,33.150002,33.490002,15.727437,12726800
2001-04-21,33.615002,35.130001,33.615002,34.294998,16.105482,13408800
2001-04-28,34.509998,34.845001,33.299999,34.000000,15.966945,11645800
2001-05-05,34.125000,34.619999,33.709999,34.494999,16.199404,9573800
2001-05-12,34.650002,34.924999,33.875000,34.189999,16.155300,10993200
2001-05-19,34.165001,34.625000,33.435001,33.500000,15.829258,13059600
2001-05-26,33.900002,33.950001,33.150002,33.645000,15.897769,7019800
2001-06-02,33.645000,33.705002,31.570000,32.345001,15.283500,12232200
2001-06-09,32.750000,33.650002,31.754999,32.650002,15.427623,12610200
2001-06-16,33.000000,33.849998,31.049999,32.025002,15.132298,14581400
2001-06-23,32.150002,32.474998,31.395000,32.060001,15.148839,10930200
2001-06-30,31.750000,32.985001,31.725000,32.950001,15.569371,6157400
2001-07-07,32.974998,33.825001,32.360001,32.445000,15.330752,9073800
2001-07-14,32.445000,33.240002,30.075001,30.275000,14.305396,10254400
2001-07-21,30.299999,30.525000,26.500000,28.950001,13.679317,32920200
2001-07-28,29.025000,29.870001,28.049999,29.355000,13.870679,17937400
2001-08-04,28.799999,29.020000,27.250000,27.665001,13.072132,14194200
2001-08-11,27.549999,27.684999,26.715000,27.455000,12.972911,9550600
2001-08-18,26.980000,28.094999,26.975000,27.910000,13.289501,8417600
2001-08-25,27.950001,28.459999,27.225000,27.299999,12.999044,11099800
2001-09-01,27.375000,27.840000,26.975000,27.584999,13.134747,10683800
2001-09-08,27.645000,27.650000,27.209999,27.635000,13.158557,3223400
2001-09-15,27.400000,27.485001,25.209999,25.525000,12.153867,13712600
2001-09-22,26.200001,26.200001,19.375000,22.299999,10.618262,34973600
2001-09-29,22.450001,22.830000,21.750000,22.799999,10.856344,19186600
2001-10-06,22.549999,22.825001,21.650000,22.475000,10.701592,12113800
2001-10-13,22.549999,22.834999,21.174999,21.915001,10.434947,14579600
2001-10-20,22.000000,22.450001,19.825001,20.525000,9.773091,36072400
2001-10-27,20.575001,21.205000,20.400000,20.680000,9.846893,21522200
2001-11-03,20.930000,22.350000,20.885000,21.875000,10.415899,13754000
2001-11-10,21.875000,21.975000,21.215000,21.424999,10.201624,18175800
2001-11-17,21.424999,21.830000,21.000000,21.629999,10.399589,6546600
2001-11-24,21.629999,22.350000,21.200001,22.305000,10.724121,15918600
2001-12-01,22.305000,22.725000,21.750000,22.700001,10.914032,13473800
2001-12-08,22.700001,23.370001,22.254999,23.014999,11.065487,15465400
2001-12-15,23.014999,24.344999,22.650000,23.150000,11.130387,18068600
2001-12-22,23.200001,24.150000,23.200001,23.775000,11.430888,7439600
2001-12-29,23.750000,24.299999,23.565001,23.945000,11.512623,9052400
2002-01-05,24.125000,24.125000,23.170000,23.629999,11.361171,11791000
2002-01-12,23.635000,24.475000,23.350000,23.405001,11.252995,11371600
2002-01-19,23.405001,23.575001,22.950001,23.445000,11.272222,6363000
2002-01-26,23.320000,25.150000,23.290001,25.065001,12.051105,15288800
2002-02-02,24.950001,25.375000,24.799999,25.305000,12.166500,9410400
2002-02-09,25.305000,26.070000,24.825001,25.150000,12.091978,10689800
2002-02-16,24.825001,25.100000,24.100000,24.725000,11.989560,5946000
2002-02-23,24.450001,25.305000,24.350000,25.260000,12.248997,8452200
2002-03-02,25.309999,26.360001,25.075001,26.000000,12.607831,9326800
2002-03-09,25.750000,26.495001,25.700001,26.209999,12.709664,8985800
2002-03-16,26.000000,26.795000,25.850000,26.600000,12.898781,9704000
2002-03-23,26.674999,26.940001,25.875000,26.485001,12.843017,6530600
2002-03-30,26.125000,26.535000,25.830000,25.870001,12.544792,6541400
2002-04-06,25.870001,26.495001,25.725000,26.075001,12.644206,6045400
2002-04-13,26.000000,26.750000,25.600000,26.725000,12.959396,6994000
2002-04-20,26.650000,27.379999,26.600000,27.190001,13.184887,9062400
2002-04-27,27.174999,27.495001,26.555000,27.490000,13.330358,6758400
2002-05-04,27.495001,28.495001,27.495001,27.980000,13.567963,10172600
2002-05-11,27.735001,27.945000,25.049999,25.995001,12.605403,11614200
2002-05-18,25.969999,27.520000,25.575001,27.299999,13.343139,10716600
2002-05-25,27.299999,27.440001,26.715000,26.745001,13.071881,6394000
2002-06-01,26.850000,26.850000,25.450001,25.924999,12.671091,7826600
2002-06-08,25.924999,27.145000,25.750000,26.350000,12.878820,8603800
2002-06-15,26.549999,27.424999,26.245001,26.650000,13.025438,11022800
2002-06-22,26.650000,26.650000,25.250000,26.150000,12.781066,9244600
2002-06-29,26.150000,26.150000,24.799999,25.150000,12.292299,7089800
2002-07-06,25.150000,25.160000,22.500000,22.695000,11.092401,12238400
2002-07-13,22.125000,23.445000,20.875000,21.305000,10.413022,19710000
2002-07-20,21.305000,22.905001,18.924999,22.480000,10.987316,18241800
2002-07-27,22.250000,25.295000,21.850000,23.385000,11.429643,15884600
2002-08-03,23.584999,24.950001,23.299999,24.600000,12.023483,12454600
2002-08-10,24.504999,25.215000,23.900000,24.295000,11.874417,12912000
2002-08-17,24.195000,26.415001,24.135000,25.555000,12.601771,12278200
2002-08-24,25.680000,26.209999,23.299999,23.410000,11.544025,11360400
2002-08-31,22.924999,23.000000,21.950001,22.200001,10.947347,10924200
2002-09-07,22.200001,22.910000,21.660000,21.930000,10.814197,11185600
2002-09-14,21.500000,22.975000,21.075001,22.264999,10.979396,15021200
2002-09-21,22.125000,24.355000,21.799999,23.584999,11.630319,14326000
2002-09-28,23.584999,24.959999,23.070000,23.590000,11.632783,14196000
2002-10-05,23.715000,24.375000,21.190001,22.865000,11.275265,22645200
2002-10-12,22.865000,23.930000,22.350000,23.620001,11.647582,10919400
2002-10-19,23.125000,24.950001,22.950001,24.424999,12.044544,14519600
2002-10-26,24.459999,25.299999,24.250000,25.075001,12.365077,11606400
2002-11-02,25.090000,26.530001,24.959999,25.150000,12.402054,13301800
2002-11-09,25.155001,25.299999,24.254999,25.260000,12.456301,10716400
2002-11-16,25.385000,25.665001,24.375000,25.075001,12.476037,11172200
2002-11-23,25.080000,25.575001,24.850000,25.094999,12.485990,6487600
2002-11-30,25.600000,25.975000,24.700001,25.270000,12.573062,12987600
2002-12-07,25.325001,26.670000,25.290001,26.225000,13.048217,12682400
2002-12-14,26.230000,26.344999,25.559999,26.000000,12.936270,14967200
2002-12-21,26.250000,26.475000,25.969999,26.000000,12.936270,7940800
2002-12-28,26.200001,27.325001,26.045000,26.965000,13.416409,9317800
2003-01-04,27.000000,27.600000,26.570000,26.680000,13.274605,21160400
2003-01-11,26.684999,27.584999,26.684999,26.860001,13.364166,18960000
2003-01-18,26.785000,26.945000,25.510000,25.575001,12.724813,9762400
2003-01-25,25.174999,25.950001,24.629999,25.465000,12.670077,17168800
2003-02-01,25.500000,25.980000,24.520000,24.715000,12.296923,9960200
2003-02-08,24.715000,25.094999,23.040001,24.020000,11.951126,12498200
2003-02-15,24.049999,25.389999,24.000000,25.055000,12.585456,9019000
2003-02-22,25.000000,25.594999,24.455000,24.575001,12.344344,12158200
2003-03-01,24.750000,24.915001,24.129999,24.730000,12.422201,10600600
2003-03-08,24.639999,24.725000,23.875000,24.129999,12.120813,15289200
2003-03-15,24.150000,25.500000,24.139999,25.434999,12.776332,11116400
2003-03-22,25.440001,25.450001,24.625000,25.299999,12.708518,10184000
2003-03-29,25.299999,26.059999,24.825001,25.260000,12.688432,17327600
2003-04-05,25.549999,25.610001,24.895000,24.990000,12.552803,11687600
2003-04-12,25.090000,25.889999,25.025000,25.690001,12.904426,7520200
2003-04-19,25.690001,25.834999,25.350000,25.700001,12.909447,14933000
2003-04-26,25.775000,26.995001,25.715000,26.934999,13.529805,20249600
