Date,Open,High,Low,Close,Adj Close,Volume
2020-10-19,19.000000,20.299999,17.030001,18.120001,18.120001,2843500
2020-10-26,18.420000,18.559999,14.030000,15.980000,15.980000,1952600
2020-11-02,16.000000,16.709999,15.370000,15.980000,15.980000,682500
2020-11-09,16.240000,16.309999,15.650000,16.059999,16.059999,415000
2020-11-16,16.070000,18.610001,15.750000,16.930000,16.930000,940700
2020-11-23,17.500000,20.950001,16.490000,20.950001,20.950001,345300
2020-11-30,20.879999,21.040001,16.900000,20.200001,20.200001,838800
2020-12-07,20.459999,23.040001,19.469999,22.980000,22.980000,540500
2020-12-14,22.040001,28.264999,19.850000,25.879999,25.879999,2045000
2020-12-21,26.180000,26.639999,22.820000,24.629999,24.629999,602100
2020-12-28,24.930000,24.930000,21.059999,21.290001,21.290001,188300
