Date,Open,High,Low,Close,Adj Close,Volume
2018-07-23,35.900002,39.020000,35.009998,38.009998,38.009998,4843500
2018-07-30,37.689999,42.990002,36.020000,38.580002,38.580002,3308200
2018-08-06,38.360001,41.779999,38.360001,40.900002,40.900002,667800
2018-08-13,41.000000,41.560001,37.720001,38.500000,38.500000,575900
2018-08-20,38.610001,40.950001,36.270000,39.340000,39.340000,962100
2018-08-27,39.529999,42.820000,38.360001,42.090000,42.090000,1456500
2018-09-03,42.099998,49.520000,42.029999,46.910000,46.910000,1499200
2018-09-10,47.209999,48.430000,44.759998,45.040001,45.040001,1095800
2018-09-17,45.130001,48.950001,44.450001,47.650002,47.650002,4423100
2018-09-24,47.650002,49.250000,45.639999,47.459999,47.459999,1116300
2018-10-01,47.740002,48.369999,44.110001,45.310001,45.310001,980300
2018-10-08,45.180000,45.680000,39.330002,40.560001,40.560001,942300
2018-10-15,40.320000,44.970001,40.020000,41.840000,41.840000,566800
2018-10-22,41.959999,42.160000,37.660000,40.090000,40.090000,770800
2018-10-29,40.639999,44.389999,37.450001,38.450001,38.450001,1079900
2018-11-05,38.450001,40.060001,37.770000,38.200001,38.200001,1190400
2018-11-12,38.160000,39.470001,29.450001,31.219999,31.219999,3230300
2018-11-19,31.129999,32.290001,29.740000,30.850000,30.850000,590300
2018-11-26,30.559999,31.990000,30.000000,30.920000,30.920000,738500
2018-12-03,31.080000,31.830000,26.879999,27.450001,27.450001,1278800
2018-12-10,27.450001,29.090000,27.000000,28.650000,28.650000,1075100
2018-12-17,28.540001,29.230000,23.330000,24.090000,24.090000,1603800
2018-12-24,23.930000,26.520000,22.610001,25.549999,25.549999,812600
2018-12-31,26.150000,27.150000,24.540001,25.309999,25.309999,579400
2019-01-07,25.280001,27.830000,25.100000,26.730000,26.730000,774900
2019-01-14,26.469999,28.570000,26.090000,27.360001,27.360001,597500
2019-01-21,27.129999,28.900000,26.900000,28.389999,28.389999,394800
2019-01-28,28.030001,29.309999,26.750000,28.559999,28.559999,687100
2019-02-04,28.549999,30.650000,27.280001,28.190001,28.190001,503100
2019-02-11,28.209999,30.799999,27.750000,30.490000,30.490000,501800
2019-02-18,30.360001,34.590000,30.120001,33.910000,33.910000,845600
2019-02-25,34.000000,39.700001,33.500000,39.150002,39.150002,1517400
2019-03-04,39.650002,40.360001,36.220001,36.830002,36.830002,1407400
2019-03-11,36.990002,37.959999,36.119999,36.430000,36.430000,2856200
2019-03-18,36.549999,37.529999,31.540001,32.000000,32.000000,1727000
2019-03-25,31.950001,35.779999,31.950001,35.639999,35.639999,873600
2019-04-01,35.900002,37.950001,35.310001,36.610001,36.610001,685500
2019-04-08,36.450001,37.779999,36.090000,37.380001,37.380001,452700
2019-04-15,37.349998,38.230000,36.060001,36.799999,36.799999,547300
2019-04-22,36.430000,38.730000,36.400002,37.500000,37.500000,852200
2019-04-29,37.570000,39.150002,36.950001,38.750000,38.750000,1134300
2019-05-06,37.900002,39.369999,33.610001,34.080002,34.080002,1898800
2019-05-13,33.389999,33.410000,31.070000,31.360001,31.360001,1266600
2019-05-20,31.110001,31.410000,29.379999,29.430000,29.430000,1558200
2019-05-27,29.490000,30.209999,27.760000,28.049999,28.049999,1396500
2019-06-03,28.030001,28.590000,27.180000,27.600000,27.600000,1154600
2019-06-10,27.760000,28.780001,27.110001,27.750000,27.750000,753100
