Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.125000,3.187500,2.625000,2.875000,2.875000,162100
2000-01-08,2.625000,3.000000,2.500000,2.812500,2.812500,283200
2000-01-15,2.750000,3.312500,2.500000,3.000000,3.000000,328800
2000-01-22,3.062500,4.500000,3.000000,3.750000,3.750000,959600
2000-01-29,3.687500,3.937500,3.187500,3.562500,3.562500,170400
2000-02-05,3.343750,3.750000,2.875000,3.062500,3.062500,243400
2000-02-12,3.187500,3.906250,3.093750,3.500000,3.500000,131900
2000-02-19,3.500000,3.625000,3.125000,3.500000,3.500000,88800
2000-02-26,3.218750,3.968750,3.125000,3.625000,3.625000,318400
2000-03-04,3.625000,3.875000,3.250000,3.625000,3.625000,236000
2000-03-11,3.625000,3.625000,3.250000,3.500000,3.500000,74500
2000-03-18,3.281250,3.500000,2.875000,3.312500,3.312500,82000
2000-03-25,3.250000,3.375000,2.875000,3.125000,3.125000,72700
2000-04-01,2.937500,3.125000,2.125000,2.468750,2.468750,106200
2000-04-08,2.531250,2.750000,1.500000,1.500000,1.500000,142500
2000-04-15,1.562500,2.500000,1.500000,2.000000,2.000000,120200
2000-04-22,2.312500,2.312500,1.875000,2.000000,2.000000,95200
2000-04-29,2.125000,2.562500,2.000000,2.375000,2.375000,203100
2000-05-06,2.375000,2.390625,2.000000,2.000000,2.000000,138600
2000-05-13,2.125000,2.250000,1.687500,2.125000,2.125000,119300
2000-05-20,2.250000,2.250000,1.625000,2.000000,2.000000,61100
2000-05-27,2.125000,2.125000,1.500000,2.000000,2.000000,153600
2000-06-03,2.046875,2.500000,2.000000,2.250000,2.250000,106800
2000-06-10,2.343750,2.437500,2.125000,2.187500,2.187500,67500
2000-06-17,2.375000,2.375000,2.000000,2.125000,2.125000,233600
2000-06-24,2.187500,2.250000,1.812500,2.125000,2.125000,39700
2000-07-01,2.156250,2.187500,2.000000,2.156250,2.156250,17500
2000-07-08,2.156250,2.250000,2.000000,2.000000,2.000000,45600
