Date,Open,High,Low,Close,Adj Close,Volume
2012-04-23,12.500000,12.500000,12.000000,12.000000,12.000000,27100
2012-04-30,12.000000,12.250000,11.000000,11.150000,11.150000,21700
2012-05-07,11.100000,12.870000,10.950000,12.250000,12.250000,1434800
2012-05-14,11.900000,12.350000,11.620000,11.700000,11.700000,678600
2012-05-21,11.700000,12.680000,11.450000,12.290000,12.290000,937900
2012-05-28,12.330000,12.570000,11.510000,12.030000,12.030000,696400
2012-06-04,12.000000,12.840000,11.640000,12.710000,12.710000,785100
2012-06-11,12.750000,12.750000,11.770000,12.090000,12.090000,845700
2012-06-18,12.040000,13.100000,11.930000,12.530000,12.530000,1618800
2012-06-25,12.600000,13.410000,11.860000,13.230000,13.230000,1220700
2012-07-02,12.910000,14.560000,12.910000,14.370000,14.370000,1658600
2012-07-09,13.950000,15.880000,13.950000,15.560000,15.560000,763500
2012-07-16,15.530000,16.230000,14.510000,15.000000,15.000000,466300
2012-07-23,14.770000,15.250000,14.380000,15.150000,15.150000,527000
2012-07-30,15.190000,16.120001,14.920000,15.740000,15.740000,478600
2012-08-06,15.740000,16.680000,15.100000,16.139999,16.139999,843200
2012-08-13,16.110001,16.420000,15.860000,16.420000,16.420000,457200
2012-08-20,16.389999,17.110001,15.760000,15.890000,15.890000,796900
2012-08-27,15.780000,16.340000,15.010000,16.059999,16.059999,383700
2012-09-03,16.049999,16.410000,15.590000,16.250000,16.250000,339000
2012-09-10,16.250000,16.770000,16.010000,16.379999,16.379999,330500
2012-09-17,16.320000,17.570000,16.260000,16.760000,16.760000,620100
2012-09-24,16.750000,16.790001,15.530000,15.870000,15.870000,456400
2012-10-01,15.900000,16.049999,14.290000,14.360000,14.360000,340300
2012-10-08,14.270000,14.710000,13.630000,14.430000,14.430000,275100
2012-10-15,14.420000,14.840000,12.960000,13.390000,13.390000,433200
2012-10-22,13.270000,13.510000,13.000000,13.140000,13.140000,297800
2012-10-29,13.120000,13.500000,13.000000,13.100000,13.100000,124900
2012-11-05,13.070000,14.300000,13.070000,13.460000,13.460000,306300
2012-11-12,13.500000,15.500000,13.340000,15.010000,15.010000,382600
2012-11-19,15.120000,15.580000,14.890000,15.260000,15.260000,251600
2012-11-26,15.230000,15.480000,14.060000,15.040000,15.040000,421300
2012-12-03,15.110000,15.110000,13.420000,13.520000,13.520000,361900
2012-12-10,13.550000,15.950000,13.550000,15.710000,15.710000,436700
2012-12-17,15.800000,16.450001,14.470000,15.200000,15.200000,492400
2012-12-24,15.260000,15.920000,14.840000,15.120000,15.120000,112700
2012-12-31,15.100000,16.570000,14.870000,16.420000,16.420000,343500
2013-01-07,16.280001,16.709999,15.930000,16.549999,16.549999,189200
2013-01-14,16.410000,18.799999,16.410000,18.690001,18.690001,499400
2013-01-21,18.740000,18.950001,17.330000,18.070000,18.070000,147400
2013-01-28,18.030001,18.709999,17.049999,18.309999,18.309999,247400
2013-02-04,18.150000,18.590000,17.900000,18.299999,18.299999,186500
2013-02-11,18.340000,21.150000,18.110001,20.459999,20.459999,550800
2013-02-18,20.450001,21.049999,19.740000,20.129999,20.129999,257900
2013-02-25,21.040001,23.650000,20.459999,22.430000,22.430000,1700900
2013-03-04,22.350000,24.360001,22.320000,24.090000,24.090000,873400
2013-03-11,24.150000,25.150000,23.180000,24.860001,24.860001,738300
2013-03-18,24.000000,26.100000,23.520000,25.959999,25.959999,2723000
2013-03-25,26.150000,27.190001,25.590000,26.570000,26.570000,1073700
2013-04-01,26.450001,27.100000,25.010000,25.480000,25.480000,943100
2013-04-08,25.639999,26.030001,24.160000,24.730000,24.730000,422700
2013-04-15,24.590000,24.900000,23.270000,24.799999,24.799999,753000
2013-04-22,24.700001,26.180000,24.209999,25.980000,25.980000,945400
2013-04-29,26.230000,29.570000,26.030001,29.389999,29.389999,1443600
2013-05-06,29.389999,31.170000,27.120001,29.360001,29.360001,1660200
2013-05-13,29.400000,32.189999,29.010000,31.440001,31.440001,996800
2013-05-20,31.320000,34.799999,31.209999,33.990002,33.990002,952800
2013-05-27,34.570000,36.410000,34.130001,35.570000,35.570000,750500
2013-06-03,35.459999,37.450001,33.650002,34.799999,34.799999,2083900
2013-06-10,35.209999,36.439999,34.400002,35.180000,35.180000,848100
2013-06-17,35.410000,38.840000,35.360001,35.669998,35.669998,896800
2013-06-24,35.330002,35.330002,33.430000,34.360001,34.360001,1525000
2013-07-01,34.689999,35.419998,34.279999,35.000000,35.000000,635000
2013-07-08,35.209999,35.750000,34.029999,35.419998,35.419998,892600
2013-07-15,35.080002,35.500000,32.599998,33.669998,33.669998,994700
2013-07-22,33.450001,33.740002,31.530001,32.459999,32.459999,1076500
2013-07-29,32.450001,32.849998,30.530001,32.830002,32.830002,943500
2013-08-05,32.669998,35.430000,30.889999,34.730000,34.730000,1338200
2013-08-12,34.430000,34.959999,32.320000,33.029999,33.029999,725000
2013-08-19,32.990002,33.369999,31.320000,33.270000,33.270000,255800
2013-08-26,33.250000,33.250000,30.840000,32.669998,32.669998,538400
2013-09-02,32.639999,32.939999,30.820000,31.969999,31.969999,1114900
2013-09-09,32.669998,35.599998,32.639999,34.570000,34.570000,1849500
2013-09-16,34.910000,37.500000,34.150002,36.209999,36.209999,1343400
2013-09-23,36.320000,37.799999,34.660000,37.560001,37.560001,1277100
2013-09-30,37.000000,39.270000,36.080002,38.860001,38.860001,1153000
2013-10-07,38.340000,39.779999,35.400002,38.419998,38.419998,1267700
2013-10-14,38.250000,40.110001,37.709999,40.009998,40.009998,870000
2013-10-21,39.970001,42.770000,39.310001,41.459999,41.459999,1107800
2013-10-28,41.560001,42.930000,39.650002,41.560001,41.560001,1266700
2013-11-04,41.330002,44.650002,41.090000,42.990002,42.990002,1535100
2013-11-11,42.779999,49.400002,40.869999,47.939999,47.939999,3922000
2013-11-18,48.330002,49.230000,47.830002,48.520000,48.520000,1846300
2013-11-25,48.529999,49.939999,48.529999,48.970001,48.970001,583700
2013-12-02,49.009998,49.660000,47.290001,48.560001,48.560001,1607900
2013-12-09,48.549999,48.549999,44.310001,46.509998,46.509998,2453500
2013-12-16,46.889999,50.139999,46.860001,49.939999,49.939999,2513000
2013-12-23,50.000000,52.169998,50.000000,51.240002,51.240002,1109500
2013-12-30,51.360001,53.080002,51.099998,51.689999,51.689999,1312800
2014-01-06,52.259998,52.279999,49.009998,50.450001,50.450001,1596000
2014-01-13,50.599998,50.939999,46.189999,47.130001,47.130001,1174500
2014-01-20,47.279999,47.279999,42.619999,43.709999,43.709999,1713300
2014-01-27,43.700001,44.060001,42.099998,42.970001,42.970001,1550300
2014-02-03,42.980000,44.950001,39.720001,44.540001,44.540001,2025200
2014-02-10,44.619999,47.080002,43.770000,46.200001,46.200001,1715000
2014-02-17,46.200001,46.709999,45.009998,46.299999,46.299999,917000
2014-02-24,46.299999,52.070000,46.150002,50.230000,50.230000,2367600
2014-03-03,49.570000,50.779999,48.470001,50.500000,50.500000,1509400
2014-03-10,50.450001,51.660000,48.619999,49.150002,49.150002,1054900
2014-03-17,49.439999,50.029999,44.970001,47.630001,47.630001,1169000
2014-03-24,47.610001,47.610001,42.029999,45.279999,45.279999,1688100
2014-03-31,45.680000,46.250000,40.349998,40.560001,40.560001,1947800
2014-04-07,40.369999,40.840000,38.000000,39.049999,39.049999,2189300
2014-04-14,39.500000,40.990002,38.860001,39.430000,39.430000,1098600
2014-04-21,39.740002,41.220001,36.540001,36.810001,36.810001,1773300
2014-04-28,36.990002,38.549999,35.770000,37.320000,37.320000,1576100
2014-05-05,37.040001,40.799999,36.009998,36.450001,36.450001,2061200
2014-05-12,36.669998,38.450001,35.340000,37.130001,37.130001,1526700
2014-05-19,37.000000,39.060001,36.020000,38.720001,38.720001,1112400
2014-05-26,38.990002,41.209999,38.919998,40.270000,40.270000,1069100
2014-06-02,40.529999,42.900002,40.180000,42.680000,42.680000,1455100
2014-06-09,42.520000,44.349998,41.020000,42.049999,42.049999,1668500
2014-06-16,41.910000,45.049999,41.470001,44.880001,44.880001,1109000
2014-06-23,44.939999,46.480000,44.360001,46.310001,46.310001,1570500
2014-06-30,46.320000,47.430000,45.619999,46.560001,46.560001,837000
2014-07-07,46.360001,46.360001,43.950001,44.520000,44.520000,1244600
2014-07-14,45.060001,45.509998,43.939999,44.150002,44.150002,1452500
2014-07-21,43.849998,44.709999,41.700001,44.470001,44.470001,1578100
2014-07-28,44.549999,46.750000,44.290001,45.270000,45.270000,1201800
2014-08-04,45.529999,49.220001,43.330002,48.560001,48.560001,2048500
2014-08-11,48.990002,50.029999,48.240002,49.060001,49.060001,1130300
2014-08-18,49.630001,51.849998,49.090000,49.930000,49.930000,1160400
2014-08-25,50.169998,51.180000,49.000000,49.090000,49.090000,839100
2014-09-01,49.230000,49.919998,47.919998,48.820000,48.820000,779900
2014-09-08,48.700001,49.090000,47.599998,48.310001,48.310001,843800
2014-09-15,48.240002,51.770000,46.759998,51.490002,51.490002,1312000
2014-09-22,51.099998,51.209999,48.200001,50.080002,50.080002,996900
2014-09-29,49.410000,51.650002,48.689999,51.599998,51.599998,1177000
2014-10-06,51.700001,52.480000,48.080002,50.000000,50.000000,1462800
2014-10-13,50.180000,51.770000,48.509998,50.110001,50.110001,1927200
2014-10-20,49.959999,52.500000,49.599998,52.259998,52.259998,1223400
2014-10-27,51.990002,55.720001,51.750000,55.150002,55.150002,1771200
2014-11-03,55.430000,59.799999,53.240002,55.590000,55.590000,2573900
2014-11-10,55.580002,57.660000,54.790001,56.980000,56.980000,1330800
2014-11-17,56.799999,57.830002,54.070000,54.320000,54.320000,1006400
2014-11-24,54.520000,57.389999,54.520000,56.060001,56.060001,814100
2014-12-01,56.090000,58.849998,55.290001,57.459999,57.459999,1723500
2014-12-08,57.220001,63.549999,57.139999,62.849998,62.849998,2206600
2014-12-15,63.500000,64.180000,55.290001,56.509998,56.509998,2671000
2014-12-22,56.509998,59.020000,55.869999,58.320000,58.320000,804500
2014-12-29,58.230000,61.950001,57.189999,59.060001,59.060001,976800
2015-01-05,58.880001,61.090000,54.720001,59.000000,59.000000,1870800
2015-01-12,59.240002,59.840000,57.080002,59.250000,59.250000,1363100
2015-01-19,59.200001,60.150002,56.820000,59.419998,59.419998,1127100
2015-01-26,59.189999,60.299999,58.139999,59.070000,59.070000,1007600
2015-02-02,59.049999,64.089996,57.860001,63.439999,63.439999,1815200
2015-02-09,63.349998,66.239998,60.380001,61.799999,61.799999,1858400
2015-02-16,61.669998,69.000000,61.020000,64.959999,64.959999,3223900
2015-02-23,64.690002,66.739998,64.239998,65.010002,65.010002,1928400
2015-03-02,65.000000,66.309998,64.620003,64.889999,64.889999,1499500
2015-03-09,64.889999,65.919998,63.270000,64.930000,64.930000,1510400
2015-03-16,65.180000,67.699997,63.740002,65.559998,65.559998,1804800
2015-03-23,65.570000,67.669998,60.160000,61.970001,61.970001,2030900
2015-03-30,61.980000,63.040001,58.349998,60.770000,60.770000,1178800
2015-04-06,60.209999,62.740002,59.680000,61.240002,61.240002,910500
2015-04-13,61.310001,62.310001,57.209999,58.099998,58.099998,1342000
2015-04-20,58.560001,60.330002,54.299999,54.900002,54.900002,2281200
2015-04-27,55.230000,55.700001,47.610001,49.950001,49.950001,3693400
2015-05-04,50.549999,53.540001,49.020000,51.650002,51.650002,1999200
2015-05-11,51.619999,53.060001,49.459999,49.720001,49.720001,2008300
2015-05-18,49.639999,50.150002,47.730000,48.230000,48.230000,1655800
2015-05-25,48.000000,48.490002,46.500000,46.529999,46.529999,963700
2015-06-01,46.970001,48.340000,45.830002,48.049999,48.049999,1176800
2015-06-08,47.900002,53.560001,47.320000,52.299999,52.299999,1907700
2015-06-15,52.080002,53.709999,50.110001,53.009998,53.009998,1806300
2015-06-22,53.160000,53.570000,49.259998,49.939999,49.939999,1825000
2015-06-29,49.580002,51.119999,48.919998,49.529999,49.529999,963500
2015-07-06,49.279999,49.750000,47.549999,49.369999,49.369999,1225300
2015-07-13,49.750000,50.480000,48.830002,50.009998,50.009998,1179100
2015-07-20,50.130001,53.930000,50.130001,50.630001,50.630001,1421600
2015-07-27,50.209999,62.500000,49.750000,58.130001,58.130001,2582100
2015-08-03,58.430000,59.349998,54.509998,55.639999,55.639999,1423500
2015-08-10,55.939999,56.849998,54.450001,54.980000,54.980000,1050600
2015-08-17,54.919998,56.169998,51.439999,51.570000,51.570000,929700
2015-08-24,49.180000,53.139999,48.450001,52.209999,52.209999,1124800
2015-08-31,51.790001,52.740002,50.340000,51.259998,51.259998,834200
2015-09-07,51.919998,53.130001,50.400002,50.970001,50.970001,423300
2015-09-14,51.009998,51.400002,49.439999,49.490002,49.490002,755500
2015-09-21,49.869999,50.910000,46.090000,46.349998,46.349998,1082600
