Date,Open,High,Low,Close,Adj Close,Volume
2020-09-21,10.050000,10.470000,10.050000,10.340000,10.340000,784500
2020-09-28,10.440000,10.468000,10.100000,10.250000,10.250000,467100
2020-10-05,10.300000,10.300000,10.100000,10.165000,10.165000,39800
2020-10-12,10.150000,10.280000,10.060000,10.100000,10.100000,10600
2020-10-19,10.115000,10.250000,10.050000,10.100000,10.100000,81400
2020-10-26,10.100000,10.250000,10.000000,10.230000,10.230000,735100
2020-11-02,10.170000,10.240000,10.010000,10.150000,10.150000,165700
2020-11-09,10.240000,10.250000,10.050000,10.050000,10.050000,602100
2020-11-16,10.095000,10.422000,10.050000,10.150000,10.150000,181100
2020-11-23,10.290000,11.400000,10.150000,10.273000,10.273000,652000
2020-11-30,11.300000,11.350000,10.600000,10.830000,10.830000,315900
2020-12-07,10.701000,10.900000,10.360000,10.830000,10.830000,76000
2020-12-14,10.905000,10.980000,10.620000,10.670000,10.670000,77700
2020-12-21,10.898000,12.087000,10.820000,12.000000,12.000000,346700
2020-12-28,12.000000,13.490000,10.900000,12.000000,12.000000,1515800
