Date,Open,High,Low,Close,Adj Close,Volume
2020-10-12,9.700000,9.700000,9.635000,9.680000,9.680000,1151400
2020-10-19,9.700000,10.547000,9.630000,9.650000,9.650000,184600
2020-10-26,9.725000,9.773000,9.600000,9.600000,9.600000,883400
2020-11-02,9.620000,9.700000,9.620000,9.650000,9.650000,459600
2020-11-09,9.740000,9.740000,9.650000,9.680000,9.680000,496900
2020-11-16,9.650000,9.750000,9.640000,9.700000,9.700000,1640500
2020-11-23,9.680000,9.830000,9.680000,9.800000,9.800000,636000
2020-11-30,9.820000,9.990000,9.760000,9.910000,9.910000,2829500
2020-12-07,10.000000,10.190000,9.860000,10.030000,10.030000,2745100
2020-12-14,10.160000,10.200000,9.980000,10.150000,10.150000,1079500
2020-12-21,10.150000,10.653000,10.130000,10.270000,10.270000,1764100
2020-12-28,10.390000,10.500000,10.250000,10.350000,10.350000,2131500
