Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,2.171875,2.203125,2.171875,2.171875,1.126731,63200
2000-01-08,2.250000,2.250000,2.125000,2.125000,1.102413,32800
2000-01-15,2.125000,2.125000,2.125000,2.125000,1.102413,2400
2000-01-22,2.125000,2.187500,2.093750,2.187500,1.134838,23600
2000-01-29,2.093750,2.187500,2.093750,2.187500,1.134838,1200
2000-02-05,2.187500,2.187500,2.125000,2.125000,1.102413,5200
2000-02-12,2.125000,2.125000,1.968750,1.968750,1.021354,15200
2000-02-19,1.968750,1.968750,1.937500,1.937500,1.005142,10800
2000-02-26,1.937500,2.093750,1.937500,2.093750,1.086201,1200
2000-03-04,2.093750,2.125000,2.093750,2.125000,1.102413,14400
2000-03-11,2.125000,2.125000,2.062500,2.062500,1.069989,800
2000-03-18,2.062500,2.062500,1.968750,1.968750,1.021354,6400
2000-03-25,1.968750,2.000000,1.953125,1.953125,1.013247,5600
2000-04-01,1.953125,1.953125,1.906250,1.937500,1.005142,25600
2000-04-08,1.937500,1.937500,1.937500,1.937500,1.005142,2000
2000-04-15,1.937500,1.968750,1.843750,1.968750,1.021354,42400
2000-04-22,1.968750,2.250000,1.937500,2.093750,1.086201,63600
2000-04-29,2.093750,2.093750,2.093750,2.093750,1.086201,0
2000-05-06,2.093750,2.093750,1.875000,1.906250,0.988929,24800
2000-05-13,1.906250,1.906250,1.906250,1.906250,0.988929,400
2000-05-20,1.906250,1.937500,1.906250,1.937500,1.005142,1200
2000-05-27,1.937500,1.968750,1.937500,1.937500,1.005142,18400
2000-06-03,1.921875,1.937500,1.921875,1.921875,0.997035,10800
2000-06-10,1.921875,2.031250,1.921875,1.968750,1.021354,25600
2000-06-17,2.000000,2.000000,1.968750,1.968750,1.021354,28000
2000-06-24,1.968750,2.031250,1.937500,1.937500,1.005142,8000
2000-07-01,1.937500,1.953125,1.937500,1.953125,1.013247,3200
2000-07-08,1.953125,1.968750,1.937500,1.968750,1.021354,1600
2000-07-15,1.968750,2.093750,1.968750,2.093750,1.086201,4800
2000-07-22,2.093750,2.156250,2.093750,2.125000,1.102413,4800
2000-07-29,2.031250,2.031250,2.031250,2.031250,1.068646,1600
2000-08-05,2.031250,2.218750,2.031250,2.156250,1.134409,19600
2000-08-12,2.125000,2.187500,2.125000,2.187500,1.150849,2400
2000-08-19,2.062500,2.250000,1.906250,2.125000,1.117968,28400
2000-08-26,2.125000,2.281250,1.906250,2.250000,1.183731,19200
2000-09-02,2.250000,2.250000,2.218750,2.218750,1.167290,19200
2000-09-09,2.156250,2.171875,2.140625,2.171875,1.142629,3200
2000-09-16,2.171875,2.171875,2.093750,2.156250,1.134409,94400
2000-09-23,2.156250,2.156250,2.125000,2.125000,1.117968,3600
2000-09-30,2.125000,2.187500,2.062500,2.187500,1.150849,2400
2000-10-07,2.187500,2.187500,2.031250,2.031250,1.068646,2000
2000-10-14,2.000000,2.218750,2.000000,2.093750,1.101527,16000
2000-10-21,2.093750,2.250000,2.093750,2.250000,1.183731,46800
