Date,Open,High,Low,Close,Adj Close,Volume
2018-03-26,27.879999,33.490002,26.860001,32.470001,32.470001,17195
2018-04-02,32.639999,38.250000,25.670000,28.730000,28.730000,26012
2018-04-09,29.920000,30.430000,26.350000,27.879999,27.879999,29630
2018-04-16,27.030001,28.900000,26.520000,27.879999,27.879999,30359
2018-04-23,28.049999,28.559999,22.440001,26.180000,26.180000,29759
2018-04-30,26.860001,27.030001,20.230000,21.250000,21.250000,26641
2018-05-07,20.400000,32.470001,20.400000,27.030001,27.030001,32600
2018-05-14,26.520000,28.730000,24.650000,26.860001,26.860001,12342
2018-05-21,27.879999,30.430000,24.990000,26.350000,26.350000,22441
2018-05-28,29.580000,29.665001,23.290001,26.400999,26.400999,14564
2018-06-04,26.860001,47.430000,25.500000,34.169998,34.169998,31441
2018-06-11,37.060001,42.160000,31.450001,32.980000,32.980000,16641
2018-06-18,31.959999,34.849998,26.520000,34.849998,34.849998,9476
2018-06-25,34.424999,34.849998,26.775000,28.389999,28.389999,5176
2018-07-02,28.049999,28.049999,23.799999,24.990000,24.990000,6824
2018-07-09,23.799999,29.750000,22.780001,28.900000,28.900000,6712
2018-07-16,29.155001,38.759998,29.155001,37.060001,37.060001,18600
2018-07-23,38.250000,47.599998,32.299999,36.243999,36.243999,26483
2018-07-30,36.380001,38.930000,31.790001,34.849998,34.849998,19029
2018-08-06,34.340000,35.700001,31.110001,33.830002,33.830002,18405
2018-08-13,34.000000,39.099998,32.130001,33.966000,33.966000,23535
2018-08-20,33.660000,35.700001,31.280001,35.445000,35.445000,18107
2018-08-27,35.700001,40.459999,33.490002,40.290001,40.290001,43853
2018-09-03,40.290001,40.630001,37.060001,39.576000,39.576000,25435
2018-09-10,39.779999,39.950001,30.600000,33.557999,33.557999,40660
2018-09-17,33.404999,35.700001,28.730000,35.700001,35.700001,28423
2018-09-24,34.849998,38.419998,34.000000,35.666000,35.666000,47112
2018-10-01,35.529999,37.400002,34.000000,36.720001,36.720001,76277
2018-10-08,37.400002,37.400002,32.299999,32.299999,32.299999,72793
2018-10-15,34.000000,35.700001,31.790001,32.384998,32.384998,119747
2018-10-22,33.830002,33.830002,22.950001,28.730000,28.730000,113618
2018-10-29,29.580000,30.260000,23.799999,25.330000,25.330000,58618
2018-11-05,26.350000,26.520000,21.250000,21.420000,21.420000,48724
2018-11-12,20.825001,23.799999,10.370000,21.080000,21.080000,87405
