Date,Open,High,Low,Close,Adj Close,Volume
2020-10-19,9.950000,10.925000,9.850000,9.920000,9.920000,3334700
2020-10-26,9.980000,9.980000,9.850000,9.850000,9.850000,392900
2020-11-02,9.900000,9.935000,9.780000,9.870000,9.870000,276100
2020-11-09,9.880000,9.890000,9.820000,9.860000,9.860000,269300
2020-11-16,9.860000,9.882000,9.820000,9.850000,9.850000,186300
2020-11-23,9.865000,9.910000,9.840000,9.910000,9.910000,205700
2020-11-30,9.910000,9.990000,9.840000,9.990000,9.990000,330400
2020-12-07,9.800000,9.940000,9.700000,9.900000,9.900000,1117800
2020-12-14,9.940000,9.990000,9.880000,9.930000,9.930000,660900
2020-12-21,9.940000,10.000000,9.890000,9.950000,9.950000,112600
2020-12-28,10.010000,10.530000,9.898000,10.000000,10.000000,438000
