Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,14.000000,14.190000,13.250000,13.500000,13.500000,1311400
2019-02-11,13.880000,15.200000,13.490000,14.800000,14.800000,782600
2019-02-18,15.190000,17.767000,14.080000,16.709999,16.709999,297600
2019-02-25,16.719999,17.850000,14.200000,16.200001,16.200001,458600
2019-03-04,16.490000,17.844999,12.220000,13.160000,13.160000,328300
2019-03-11,13.350000,13.940000,10.530000,12.060000,12.060000,601000
2019-03-18,11.980000,12.480000,10.191000,10.220000,10.220000,153100
2019-03-25,10.150000,10.250000,9.065000,9.470000,9.470000,235100
2019-04-01,9.550000,11.970000,9.550000,11.490000,11.490000,175800
2019-04-08,11.690000,12.870000,11.476000,12.840000,12.840000,64200
2019-04-15,12.850000,13.230000,12.460000,13.030000,13.030000,36000
2019-04-22,12.980000,12.980000,11.100000,11.300000,11.300000,40700
2019-04-29,11.125000,11.900000,10.200000,10.590000,10.590000,54200
2019-05-06,10.600000,10.830000,9.964000,10.360000,10.360000,27300
2019-05-13,10.200000,11.990000,9.765000,11.460000,11.460000,107700
2019-05-20,11.470000,11.940000,10.860000,11.710000,11.710000,47500
2019-05-27,12.120000,12.240000,11.530000,12.030000,12.030000,47900
2019-06-03,12.040000,12.400000,10.996000,11.100000,11.100000,50900
2019-06-10,12.240000,12.240000,11.300000,11.890000,11.890000,56000
2019-06-17,12.170000,13.150000,11.110000,12.880000,12.880000,189100
2019-06-24,13.100000,13.260000,12.080000,13.000000,13.000000,577600
2019-07-01,13.500000,14.000000,12.600000,13.700000,13.700000,79800
2019-07-08,13.690000,15.443000,13.500000,14.970000,14.970000,129200
2019-07-15,14.980000,15.300000,14.050000,14.300000,14.300000,86500
2019-07-22,14.670000,15.200000,13.000000,14.990000,14.990000,49600
2019-07-29,15.060000,15.090000,13.040000,13.420000,13.420000,54100
2019-08-05,13.711000,15.200000,12.140000,12.530000,12.530000,85600
2019-08-12,12.030000,13.375000,10.670000,11.530000,11.530000,50300
2019-08-19,11.450000,14.250000,11.210000,13.240000,13.240000,334100
2019-08-26,13.250000,14.500000,13.055000,14.480000,14.480000,217500
2019-09-02,14.500000,15.000000,14.030000,14.770000,14.770000,143700
2019-09-09,14.970000,17.500000,14.500000,16.280001,16.280001,612900
2019-09-16,15.870000,16.549999,13.780000,13.840000,13.840000,633300
2019-09-23,15.000000,15.510000,13.970000,14.060000,14.060000,595500
2019-09-30,14.360000,14.460000,12.980000,14.000000,14.000000,235400
2019-10-07,14.120000,14.460000,13.400000,13.830000,13.830000,110100
2019-10-14,13.750000,13.770000,12.780000,13.000000,13.000000,137700
2019-10-21,13.050000,13.880000,12.800000,13.790000,13.790000,77900
2019-10-28,13.880000,13.990000,13.000000,13.790000,13.790000,121100
2019-11-04,13.830000,14.130000,12.910000,12.980000,12.980000,86300
2019-11-11,13.500000,14.000000,12.887000,13.770000,13.770000,150200
2019-11-18,14.000000,16.500000,13.000000,14.850000,14.850000,844600
2019-11-25,15.050000,19.990000,14.500000,18.700001,18.700001,464200
2019-12-02,18.750000,21.260000,16.240999,18.930000,18.930000,886700
2019-12-09,19.330000,19.903999,16.371000,17.000000,17.000000,644400
2019-12-16,17.070000,18.809999,16.440001,17.500000,17.500000,452600
2019-12-23,17.580000,21.469999,15.360000,16.950001,16.950001,916100
2019-12-30,16.969999,17.070000,14.020000,14.450000,14.450000,824600
2020-01-06,14.550000,15.230000,13.910000,14.410000,14.410000,606300
2020-01-13,14.680000,15.450000,14.100000,14.500000,14.500000,692600
2020-01-20,14.600000,15.450000,13.710000,14.620000,14.620000,513300
2020-01-27,15.000000,15.100000,13.110000,13.290000,13.290000,675100
2020-02-03,14.270000,16.620001,13.700000,14.900000,14.900000,1038700
2020-02-10,15.060000,17.240000,14.925000,15.010000,15.010000,661700
2020-02-17,15.010000,15.580000,14.700000,15.320000,15.320000,286000
2020-02-24,15.090000,15.360000,13.700000,15.340000,15.340000,535300
2020-03-02,15.420000,16.650000,14.320000,14.920000,14.920000,344800
2020-03-09,14.560000,15.574000,11.020000,12.250000,12.250000,404200
2020-03-16,11.300000,12.745000,10.510000,11.740000,11.740000,567900
2020-03-23,12.000000,12.500000,10.270000,11.450000,11.450000,308700
2020-03-30,11.750000,12.324000,10.800000,11.110000,11.110000,321100
2020-04-06,11.610000,12.140000,11.016000,11.470000,11.470000,210300
2020-04-13,11.530000,12.960000,11.330000,12.690000,12.690000,336300
2020-04-20,12.700000,13.896000,11.660000,12.430000,12.430000,252000
2020-04-27,13.490000,14.250000,11.800000,12.260000,12.260000,458500
2020-05-04,12.200000,14.500000,12.125000,13.520000,13.520000,362900
2020-05-11,13.660000,14.750000,12.340000,14.430000,14.430000,723900
2020-05-18,14.710000,25.000000,14.667000,22.799999,22.799999,1536100
2020-05-25,23.469999,25.020000,16.340000,21.760000,21.760000,2624700
2020-06-01,21.600000,21.600000,17.000000,17.170000,17.170000,1400000
2020-06-08,17.389999,19.271000,16.590000,17.639999,17.639999,527200
2020-06-15,17.280001,18.840000,16.990000,18.100000,18.100000,556800
2020-06-22,18.200001,18.480000,16.705000,17.059999,17.059999,1088500
2020-06-29,17.200001,17.700001,16.000000,16.590000,16.590000,772400
2020-07-06,16.799999,17.150000,15.920000,16.240000,16.240000,424700
2020-07-13,16.299999,16.700001,14.650000,15.080000,15.080000,565400
2020-07-20,15.350000,15.730000,12.805000,12.890000,12.890000,818000
2020-07-27,13.230000,13.820000,10.550000,11.010000,11.010000,763900
2020-08-03,11.600000,13.540000,11.500000,12.580000,12.580000,1038900
2020-08-10,13.150000,14.270000,11.950000,12.130000,12.130000,930000
2020-08-17,12.180000,16.660000,11.300000,15.310000,15.310000,8418200
2020-08-24,15.870000,15.910000,12.530000,12.960000,12.960000,2335800
2020-08-31,13.150000,14.550000,12.650000,13.770000,13.770000,1972500
2020-09-07,13.700000,15.450000,13.670000,14.830000,14.830000,999000
2020-09-14,15.170000,18.780001,15.170000,18.520000,18.520000,1577300
2020-09-21,18.190001,18.379999,15.000000,15.470000,15.470000,741100
2020-09-28,15.570000,17.040001,15.500000,16.430000,16.430000,935600
2020-10-05,16.670000,18.152000,16.510000,16.799999,16.799999,546500
2020-10-12,16.940001,17.075001,15.640000,16.200001,16.200001,379200
2020-10-19,16.340000,16.680000,14.500000,15.340000,15.340000,549400
2020-10-26,15.050000,15.610000,14.257000,14.470000,14.470000,302300
2020-11-02,14.730000,17.450001,14.390000,15.550000,15.550000,469300
2020-11-09,16.610001,17.440001,15.600000,15.600000,15.600000,540100
2020-11-16,15.940000,16.180000,14.020000,14.610000,14.610000,490500
2020-11-23,14.790000,15.079000,14.300000,14.840000,14.840000,438300
2020-11-30,15.220000,15.500000,13.050000,13.540000,13.540000,880300
2020-12-07,13.770000,14.500000,12.530000,12.830000,12.830000,1185000
2020-12-14,13.180000,16.420000,13.110000,14.880000,14.880000,1777900
2020-12-21,14.950000,20.190001,14.470000,16.480000,16.480000,904400
2020-12-28,16.750000,17.867001,16.030001,16.629999,16.629999,521600
