Date,Open,High,Low,Close,Adj Close,Volume
2002-01-07,3.028807,3.028807,2.897119,2.943210,1.793904,25060
2002-01-14,2.890535,2.890535,2.452016,2.699588,1.645415,96441
2002-01-21,2.633745,2.831276,2.567901,2.831276,1.725680,63787
2002-01-28,2.831276,2.831276,2.745679,2.753580,1.678323,31894
2002-02-04,2.798354,2.798354,2.613992,2.613992,1.593244,104034
2002-02-11,2.607407,2.627160,2.587654,2.587654,1.577191,35691
2002-02-18,2.653498,2.653498,2.587654,2.587654,1.577191,100997
2002-02-25,2.581070,2.600823,2.581070,2.600823,1.585217,15948
2002-03-04,2.581070,2.607407,2.581070,2.581070,1.573178,59232
2002-03-11,2.607407,2.607407,2.581070,2.581070,1.573178,28856
2002-03-18,2.594239,2.633745,2.594239,2.603457,1.586822,49360
2002-03-25,2.588971,2.588971,2.581070,2.581070,1.573178,12910
2002-04-01,2.581070,2.581070,2.581070,2.581070,1.585272,2278
2002-04-08,2.585021,2.585021,2.581070,2.581070,1.585272,16706
2002-04-15,2.581070,2.600823,2.581070,2.587654,1.589317,28097
2002-04-22,2.587654,2.719342,2.587654,2.587654,1.589317,91125
2002-04-29,2.587654,2.633745,2.587654,2.633745,1.617625,24301
2002-05-06,2.633745,2.778601,2.588971,2.633745,1.617625,28097
2002-05-13,2.798354,3.068313,2.798354,3.068313,1.884533,62269
2002-05-20,3.068313,3.068313,2.870782,2.870782,1.763212,10631
2002-05-27,2.870782,2.910288,2.870782,2.910288,1.787476,121500
2002-06-03,2.910288,2.961646,2.897119,2.897119,1.779387,58471
2002-06-10,3.028807,3.028807,2.864198,2.864198,1.759167,31135
2002-06-17,2.864198,2.994568,2.864198,2.990617,1.836813,38729
2002-06-24,2.994568,2.995885,2.877366,2.877366,1.767256,25060
2002-07-01,2.915556,2.915556,2.845761,2.897119,1.791493,66066
2002-07-08,2.870782,2.923457,2.844444,2.910288,1.799636,179972
2002-07-15,2.910288,2.910288,2.864198,2.864198,1.771135,6075
2002-07-22,2.897119,2.897119,2.699588,2.765432,1.710060,41007
2002-07-29,2.699588,2.764115,2.582387,2.686420,1.661202,76698
2002-08-05,2.686420,2.843128,2.686420,2.739095,1.693775,34931
2002-08-12,2.765432,2.765432,2.739095,2.739095,1.693775,4556
2002-08-19,2.739095,2.789136,2.739095,2.789136,1.724718,10631
2002-08-26,2.837860,2.930041,2.798354,2.864198,1.771135,681918
2002-09-02,2.994568,2.995885,2.864198,2.872099,1.776020,6075
2002-09-09,3.027490,3.028807,2.877366,2.965597,1.833837,22022
2002-09-16,2.964280,2.965597,2.870782,2.870782,1.775207,19744
2002-09-23,2.870782,2.872099,2.852346,2.872099,1.776020,6075
2002-09-30,2.870782,2.962963,2.870782,2.870782,1.787501,44044
2002-10-07,2.870782,2.923457,2.864198,2.897119,1.803899,79735
2002-10-14,2.923457,3.298765,2.870782,3.168395,1.972809,145041
2002-10-21,3.174979,3.174979,2.956379,3.030123,1.886714,34931
2002-10-28,3.030123,3.094650,3.030123,3.081481,1.918692,12910
2002-11-04,2.901070,2.977449,2.897119,2.977449,1.853916,21262
2002-11-11,3.055144,3.092016,2.903704,3.060412,1.905574,46322
2002-11-18,3.060412,3.226337,3.027490,3.226337,2.008888,151117
2002-11-25,3.235556,3.294815,3.228971,3.228971,2.010527,56193
2002-12-02,3.292181,3.292181,3.226337,3.290864,2.049065,290840
2002-12-09,3.284280,3.318519,3.240823,3.293498,2.050705,33413
2002-12-16,3.293498,3.318519,3.247407,3.279012,2.041686,22781
2002-12-23,3.318519,3.423868,3.318519,3.423868,2.131880,127575
2002-12-30,3.448889,3.555556,3.448889,3.529218,2.211200,12151
2003-01-06,3.555556,3.875556,3.555556,3.847901,2.410869,514856
2003-01-13,3.875556,3.875556,3.716214,3.722798,2.332486,88848
2003-01-20,3.741235,3.741235,3.625350,3.627984,2.273081,37970
2003-01-27,3.667490,3.850535,3.629300,3.792593,2.376216,19744
2003-02-03,3.799177,3.887407,3.699095,3.887407,2.435620,67585
2003-02-10,3.859753,3.859753,3.767572,3.767572,2.360538,277172
2003-02-17,3.755720,3.795226,3.706996,3.733333,2.339087,15188
2003-02-24,3.733333,3.818930,3.733333,3.757037,2.353938,65307
