Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.810000,5.000000,3.880000,4.440000,4.440000,793000
2000-01-08,4.440000,4.440000,4.000000,4.310000,4.310000,436300
2000-01-15,4.310000,4.560000,4.130000,4.310000,4.310000,333700
2000-01-22,4.310000,4.440000,4.130000,4.130000,4.130000,508200
2000-01-29,4.130000,4.630000,4.130000,4.130000,4.130000,347100
2000-02-05,4.130000,4.690000,4.130000,4.190000,4.190000,341300
2000-02-12,4.130000,4.310000,4.130000,4.190000,4.190000,176300
2000-02-19,4.190000,4.250000,4.130000,4.190000,4.190000,148100
2000-02-26,4.130000,4.310000,4.130000,4.250000,4.250000,168100
2000-03-04,4.250000,4.940000,4.130000,4.130000,4.130000,301900
2000-03-11,4.130000,4.380000,4.060000,4.250000,4.250000,126000
2000-03-18,4.310000,4.440000,4.250000,4.380000,4.380000,234000
2000-03-25,4.440000,4.630000,4.380000,4.500000,4.500000,327800
2000-04-01,4.500000,4.630000,4.440000,4.440000,4.440000,87700
2000-04-08,4.440000,4.500000,4.250000,4.310000,4.310000,94900
2000-04-15,4.250000,4.380000,4.250000,4.380000,4.380000,56000
2000-04-22,4.310000,4.630000,4.310000,4.380000,4.380000,111500
2000-04-29,4.380000,4.630000,4.310000,4.560000,4.560000,94200
2000-05-06,4.500000,4.690000,4.440000,4.440000,4.440000,79500
2000-05-13,4.440000,4.440000,4.250000,4.310000,4.310000,132500
2000-05-20,4.310000,5.000000,4.250000,4.880000,4.880000,289400
2000-05-27,4.750000,5.000000,4.560000,4.940000,4.940000,74500
2000-06-03,4.880000,4.940000,4.500000,4.630000,4.630000,180700
2000-06-10,4.500000,4.500000,4.130000,4.380000,4.380000,235700
2000-06-17,4.310000,4.500000,4.190000,4.250000,4.250000,109700
2000-06-24,4.380000,4.690000,4.130000,4.130000,4.130000,116600
2000-07-01,4.190000,4.250000,4.000000,4.190000,4.190000,145100
2000-07-08,4.190000,4.750000,4.190000,4.500000,4.500000,128100
