Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,8.656250,8.750000,7.562500,8.000000,4.176876,92300
2000-01-08,8.187500,8.250000,7.250000,7.500000,3.915818,96000
2000-01-15,7.750000,8.000000,7.437500,7.812500,4.113762,98800
2000-01-22,7.500000,8.000000,7.187500,7.937500,4.179582,98200
2000-01-29,7.937500,8.000000,7.875000,7.875000,4.146674,389300
2000-02-05,7.875000,8.000000,7.875000,7.937500,4.179582,79600
2000-02-12,8.000000,8.000000,7.625000,7.875000,4.146674,150500
2000-02-19,7.875000,8.000000,7.750000,7.812500,4.113762,380500
2000-02-26,7.750000,7.875000,7.437500,7.500000,3.949212,107400
2000-03-04,7.406250,7.968750,7.343750,7.687500,4.047942,159000
2000-03-11,7.562500,7.750000,7.500000,7.562500,3.982124,93500
2000-03-18,7.625000,8.437500,7.625000,8.250000,4.344133,136600
2000-03-25,8.500000,8.500000,8.125000,8.187500,4.311224,152700
2000-04-01,8.187500,8.187500,7.375000,7.687500,4.047942,46300
2000-04-08,7.625000,8.250000,7.125000,7.250000,3.817571,84400
2000-04-15,7.062500,7.562500,7.062500,7.437500,3.953659,82800
2000-04-22,7.562500,8.000000,7.500000,7.812500,4.153003,211600
2000-04-29,7.875000,8.000000,7.812500,7.875000,4.186228,98900
2000-05-06,7.875000,8.000000,7.812500,7.875000,4.186228,54600
2000-05-13,7.875000,8.000000,7.875000,7.875000,4.186228,89600
2000-05-20,8.000000,8.000000,7.875000,7.875000,4.186228,130100
2000-05-27,7.906250,8.000000,7.875000,8.000000,4.252676,92000
2000-06-03,7.937500,8.250000,7.937500,8.171875,4.344042,734300
2000-06-10,8.062500,8.156250,8.062500,8.062500,4.285900,73500
2000-06-17,8.062500,8.250000,8.062500,8.187500,4.352348,133700
2000-06-24,8.187500,8.750000,8.187500,8.687500,4.618139,79900
2000-07-01,8.687500,8.875000,8.625000,8.625000,4.584917,12200
2000-07-08,8.625000,8.875000,8.625000,8.781250,4.667975,36200
2000-07-15,8.781250,8.812500,8.500000,8.687500,4.660751,69000
2000-07-22,8.687500,8.937500,8.687500,8.812500,4.727813,55500
2000-07-29,9.000000,9.500000,8.875000,9.500000,5.096649,49900
2000-08-05,9.500000,9.625000,9.375000,9.375000,5.029591,148900
2000-08-12,9.562500,9.625000,9.406250,9.437500,5.063118,200400
2000-08-19,9.437500,9.750000,9.375000,9.500000,5.096649,203100
2000-08-26,9.484375,9.875000,9.484375,9.875000,5.297834,76100
2000-09-02,9.750000,9.750000,9.562500,9.625000,5.163710,26300
2000-09-09,9.656250,9.875000,9.625000,9.750000,5.230772,72300
2000-09-16,9.687500,9.875000,9.625000,9.687500,5.197242,64700
2000-09-23,9.687500,9.812500,9.625000,9.812500,5.264301,47300
2000-09-30,9.687500,9.687500,9.312500,9.312500,4.996057,19800
2000-10-07,9.312500,9.312500,8.750000,8.750000,4.694283,33300
2000-10-14,8.750000,9.781250,8.687500,9.625000,5.212943,103700
2000-10-21,9.562500,9.812500,9.562500,9.687500,5.246795,7600
2000-10-28,9.812500,9.875000,9.687500,9.750000,5.280645,28800
2000-11-04,9.750000,9.875000,9.687500,9.750000,5.280645,46900
2000-11-11,9.703125,9.875000,9.687500,9.750000,5.280645,116500
2000-11-18,9.687500,9.843750,9.687500,9.812500,5.314493,13200
2000-11-25,9.828125,10.250000,9.750000,10.062500,5.449897,169900
2000-12-02,10.062500,10.187500,10.000000,10.062500,5.449897,102900
2000-12-09,10.000000,10.187500,10.000000,10.062500,5.449897,81900
2000-12-16,10.062500,10.125000,10.000000,10.062500,5.449897,83300
2000-12-23,10.125000,10.187500,10.000000,10.187500,5.517597,56700
2000-12-30,10.125000,10.125000,9.562500,9.562500,5.179094,16500
2001-01-06,9.625000,10.000000,9.375000,9.625000,5.212943,20400
2001-01-13,9.625000,9.875000,9.625000,9.750000,5.280645,37300
2001-01-20,9.687500,9.812500,9.562500,9.765625,5.339030,55800
2001-01-27,9.750000,10.187500,9.750000,10.062500,5.501338,108500
2001-02-03,10.062500,10.125000,10.062500,10.125000,5.535505,44100
2001-02-10,10.125000,10.187500,10.125000,10.125000,5.535505,28400
2001-02-17,10.062500,10.125000,10.062500,10.062500,5.501338,16600
2001-02-24,10.062500,10.125000,10.062500,10.125000,5.535505,34800
2001-03-03,10.062500,10.125000,10.062500,10.062500,5.501338,12500
2001-03-10,10.062500,10.250000,10.062500,10.187500,5.569676,129900
2001-03-17,10.140625,10.687500,10.000000,10.250000,5.603848,138400
2001-03-24,10.350000,10.350000,10.120000,10.200000,5.576510,121600
2001-03-31,10.200000,10.200000,9.700000,9.700000,5.303152,52600
2001-04-07,9.720000,9.800000,9.650000,9.750000,5.330489,29700
2001-04-14,9.760000,10.000000,9.750000,9.950000,5.493356,32800
2001-04-21,9.950000,10.150000,9.950000,10.130000,5.592735,27400
2001-04-28,10.070000,10.230000,10.070000,10.230000,5.647943,84600
2001-05-05,10.170000,10.250000,10.170000,10.200000,5.631382,50900
2001-05-12,10.200000,10.310000,10.170000,10.310000,5.692111,138400
2001-05-19,10.280000,10.430000,10.250000,10.400000,5.741800,94300
2001-05-26,10.390000,10.470000,10.370000,10.420000,5.752841,24800
2001-06-02,10.460000,10.590000,10.400000,10.520000,5.808051,109600
2001-06-09,10.540000,10.680000,10.520000,10.650000,5.879824,40000
2001-06-16,10.570000,10.690000,10.550000,10.660000,5.885343,75300
2001-06-23,10.690000,10.930000,10.640000,10.640000,5.874306,68900
2001-06-30,10.650000,10.650000,10.300000,10.330000,5.703154,11800
2001-07-07,10.330000,10.770000,10.330000,10.620000,5.863260,3700
