Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,11.750000,12.250000,11.330000,12.000000,11.361251,2473200
2012-02-13,12.072500,12.765000,11.925000,12.685000,12.009789,588800
2012-02-20,12.945000,13.007500,12.377500,12.975000,12.284351,189600
2012-02-27,12.880000,15.515000,12.875000,13.525000,12.805076,316400
2012-03-05,13.522500,13.525000,12.985000,13.330000,12.620456,119200
2012-03-12,13.425000,14.990000,13.300000,13.855000,13.117508,286200
2012-03-19,14.000000,14.150000,13.255000,13.520000,12.800343,62200
2012-03-26,13.700000,14.260000,13.280000,13.900000,13.160114,1038800
2012-04-02,13.780000,14.020000,13.575000,13.815000,13.079638,348400
2012-04-09,13.625000,14.310000,13.300000,14.190000,13.434677,289800
2012-04-16,14.375000,17.315001,14.160000,16.990000,16.085636,639600
2012-04-23,16.674999,16.930000,16.100000,16.750000,15.858410,322800
2012-04-30,16.844999,17.775000,16.660000,16.924999,16.024097,834000
2012-05-07,16.920000,17.504999,16.629999,17.400000,16.473810,461200
2012-05-14,17.139999,17.455000,16.309999,16.725000,15.834740,162600
2012-05-21,16.690001,17.450001,16.174999,17.260000,16.341267,171000
2012-05-28,17.260000,17.445000,16.065001,16.215000,15.351889,178200
2012-06-04,16.264999,16.549999,16.080000,16.500000,15.621720,116400
2012-06-11,16.549999,16.549999,15.535000,16.059999,15.205138,124400
2012-06-18,15.770000,16.684999,15.750000,16.514999,15.635920,382800
2012-06-25,16.495001,16.495001,15.625000,15.995000,15.143599,119400
2012-07-02,16.129999,16.129999,15.640000,15.680000,14.845366,126400
2012-07-09,15.490000,19.000000,15.390000,18.760000,17.761417,500800
2012-07-16,18.715000,18.945000,17.850000,17.850000,16.899860,198600
2012-07-23,17.680000,18.375000,17.309999,18.000000,17.041876,91800
2012-07-30,19.750000,19.750000,16.410000,17.480000,16.549553,176200
2012-08-06,18.000000,18.495001,17.350000,17.635000,16.696302,132800
2012-08-13,17.545000,18.455000,17.094999,18.410000,17.430050,141200
2012-08-20,18.495001,18.495001,17.264999,17.680000,16.738909,134200
2012-08-27,17.655001,17.995001,17.174999,17.719999,16.776777,82600
2012-09-03,17.405001,18.500000,17.004999,17.799999,16.852524,118800
2012-09-10,17.799999,17.799999,16.815001,17.670000,16.729439,271400
2012-09-17,17.520000,19.000000,17.325001,18.920000,17.912901,350000
2012-09-24,18.820000,19.299999,18.500000,19.030001,18.017052,204800
2012-10-01,19.094999,20.180000,18.545000,19.825001,18.769733,321400
2012-10-08,19.825001,20.840000,19.825001,20.549999,19.456141,285600
2012-10-15,20.670000,22.225000,20.120001,21.825001,20.663273,544000
2012-10-22,21.924999,22.549999,21.535000,22.400000,21.207666,802000
2012-10-29,22.775000,23.850000,21.980000,23.445000,22.197046,565400
2012-11-05,23.520000,23.820000,22.004999,22.059999,20.885763,538300
2012-11-12,22.100000,23.000000,21.040001,22.950001,21.728390,512200
2012-11-19,23.059999,23.850000,22.879999,23.459999,22.211243,366300
2012-11-26,23.350000,24.680000,22.770000,24.610001,23.300030,1238100
2012-12-03,24.830000,26.280001,24.510000,26.010000,24.625509,634700
2012-12-10,26.309999,26.969999,24.129999,24.680000,23.366304,701700
2012-12-17,24.799999,25.770000,24.530001,24.709999,23.394707,477500
2012-12-24,24.860001,25.980000,23.280001,25.250000,23.905964,399400
2012-12-31,25.139999,26.549999,25.100000,25.150000,23.811285,560700
2013-01-07,25.200001,26.389999,24.850000,25.059999,23.726074,458600
2013-01-14,25.129999,27.650000,24.820000,27.450001,25.988861,715300
2013-01-21,27.620001,27.740000,24.549999,25.180000,23.839691,534800
2013-01-28,25.000000,25.860001,24.290001,25.270000,23.924902,755000
2013-02-04,26.700001,28.150000,25.350000,27.950001,26.462244,1031700
2013-02-11,28.629999,28.730000,25.670000,25.950001,24.568703,958200
2013-02-18,25.990000,26.430000,23.600000,24.530001,23.224289,774300
2013-02-25,24.780001,26.030001,24.500000,24.809999,23.489386,527200
2013-03-04,24.680000,26.540001,24.680000,25.420000,24.066916,487600
2013-03-11,25.400000,25.400000,24.250000,25.049999,23.716606,564100
2013-03-18,24.969999,25.299999,23.330000,23.379999,22.135500,451500
2013-03-25,23.400000,23.930000,21.799999,22.340000,21.150860,1073300
2013-04-01,22.400000,22.680000,21.040001,21.780001,20.620668,864900
2013-04-08,21.860001,22.660000,21.510000,22.040001,20.866831,880900
2013-04-15,21.830000,22.000000,20.549999,21.250000,20.221052,642400
2013-04-22,21.360001,22.020000,21.020000,21.670000,20.620716,438500
2013-04-29,20.450001,21.930000,20.250000,21.780001,20.725391,1098500
2013-05-06,21.870001,24.690001,21.870001,24.190001,23.018698,597700
2013-05-13,24.180000,24.219999,23.200001,23.780001,22.628548,265200
2013-05-20,23.809999,24.000000,22.930000,23.309999,22.181305,400400
2013-05-27,23.420000,23.860001,22.559999,22.860001,21.753098,362700
2013-06-03,22.920000,23.090000,21.090000,21.530001,20.487499,608200
2013-06-10,21.600000,22.170000,20.620001,20.750000,19.745262,342600
2013-06-17,20.889999,21.090000,19.680000,19.760000,18.803202,693900
2013-06-24,19.690001,21.740000,19.660000,21.450001,20.411367,1325300
2013-07-01,21.530001,22.250000,20.549999,21.549999,20.506525,426400
2013-07-08,21.629999,22.600000,21.110001,22.139999,21.067959,411300
2013-07-15,22.080000,23.129999,21.719999,22.990000,21.876799,427900
2013-07-22,23.010000,23.170000,22.410000,22.809999,21.705519,305400
2013-07-29,22.750000,22.750000,21.510000,21.820000,20.763453,439300
2013-08-05,21.820000,21.950001,20.690001,21.309999,20.381462,470500
2013-08-12,21.150000,21.299999,20.049999,20.120001,19.243313,399300
2013-08-19,20.209999,20.500000,19.850000,20.250000,19.367651,223500
2013-08-26,20.270000,20.500000,19.510000,19.629999,18.774668,395200
2013-09-02,19.830000,20.040001,19.549999,19.860001,18.994644,204100
2013-09-09,19.860001,20.080000,18.969999,19.000000,18.172117,500800
2013-09-16,19.200001,20.100000,19.100000,19.430000,18.583380,475000
2013-09-23,19.420000,19.860001,19.250000,19.580000,18.726845,128400
2013-09-30,19.450001,19.900000,18.690001,18.830000,18.009525,325200
2013-10-07,18.730000,19.600000,18.570000,19.490000,18.640764,241200
2013-10-14,19.379999,20.010000,19.110001,19.520000,18.669462,270300
2013-10-21,19.500000,19.980000,19.200001,19.459999,18.612070,169400
2013-10-28,19.530001,19.889999,18.600000,18.660000,17.846931,457200
2013-11-04,18.639999,19.709999,18.480000,19.620001,18.874029,318800
2013-11-11,19.559999,19.980000,19.320000,19.780001,19.027945,213800
2013-11-18,19.760000,20.490000,19.740000,20.299999,19.528172,309700
2013-11-25,20.290001,21.250000,20.270000,21.160000,20.355473,170100
2013-12-02,21.100000,21.250000,20.240000,20.980000,20.182318,261900
2013-12-09,21.000000,21.040001,20.240000,20.570000,19.787909,203000
2013-12-16,20.610001,21.219999,20.129999,20.139999,19.374256,315100
2013-12-23,20.270000,20.610001,19.780001,19.910000,19.153000,92600
2013-12-30,19.959999,20.690001,19.490000,20.500000,19.720570,181300
2014-01-06,20.530001,20.910000,20.139999,20.270000,19.499313,186100
2014-01-13,20.299999,20.580000,19.320000,19.400000,18.662392,189600
2014-01-20,19.590000,19.980000,19.219999,19.379999,18.643152,203600
2014-01-27,19.320000,19.580000,17.660000,17.940001,17.257906,369200
2014-02-03,17.830000,18.230000,17.020000,17.459999,16.899426,457000
2014-02-10,17.459999,18.650000,17.430000,18.389999,17.799566,265700
2014-02-17,18.480000,18.860001,18.000000,18.260000,17.673740,139100
2014-02-24,18.230000,19.020000,18.110001,18.840000,18.235119,210500
2014-03-03,18.620001,19.150000,18.500000,18.690001,18.089937,222900
2014-03-10,18.590000,18.790001,18.120001,18.400000,17.809248,209800
2014-03-17,18.490000,19.469999,18.170000,18.990000,18.380306,298700
2014-03-24,19.000000,19.889999,18.440001,19.559999,18.932003,433600
2014-03-31,19.549999,19.740000,19.320000,19.530001,18.902966,311900
2014-04-07,19.400000,19.580000,18.340000,18.350000,17.760851,261300
2014-04-14,18.559999,19.160000,18.020000,18.469999,17.877001,242600
2014-04-21,18.450001,18.700001,17.950001,18.350000,17.760851,226400
2014-04-28,18.510000,18.600000,17.520000,18.170000,17.586630,295000
2014-05-05,18.020000,18.020000,16.510000,17.030001,16.483232,256000
2014-05-12,17.209999,18.080000,16.900000,17.340000,16.783278,197400
2014-05-19,17.480000,17.820000,17.110001,17.600000,17.034933,176000
2014-05-26,17.520000,18.299999,17.520000,17.920000,17.344662,236000
2014-06-02,18.040001,18.450001,17.070000,18.379999,17.789888,208900
2014-06-09,18.379999,18.590000,18.139999,18.350000,17.760851,124800
2014-06-16,18.280001,19.100000,18.280001,18.930000,18.322229,284500
2014-06-23,19.000000,19.100000,18.610001,18.940001,18.331911,339600
2014-06-30,18.700001,19.090000,18.209999,19.040001,18.428699,312500
2014-07-07,19.030001,19.129999,17.670000,17.730000,17.160759,119600
2014-07-14,17.959999,18.520000,17.370001,17.990000,17.412411,208100
2014-07-21,17.830000,19.209999,17.530001,17.790001,17.218832,135100
2014-07-28,17.799999,18.309999,17.030001,17.180000,16.628418,233200
2014-08-04,17.309999,17.559999,17.049999,17.139999,16.589699,139500
2014-08-11,17.280001,18.160000,17.110001,17.900000,17.325298,411000
2014-08-18,18.049999,18.459999,17.719999,18.260000,17.673740,275600
2014-08-25,18.309999,18.450001,17.879999,18.190001,17.605986,108800
2014-09-01,18.320000,18.410000,17.660000,17.809999,17.238190,117700
2014-09-08,17.750000,18.260000,17.700001,17.879999,17.305941,123000
2014-09-15,17.990000,18.299999,17.290001,17.299999,16.744562,248600
2014-09-22,17.299999,17.990000,17.200001,17.760000,17.189798,230700
2014-09-29,17.570000,18.160000,16.540001,17.000000,16.454197,959900
2014-10-06,17.030001,17.150000,16.070000,16.420000,15.892817,410600
2014-10-13,16.309999,17.190001,15.950000,17.020000,16.473555,499200
2014-10-20,16.990000,17.540001,16.799999,17.120001,16.570343,251300
2014-10-27,17.059999,17.600000,16.850000,17.420000,16.860712,501200
2014-11-03,17.480000,17.480000,16.730000,17.139999,16.589699,302100
