Date,Open,High,Low,Close,Adj Close,Volume
2018-03-12,9.700000,9.710000,9.700000,9.710000,9.710000,829200
2018-03-19,9.710000,9.770000,9.710000,9.770000,9.770000,7000
2018-03-26,9.730000,9.730000,9.710000,9.710000,9.710000,250000
2018-04-02,9.710000,9.710000,9.710000,9.710000,9.710000,0
2018-04-09,9.710000,9.720000,9.710000,9.720000,9.720000,1200
2018-04-16,9.720000,9.720000,9.710000,9.710000,9.710000,600
2018-04-23,9.710000,9.710000,9.710000,9.710000,9.710000,0
2018-04-30,9.710000,9.710000,9.700000,9.700000,9.700000,41400
2018-05-07,9.700000,9.720000,9.700000,9.710000,9.710000,3700
2018-05-14,9.710000,9.730000,9.710000,9.710000,9.710000,75300
2018-05-21,9.720000,9.720000,9.710000,9.720000,9.720000,3200
2018-05-28,9.720000,9.753000,9.720000,9.731000,9.731000,8200
2018-06-04,9.731000,9.740000,9.720000,9.720000,9.720000,13500
2018-06-11,9.720000,9.720000,9.720000,9.720000,9.720000,0
2018-06-18,9.720000,9.720000,9.720000,9.720000,9.720000,0
2018-06-25,9.720000,9.720000,9.720000,9.720000,9.720000,600
2018-07-02,9.720000,9.750000,9.720000,9.750000,9.750000,100000
2018-07-09,9.750000,9.840000,9.750000,9.800000,9.800000,383900
2018-07-16,9.820000,9.840000,9.810000,9.820000,9.820000,27200
2018-07-23,9.820000,9.840000,9.800000,9.820000,9.820000,200600
2018-07-30,9.820000,9.840000,9.800000,9.810000,9.810000,106900
2018-08-06,9.810000,9.810000,9.800000,9.800000,9.800000,110300
2018-08-13,9.800000,9.850000,9.800000,9.800000,9.800000,10500
2018-08-20,9.800000,9.800000,9.800000,9.800000,9.800000,0
2018-08-27,9.830000,9.870000,9.800000,9.870000,9.870000,38700
2018-09-03,9.870000,9.870000,9.870000,9.870000,9.870000,0
2018-09-10,9.870000,9.880000,9.850000,9.850000,9.850000,883300
2018-09-17,9.850000,9.900000,9.850000,9.870000,9.870000,754300
2018-09-24,9.870000,9.900000,9.850000,9.900000,9.900000,163100
2018-10-01,9.900000,9.900000,9.900000,9.900000,9.900000,0
2018-10-08,9.850000,9.900000,9.850000,9.900000,9.900000,1100
2018-10-15,9.900000,9.920000,9.900000,9.920000,9.920000,1100
2018-10-22,9.920000,9.920000,9.870000,9.870000,9.870000,312400
2018-10-29,9.870000,9.900000,9.850000,9.866000,9.866000,6100
2018-11-05,9.860000,9.920000,9.860000,9.920000,9.920000,125100
2018-11-12,9.940000,9.950000,9.900000,9.950000,9.950000,10300
2018-11-19,9.950000,9.970000,9.929000,9.970000,9.970000,2700
2018-11-26,9.970000,9.980000,9.950000,9.980000,9.980000,8900
2018-12-03,10.000000,10.000000,9.966000,9.980000,9.980000,2700
2018-12-10,9.950000,10.030000,9.950000,9.990000,9.990000,540600
2018-12-17,9.990000,9.990000,9.900000,9.980000,9.980000,28300
2018-12-24,9.980000,10.000000,9.980000,10.000000,10.000000,19100
2018-12-31,10.000000,10.000000,10.000000,10.000000,10.000000,100
2019-01-07,10.013000,10.060000,10.010000,10.060000,10.060000,146600
2019-01-14,10.060000,10.120000,10.060000,10.120000,10.120000,68200
2019-01-21,10.120000,10.120000,10.120000,10.120000,10.120000,100000
2019-01-28,10.140000,10.150000,10.130000,10.150000,10.150000,62000
2019-02-04,10.150000,10.180000,10.100000,10.180000,10.180000,50100
2019-02-11,10.180000,10.180000,10.150000,10.180000,10.180000,5500
2019-02-18,10.170000,10.170000,10.160000,10.170000,10.170000,205100
2019-02-25,10.170000,10.170000,10.165000,10.165000,10.165000,500
2019-03-04,10.150000,10.180000,10.150000,10.180000,10.180000,402200
2019-03-11,10.179000,10.445000,10.164000,10.260000,10.260000,86400
2019-03-18,10.260000,10.260000,10.200000,10.210000,10.210000,275800
2019-03-25,10.210000,10.210000,10.210000,10.210000,10.210000,0
2019-04-01,10.210000,10.240000,10.200000,10.240000,10.240000,222400
2019-04-08,10.220000,10.220000,10.220000,10.220000,10.220000,59200
2019-04-15,10.240000,10.290000,10.230000,10.255000,10.255000,191900
2019-04-22,10.280000,10.300000,10.250000,10.275000,10.275000,234100
2019-04-29,10.290000,10.300000,10.250000,10.260000,10.260000,119500
2019-05-06,10.260000,10.279000,10.250000,10.279000,10.279000,131300
2019-05-13,10.250000,10.250000,10.250000,10.250000,10.250000,800
2019-05-20,10.300000,10.300000,10.262000,10.290000,10.290000,543600
2019-05-27,10.282000,10.380000,10.270000,10.280000,10.280000,871900
2019-06-03,10.280000,10.350000,10.280000,10.350000,10.350000,392500
2019-06-10,10.350000,10.350000,10.340000,10.350000,10.350000,232100
2019-06-17,10.350000,10.380000,10.340000,10.355000,10.355000,56400
2019-06-24,10.355000,10.355000,10.330000,10.330000,10.330000,10100
2019-07-01,10.330000,10.330000,10.330000,10.330000,10.330000,10100
2019-07-08,10.330000,10.360000,10.330000,10.330000,10.330000,116800
2019-07-15,10.350000,10.370000,10.330000,10.350000,10.350000,333000
2019-07-22,10.350000,10.382000,10.350000,10.360000,10.360000,101900
2019-07-29,10.360000,10.430000,10.360000,10.390000,10.390000,885300
2019-08-05,10.401000,10.401000,10.380000,10.400000,10.400000,801700
2019-08-12,10.410000,10.410000,10.400000,10.410000,10.410000,376700
2019-08-19,10.380000,10.440000,10.380000,10.430000,10.430000,1782800
2019-08-26,10.440000,10.440000,10.400000,10.430000,10.430000,187100
2019-09-02,10.430000,10.430000,10.410000,10.410000,10.410000,188300
2019-09-09,10.300000,10.420000,10.300000,10.380000,10.380000,8200
2019-09-16,10.360000,10.450000,10.360000,10.410000,10.410000,251100
2019-09-23,10.410000,10.480000,10.410000,10.460000,10.460000,294200
