Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,1.453125,1.734375,1.406250,1.546875,1.546875,1951600
2000-01-08,1.609375,1.750000,1.437500,1.593750,1.593750,3922000
2000-01-15,1.578125,2.000000,1.578125,1.906250,1.906250,3489600
2000-01-22,1.929688,2.296875,1.593750,1.750000,1.750000,6524400
2000-01-29,1.742188,2.007813,1.671875,1.812500,1.812500,2064400
2000-02-05,1.812500,1.906250,1.531250,1.578125,1.578125,2448000
2000-02-12,1.562500,1.812500,1.562500,1.578125,1.578125,1514000
2000-02-19,1.617188,1.742188,1.562500,1.640625,1.640625,982800
2000-02-26,1.609375,2.000000,1.593750,1.953125,1.953125,2108400
2000-03-04,1.937500,2.750000,1.781250,2.343750,2.343750,6632400
2000-03-11,2.312500,2.343750,1.812500,1.875000,1.875000,3881600
2000-03-18,1.898438,2.390625,1.875000,2.250000,2.250000,2817600
2000-03-25,2.250000,2.375000,1.875000,1.984375,1.984375,1331200
2000-04-01,2.015625,2.015625,1.656250,1.781250,1.781250,3044400
2000-04-08,1.781250,1.828125,1.375000,1.531250,1.531250,2113600
2000-04-15,1.464844,1.781250,1.375000,1.734375,1.734375,1006000
2000-04-22,1.734375,1.984375,1.500000,1.953125,1.953125,3073600
2000-04-29,1.984375,1.984375,1.562500,1.625000,1.625000,1952400
2000-05-06,1.593750,1.781250,1.531250,1.718750,1.718750,1179600
2000-05-13,1.687500,1.765625,1.515625,1.546875,1.546875,1986400
2000-05-20,1.531250,1.718750,1.500000,1.562500,1.562500,1937200
2000-05-27,1.593750,1.593750,1.281250,1.500000,1.500000,2904800
2000-06-03,1.500000,1.531250,1.335938,1.421875,1.421875,2596400
2000-06-10,1.437500,1.828125,1.421875,1.718750,1.718750,1954800
2000-06-17,1.687500,1.812500,1.656250,1.750000,1.750000,725600
2000-06-24,1.703125,1.875000,1.625000,1.687500,1.687500,977200
2000-07-01,1.812500,1.984375,1.703125,1.875000,1.875000,613600
2000-07-08,1.843750,1.906250,1.765625,1.765625,1.765625,574800
2000-07-15,1.765625,1.992188,1.750000,1.828125,1.828125,801200
2000-07-22,1.812500,1.875000,1.468750,1.843750,1.843750,1389600
2000-07-29,1.859375,1.953125,1.625000,1.843750,1.843750,2488800
2000-08-05,1.828125,2.281250,1.828125,2.218750,2.218750,2902800
2000-08-12,2.187500,2.234375,1.843750,1.890625,1.890625,2041200
2000-08-19,1.843750,1.976563,1.812500,1.921875,1.921875,946800
2000-08-26,1.875000,2.125000,1.843750,2.031250,2.031250,1712800
2000-09-02,2.000000,2.250000,2.000000,2.125000,2.125000,1461600
2000-09-09,2.171875,2.218750,1.937500,2.000000,2.000000,1293600
2000-09-16,2.007813,2.093750,1.953125,2.046875,2.046875,1307200
2000-09-23,2.027344,2.031250,1.687500,1.859375,1.859375,1843200
2000-09-30,1.750000,1.828125,1.281250,1.421875,1.421875,1802800
2000-10-07,1.421875,1.609375,1.265625,1.375000,1.375000,1808000
2000-10-14,1.375000,1.390625,1.140625,1.296875,1.296875,2900000
2000-10-21,1.296875,1.484375,1.187500,1.421875,1.421875,1114800
2000-10-28,1.343750,1.687500,1.343750,1.656250,1.656250,808000
2000-11-04,1.703125,1.781250,1.625000,1.765625,1.765625,852000
2000-11-11,1.707031,1.750000,1.500000,1.578125,1.578125,808000
2000-11-18,1.507813,1.625000,1.320313,1.390625,1.390625,568800
2000-11-25,1.406250,1.593750,1.125000,1.343750,1.343750,1511600
2000-12-02,1.351563,1.371094,1.156250,1.335938,1.335938,1832400
2000-12-09,1.328125,1.437500,1.218750,1.406250,1.406250,1178800
2000-12-16,1.414063,1.468750,1.250000,1.343750,1.343750,1284800
2000-12-23,1.253906,1.328125,1.015625,1.328125,1.328125,1746800
2000-12-30,1.312500,1.406250,1.187500,1.390625,1.390625,383600
2001-01-06,1.402344,1.468750,1.234375,1.406250,1.406250,339200
2001-01-13,1.375000,1.875000,1.359375,1.703125,1.703125,2386800
2001-01-20,1.750000,1.781250,1.640625,1.750000,1.750000,842000
2001-01-27,1.750000,1.843750,1.656250,1.796875,1.796875,885200
2001-02-03,1.812500,1.839844,1.570313,1.656250,1.656250,382800
2001-02-10,1.609375,1.656250,1.484375,1.562500,1.562500,404800
2001-02-17,1.562500,1.593750,1.375000,1.500000,1.500000,348000
2001-02-24,1.531250,1.562500,1.343750,1.421875,1.421875,514000
2001-03-03,1.421875,1.546875,1.367188,1.375000,1.375000,780000
2001-03-10,1.375000,1.421875,1.250000,1.312500,1.312500,702800
2001-03-17,1.375000,1.375000,1.031250,1.085938,1.085938,1459600
2001-03-24,1.093750,1.136719,1.000000,1.000000,1.000000,891200
2001-03-31,1.000000,1.167969,0.984375,1.062500,1.062500,926000
2001-04-07,1.070000,1.095000,1.002500,1.035000,1.035000,370400
2001-04-14,1.040000,1.200000,1.007500,1.187500,1.187500,628800
2001-04-21,1.160000,1.345000,1.125000,1.345000,1.345000,322800
2001-04-28,1.365000,1.662500,1.307500,1.575000,1.575000,698000
2001-05-05,1.600000,1.647500,1.270000,1.500000,1.500000,666400
2001-05-12,1.500000,1.517500,1.425000,1.492500,1.492500,534800
2001-05-19,1.475000,1.525000,1.437500,1.480000,1.480000,432800
2001-05-26,1.475000,1.497500,1.252500,1.312500,1.312500,348400
2001-06-02,1.472500,1.590000,1.392500,1.502500,1.502500,526800
2001-06-09,1.502500,1.550000,1.390000,1.400000,1.400000,286800
2001-06-16,1.480000,1.585000,1.407500,1.520000,1.520000,539200
2001-06-23,1.550000,1.760000,1.500000,1.700000,1.700000,974000
2001-06-30,1.702500,1.702500,1.605000,1.627500,1.627500,646800
2001-07-07,1.625000,1.675000,1.562500,1.635000,1.635000,1394800
2001-07-14,1.627500,1.637500,1.587500,1.625000,1.625000,707600
2001-07-21,1.612500,1.622500,1.350000,1.500000,1.500000,397200
2001-07-28,1.427500,1.625000,1.402500,1.575000,1.575000,358800
2001-08-04,1.625000,1.685000,1.392500,1.425000,1.425000,1163600
2001-08-11,1.497500,1.497500,1.250000,1.267500,1.267500,902800
2001-08-18,1.255000,1.255000,1.125000,1.155000,1.155000,680000
2001-08-25,1.212500,1.612500,1.117500,1.545000,1.545000,489200
2001-09-01,1.607500,1.620000,1.492500,1.575000,1.575000,1264000
2001-09-08,1.570000,1.570000,1.540000,1.552500,1.552500,93200
2001-09-15,1.555000,1.555000,1.140000,1.325000,1.325000,1375600
2001-09-22,1.252500,1.317500,1.175000,1.262500,1.262500,419200
2001-09-29,1.262500,1.350000,1.180000,1.337500,1.337500,488400
2001-10-06,1.312500,1.690000,1.290000,1.612500,1.612500,687600
2001-10-13,1.562500,1.700000,1.467500,1.565000,1.565000,1264400
2001-10-20,1.537500,2.045000,1.537500,2.012500,2.012500,3832800
2001-10-27,2.045000,2.380000,1.817500,2.325000,2.325000,4221600
2001-11-03,2.232500,2.750000,2.232500,2.635000,2.635000,3054400
2001-11-10,2.575000,2.647500,2.190000,2.512500,2.512500,2892800
2001-11-17,2.490000,2.562500,2.212500,2.540000,2.540000,862400
2001-11-24,2.535000,2.860000,2.472500,2.700000,2.700000,2335200
2001-12-01,2.745000,2.745000,2.512500,2.625000,2.625000,1422400
2001-12-08,2.640000,2.725000,2.275000,2.312500,2.312500,7675200
2001-12-15,2.375000,2.505000,2.330000,2.450000,2.450000,3734000
2001-12-22,2.465000,2.527500,2.437500,2.492500,2.492500,1837200
2001-12-29,2.500000,2.687500,2.247500,2.675000,2.675000,3184800
2002-01-05,2.672500,3.112500,2.532500,3.040000,3.040000,11727200
2002-01-12,3.040000,3.655000,3.000000,3.387500,3.387500,9545600
2002-01-19,3.365000,3.645000,3.212500,3.645000,3.645000,4830800
2002-01-26,3.700000,3.762500,3.162500,3.500000,3.500000,3832800
2002-02-02,3.492500,3.527500,3.170000,3.360000,3.360000,2244800
2002-02-09,3.385000,3.387500,3.037500,3.192500,3.192500,1242800
2002-02-16,3.112500,3.300000,2.855000,3.300000,3.300000,1258400
2002-02-23,3.287500,3.325000,3.100000,3.162500,3.162500,838400
2002-03-02,3.225000,3.287500,3.050000,3.250000,3.250000,2246800
2002-03-09,3.232500,3.325000,3.187500,3.255000,3.255000,2278400
2002-03-16,3.267500,4.087500,3.250000,3.827500,3.827500,8679600
2002-03-23,3.922500,4.150000,3.670000,3.862500,3.862500,3990800
2002-03-30,3.812500,3.987500,3.325000,3.382500,3.382500,3290800
2002-04-06,3.375000,3.985000,3.167500,3.852500,3.852500,4402800
2002-04-13,3.807500,4.122500,3.807500,3.940000,3.940000,3614400
2002-04-20,3.975000,4.125000,3.887500,3.960000,3.960000,3388800
2002-04-27,3.962500,4.512500,3.912500,4.267500,4.267500,5205200
2002-05-04,4.252500,4.280000,3.945000,4.027500,4.027500,2756800
2002-05-11,4.122500,4.290000,3.975000,4.250000,4.250000,3603200
2002-05-18,4.250000,4.412500,4.017500,4.325000,4.325000,2135200
2002-05-25,4.342500,4.342500,4.075000,4.125000,4.125000,2131200
2002-06-01,4.150000,4.150000,3.412500,3.805000,3.805000,3797200
2002-06-08,3.742500,3.750000,2.980000,3.345000,3.345000,14953600
2002-06-15,3.342500,3.750000,3.202500,3.700000,3.700000,2628000
2002-06-22,3.647500,3.875000,3.205000,3.617500,3.617500,14286800
2002-06-29,3.537500,3.560000,2.835000,3.012500,3.012500,4102400
2002-07-06,2.990000,3.272500,2.515000,3.170000,3.170000,7387600
2002-07-13,3.225000,3.262500,2.665000,2.802500,2.802500,3232000
2002-07-20,2.867500,3.152500,2.382500,3.007500,3.007500,3042400
2002-07-27,3.095000,3.310000,2.327500,2.427500,2.427500,7423200
2002-08-03,2.437500,2.500000,2.162500,2.500000,2.500000,3965200
2002-08-10,2.470000,2.620000,2.325000,2.535000,2.535000,2854400
2002-08-17,2.515000,2.687500,2.452500,2.612500,2.612500,1823600
2002-08-24,2.600000,2.712500,2.512500,2.687500,2.687500,1346400
2002-08-31,2.625000,2.697500,2.562500,2.635000,2.635000,1760800
2002-09-07,2.600000,2.687500,2.497500,2.500000,2.500000,2532400
2002-09-14,2.500000,2.500000,2.140000,2.312500,2.312500,3109600
2002-09-21,2.275000,2.532500,2.177500,2.462500,2.462500,4030400
2002-09-28,2.495000,3.080000,2.255000,2.935000,2.935000,5027600
2002-10-05,2.912500,3.012500,2.687500,2.787500,2.787500,2609200
2002-10-12,2.797500,3.232500,2.797500,3.050000,3.050000,3133200
2002-10-19,3.007500,3.200000,3.000000,3.175000,3.175000,1757600
2002-10-26,3.175000,3.250000,2.875000,3.232500,3.232500,1694400
2002-11-02,3.232500,3.522500,3.060000,3.102500,3.102500,1680400
2002-11-09,3.102500,3.322500,3.010000,3.312500,3.312500,1945200
2002-11-16,3.325000,3.562500,3.250000,3.540000,3.540000,2554800
2002-11-23,3.552500,3.585000,3.335000,3.440000,3.440000,3084000
2002-11-30,3.495000,3.555000,3.330000,3.457500,3.457500,1816000
2002-12-07,3.500000,3.500000,3.177500,3.235000,3.235000,1571600
2002-12-14,3.175000,3.250000,3.000000,3.097500,3.097500,3074000
2002-12-21,3.022500,3.247500,3.012500,3.190000,3.190000,1027200
2002-12-28,3.200000,3.247500,3.000000,3.107500,3.107500,1368800
2003-01-04,3.102500,3.262500,3.002500,3.002500,3.002500,2436800
2003-01-11,3.012500,3.037500,2.627500,2.670000,2.670000,2276400
2003-01-18,2.675000,2.707500,2.460000,2.500000,2.500000,3053200
2003-01-25,2.490000,2.562500,2.387500,2.477500,2.477500,2664800
2003-02-01,2.495000,2.500000,1.875000,2.022500,2.022500,11493200
2003-02-08,2.012500,2.062500,1.830000,1.920000,1.920000,2275600
2003-02-15,1.912500,1.945000,1.875000,1.900000,1.900000,1608400
2003-02-22,1.902500,1.917500,1.775000,1.807500,1.807500,2434400
2003-03-01,1.837500,2.037500,1.782500,2.000000,2.000000,3430400
2003-03-08,2.025000,2.087500,1.952500,2.087500,2.087500,2104000
2003-03-15,2.080000,2.350000,2.012500,2.172500,2.172500,1749600
2003-03-22,2.155000,2.200000,2.007500,2.200000,2.200000,933600
2003-03-29,2.155000,2.225000,2.112500,2.125000,2.125000,1675600
2003-04-05,2.127500,2.287500,2.125000,2.262500,2.262500,687600
2003-04-12,2.280000,2.347500,2.225000,2.245000,2.245000,1000400
2003-04-19,2.245000,2.285000,2.200000,2.237500,2.237500,1215600
2003-04-26,2.270000,2.290000,2.225000,2.250000,2.250000,1249600
2003-05-03,2.250000,2.490000,2.227500,2.387500,2.387500,4213200
2003-05-10,2.402500,2.532500,2.287500,2.495000,2.495000,2959600
2003-05-17,2.510000,2.900000,2.400000,2.792500,2.792500,2656000
2003-05-24,2.837500,3.157500,2.797500,3.127500,3.127500,1322400
2003-05-31,3.172500,3.237500,2.767500,3.162500,3.162500,2578800
2003-06-07,3.130000,3.400000,3.062500,3.325000,3.325000,2362400
2003-06-14,3.325000,3.362500,3.000000,3.125000,3.125000,2777600
2003-06-21,3.100000,3.250000,2.927500,3.195000,3.195000,1150800
2003-06-28,3.200000,3.317500,3.170000,3.247500,3.247500,2767600
2003-07-05,3.237500,3.475000,3.210000,3.340000,3.340000,1696800
2003-07-12,3.290000,3.400000,3.245000,3.370000,3.370000,958000
2003-07-19,3.365000,3.740000,3.310000,3.705000,3.705000,2517600
2003-07-26,3.630000,3.735000,3.405000,3.445000,3.445000,3055600
2003-08-02,3.407500,3.667500,3.125000,3.577500,3.577500,3704000
2003-08-09,3.617500,4.125000,3.540000,3.975000,3.975000,3951600
