Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,6.900000,8.896000,6.010000,8.530000,8.530000,26300
2019-02-18,10.280000,13.880000,6.500000,6.890000,6.890000,464700
2019-02-25,7.150000,7.680000,5.550000,6.093000,6.093000,224700
2019-03-04,6.510000,7.007000,5.020000,5.330000,5.330000,83500
2019-03-11,5.010000,6.434000,5.010000,5.655000,5.655000,38700
2019-03-18,5.700000,6.295000,5.250000,5.300000,5.300000,16100
2019-03-25,5.300000,5.540000,5.150000,5.150000,5.150000,7300
2019-04-01,5.150000,5.450000,4.706000,5.100000,5.100000,17400
2019-04-08,5.300000,5.606000,4.790000,5.520000,5.520000,12700
2019-04-15,5.300000,5.500000,4.800000,5.097000,5.097000,8100
2019-04-22,4.600000,5.961000,4.510000,5.216000,5.216000,27300
2019-04-29,5.471000,5.640000,5.050000,5.200000,5.200000,23100
2019-05-06,5.210000,5.600000,5.010000,5.600000,5.600000,9300
2019-05-13,5.940000,7.000000,5.050000,5.370000,5.370000,183700
2019-05-20,5.490000,5.490000,5.000000,5.230000,5.230000,37400
2019-05-27,5.240000,6.730000,4.412000,6.500000,6.500000,166400
2019-06-03,6.500000,7.900000,5.607000,6.650000,6.650000,176400
2019-06-10,7.000000,9.070000,6.292000,6.550000,6.550000,250500
2019-06-17,6.550000,7.000000,5.050000,5.300000,5.300000,107700
2019-06-24,5.710000,6.590000,5.000000,5.810000,5.810000,60500
2019-07-01,5.810000,5.860000,5.115000,5.300000,5.300000,36200
2019-07-08,5.700000,5.980000,5.020000,5.230000,5.230000,42200
2019-07-15,5.250000,5.499000,4.350000,4.500000,4.500000,58500
2019-07-22,4.600000,7.870000,3.955000,6.390000,6.390000,318500
2019-07-29,6.330000,6.360000,5.260000,5.420000,5.420000,42100
2019-08-05,5.330000,5.750000,4.550000,4.810000,4.810000,39700
2019-08-12,4.780000,5.590000,4.750000,5.422000,5.422000,14300
2019-08-19,5.590000,6.250000,4.960000,5.145000,5.145000,24400
2019-08-26,5.140000,6.100000,4.710000,5.690000,5.690000,20300
