Date,Open,High,Low,Close,Adj Close,Volume
2003-10-06,14.400000,14.400000,12.600000,13.200000,12.945796,5000
2003-10-13,13.200000,13.200000,13.200000,13.200000,12.945796,0
2003-10-20,13.200000,13.200000,12.720000,13.200000,12.945796,1125
2003-10-27,14.400000,14.400000,13.560000,13.560000,13.298863,3333
2003-11-03,13.560000,14.400000,12.720000,13.920000,13.651931,3542
2003-11-10,13.800000,14.400000,12.720000,12.720000,12.475040,2500
2003-11-17,12.720000,12.720000,12.720000,12.720000,12.475040,2083
2003-11-24,12.720000,12.720000,12.720000,12.720000,12.475040,0
2003-12-01,12.720000,12.720000,12.720000,12.720000,12.475040,0
2003-12-08,12.720000,12.720000,12.720000,12.720000,12.475040,0
2003-12-15,12.720000,12.720000,12.720000,12.720000,12.475040,0
2003-12-22,12.720000,12.720000,12.720000,12.720000,12.475040,0
2003-12-29,12.720000,12.720000,12.720000,12.720000,12.475040,0
2004-01-05,12.720000,12.720000,12.720000,12.720000,12.475040,0
2004-01-12,12.720000,12.720000,10.200000,10.800000,10.592014,1166
2004-01-19,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-01-26,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-02-02,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-02-09,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-02-16,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-02-23,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-03-01,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-03-08,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-03-15,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-03-22,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-03-29,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-04-05,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-04-12,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-04-19,10.800000,10.800000,10.800000,10.800000,10.592014,0
2004-04-26,10.800000,10.800000,7.200000,7.200000,7.061343,250
2004-05-03,7.200000,7.200000,7.200000,7.200000,7.061343,0
2004-05-10,7.200000,7.200000,7.200000,7.200000,7.061343,0
2004-05-17,7.200000,7.200000,7.200000,7.200000,7.061343,0
2004-05-24,7.200000,7.272000,7.200000,7.272000,7.131957,2916
2004-05-31,7.272000,7.272000,7.272000,7.272000,7.131957,0
2004-06-07,7.272000,7.272000,5.400000,5.400000,5.296007,375
2004-06-14,5.400000,5.400000,5.400000,5.400000,5.296007,0
2004-06-21,5.400000,5.400000,5.400000,5.400000,5.296007,0
2004-06-28,5.400000,5.400000,5.400000,5.400000,5.296007,0
2004-07-05,5.400000,5.400000,5.400000,5.400000,5.296007,0
2004-07-12,5.400000,5.400000,5.400000,5.400000,5.296007,0
2004-07-19,5.400000,6.360000,5.400000,6.360000,6.237520,2917
2004-07-26,6.360000,6.360000,5.808000,5.808000,5.696150,1083
2004-08-02,5.808000,5.808000,5.808000,5.808000,5.696150,0
2004-08-09,5.808000,5.808000,5.280000,5.304000,5.201856,2666
2004-08-16,5.304000,6.000000,5.304000,6.000000,5.884452,417
2004-08-23,6.000000,6.000000,6.000000,6.000000,5.884452,0
2004-08-30,6.000000,6.000000,6.000000,6.000000,5.884452,0
2004-09-06,6.000000,6.000000,6.000000,6.000000,5.884452,0
2004-09-13,6.000000,6.000000,6.000000,6.000000,5.884452,0
2004-09-20,6.000000,6.000000,6.000000,6.000000,5.884452,0
2004-09-27,6.000000,6.000000,6.000000,6.000000,5.884452,0
2004-10-04,6.000000,7.800000,5.040000,7.200000,7.061343,7750
2004-10-11,7.200000,7.200000,7.200000,7.200000,7.061343,0
2004-10-18,7.200000,7.200000,7.200000,7.200000,7.061343,0
2004-10-25,7.200000,7.200000,6.000000,6.000000,5.884452,4500
2004-11-01,6.720000,6.720000,6.720000,6.720000,6.590587,584
2004-11-08,6.720000,6.720000,6.720000,6.720000,6.590587,0
2004-11-15,6.720000,6.720000,6.120000,6.240000,6.119830,2708
2004-11-22,6.240000,6.240000,6.240000,6.240000,6.119830,0
2004-11-29,6.960000,6.960000,6.840000,6.840000,6.708276,1459
2004-12-06,6.840000,6.840000,6.840000,6.840000,6.708276,0
2004-12-13,6.840000,7.200000,6.840000,7.200000,7.061343,417
