Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.995180,4.090304,3.519564,3.582979,2.567014,725768
2000-01-08,3.590906,3.646395,3.234194,3.361025,2.407995,1488594
2000-01-15,3.361025,3.622614,3.361025,3.590906,2.572693,318139
2000-01-22,3.678103,3.693956,3.424440,3.582979,2.567014,341005
2000-01-29,3.551271,3.551271,3.297609,3.313463,2.373920,501059
2000-02-05,3.345171,3.456148,3.218340,3.424440,2.453429,1434585
2000-02-12,3.440294,3.551271,3.234194,3.361025,2.407995,1439709
2000-02-19,3.376879,3.487856,3.202486,3.456148,2.476146,683979
2000-02-26,3.440294,3.646395,3.424440,3.456148,2.476146,3287835
2000-03-04,3.487856,3.551271,3.456148,3.519564,2.521580,1919876
2000-03-11,3.503710,3.519564,3.376879,3.392733,2.430712,2371264
2000-03-18,3.408586,3.503710,3.265901,3.361025,2.407995,1208299
2000-03-25,3.361025,3.931765,3.345171,3.563162,2.552815,3123839
2000-04-01,3.551271,4.058596,3.519564,4.058596,2.907768,1472825
2000-04-08,4.042742,4.058596,3.709810,3.789080,2.714674,1365990
2000-04-15,3.741518,4.026888,3.709810,3.963473,2.839617,801459
2000-04-22,3.900057,4.343966,3.868349,4.280550,3.066786,573598
2000-04-29,4.074450,4.756167,4.074450,4.534213,3.248521,1000544
2000-05-06,4.621409,4.914706,3.995180,4.581774,3.282596,723797
2000-05-13,4.581774,4.629336,4.058596,4.264697,3.055427,875574
2000-05-20,4.232989,4.724459,4.185427,4.724459,3.384823,395407
2000-05-27,4.597628,4.724459,4.185427,4.439089,3.180371,680433
2000-06-03,4.439089,4.692752,4.328112,4.661044,3.339390,2521858
2000-06-10,4.637263,4.692752,4.122012,4.312258,3.089502,1477556
2000-06-17,4.296404,4.470797,4.185427,4.193354,3.004315,721432
2000-06-24,4.169573,4.296404,3.614687,4.232989,3.032710,1106196
2000-07-01,4.185427,4.565920,3.995180,4.312258,3.089502,338244
2000-07-08,4.312258,4.724459,4.312258,4.312258,3.089502,1147194
2000-07-15,4.391528,4.597628,4.343966,4.359820,3.123580,1428672
2000-07-22,4.312258,4.534213,4.185427,4.280550,3.066786,657568
2000-07-29,4.280550,4.565920,4.248843,4.375674,3.134936,376485
2000-08-05,4.375674,4.494578,4.153719,4.439089,3.180371,357955
2000-08-12,4.399455,4.423235,4.090304,4.169573,2.987277,337457
2000-08-19,4.177500,4.407382,4.137865,4.248843,3.044070,476618
2000-08-26,4.217135,4.439089,4.058596,4.185427,2.998636,724191
2000-09-02,4.185427,4.407382,4.185427,4.375674,3.134936,534175
2000-09-09,4.328112,4.629336,4.312258,4.407382,3.157654,506973
2000-09-16,4.375674,4.740313,4.375674,4.597628,3.293957,614202
2000-09-23,4.565920,4.581774,4.407382,4.407382,3.157654,376484
2000-09-30,4.407382,4.486651,4.312258,4.375674,3.134936,458877
2000-10-07,4.375674,4.454943,4.312258,4.375674,3.134936,1433008
2000-10-14,4.359820,4.486651,4.011034,4.375674,3.134936,695017
2000-10-21,4.375674,4.486651,4.106158,4.312258,3.089502,578722
2000-10-28,4.110121,4.470797,4.106158,4.454943,3.191729,989111
2000-11-04,4.423235,4.454943,4.312258,4.439089,3.180371,435225
2000-11-11,4.312258,5.057391,4.312258,5.009829,3.589275,1290693
2000-11-18,5.025683,5.057391,4.724459,5.057391,3.623351,701720
2000-11-25,4.882998,5.675693,4.882998,5.390323,3.861880,815652
2000-12-02,5.390323,6.278141,5.358615,5.834232,4.179915,1147195
2000-12-09,5.802524,5.897647,5.152514,5.770816,4.134482,1877693
2000-12-16,5.762889,5.865940,5.263492,5.596423,4.009538,1109744
2000-12-23,5.723254,5.929355,5.437884,5.786670,4.145840,1473613
2000-12-30,5.850086,6.024478,5.485446,5.707401,4.089048,1839847
2001-01-06,5.707401,6.183017,5.596423,6.183017,4.429801,1777166
2001-01-13,6.214725,6.975712,6.167163,6.341556,4.543388,2913323
2001-01-20,6.404972,6.563511,6.198871,6.436680,4.611538,2171391
2001-01-27,6.389118,6.753757,6.373264,6.579365,4.713764,844036
2001-02-03,6.531803,6.642780,6.119602,6.167163,4.418444,719461
2001-02-10,5.913501,6.595218,5.897647,6.103748,4.373010,1651014
2001-02-17,5.992771,6.309848,5.961063,6.293995,4.509314,1185434
2001-02-24,6.246433,6.468387,6.135456,6.167163,4.418444,1719216
2001-03-03,6.155273,6.341556,6.135456,6.230579,4.463879,603952
2001-03-10,6.214725,6.214725,5.961063,6.008625,4.304858,2036173
2001-03-17,6.024478,6.563511,5.961063,6.341556,4.543388,1361653
2001-03-24,6.278141,6.595218,6.119602,6.404972,4.588822,784114
2001-03-31,6.278141,6.484241,6.183017,6.293995,4.509314,688317
2001-04-07,6.245165,6.379606,6.186822,6.285751,4.503404,502242
2001-04-14,6.217262,7.216691,6.214725,6.988395,5.006812,2091759
2001-04-21,6.897077,7.110153,6.818441,6.963029,4.988641,1124723
2001-04-28,7.023908,7.379035,6.937663,7.275033,5.212173,3236588
2001-05-05,7.244594,7.523622,7.183715,7.292790,5.224896,867690
2001-05-12,7.318156,7.546452,7.269960,7.483036,5.361195,3567737
2001-05-19,7.483036,7.533769,7.059420,7.092396,5.081324,985957
2001-05-26,7.039127,7.231911,6.972541,7.035957,5.040888,668685
