Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.562500,3.562500,3.000000,3.562500,3.238213,21900
2000-01-08,3.500000,3.812500,3.250000,3.625000,3.295023,23500
2000-01-15,3.625000,4.000000,3.500000,3.625000,3.295023,70400
2000-01-22,3.750000,4.125000,3.500000,3.500000,3.181402,21500
2000-01-29,3.875000,4.000000,3.687500,3.984375,3.621686,30100
2000-02-05,3.812500,4.000000,3.500000,3.625000,3.295023,11700
2000-02-12,3.375000,3.687500,3.250000,3.562500,3.238213,30300
2000-02-19,3.750000,5.000000,3.562500,4.750000,4.317618,100700
2000-02-26,5.125000,5.875000,4.250000,4.250000,3.863130,159600
2000-03-04,4.250000,4.750000,3.937500,4.250000,3.863130,40500
2000-03-11,4.000000,4.250000,3.750000,4.000000,3.635888,55500
2000-03-18,4.125000,4.125000,3.625000,3.750000,3.408645,39600
2000-03-25,3.625000,3.812500,3.375000,3.500000,3.181402,49700
2000-04-01,3.500000,3.625000,3.375000,3.500000,3.181402,58000
2000-04-08,3.625000,3.875000,3.187500,3.500000,3.181402,49400
2000-04-15,3.625000,4.000000,3.500000,3.875000,3.522267,27800
2000-04-22,3.625000,4.062500,3.625000,4.046875,3.678496,1400
2000-04-29,4.125000,4.750000,4.125000,4.625000,4.203995,28400
2000-05-06,4.375000,4.500000,3.625000,3.750000,3.408645,26100
2000-05-13,3.875000,4.625000,3.875000,4.125000,3.749509,16800
2000-05-20,4.187500,4.187500,3.687500,4.000000,3.635888,12100
2000-05-27,4.000000,4.375000,4.000000,4.375000,3.976753,28300
2000-06-03,4.375000,4.375000,3.750000,4.187500,3.806321,26900
2000-06-10,4.250000,4.500000,3.875000,4.375000,3.976753,26500
2000-06-17,3.875000,4.500000,3.750000,4.000000,3.635888,18900
2000-06-24,4.000000,4.125000,3.750000,4.000000,3.635888,24900
2000-07-01,4.125000,4.750000,3.875000,4.750000,4.317618,17100
2000-07-08,4.187500,4.187500,3.937500,3.937500,3.579078,30400
2000-07-15,3.968750,4.250000,3.812500,3.812500,3.465456,10100
2000-07-22,4.000000,4.000000,3.812500,3.812500,3.465456,8900
2000-07-29,3.812500,4.000000,3.812500,4.000000,3.635888,10500
2000-08-05,4.000000,4.625000,4.000000,4.250000,3.863130,163600
2000-08-12,4.375000,4.812500,4.250000,4.750000,4.317618,60500
2000-08-19,4.625000,4.750000,3.875000,4.562500,4.147186,22900
2000-08-26,4.437500,4.437500,4.125000,4.125000,3.749509,1100
2000-09-02,4.125000,4.625000,4.125000,4.500000,4.090373,28900
2000-09-09,4.750000,4.750000,4.250000,4.375000,3.976753,13800
2000-09-16,4.375000,4.375000,4.125000,4.125000,3.749509,3500
2000-09-23,4.125000,4.500000,4.000000,4.000000,3.635888,39400
2000-09-30,4.375000,4.375000,3.750000,3.750000,3.408645,16900
2000-10-07,3.750000,3.875000,3.625000,3.812500,3.465456,19600
2000-10-14,3.687500,3.875000,3.437500,3.437500,3.124591,57800
2000-10-21,3.500000,3.500000,3.375000,3.375000,3.067781,20100
2000-10-28,3.375000,3.625000,3.375000,3.500000,3.181402,15500
2000-11-04,3.500000,3.750000,3.500000,3.500000,3.181402,13000
2000-11-11,3.500000,3.750000,3.375000,3.625000,3.295023,8500
2000-11-18,3.500000,3.875000,3.500000,3.687500,3.351834,3200
2000-11-25,3.687500,3.687500,3.375000,3.375000,3.067781,19200
2000-12-02,3.500000,3.875000,3.312500,3.687500,3.351834,17300
2000-12-09,3.437500,3.687500,3.312500,3.437500,3.124591,12900
2000-12-16,3.437500,3.625000,3.250000,3.437500,3.124591,48000
2000-12-23,3.375000,3.750000,3.250000,3.500000,3.181402,84500
2000-12-30,3.500000,3.625000,3.375000,3.375000,3.067781,17200
2001-01-06,3.625000,3.625000,3.375000,3.375000,3.067781,49800
2001-01-13,3.328125,3.625000,3.250000,3.437500,3.124591,48400
2001-01-20,3.359375,3.500000,3.250000,3.312500,3.010969,17400
2001-01-27,3.484375,4.187500,3.468750,3.937500,3.579078,58900
2001-02-03,3.937500,4.000000,3.500000,3.500000,3.181402,21200
2001-02-10,3.625000,3.875000,3.437500,3.750000,3.408645,28000
2001-02-17,3.750000,4.187500,3.437500,3.875000,3.522267,44600
2001-02-24,4.062500,4.062500,3.750000,3.750000,3.408645,20700
2001-03-03,3.750000,4.000000,3.750000,3.906250,3.550672,20900
2001-03-10,4.000000,4.000000,3.500000,3.625000,3.295023,18100
2001-03-17,3.875000,3.875000,3.312500,3.500000,3.181402,12500
2001-03-24,3.562500,3.875000,3.500000,3.500000,3.181402,10500
2001-03-31,3.500000,3.812500,3.500000,3.625000,3.295023,36200
2001-04-07,3.620000,3.620000,3.150000,3.400000,3.090505,138900
2001-04-14,3.400000,3.420000,3.360000,3.400000,3.090505,7100
2001-04-21,3.260000,3.500000,3.260000,3.500000,3.181402,21500
2001-04-28,3.500000,3.500000,3.390000,3.420000,3.108685,12000
2001-05-05,3.450000,3.510000,3.370000,3.370000,3.063235,19600
2001-05-12,3.500000,3.650000,3.460000,3.500000,3.181402,22300
2001-05-19,3.500000,3.550000,3.350000,3.450000,3.135953,30000
2001-05-26,3.490000,3.540000,3.370000,3.370000,3.063235,27100
2001-06-02,3.320000,3.660000,3.150000,3.250000,2.954159,32800
2001-06-09,3.250000,3.250000,3.010000,3.100000,2.817813,41400
2001-06-16,3.160000,3.160000,2.610000,2.800000,2.545122,74800
2001-06-23,2.750000,2.850000,2.690000,2.840000,2.581481,56300
2001-06-30,2.770000,2.770000,2.500000,2.500000,2.272431,47600
2001-07-07,2.480000,2.490000,2.150000,2.490000,2.263341,56600
2001-07-14,2.400000,3.300000,2.400000,2.900000,2.636019,64400
2001-07-21,2.600000,2.950000,2.600000,2.800000,2.545122,13300
2001-07-28,2.750000,2.940000,2.710000,2.830000,2.572392,2000
2001-08-04,2.800000,2.930000,2.690000,2.900000,2.636019,24900
2001-08-11,2.920000,2.990000,2.720000,2.850000,2.590570,25400
2001-08-18,2.850000,2.850000,2.720000,2.720000,2.472404,1400
2001-08-25,2.700000,2.850000,2.600000,2.690000,2.445135,10100
2001-09-01,2.600000,2.700000,2.320000,2.550000,2.317879,18700
2001-09-08,2.510000,2.680000,2.500000,2.680000,2.436045,13400
2001-09-15,2.500000,2.650000,2.250000,2.500000,2.272431,35200
2001-09-22,2.520000,2.590000,2.470000,2.490000,2.263341,16900
2001-09-29,2.410000,2.450000,2.350000,2.350000,2.136084,49200
2001-10-06,2.350000,2.380000,2.140000,2.380000,2.163354,35700
2001-10-13,2.400000,2.500000,2.080000,2.200000,1.999739,10500
2001-10-20,2.200000,2.490000,2.090000,2.250000,2.045186,13000
2001-10-27,2.490000,2.490000,2.030000,2.280000,2.072457,92700
2001-11-03,2.110000,2.250000,2.080000,2.100000,1.908841,23500
2001-11-10,2.250000,2.300000,2.070000,2.300000,2.090636,33700
2001-11-17,2.070000,2.250000,2.060000,2.110000,1.917931,82300
2001-11-24,2.110000,2.590000,2.080000,2.400000,2.181533,31900
2001-12-01,2.350000,2.400000,2.110000,2.110000,1.917931,19200
2001-12-08,2.140000,2.350000,2.140000,2.150000,1.954290,6600
2001-12-15,2.160000,2.180000,2.010000,2.130000,1.936110,119500
2001-12-22,2.080000,2.300000,2.060000,2.230000,2.027008,32600
2001-12-29,2.230000,2.350000,2.200000,2.210000,2.008828,17200
2002-01-05,2.220000,3.000000,2.200000,2.750000,2.499673,27500
2002-01-12,2.710000,2.790000,2.480000,2.580000,2.345148,25100
2002-01-19,2.400000,2.850000,2.400000,2.620000,2.381507,13300
2002-01-26,2.700000,2.700000,2.450000,2.500000,2.272431,19800
2002-02-02,2.480000,2.480000,2.480000,2.480000,2.254251,2000
2002-02-09,2.480000,2.480000,2.330000,2.350000,2.136084,44200
2002-02-16,2.350000,2.350000,2.100000,2.130000,1.936110,27200
2002-02-23,2.130000,2.200000,1.600000,2.160000,1.963379,36300
2002-03-02,2.160000,2.530000,2.130000,2.450000,2.226981,14500
2002-03-09,2.530000,2.740000,2.200000,2.400000,2.181533,23400
2002-03-16,2.500000,2.540000,2.200000,2.200000,1.999739,50000
2002-03-23,2.680000,3.010000,2.350000,2.550000,2.317879,18900
