Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,10.545338,10.545338,9.711244,10.009135,6.100891,66720
2000-01-08,9.979345,10.009135,9.621876,10.009135,6.100891,69237
2000-01-15,10.009135,10.009135,9.532509,9.562298,5.828530,48676
2000-01-22,9.562298,10.009135,9.532509,9.666560,5.892080,173301
2000-01-29,9.651665,10.143185,9.137804,9.770822,5.955630,161553
2000-02-05,9.882531,10.247447,9.115462,9.294196,5.665112,99870
2000-02-12,9.770822,9.770822,9.264407,9.323985,5.683269,47415
2000-02-19,9.309091,9.770822,9.204829,9.472931,5.774056,87700
2000-02-26,9.279302,9.413353,9.219724,9.294196,5.665112,203095
2000-03-04,9.323985,9.353775,8.877149,9.052160,5.517583,165749
2000-03-11,8.877149,9.532509,8.757993,9.472931,5.774056,257226
2000-03-18,9.443142,9.889978,9.264407,9.770822,5.955630,104485
2000-03-25,9.651665,9.755927,9.309091,9.651665,5.883000,99449
2000-04-01,9.636771,10.009135,9.413353,10.009135,6.193067,151901
2000-04-08,10.009135,10.009135,9.532509,10.009135,6.193067,93995
2000-04-15,9.889978,10.336815,9.532509,10.217658,6.322090,75951
2000-04-22,10.009135,10.009135,9.532509,9.860189,6.100908,652924
2000-04-29,9.919767,10.485760,9.919767,10.307025,6.377384,99450
2000-05-06,10.307025,10.485760,10.128291,10.158080,6.285227,52032
2000-05-13,10.158080,10.485760,9.770822,9.770822,6.045612,158196
2000-05-20,9.744756,10.366604,9.294196,10.366604,6.414246,90217
2000-05-27,9.889978,10.485760,9.889978,10.143185,6.276008,74272
2000-06-03,10.143185,10.470865,9.458036,9.517615,5.888944,106582
2000-06-10,9.592087,11.617745,9.234618,9.942109,6.151596,208382
2000-06-17,9.830400,10.091055,9.253236,10.091055,6.243752,152404
2000-06-24,9.951418,9.951418,8.936727,9.718691,6.013356,125549
2000-07-01,9.681455,9.681455,9.085673,9.644218,5.967277,105743
2000-07-08,9.700073,9.755927,8.936727,9.458036,5.852079,117828
2000-07-15,9.476655,9.532509,9.122909,9.234618,5.713840,155091
2000-07-22,9.234618,9.420800,9.160145,9.160145,5.667762,97015
2000-07-29,9.122909,9.383564,9.122909,9.160145,5.667762,84258
2000-08-05,9.290473,9.309091,9.085673,9.234618,5.713840,132262
2000-08-12,9.234618,9.234618,9.197382,9.216000,5.702322,86273
2000-08-19,9.290473,9.458036,9.290473,9.458036,5.852079,191346
2000-08-26,9.364945,9.513891,9.141527,9.234618,5.713840,179595
2000-09-02,9.513891,10.091055,9.160145,9.830400,6.082478,228272
2000-09-09,9.532509,10.053818,9.495273,9.606982,5.944240,230285
2000-09-16,9.606982,10.407564,9.495273,9.979345,6.174634,252107
2000-09-23,9.904873,10.053818,8.973964,9.122909,5.644724,410217
2000-09-30,9.271855,9.513891,8.936727,9.029818,5.673744,576050
2000-10-07,9.048436,9.458036,9.029818,9.458036,5.942810,228608
2000-10-14,9.048436,10.426182,9.048436,10.351709,6.504334,352479
2000-10-21,10.388945,10.388945,9.532509,10.202764,6.410746,219208
2000-10-28,10.146909,10.686836,9.849018,10.575127,6.644715,315216
2000-11-04,10.426182,10.649600,10.128291,10.165527,6.387349,107757
2000-11-11,10.146909,10.705455,10.128291,10.370327,6.516030,109771
2000-11-18,9.988655,10.593745,9.979345,10.388945,6.527730,82917
2000-11-25,10.426182,10.500655,10.109673,10.426182,6.551127,214173
2000-12-02,10.351709,10.458764,9.755927,10.426182,6.551127,240692
2000-12-09,10.426182,10.426182,9.811782,9.830400,6.176777,199403
2000-12-16,10.221382,10.426182,10.128291,10.426182,6.551127,290710
2000-12-23,10.351709,10.463418,10.165527,10.165527,6.387349,338043
2000-12-30,10.184145,10.575127,9.960727,10.202764,6.410746,438415
2001-01-06,10.202764,11.431564,10.146909,10.998691,6.910853,282317
2001-01-13,10.873018,11.282618,10.630982,10.705455,6.726604,170196
2001-01-20,10.742691,11.152291,9.383564,9.476655,5.954507,643860
2001-01-27,10.128291,10.509964,9.644218,9.904873,6.223571,337372
2001-02-03,9.811782,11.115055,9.788509,11.040582,6.937178,406861
2001-02-10,11.021964,11.841164,11.003345,11.170909,7.019065,387391
2001-02-17,11.170909,11.170909,10.146909,10.724073,6.738304,98358
2001-02-24,10.956800,11.245382,10.486691,11.133673,6.995668,139984
2001-03-03,11.175564,11.580509,11.077818,11.375709,7.147748,266205
2001-03-10,11.282618,11.426909,10.677527,10.724073,6.738304,141998
2001-03-17,10.835782,11.245382,10.430836,11.170909,7.019065,346771
2001-03-24,11.040582,11.394327,10.649600,11.394327,7.159447,406860
2001-03-31,11.375709,11.394327,10.649600,11.021964,7.021003,228271
2001-04-07,11.227508,11.468800,11.024943,11.468800,7.305635,81574
2001-04-14,11.465821,11.915636,11.156015,11.334749,7.220249,99701
2001-04-21,11.662429,11.662429,11.170909,11.439011,7.286661,207794
2001-04-28,11.361559,11.617745,11.245382,11.617745,7.400516,96008
2001-05-05,11.692218,11.754775,11.319855,11.543273,7.353076,134948
2001-05-12,11.549231,12.240337,11.549231,11.766691,7.495395,213836
2001-05-19,11.710092,12.731857,11.710092,12.377367,7.884397,223908
2001-05-26,12.511418,12.511418,11.841164,12.389283,7.891986,153748
2001-06-02,12.332684,13.405091,12.276084,13.145926,8.373969,147032
2001-06-09,13.032727,13.673193,12.958255,13.628509,8.681373,280304
2001-06-16,12.846545,14.447709,12.474182,13.405091,8.539057,297827
2001-06-23,13.405091,18.048466,13.256145,15.639273,9.962234,359326
2001-06-30,14.265251,15.103069,13.814691,14.086516,8.973125,168922
2001-07-07,14.134924,15.266909,13.982255,15.117964,9.630159,290844
2001-07-14,15.117964,15.244567,14.633891,14.935505,9.513935,90504
2001-07-21,15.006255,15.266909,14.220567,15.080727,9.606439,166773
2001-07-28,15.080727,15.229673,14.336000,14.473775,9.219807,100977
2001-08-04,14.559418,14.875927,14.067898,14.462604,9.212692,127027
2001-08-11,14.373236,14.894545,14.149818,14.708364,9.369240,645604
2001-08-18,14.671127,15.080727,14.533353,14.782836,9.416680,107421
2001-08-25,14.782836,14.909440,14.153542,14.224291,9.060886,111719
2001-09-01,14.228015,14.391855,13.777455,13.963636,8.894852,241699
2001-09-08,13.978531,14.317382,13.851927,13.945018,8.882989,30884
2001-09-15,13.408815,13.963636,12.772073,13.419985,8.548543,316627
2001-09-22,13.405091,15.266909,13.367855,14.336000,9.132047,413037
2001-09-29,14.336000,14.607825,13.475840,14.019491,9.028753,105005
2001-10-06,13.881716,14.123753,11.569338,13.699258,8.822519,131591
2001-10-13,13.963636,14.149818,13.032727,14.149818,9.112688,116821
2001-10-20,14.149818,14.522182,13.498182,13.945018,8.980793,89696
2001-10-27,13.945018,14.216844,13.405091,13.729047,8.841705,61499
2001-11-03,13.688087,14.168436,13.475840,13.475840,8.678636,114135
