Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,2.562500,3.750000,2.406250,3.375000,3.375000,269100
2000-01-08,3.625000,3.812500,2.750000,2.875000,2.875000,145500
2000-01-15,2.812500,3.250000,2.500000,2.875000,2.875000,118700
2000-01-22,3.250000,3.375000,2.500000,2.750000,2.750000,82100
2000-01-29,3.000000,3.250000,2.750000,2.750000,2.750000,131700
2000-02-05,2.750000,7.500000,2.625000,4.343750,4.343750,1672300
2000-02-12,4.500000,6.875000,4.125000,5.625000,5.625000,1005000
2000-02-19,5.343750,5.375000,4.125000,4.500000,4.500000,424200
2000-02-26,4.343750,6.250000,4.250000,5.937500,5.937500,600800
2000-03-04,5.750000,9.968750,5.625000,8.500000,8.500000,1038900
2000-03-11,8.375000,8.500000,5.000000,5.562500,5.562500,519400
2000-03-18,6.937500,7.000000,5.000000,5.812500,5.812500,167600
2000-03-25,5.625000,6.500000,4.500000,4.500000,4.500000,340200
2000-04-01,4.812500,5.250000,3.250000,5.000000,5.000000,164700
2000-04-08,5.000000,5.312500,3.250000,3.687500,3.687500,137400
2000-04-15,3.375000,4.500000,2.937500,3.875000,3.875000,356100
2000-04-22,4.000000,4.062500,3.125000,3.500000,3.500000,81000
2000-04-29,3.375000,3.937500,3.375000,3.406250,3.406250,112700
2000-05-06,3.312500,3.625000,3.062500,3.250000,3.250000,48000
2000-05-13,3.250000,3.687500,3.250000,3.375000,3.375000,23600
2000-05-20,3.312500,3.625000,2.500000,2.500000,2.500000,80400
2000-05-27,2.812500,3.937500,2.500000,3.250000,3.250000,54400
2000-06-03,3.500000,3.750000,3.125000,3.625000,3.625000,42100
2000-06-10,3.625000,3.937500,3.281250,3.750000,3.750000,30300
2000-06-17,3.593750,3.812500,3.375000,3.375000,3.375000,19200
2000-06-24,3.562500,4.187500,3.562500,3.687500,3.687500,48200
2000-07-01,3.750000,4.250000,3.250000,3.500000,3.500000,33500
2000-07-08,3.375000,3.875000,3.031250,3.750000,3.750000,35000
2000-07-15,3.812500,3.875000,3.500000,3.562500,3.562500,18600
2000-07-22,3.593750,3.687500,3.000000,3.187500,3.187500,29900
2000-07-29,3.218750,3.375000,2.750000,2.875000,2.875000,72600
