Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,2.593750,2.750000,2.000000,2.500000,2.500000,154100
2000-01-08,2.375000,2.750000,2.375000,2.625000,2.625000,100100
2000-01-15,2.312500,3.250000,2.312500,3.250000,3.250000,87300
2000-01-22,3.250000,3.781250,2.875000,3.062500,3.062500,80700
2000-01-29,3.375000,3.750000,3.125000,3.250000,3.250000,21200
2000-02-05,3.500000,3.750000,3.062500,3.500000,3.500000,81200
2000-02-12,3.750000,3.750000,3.000000,3.125000,3.125000,37700
2000-02-19,3.375000,3.500000,3.000000,3.250000,3.250000,26100
2000-02-26,3.125000,3.437500,2.875000,2.937500,2.937500,51700
2000-03-04,3.250000,3.375000,3.062500,3.062500,3.062500,62400
2000-03-11,3.062500,3.125000,2.500000,2.812500,2.812500,154100
2000-03-18,2.843750,2.875000,2.500000,2.875000,2.875000,30800
2000-03-25,2.875000,3.000000,2.625000,3.000000,3.000000,46500
2000-04-01,2.937500,3.000000,2.500000,3.000000,3.000000,72200
2000-04-08,2.875000,3.000000,2.312500,2.750000,2.750000,86400
2000-04-15,2.875000,2.875000,2.000000,2.000000,2.000000,49000
2000-04-22,2.000000,2.750000,1.750000,2.000000,2.000000,68900
2000-04-29,2.125000,2.375000,2.062500,2.187500,2.187500,11700
2000-05-06,2.062500,2.562500,1.750000,2.375000,2.375000,36300
2000-05-13,2.375000,2.375000,1.812500,2.000000,2.000000,31000
2000-05-20,2.000000,2.000000,1.750000,1.812500,1.812500,95900
2000-05-27,1.812500,2.125000,1.812500,1.937500,1.937500,43300
2000-06-03,2.062500,2.125000,1.875000,1.937500,1.937500,33700
2000-06-10,1.859375,1.859375,1.625000,1.656250,1.656250,144700
2000-06-17,1.750000,1.750000,1.531250,1.625000,1.625000,75400
2000-06-24,1.531250,1.625000,1.500000,1.562500,1.562500,99800
2000-07-01,1.687500,1.687500,1.562500,1.625000,1.625000,34300
2000-07-08,1.687500,2.437500,1.562500,2.250000,2.250000,913000
2000-07-15,2.234375,2.250000,1.937500,2.093750,2.093750,104900
2000-07-22,2.109375,2.500000,2.093750,2.500000,2.500000,86500
2000-07-29,2.343750,2.750000,2.000000,2.312500,2.312500,124700
2000-08-05,2.312500,2.687500,1.687500,1.687500,1.687500,137300
2000-08-12,1.687500,1.937500,1.562500,1.625000,1.625000,85100
2000-08-19,2.000000,2.000000,1.625000,1.812500,1.812500,43600
2000-08-26,1.812500,1.875000,1.500000,1.750000,1.750000,150200
2000-09-02,1.875000,1.875000,1.718750,1.812500,1.812500,241700
2000-09-09,1.812500,2.718750,1.781250,2.437500,2.437500,1020600
2000-09-16,2.375000,2.687500,2.187500,2.437500,2.437500,166800
2000-09-23,2.500000,2.875000,1.562500,2.093750,2.093750,171400
2000-09-30,2.093750,2.250000,1.750000,2.062500,2.062500,50000
2000-10-07,2.234375,2.250000,1.875000,1.875000,1.875000,78500
2000-10-14,1.875000,2.000000,1.625000,1.750000,1.750000,91900
2000-10-21,1.703125,2.000000,1.625000,1.687500,1.687500,174300
2000-10-28,1.687500,1.687500,1.625000,1.687500,1.687500,37000
2000-11-04,1.687500,1.687500,1.250000,1.437500,1.437500,123700
2000-11-11,1.437500,1.562500,1.250000,1.437500,1.437500,63100
2000-11-18,1.437500,1.453125,1.062500,1.250000,1.250000,36700
2000-11-25,1.312500,1.437500,1.062500,1.250000,1.250000,294700
2000-12-02,1.437500,2.000000,0.625000,0.781250,0.781250,209300
2000-12-09,0.781250,1.250000,0.781250,0.875000,0.875000,446300
2000-12-16,0.906250,0.937500,0.687500,0.750000,0.750000,226500
2000-12-23,0.750000,0.781250,0.375000,0.562500,0.562500,3413400
2000-12-30,0.593750,1.125000,0.593750,1.000000,1.000000,159500
2001-01-06,1.156250,1.187500,0.875000,1.062500,1.062500,94500
2001-01-13,1.000000,1.562500,1.000000,1.250000,1.250000,109000
2001-01-20,1.312500,1.562500,1.187500,1.406250,1.406250,262400
2001-01-27,1.562500,2.062500,1.468750,1.812500,1.812500,730900
2001-02-03,1.937500,1.937500,1.625000,1.750000,1.750000,89300
2001-02-10,1.875000,1.875000,1.500000,1.687500,1.687500,39700
