Date,Open,High,Low,Close,Adj Close,Volume
2017-01-09,10.350000,12.670000,9.900000,10.490000,10.490000,18100
2017-01-16,10.560000,11.790000,10.400000,10.460000,10.460000,36100
2017-01-23,10.800000,11.850000,10.470000,10.500000,10.500000,25000
2017-01-30,10.700000,11.200000,10.320000,11.000000,11.000000,20700
2017-02-06,11.300000,11.990000,10.610000,11.210000,11.210000,6600
2017-02-13,11.950000,24.209999,11.880000,23.900000,23.900000,234800
2017-02-20,28.879999,28.879999,18.062000,20.139999,20.139999,275000
2017-02-27,22.000000,23.433001,16.959999,17.274000,17.274000,73300
2017-03-06,17.059999,19.165001,16.780001,17.510000,17.510000,19900
2017-03-13,17.250000,17.870001,15.010000,16.950001,16.950001,96700
2017-03-20,15.290000,18.240000,15.290000,16.680000,16.680000,65300
2017-03-27,17.990000,17.990000,12.250000,13.490000,13.490000,119300
2017-04-03,13.650000,13.650000,12.500000,13.260000,13.260000,26200
2017-04-10,13.490000,14.980000,13.250000,14.370000,14.370000,15500
2017-04-17,14.090000,14.260000,12.850000,14.210000,14.210000,40600
2017-04-24,14.490000,14.500000,13.200000,13.370000,13.370000,19600
2017-05-01,13.550000,14.000000,13.100000,13.320000,13.320000,22500
2017-05-08,13.650000,13.790000,12.210000,12.800000,12.800000,33400
2017-05-15,12.700000,13.250000,12.200000,13.080000,13.080000,29500
2017-05-22,13.080000,13.740000,12.040000,13.030000,13.030000,36200
2017-05-29,12.990000,12.990000,12.200000,12.940000,12.940000,11600
2017-06-05,12.950000,16.355000,12.400000,16.000000,16.000000,59300
2017-06-12,14.610000,15.485000,12.000000,12.150000,12.150000,45600
2017-06-19,12.640000,14.000000,11.560000,11.950000,11.950000,69000
2017-06-26,12.800000,12.800000,11.500000,12.250000,12.250000,91400
2017-07-03,12.165000,12.900000,12.165000,12.700000,12.700000,35600
2017-07-10,12.600000,13.750000,12.180000,13.385000,13.385000,37600
2017-07-17,13.610000,13.770000,12.581000,13.537000,13.537000,17700
2017-07-24,13.355000,14.060000,13.013000,13.790000,13.790000,12400
2017-07-31,13.787000,14.020000,12.950000,13.060000,13.060000,9100
2017-08-07,13.030000,14.100000,12.810000,12.810000,12.810000,5900
2017-08-14,12.830000,12.925000,11.934000,11.950000,11.950000,18900
2017-08-21,11.970000,13.000000,10.000000,12.770000,12.770000,39500
2017-08-28,12.950000,13.100000,11.573000,12.488000,12.488000,27900
2017-09-04,12.500000,13.150000,11.859000,13.100000,13.100000,31400
2017-09-11,13.150000,15.280000,12.430000,13.180000,13.180000,82600
2017-09-18,13.310000,13.373000,11.658000,12.520000,12.520000,41700
2017-09-25,12.250000,12.520000,11.750000,12.075000,12.075000,31500
2017-10-02,12.210000,13.050000,12.142000,13.050000,13.050000,7100
2017-10-09,12.640000,13.050000,12.070000,12.384000,12.384000,6500
2017-10-16,12.280000,12.550000,12.027000,12.110000,12.110000,11000
2017-10-23,12.350000,13.000000,11.700000,11.720000,11.720000,18000
2017-10-30,11.700000,12.900000,11.602000,11.710000,11.710000,29300
2017-11-06,11.790000,12.310000,11.302000,12.310000,12.310000,34100
2017-11-13,11.914000,12.096000,11.130000,11.320000,11.320000,13700
2017-11-20,11.320000,11.940000,10.860000,10.980000,10.980000,5500
2017-11-27,11.187000,11.800000,10.820000,11.001000,11.001000,11500
2017-12-04,11.470000,11.470000,10.600000,11.240000,11.240000,7000
2017-12-11,11.000000,12.000000,10.590000,11.670000,11.670000,34500
2017-12-18,11.720000,16.000000,11.070000,13.650000,13.650000,115100
2017-12-25,14.190000,14.190000,12.860000,12.986000,12.986000,35000
2018-01-01,12.976000,13.324000,11.845000,12.505000,12.505000,32600
2018-01-08,12.850000,13.550000,12.640000,13.310000,13.310000,41200
2018-01-15,13.380000,18.000000,13.300000,17.486000,17.486000,86000
2018-01-22,17.690001,17.910000,14.192000,15.585000,15.585000,58500
2018-01-29,15.540000,16.045000,14.160000,14.600000,14.600000,22200
2018-02-05,14.670000,14.670000,11.030000,12.355000,12.355000,65000
2018-02-12,12.210000,13.800000,11.660000,12.313000,12.313000,56300
2018-02-19,12.310000,13.050000,11.150000,11.875000,11.875000,69700
2018-02-26,11.750000,12.020000,10.150000,10.500000,10.500000,44300
2018-03-05,10.560000,10.560000,7.746000,8.884000,8.884000,222300
2018-03-12,8.640000,8.863000,4.623000,5.600000,5.600000,793000
2018-03-19,5.540000,9.220000,5.240000,9.220000,9.220000,477900
2018-03-26,9.300000,9.500000,7.701000,8.200000,8.200000,150500
2018-04-02,8.150000,8.739000,6.610000,7.750000,7.750000,80700
2018-04-09,7.620000,8.590000,7.020000,7.316000,7.316000,58200
2018-04-16,7.680000,7.770000,7.171000,7.250000,7.250000,30800
2018-04-23,7.370000,7.390000,6.710000,6.800000,6.800000,21400
2018-04-30,6.540000,7.277000,6.180000,6.400000,6.400000,101300
2018-05-07,6.419000,6.761000,6.250000,6.380000,6.380000,30300
2018-05-14,6.400000,6.725000,5.800000,6.210000,6.210000,102900
2018-05-21,6.220000,6.800000,5.860000,6.130000,6.130000,125300
2018-05-28,6.298000,6.440000,6.000000,6.170000,6.170000,16800
2018-06-04,5.993000,6.241000,5.630000,5.720000,5.720000,60500
2018-06-11,5.896000,6.080000,5.359000,5.830000,5.830000,52400
2018-06-18,5.770000,5.980000,5.227000,5.810000,5.810000,36600
2018-06-25,5.800000,5.850000,5.020000,5.200000,5.200000,68100
2018-07-02,5.050000,5.780000,4.560000,5.340000,5.340000,32500
2018-07-09,5.274000,5.300000,4.620000,5.064000,5.064000,43300
2018-07-16,4.900000,4.900000,3.840000,4.169000,4.169000,78400
