Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.833333,4.833333,4.833333,4.833333,4.302197,2100
2000-01-08,4.833333,5.000000,4.833333,5.000000,4.450550,300
2000-01-15,5.000000,5.000000,5.000000,5.000000,4.450550,0
2000-01-22,5.000000,5.000000,4.333333,4.333333,3.857143,150
2000-01-29,4.333333,4.666667,4.333333,4.666667,4.153846,600
2000-02-05,4.666667,4.666667,4.000000,4.333333,3.857143,6150
2000-02-12,4.333333,4.333333,4.250000,4.250000,3.782967,4050
2000-02-19,4.250000,4.250000,4.250000,4.250000,3.782967,0
2000-02-26,4.250000,4.666667,4.250000,4.666667,4.153846,2400
2000-03-04,4.250000,5.000000,4.250000,5.000000,4.450550,4650
2000-03-11,5.000000,5.166667,4.500000,4.500000,4.005495,15900
2000-03-18,4.500000,4.833333,4.000000,4.666667,4.153846,2700
2000-03-25,4.833333,4.833333,4.500000,4.666667,4.153846,8400
2000-04-01,4.833333,4.833333,4.416667,4.416667,3.931319,1950
2000-04-08,4.666667,4.666667,4.333333,4.333333,3.857143,9300
2000-04-15,4.437500,4.666667,4.333333,4.416667,3.931319,8400
2000-04-22,4.166667,4.333333,4.083333,4.250000,3.782967,2550
2000-04-29,4.333333,4.416667,4.000000,4.000000,3.560440,1800
2000-05-06,4.333333,4.333333,4.333333,4.333333,3.857143,150
2000-05-13,4.333333,4.333333,4.000000,4.000000,3.560440,6750
2000-05-20,4.000000,4.333333,4.000000,4.166667,3.708791,5100
2000-05-27,4.166667,4.166667,2.666667,3.666667,3.263736,12000
2000-06-03,3.666667,3.666667,3.333333,3.666667,3.263736,750
2000-06-10,3.666667,3.666667,3.666667,3.666667,3.263736,3300
2000-06-17,3.666667,3.833333,3.333333,3.833333,3.412088,3750
2000-06-24,3.833333,4.333333,3.333333,4.333333,3.857143,21750
2000-07-01,4.333333,4.333333,4.333333,4.333333,3.857143,0
2000-07-08,4.333333,4.333333,3.458333,4.291667,3.820055,2550
2000-07-15,3.500000,4.250000,3.500000,4.250000,3.782967,3150
2000-07-22,3.916667,4.166667,3.750000,3.750000,3.337912,8400
2000-07-29,3.750000,3.750000,3.666667,3.708333,3.300824,1050
2000-08-05,3.708333,3.708333,3.708333,3.708333,3.300824,0
2000-08-12,3.708333,3.708333,3.333333,3.333333,2.967033,2100
2000-08-19,3.500000,3.500000,3.500000,3.500000,3.115385,12300
2000-08-26,3.500000,4.000000,3.500000,4.000000,3.560440,11700
2000-09-02,4.000000,4.000000,3.708333,3.708333,3.300824,300
2000-09-09,3.708333,3.708333,3.375000,3.500000,3.115385,4350
2000-09-16,3.500000,3.500000,3.500000,3.500000,3.115385,0
2000-09-23,3.333333,3.416667,3.333333,3.416667,3.041209,1350
2000-09-30,3.416667,3.416667,3.416667,3.416667,3.041209,0
2000-10-07,3.333333,3.333333,3.250000,3.250000,2.892857,9750
2000-10-14,3.250000,3.333333,3.250000,3.250000,2.892857,11850
2000-10-21,3.250000,3.250000,3.250000,3.250000,2.892857,2850
2000-10-28,3.291667,3.416667,3.291667,3.416667,3.041209,6900
2000-11-04,3.250000,3.250000,3.166667,3.166667,2.818682,18750
2000-11-11,3.333333,3.333333,3.250000,3.250000,2.892857,1350
2000-11-18,3.250000,3.250000,3.250000,3.250000,2.892857,8250
2000-11-25,3.250000,3.250000,3.250000,3.250000,2.892857,6300
2000-12-02,3.333333,3.333333,3.166667,3.250000,2.892857,4050
2000-12-09,3.250000,3.250000,3.250000,3.250000,2.892857,1650
2000-12-16,3.333333,3.333333,3.250000,3.250000,2.892857,12300
2000-12-23,3.250000,3.333333,3.250000,3.250000,2.892857,48150
2000-12-30,3.333333,3.500000,3.333333,3.500000,3.115385,900
2001-01-06,3.500000,3.500000,3.500000,3.500000,3.115385,0
2001-01-13,3.500000,3.500000,3.333333,3.333333,2.967033,750
2001-01-20,3.500000,3.500000,3.500000,3.500000,3.115385,6000
2001-01-27,3.500000,3.500000,3.500000,3.500000,3.115385,1200
2001-02-03,3.500000,3.500000,3.500000,3.500000,3.115385,0
2001-02-10,3.458333,3.458333,3.458333,3.458333,3.078296,1650
2001-02-17,3.458333,3.458333,3.333333,3.333333,2.967033,750
2001-02-24,3.333333,3.500000,3.333333,3.333333,2.967033,1950
2001-03-03,3.250000,3.500000,3.250000,3.500000,3.115385,17100
2001-03-10,3.250000,3.500000,3.250000,3.250000,2.892857,21750
2001-03-17,3.333333,3.375000,3.250000,3.333333,2.967033,13500
2001-03-24,3.333333,3.333333,3.083333,3.083333,2.744505,11250
2001-03-31,3.083333,3.083333,3.083333,3.083333,2.744505,9000
2001-04-07,3.086667,3.333333,3.086667,3.333333,2.967033,150
2001-04-14,3.333333,3.333333,3.000000,3.166667,2.818682,2700
2001-04-21,3.166667,3.166667,2.966667,3.166667,2.818682,11400
2001-04-28,3.266667,3.266667,2.666667,2.666667,2.373627,2250
2001-05-05,2.933333,3.126667,2.900000,3.000000,2.670330,11400
2001-05-12,3.000000,3.000000,3.000000,3.000000,2.670330,0
2001-05-19,3.000000,3.000000,3.000000,3.000000,2.670330,1350
2001-05-26,3.000000,3.000000,3.000000,3.000000,2.670330,0
2001-06-02,3.000000,3.000000,2.666667,2.666667,2.373627,300
2001-06-09,2.666667,2.666667,2.166667,2.533333,2.254945,3000
2001-06-16,2.533333,2.766667,2.533333,2.766667,2.462638,450
2001-06-23,2.766667,2.766667,2.766667,2.766667,2.462638,0
2001-06-30,2.766667,2.766667,2.766667,2.766667,2.462638,0
2001-07-07,2.766667,2.766667,2.766667,2.766667,2.462638,0
2001-07-14,2.766667,2.800000,2.533333,2.533333,2.254945,3150
2001-07-21,2.533333,2.666667,2.333333,2.666667,2.373627,4950
2001-07-28,2.666667,2.666667,2.133333,2.266667,2.017583,7050
2001-08-04,2.800000,2.800000,2.800000,2.800000,2.492308,150
2001-08-11,2.800000,2.800000,2.800000,2.800000,2.492308,150
