Date,Open,High,Low,Close,Adj Close,Volume
2000-05-29,160.000000,180.000000,142.500000,160.000000,160.000000,7265
2000-06-05,155.000000,172.500000,125.000000,135.000000,135.000000,11486
2000-06-12,142.500000,147.500000,110.000000,112.500000,112.500000,10734
2000-06-19,120.000000,160.000000,120.000000,141.250000,141.250000,13229
2000-06-26,147.500000,160.000000,122.500000,130.000000,130.000000,9089
2000-07-03,130.000000,140.000000,110.000000,120.000000,120.000000,11831
2000-07-10,120.000000,140.000000,110.000000,125.000000,125.000000,41362
2000-07-17,133.750000,145.000000,111.250000,135.000000,135.000000,55268
2000-07-24,140.000000,167.500000,135.000000,147.500000,147.500000,92054
2000-07-31,160.000000,190.000000,122.500000,168.750000,168.750000,48780
2000-08-07,174.062500,174.062500,136.250000,142.500000,142.500000,41730
2000-08-14,143.750000,145.000000,125.625000,127.500000,127.500000,31180
2000-08-21,131.250000,174.375000,128.750000,172.500000,172.500000,56730
2000-08-28,168.750000,199.375000,168.125000,186.250000,186.250000,117390
2000-09-04,186.875000,190.000000,156.875000,161.250000,161.250000,44260
2000-09-11,166.562500,166.875000,137.500000,146.250000,146.250000,53750
2000-09-18,144.062500,145.000000,128.750000,141.250000,141.250000,168500
2000-09-25,147.500000,158.750000,128.125000,131.875000,131.875000,106130
2000-10-02,140.625000,162.500000,136.250000,150.000000,150.000000,137860
2000-10-09,147.500000,149.375000,117.500000,126.875000,126.875000,28170
2000-10-16,130.000000,135.000000,118.125000,120.625000,120.625000,74150
2000-10-23,120.625000,136.250000,106.250000,120.625000,120.625000,416350
2000-10-30,120.000000,138.750000,120.000000,135.625000,135.625000,113210
2000-11-06,136.250000,136.875000,115.625000,119.375000,119.375000,75260
2000-11-13,117.812500,118.125000,98.125000,101.250000,101.250000,114770
2000-11-20,101.250000,101.875000,49.375000,51.875000,51.875000,258390
2000-11-27,45.000000,45.625000,28.125000,30.000000,30.000000,832810
2000-12-04,30.781250,31.875000,25.625000,31.562500,31.562500,317040
2000-12-11,31.875000,33.750000,27.500000,29.375000,29.375000,49690
2000-12-18,29.375000,46.250000,28.750000,40.000000,40.000000,95510
2000-12-25,40.937500,40.937500,32.812500,34.687500,34.687500,162710
2001-01-01,34.687500,66.875000,34.687500,61.250000,61.250000,316960
2001-01-08,59.687500,60.937500,43.750000,55.000000,55.000000,82050
2001-01-15,57.343750,57.343750,46.250000,47.500000,47.500000,68810
2001-01-22,54.062500,70.000000,51.250000,67.812500,67.812500,122830
2001-01-29,65.156250,70.000000,53.750000,57.500000,57.500000,59400
2001-02-05,57.031250,62.500000,53.750000,56.875000,56.875000,24930
2001-02-12,57.031250,57.500000,49.375000,51.875000,51.875000,24990
2001-02-19,51.875000,51.875000,42.500000,44.062500,44.062500,18290
2001-02-26,43.750000,55.312500,40.625000,47.500000,47.500000,72620
2001-03-05,50.625000,50.625000,38.750000,45.625000,45.625000,23930
2001-03-12,45.468750,45.468750,30.000000,31.250000,31.250000,53690
2001-03-19,33.750000,38.750000,28.750000,32.500000,32.500000,122330
2001-03-26,34.843750,49.687500,30.625000,44.687500,44.687500,136780
2001-04-02,45.000000,47.500000,34.062500,35.625000,35.625000,34140
2001-04-09,35.200001,39.500000,33.299999,35.299999,35.299999,9210
2001-04-16,35.299999,49.299999,35.000000,40.900002,40.900002,32240
2001-04-23,38.500000,41.799999,36.500000,39.799999,39.799999,11600
2001-04-30,39.700001,42.000000,39.000000,40.500000,40.500000,28830
2001-05-07,40.799999,41.400002,38.000000,40.400002,40.400002,11170
2001-05-14,39.000000,40.599998,36.700001,39.500000,39.500000,12100
2001-05-21,40.000000,51.900002,39.099998,49.299999,49.299999,65020
2001-05-28,50.700001,62.000000,50.200001,58.599998,58.599998,41820
2001-06-04,57.400002,60.599998,52.799999,56.799999,56.799999,54340
2001-06-11,56.500000,62.400002,55.000000,62.099998,62.099998,25800
2001-06-18,62.099998,62.599998,56.099998,60.700001,60.700001,46030
2001-06-25,60.900002,97.500000,59.000000,89.900002,89.900002,239710
2001-07-02,81.300003,81.500000,60.200001,60.200001,60.200001,109130
2001-07-09,62.000000,69.599998,56.400002,67.000000,67.000000,67270
2001-07-16,65.199997,71.000000,64.099998,69.000000,69.000000,30760
2001-07-23,71.000000,71.699997,55.000000,63.000000,63.000000,54790
2001-07-30,63.000000,65.000000,55.000000,56.500000,56.500000,35340
2001-08-06,55.400002,55.799999,40.099998,40.799999,40.799999,105830
2001-08-13,41.299999,50.500000,38.099998,44.500000,44.500000,41340
2001-08-20,44.799999,49.400002,39.700001,43.000000,43.000000,24470
2001-08-27,43.500000,44.900002,38.500000,40.099998,40.099998,24010
2001-09-03,40.799999,43.500000,36.000000,36.900002,36.900002,20580
2001-09-10,37.599998,39.400002,35.799999,39.000000,39.000000,4820
2001-09-17,36.799999,41.799999,26.700001,30.000000,30.000000,49440
2001-09-24,27.900000,32.900002,21.400000,26.799999,26.799999,108000
2001-10-01,26.799999,29.000000,22.600000,25.200001,25.200001,168220
2001-10-08,24.500000,29.500000,24.000000,25.500000,25.500000,58940
2001-10-15,25.200001,35.000000,25.000000,34.099998,34.099998,49230
2001-10-22,35.900002,45.000000,35.000000,45.000000,45.000000,80580
