Date,Open,High,Low,Close,Adj Close,Volume
2011-07-04,11.650000,11.700000,11.430000,11.670000,10.754911,584700
2011-07-11,11.650000,11.750000,11.450000,11.650000,10.736478,404300
2011-07-18,11.750000,11.790000,11.560000,11.600000,10.690401,270200
2011-07-25,11.560000,11.570000,11.410000,11.410000,10.515297,206000
2011-08-01,11.420000,11.490000,10.910000,11.000000,10.137449,229400
2011-08-08,10.850000,11.100000,10.750000,10.900000,10.045289,221800
2011-08-15,10.900000,11.140000,10.700000,10.750000,9.907052,164800
2011-08-22,10.850000,10.990000,10.750000,10.860000,10.008426,51600
2011-08-29,10.910000,11.030000,10.800000,10.810000,9.962346,92100
2011-09-05,10.810000,11.050000,10.810000,11.030000,10.165094,100500
2011-09-12,11.000000,11.070000,10.860000,10.860000,10.008426,28100
2011-09-19,11.000000,11.070000,10.870000,10.900000,10.045289,57000
2011-09-26,11.000000,11.590000,10.960000,11.050000,10.183526,86300
2011-10-03,11.080000,11.250000,10.990000,11.040000,10.174312,50100
2011-10-10,11.140000,11.330000,10.950000,11.250000,10.367845,36900
2011-10-17,11.280000,11.400000,10.990000,11.100000,10.229607,20700
2011-10-24,11.290000,11.430000,11.050000,11.310000,10.423140,37300
2011-10-31,11.110000,11.250000,11.030000,11.100000,10.229607,4400
2011-11-07,11.110000,11.320000,11.020000,11.260000,10.377061,72100
2011-11-14,11.160000,11.300000,11.010000,11.300000,10.413922,11600
2011-11-21,11.300000,11.300000,11.060000,11.060000,10.192743,1300
2011-11-28,11.130000,11.300000,11.000000,11.200000,10.321764,22800
2011-12-05,11.130000,11.250000,11.100000,11.100000,10.229607,10700
2011-12-12,11.280000,11.390000,11.100000,11.260000,10.377061,13200
2011-12-19,11.140000,11.250000,11.100000,11.150000,10.275685,26800
2011-12-26,11.250000,11.420000,11.220000,11.220000,10.340195,5500
2012-01-02,11.250000,11.300000,11.160000,11.250000,10.367845,8600
2012-01-09,11.250000,11.250000,11.240000,11.250000,10.367845,700
2012-01-16,11.250000,11.300000,11.250000,11.260000,10.377061,8600
2012-01-23,11.300000,11.470000,11.300000,11.350000,10.460003,22700
2012-01-30,11.350000,11.400000,11.310000,11.400000,10.506081,3000
2012-02-06,11.400000,11.400000,11.400000,11.400000,10.506081,0
2012-02-13,11.360000,11.500000,11.310000,11.500000,10.598241,52800
2012-02-20,11.510000,11.540000,11.300000,11.360000,10.469217,230500
2012-02-27,11.360000,11.590000,11.290000,11.400000,10.506081,71200
2012-03-05,11.440000,11.890000,11.440000,11.890000,10.957660,43100
2012-03-12,11.860000,12.250000,11.820000,12.160000,11.206490,16200
2012-03-19,11.980000,12.260000,11.980000,12.260000,11.298644,14300
2012-03-26,12.270000,12.370000,12.010000,12.370000,11.400022,13700
2012-04-02,12.290000,12.310000,12.100000,12.280000,11.317079,16900
2012-04-09,12.280000,12.280000,12.100000,12.150000,11.197271,200
2012-04-16,12.150000,12.400000,12.050000,12.170000,11.215703,28000
2012-04-23,12.130000,12.420000,12.130000,12.180000,11.224917,3100
2012-04-30,12.180000,12.750000,12.180000,12.300000,11.335509,8400
2012-05-07,12.300000,13.140000,12.300000,13.000000,11.980620,14500
2012-05-14,12.890000,13.490000,12.200000,12.500000,11.519827,14400
2012-05-21,12.150000,12.500000,12.150000,12.310000,11.344725,6500
2012-05-28,12.410000,12.600000,12.250000,12.280000,11.317079,8900
2012-06-04,12.330000,12.500000,12.250000,12.500000,11.519827,9400
2012-06-11,12.500000,13.220000,12.260000,13.220000,12.183368,400
2012-06-18,13.130000,13.250000,12.500000,13.250000,12.211015,3800
2012-06-25,13.250000,13.250000,12.500000,13.240000,12.201801,16600
2012-07-02,13.210000,13.410000,12.750000,13.100000,12.072781,6900
2012-07-09,13.100000,13.100000,12.550000,12.900000,11.888459,21100
2012-07-16,12.900000,12.920000,12.750000,12.750000,11.750224,6000
2012-07-23,12.750000,12.950000,12.750000,12.750000,11.750224,3400
2012-07-30,12.850000,12.930000,12.850000,12.930000,11.916110,500
2012-08-06,12.950000,12.950000,12.660000,12.810000,11.805519,6000
2012-08-13,12.810000,12.830000,12.800000,12.810000,11.805519,6900
2012-08-20,12.810000,12.970000,12.760000,12.850000,11.842381,46900
2012-08-27,12.850000,12.900000,12.850000,12.900000,11.888459,1200
2012-09-03,12.890000,13.190000,12.870000,13.190000,12.155720,20300
2012-09-10,13.100000,13.280000,13.000000,13.100000,12.072781,18000
2012-09-17,13.120000,13.240000,13.100000,13.240000,12.201801,70600
2012-09-24,13.240000,13.390000,13.240000,13.390000,12.340039,500
2012-10-01,13.390000,13.410000,13.240000,13.410000,12.358470,35500
2012-10-08,13.410000,13.450000,13.250000,13.250000,12.211015,4700
2012-10-15,13.260000,13.520000,13.260000,13.500000,12.441412,134900
2012-10-22,13.510000,13.720000,13.270000,13.640000,12.570435,18100
2012-10-29,13.640000,13.660000,13.270000,13.550000,12.487493,16500
2012-11-05,13.550000,13.890000,13.550000,13.650000,12.579651,31200
2012-11-12,13.650000,13.750000,13.650000,13.720000,12.644161,23700
2012-11-19,13.720000,13.760000,13.720000,13.750000,12.671809,2200
2012-11-26,13.790000,13.820000,13.750000,13.820000,12.736320,4900
2012-12-03,13.750000,13.820000,13.610000,13.820000,12.736320,25200
2012-12-10,13.400000,13.650000,13.400000,13.550000,12.487493,11100
2012-12-17,13.570000,13.780000,13.510000,13.780000,12.699459,53900
2012-12-24,13.740000,13.820000,13.360000,13.760000,12.681026,58700
2012-12-31,13.710000,13.900000,13.710000,13.820000,12.736320,22200
2013-01-07,13.890000,14.350000,13.890000,14.240000,13.123386,9500
2013-01-14,14.190000,14.960000,14.190000,14.350000,13.224761,6700
2013-01-21,14.350000,15.420000,14.340000,14.790000,13.630259,14600
2013-01-28,14.790000,15.000000,14.580000,15.000000,13.823791,3800
2013-02-04,14.920000,14.990000,14.610000,14.810000,13.648691,10000
2013-02-11,14.750000,15.350000,14.750000,14.810000,13.648691,9200
2013-02-18,14.810000,15.500000,14.810000,15.000000,13.823791,45800
2013-02-25,15.000000,15.460000,15.000000,15.030000,13.851440,5000
2013-03-04,15.460000,15.690000,15.060000,15.100000,13.915952,2300
2013-03-11,15.170000,15.400000,15.150000,15.210000,14.017324,13600
2013-03-18,15.060000,15.390000,15.060000,15.150000,13.962028,19000
2013-03-25,15.160000,15.320000,15.160000,15.250000,14.054189,8500
2013-04-01,15.260000,15.320000,15.250000,15.300000,14.100267,2800
2013-04-08,15.270000,15.690000,15.250000,15.300000,14.100267,20900
2013-04-15,15.250000,15.420000,15.250000,15.300000,14.100267,1300
2013-04-22,15.300000,15.330000,15.210000,15.250000,14.054189,26500
2013-04-29,15.310000,15.350000,15.250000,15.280000,14.081836,47600
2013-05-06,15.280000,15.330000,15.220000,15.330000,14.127915,800
2013-05-13,15.330000,15.350000,15.210000,15.340000,14.137134,2900
2013-05-20,15.230000,15.390000,15.220000,15.340000,14.137134,11000
2013-05-27,15.350000,15.350000,15.000000,15.210000,14.017324,44100
2013-06-03,15.200000,15.250000,15.000000,15.250000,14.054189,7600
2013-06-10,15.120000,15.290000,15.100000,15.250000,14.054189,2900
2013-06-17,15.300000,15.330000,15.070000,15.300000,14.100267,5500
2013-06-24,15.210000,15.300000,15.010000,15.280000,14.081836,15800
2013-07-01,15.190000,15.300000,15.150000,15.300000,14.100267,5100
2013-07-08,15.170000,15.220000,15.150000,15.150000,13.962028,14000
2013-07-15,15.240000,15.250000,15.150000,15.220000,14.026540,5600
2013-07-22,15.250000,15.690000,15.250000,15.690000,14.459684,9700
2013-07-29,15.690000,16.000000,15.600000,15.860000,14.616353,2800
2013-08-05,15.860000,16.299999,15.860000,16.000000,14.745380,4000
2013-08-12,16.000000,16.049999,16.000000,16.010000,14.754595,18900
2013-08-19,16.010000,16.110001,16.010000,16.100000,14.837537,1300
2013-08-26,16.030001,16.080000,15.960000,16.040001,14.782242,1700
2013-09-02,16.080000,16.080000,15.560000,16.000000,14.745380,3600
2013-09-09,15.820000,16.000000,15.800000,16.000000,14.745380,4700
2013-09-16,15.970000,16.250000,15.970000,16.100000,14.837537,2600
2013-09-23,16.049999,16.500000,16.000000,16.200001,14.976236,3500
2013-09-30,16.080000,16.250000,16.000000,16.000000,14.791344,29700
2013-10-07,16.000000,16.030001,16.000000,16.030001,14.819077,1300
2013-10-14,16.030001,16.330000,16.030001,16.330000,15.096413,9400
2013-10-21,16.320000,16.400000,16.000000,16.250000,15.022459,39000
2013-10-28,16.250000,16.450001,16.250000,16.440001,15.198107,19500
2013-11-04,16.350000,16.450001,16.350000,16.350000,15.114903,3300
2013-11-11,16.400000,16.600000,16.400000,16.400000,15.161126,64000
2013-11-18,16.500000,16.600000,16.400000,16.500000,15.253572,34400
2013-11-25,16.500000,16.500000,16.400000,16.400000,15.161126,39100
2013-12-02,16.450001,16.840000,16.450001,16.629999,15.373750,40100
2013-12-09,16.730000,16.730000,16.620001,16.629999,15.373750,15300
2013-12-16,16.549999,16.799999,16.549999,16.650000,15.392241,75700
2013-12-23,16.700001,16.900000,16.600000,16.809999,15.540156,26200
2013-12-30,16.809999,16.930000,16.500000,16.930000,15.651087,8100
2014-01-06,16.889999,16.889999,16.809999,16.870001,15.595625,24500
2014-01-13,16.870001,17.040001,16.870001,16.900000,15.623357,2800
2014-01-20,16.980000,16.980000,16.799999,16.799999,15.530909,21800
2014-01-27,16.799999,16.870001,16.600000,16.809999,15.540156,12000
2014-02-03,16.740000,16.809999,16.500000,16.500000,15.253572,16900
2014-02-10,16.709999,16.709999,16.400000,16.400000,15.161126,1700
2014-02-17,16.400000,16.459999,16.400000,16.459999,15.216593,600
2014-02-24,16.540001,16.680000,16.450001,16.680000,15.419973,7600
2014-03-03,16.469999,16.469999,16.400000,16.420000,15.179614,7800
2014-03-10,16.410000,16.450001,16.400000,16.450001,15.207353,3700
2014-03-17,16.450001,16.450001,16.240000,16.290001,15.059438,14900
2014-03-24,16.290001,16.290001,16.200001,16.200001,15.022318,2200
2014-03-31,16.200001,16.260000,16.080000,16.080000,14.911041,38900
2014-04-07,16.180000,16.190001,16.100000,16.170000,14.994495,3000
2014-04-14,16.200001,16.200001,16.000000,16.059999,14.892491,7900
2014-04-21,16.129999,16.150000,16.000000,16.000000,14.836856,11300
2014-04-28,16.000000,16.000000,15.950000,16.000000,14.836856,15700
2014-05-05,15.950000,16.200001,15.900000,16.200001,15.022318,15000
2014-05-12,16.010000,16.100000,16.010000,16.100000,14.929585,900
2014-05-19,16.100000,16.100000,16.100000,16.100000,14.929585,0
2014-05-26,16.400000,16.709999,16.379999,16.500000,15.300507,64100
2014-06-02,16.410000,16.600000,16.400000,16.570000,15.365417,4700
2014-06-09,16.570000,16.590000,16.400000,16.570000,15.365417,5300
2014-06-16,16.570000,16.680000,16.309999,16.680000,15.467421,3600
2014-06-23,16.350000,16.350000,16.320000,16.350000,15.161410,3400
2014-06-30,16.350000,16.680000,16.350000,16.650000,15.439603,64900
2014-07-07,16.680000,16.770000,16.559999,16.709999,15.495238,22500
2014-07-14,16.959999,17.250000,16.709999,17.200001,15.949618,17700
2014-07-21,17.230000,17.230000,16.750000,16.990000,15.754884,5500
2014-07-28,17.049999,17.490000,16.549999,16.620001,15.411784,86000
2014-08-04,16.559999,17.350000,16.559999,16.850000,15.625062,43000
2014-08-11,17.309999,17.480000,16.750000,17.150000,15.903252,17400
2014-08-18,17.150000,17.150000,17.049999,17.150000,15.903252,2000
2014-08-25,17.150000,17.330000,16.510000,16.570000,15.365417,47900
2014-09-01,16.990000,17.000000,16.750000,17.000000,15.764157,5300
2014-09-08,16.900000,17.000000,16.700001,17.000000,15.764157,10800
2014-09-15,16.610001,16.950001,16.610001,16.950001,15.717791,4200
2014-09-22,16.809999,16.990000,16.760000,16.760000,15.588140,4900
2014-09-29,16.740000,16.850000,16.510000,16.820000,15.643940,1800
2014-10-06,16.820000,16.950001,16.799999,16.809999,15.634643,6400
2014-10-13,16.809999,16.840000,16.530001,16.799999,15.625340,3500
2014-10-20,16.799999,16.969999,16.799999,16.930000,15.746249,2300
2014-10-27,16.799999,16.950001,16.799999,16.850000,15.671844,1800
