Date,Open,High,Low,Close,Adj Close,Volume
2016-04-25,9.750000,9.900000,9.750000,9.850000,9.850000,18600
2016-05-02,9.850000,10.000000,9.850000,10.000000,10.000000,100
2016-05-09,10.000000,10.000000,9.800000,9.800000,9.800000,1000
2016-05-16,9.800000,9.850000,9.800000,9.850000,9.850000,3000
2016-05-23,9.800000,9.880000,9.800000,9.880000,9.880000,500
2016-05-30,9.900000,9.900000,9.840000,9.850000,9.850000,4300
2016-06-06,9.850000,9.940000,9.850000,9.860000,9.860000,4100
2016-06-13,9.860000,12.000000,9.840000,9.840000,9.840000,14200
2016-06-20,9.850000,9.860000,9.830000,9.850000,9.850000,15100
2016-06-27,9.850000,9.870000,9.850000,9.870000,9.870000,7500
2016-07-04,9.870000,9.880000,9.870000,9.880000,9.880000,1600
2016-07-11,9.880000,9.920000,9.880000,9.900000,9.900000,5900
2016-07-18,9.910000,9.990000,9.880000,9.970000,9.970000,12100
2016-07-25,9.920000,10.040000,9.920000,9.950000,9.950000,16800
2016-08-01,9.980000,10.020000,9.980000,10.000000,10.000000,69500
2016-08-08,10.000000,10.020000,9.980000,10.010000,10.010000,484900
2016-08-15,10.010000,10.040000,10.000000,10.040000,10.040000,27000
2016-08-22,10.010000,10.050000,10.010000,10.040000,10.040000,8300
2016-08-29,10.030000,10.060000,10.000000,10.060000,10.060000,16000
2016-09-05,10.000000,10.010000,10.000000,10.010000,10.010000,2600
2016-09-12,10.020000,10.060000,9.900000,9.900000,9.900000,14900
2016-09-19,10.000000,10.060000,9.990000,10.030000,10.030000,16800
2016-09-26,10.020000,10.040000,10.020000,10.030000,10.030000,6800
2016-10-03,10.060000,10.080000,10.030000,10.050000,10.050000,67500
2016-10-10,10.070000,10.140000,10.050000,10.060000,10.060000,1300
2016-10-17,10.040000,10.050000,10.030000,10.050000,10.050000,13900
2016-10-24,10.060000,10.080000,10.050000,10.080000,10.080000,15600
2016-10-31,10.079000,10.100000,10.070000,10.100000,10.100000,9600
2016-11-07,10.080000,10.180000,10.080000,10.100000,10.100000,2900
2016-11-14,10.100000,10.100000,10.070000,10.080000,10.080000,700
2016-11-21,10.080000,10.090000,10.080000,10.090000,10.090000,2100
2016-11-28,10.090000,10.110000,10.090000,10.110000,10.110000,5100
2016-12-05,10.110000,10.160000,10.060000,10.110000,10.110000,3000
2016-12-12,10.120000,10.120000,10.100000,10.110000,10.110000,2600
2016-12-19,10.110000,10.183000,10.100000,10.160000,10.160000,18700
2016-12-26,10.160000,10.170000,10.160000,10.170000,10.170000,200
2017-01-02,10.200000,10.238000,10.100000,10.238000,10.238000,37900
2017-01-09,10.238000,10.238000,10.015000,10.170000,10.170000,13000
2017-01-16,10.170000,10.172000,10.150000,10.170000,10.170000,8000
2017-01-23,10.170000,10.180000,10.130000,10.180000,10.180000,111400
2017-01-30,10.161000,10.161000,10.140000,10.140000,10.140000,4100
2017-02-06,10.140000,10.180000,10.140000,10.180000,10.180000,31500
2017-02-13,10.180000,10.190000,10.150000,10.180000,10.180000,7200
2017-02-20,10.180000,10.220000,10.040000,10.200000,10.200000,12700
2017-02-27,10.200000,10.200000,10.180000,10.189000,10.189000,11300
2017-03-06,10.200000,10.210000,10.165000,10.190000,10.190000,26800
2017-03-13,10.150000,10.180000,10.150000,10.170000,10.170000,15100
2017-03-20,10.207000,10.210000,10.130000,10.200000,10.200000,25300
2017-03-27,10.200000,10.250000,10.175000,10.250000,10.250000,20200
2017-04-03,10.200000,10.250000,10.200000,10.233000,10.233000,10400
2017-04-10,10.233000,10.240000,10.220000,10.240000,10.240000,300
2017-04-17,10.250000,10.260000,10.240000,10.240000,10.240000,57500
2017-04-24,10.260000,10.260000,10.240000,10.260000,10.260000,3000
2017-05-01,10.260000,10.260000,10.250000,10.260000,10.260000,126200
2017-05-08,10.248000,10.260000,10.200000,10.230000,10.230000,42500
2017-05-15,10.230000,10.280000,10.230000,10.280000,10.280000,1600
2017-05-22,10.280000,10.280000,10.220000,10.220000,10.220000,5600
2017-05-29,10.230000,10.260000,10.220000,10.260000,10.260000,1600
2017-06-05,10.260000,10.270000,10.230000,10.234000,10.234000,800
2017-06-12,10.240000,10.280000,10.220000,10.230000,10.230000,7200
2017-06-19,10.230000,10.250000,10.230000,10.230000,10.230000,1200
2017-06-26,10.230000,10.250000,10.220000,10.240000,10.240000,86700
2017-07-03,10.220000,10.240000,10.100000,10.220000,10.220000,115300
2017-07-10,10.220000,10.260000,10.200000,10.230000,10.230000,8000
2017-07-17,10.230000,10.280000,10.200000,10.232000,10.232000,10700
2017-07-24,10.237000,10.250000,10.210000,10.240000,10.240000,124000
2017-07-31,10.240000,10.240000,10.210000,10.210000,10.210000,22500
2017-08-07,10.210000,10.259000,10.210000,10.259000,10.259000,89900
2017-08-14,10.259000,10.260000,10.190000,10.200000,10.200000,7000
2017-08-21,10.200000,10.260000,10.197000,10.260000,10.260000,1400
