Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,10.468750,10.500000,9.500000,9.781250,8.722929,1704800
2000-01-08,9.781250,11.500000,9.781250,11.500000,10.255711,2504200
2000-01-15,11.468750,11.468750,10.781250,10.937500,9.754072,1342200
2000-01-22,10.937500,11.375000,10.312500,10.437500,9.308172,1635000
2000-01-29,10.437500,11.031250,10.000000,10.812500,9.642601,1415400
2000-02-05,10.812500,10.875000,9.812500,9.875000,8.806537,2586200
2000-02-12,9.875000,10.250000,9.312500,9.375000,8.360634,2294200
2000-02-19,9.437500,9.593750,9.250000,9.406250,8.388502,989400
2000-02-26,9.500000,10.968750,9.187500,10.625000,9.475384,3172800
2000-03-04,10.375000,10.750000,9.906250,10.156250,9.057355,2839600
2000-03-11,10.125000,11.437500,9.750000,11.250000,10.032762,1928800
2000-03-18,11.281250,11.468750,9.968750,10.156250,9.057355,2569600
2000-03-25,10.281250,10.750000,9.843750,10.656250,9.503253,3895600
2000-04-01,10.750000,12.625000,10.562500,12.500000,11.147511,3680800
2000-04-08,12.500000,13.250000,11.750000,11.968750,10.673743,4312800
2000-04-15,11.750000,12.562500,11.468750,12.468750,11.119642,2391600
2000-04-22,12.375000,13.187500,12.156250,12.250000,10.924561,1825000
2000-04-29,12.343750,12.468750,11.468750,11.937500,10.645872,1436200
2000-05-06,11.843750,13.062500,11.375000,13.000000,11.593411,2504000
2000-05-13,12.875000,13.812500,12.750000,12.906250,11.509805,1781000
2000-05-20,12.812500,12.875000,12.250000,12.343750,11.008166,1180000
2000-05-27,12.468750,12.937500,12.312500,12.906250,11.509805,1309200
2000-06-03,12.781250,12.781250,12.218750,12.468750,11.119642,905600
2000-06-10,12.406250,13.062500,11.843750,12.750000,11.370463,1363800
2000-06-17,12.781250,12.812500,11.750000,11.968750,10.673743,1260400
2000-06-24,11.937500,12.656250,11.812500,12.320313,10.987267,1862800
2000-07-01,12.375000,13.000000,12.156250,13.000000,11.593411,661200
2000-07-08,13.000000,13.468750,12.750000,13.312500,11.872100,1081600
2000-07-15,13.312500,13.468750,12.656250,12.812500,11.426200,1162400
2000-07-22,12.843750,13.093750,12.000000,12.281250,10.952432,1580000
2000-07-29,10.875000,11.843750,9.500000,11.656250,10.395057,6448200
2000-08-05,11.718750,12.375000,11.625000,12.375000,11.036036,1836600
2000-08-12,12.375000,12.468750,11.281250,11.375000,10.144237,3951400
2000-08-19,11.406250,12.062500,11.312500,11.500000,10.255711,1508600
2000-08-26,11.375000,11.500000,10.843750,10.875000,9.698337,1661800
2000-09-02,10.625000,10.625000,10.187500,10.343750,9.224564,3054800
