Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,3.562500,3.609375,3.156250,3.312500,2.734936,1060400
2000-01-08,3.343750,3.406250,3.171875,3.250000,2.683333,1108800
2000-01-15,3.218750,3.281250,3.078125,3.078125,2.541426,899600
2000-01-22,3.117188,3.296875,3.000000,3.171875,2.618829,1274800
2000-01-29,3.000000,3.218750,2.937500,3.125000,2.580127,1757200
2000-02-05,3.132813,3.156250,2.968750,3.046875,2.525627,1558000
2000-02-12,3.000000,3.093750,2.671875,2.718750,2.253636,2335200
2000-02-19,2.734375,2.867188,2.687500,2.820313,2.337825,2600400
2000-02-26,2.750000,3.000000,2.625000,2.875000,2.383156,1354800
2000-03-04,2.828125,3.218750,2.750000,3.218750,2.668098,1934400
2000-03-11,3.234375,4.000000,3.156250,3.812500,3.160271,6104000
2000-03-18,3.812500,4.000000,3.750000,3.812500,3.160271,1986800
2000-03-25,3.828125,3.937500,3.250000,3.421875,2.836473,4415600
2000-04-01,3.406250,3.750000,3.343750,3.546875,2.940088,1134400
2000-04-08,3.539063,3.718750,3.281250,3.546875,2.940088,2016000
2000-04-15,3.531250,4.257813,3.531250,4.156250,3.445213,2904400
2000-04-22,4.187500,4.312500,3.921875,4.125000,3.419311,2484800
2000-04-29,4.109375,4.375000,3.937500,4.156250,3.445213,1583200
2000-05-06,4.140625,4.281250,3.921875,4.031250,3.341599,1436000
2000-05-13,4.140625,4.140625,3.906250,3.921875,3.250935,1806400
2000-05-20,3.937500,4.078125,3.781250,4.046875,3.354551,1748400
2000-05-27,3.968750,4.125000,3.937500,4.000000,3.315694,819200
2000-06-03,3.921875,4.125000,3.906250,3.968750,3.289792,1849200
2000-06-10,4.015625,4.031250,3.796875,3.859375,3.199127,1972800
2000-06-17,3.890625,4.000000,3.718750,3.718750,3.082560,1661200
2000-06-24,3.781250,3.906250,3.343750,3.859375,3.199127,2390800
2000-07-01,3.843750,3.906250,3.578125,3.750000,3.108464,1003600
2000-07-08,3.750000,3.984375,3.718750,3.859375,3.199127,1002800
2000-07-15,3.968750,4.000000,3.750000,3.812500,3.160271,1059600
2000-07-22,3.835938,3.906250,3.593750,3.687500,3.056657,853200
2000-07-29,3.640625,3.906250,3.578125,3.843750,3.186175,1180400
2000-08-05,3.796875,3.808594,3.546875,3.703125,3.069608,1191600
2000-08-12,3.625000,3.718750,3.562500,3.671875,3.043704,612400
2000-08-19,3.593750,3.625000,3.390625,3.562500,2.953040,1178000
2000-08-26,3.562500,3.562500,3.343750,3.375000,2.797618,1459200
2000-09-02,3.343750,3.375000,3.125000,3.265625,2.706954,1083200
2000-09-09,3.343750,3.343750,3.156250,3.156250,2.616290,1103600
2000-09-16,3.156250,3.375000,3.109375,3.203125,2.655147,1256800
2000-09-23,3.171875,3.312500,2.875000,3.187500,2.642194,1247600
2000-09-30,3.140625,3.265625,2.984375,3.046875,2.525627,1015600
2000-10-07,2.984375,3.031250,2.625000,3.000000,2.486771,1336800
2000-10-14,2.937500,3.500000,2.937500,3.312500,2.745809,1336400
2000-10-21,3.375000,3.375000,3.171875,3.250000,2.694002,1272000
2000-10-28,3.234375,3.343750,3.125000,3.234375,2.681049,1169200
2000-11-04,3.250000,3.250000,2.984375,3.031250,2.512674,457200
2000-11-11,3.000000,3.312500,2.968750,3.218750,2.668098,768400
2000-11-18,3.156250,3.343750,3.125000,3.343750,2.771713,671600
2000-11-25,3.343750,3.390625,3.218750,3.343750,2.771713,1201200
2000-12-02,3.296875,4.015625,3.203125,4.015625,3.328646,2937600
2000-12-09,3.906250,4.312500,3.453125,3.625000,3.004848,4635600
2000-12-16,3.625000,4.125000,3.593750,4.062500,3.367502,1706000
2000-12-23,4.000000,4.250000,3.843750,4.203125,3.484070,1544400
2000-12-30,4.218750,4.593750,3.812500,4.421875,3.665399,3641200
2001-01-06,4.296875,5.000000,4.171875,4.894531,4.057192,5080400
2001-01-13,4.875000,5.125000,4.750000,5.078125,4.209377,2962400
2001-01-20,4.968750,5.089844,4.718750,4.878906,4.044240,4616400
2001-01-27,4.734375,5.000000,4.406250,4.796875,3.976244,3426000
2001-02-03,4.792969,5.046875,4.656250,4.765625,3.950340,2215200
2001-02-10,4.750000,4.812500,4.312500,4.484375,3.717204,3965200
2001-02-17,4.468750,4.656250,3.953125,4.171875,3.458166,2194800
2001-02-24,4.125000,4.437500,3.625000,3.937500,3.263888,4259600
2001-03-03,3.843750,4.281250,3.812500,3.968750,3.289792,2198000
2001-03-10,4.000000,4.000000,3.218750,3.390625,2.810569,3755200
2001-03-17,3.437500,3.718750,3.328125,3.625000,3.004848,2136800
2001-03-24,3.519531,3.921875,3.515625,3.906250,3.237985,2699600
2001-03-31,3.886719,4.187500,3.656250,3.843750,3.186175,2187200
2001-04-07,3.830000,4.022500,3.830000,3.990000,3.307406,726000
2001-04-14,3.925000,4.367500,3.867500,4.235000,3.510491,2224000
2001-04-21,4.235000,4.500000,4.155000,4.487500,3.719794,1077600
2001-04-28,4.442500,4.727500,4.240000,4.685000,3.883508,1583200
2001-05-05,4.587500,4.687500,4.392500,4.502500,3.732229,2113600
2001-05-12,4.500000,5.105000,4.480000,5.040000,4.177775,2839600
2001-05-19,4.967500,5.187500,4.825000,4.872500,4.038931,1446800
2001-05-26,4.975000,5.062500,4.735000,4.750000,3.937388,1802000
2001-06-02,4.812500,4.950000,4.535000,4.875000,4.041005,4074400
2001-06-09,4.837500,4.975000,4.275000,4.377500,3.628612,1828000
