Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.000000,4.187500,3.562500,3.625000,2.265888,63100
2000-01-08,3.875000,4.125000,3.500000,3.625000,2.265888,31600
2000-01-15,3.750000,4.093750,3.750000,3.875000,2.422156,26000
2000-01-22,4.046875,5.125000,4.031250,4.500000,2.812827,205300
2000-01-29,4.500000,4.937500,4.125000,4.125000,2.578424,22900
2000-02-05,4.500000,5.000000,4.125000,4.625000,2.890960,56000
2000-02-12,4.500000,4.812500,4.000000,4.375000,2.734692,24700
2000-02-19,4.750000,4.750000,3.125000,4.500000,2.812827,41600
2000-02-26,4.437500,4.500000,3.750000,4.125000,2.578424,16400
2000-03-04,3.750000,4.406250,3.437500,3.968750,2.480757,27200
2000-03-11,4.000000,4.375000,3.562500,4.125000,2.578424,21400
2000-03-18,4.250000,4.250000,3.937500,3.937500,2.461223,41500
2000-03-25,3.875000,4.250000,3.875000,4.250000,2.656558,13200
2000-04-01,4.250000,4.250000,4.000000,4.156250,2.597958,36400
2000-04-08,4.062500,4.187500,3.437500,3.437500,2.148687,36900
2000-04-15,3.437500,4.250000,3.437500,3.796875,2.373322,47100
2000-04-22,3.812500,4.250000,3.625000,4.000000,2.500290,83700
2000-04-29,4.125000,4.125000,3.750000,3.937500,2.461223,17100
2000-05-06,3.937500,4.000000,3.375000,3.375000,2.109620,47200
2000-05-13,3.375000,3.500000,3.062500,3.062500,1.914285,76000
2000-05-20,3.375000,3.500000,3.000000,3.500000,2.187754,27400
2000-05-27,3.312500,3.500000,3.312500,3.312500,2.070553,5500
2000-06-03,3.500000,3.500000,3.062500,3.171875,1.982652,21700
2000-06-10,3.062500,3.437500,3.000000,3.375000,2.109620,356000
2000-06-17,3.375000,3.437500,3.125000,3.125000,1.953351,65200
2000-06-24,3.234375,3.234375,2.875000,2.937500,1.836151,98600
2000-07-01,3.125000,3.156250,2.750000,3.156250,1.972885,251400
2000-07-08,3.000000,3.156250,3.000000,3.062500,1.914285,12700
2000-07-15,3.062500,3.187500,3.062500,3.093750,1.933818,9100
2000-07-22,3.265625,3.281250,3.062500,3.187500,1.992419,17300
2000-07-29,3.125000,3.437500,3.000000,3.125000,1.953351,13300
2000-08-05,3.125000,3.187500,3.000000,3.062500,1.914285,15000
2000-08-12,3.125000,4.234375,3.125000,4.062500,2.539357,79700
2000-08-19,4.125000,4.187500,3.687500,3.875000,2.422156,87600
2000-08-26,3.843750,3.937500,3.562500,3.562500,2.226821,71900
2000-09-02,3.750000,3.875000,3.687500,3.875000,2.422156,80500
2000-09-09,3.875000,3.875000,3.687500,3.875000,2.422156,32300
2000-09-16,3.906250,4.000000,3.750000,3.750000,2.344022,24100
2000-09-23,3.937500,4.000000,3.750000,4.000000,2.500290,39900
2000-09-30,4.000000,4.125000,3.750000,4.000000,2.500290,16000
2000-10-07,3.875000,4.000000,3.750000,3.781250,2.363555,35700
2000-10-14,3.687500,4.125000,3.625000,3.890625,2.431923,59400
