Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,7.625000,7.875000,6.500000,6.625000,6.024382,26600
2000-01-08,7.125000,8.000000,6.625000,7.625000,6.933721,67800
2000-01-15,7.625000,8.500000,7.625000,8.187500,7.445224,12900
2000-01-22,8.187500,8.218750,7.500000,7.750000,7.047390,141000
2000-01-29,7.500000,8.500000,7.500000,7.812500,7.104221,23400
2000-02-05,7.812500,8.250000,7.625000,7.687500,6.990555,18200
2000-02-12,7.875000,7.875000,7.703125,7.750000,7.047390,27000
2000-02-19,7.500000,7.750000,6.375000,7.000000,6.365384,40400
2000-02-26,7.250000,7.250000,6.500000,7.250000,6.592718,39700
2000-03-04,7.375000,8.125000,7.375000,7.625000,6.933721,35100
2000-03-11,7.687500,7.687500,6.875000,7.125000,6.479051,19600
2000-03-18,7.500000,7.625000,7.031250,7.062500,6.422217,11800
2000-03-25,7.062500,7.250000,6.125000,6.187500,5.626544,139700
2000-04-01,6.937500,7.000000,6.125000,7.000000,6.365384,101400
2000-04-08,6.875000,7.125000,6.515625,6.656250,6.052797,13100
2000-04-15,6.625000,7.062500,6.500000,7.062500,6.422217,12100
2000-04-22,7.125000,7.125000,6.875000,6.937500,6.308549,22600
2000-04-29,7.125000,8.125000,7.000000,7.875000,7.161057,36300
2000-05-06,8.000000,8.500000,7.687500,7.750000,7.047390,36900
2000-05-13,7.750000,9.687500,7.750000,8.890625,8.084607,91500
2000-05-20,8.875000,9.250000,7.687500,8.750000,7.956729,16500
2000-05-27,9.031250,9.156250,8.500000,9.125000,8.297732,48500
2000-06-03,9.125000,9.500000,8.937500,8.937500,8.127232,19600
2000-06-10,8.812500,9.125000,8.312500,8.312500,7.558894,19200
2000-06-17,8.250000,8.375000,6.500000,7.000000,6.365384,34500
2000-06-24,7.187500,7.250000,7.000000,7.062500,6.422217,95000
2000-07-01,7.000000,7.125000,6.937500,7.125000,6.479051,43800
2000-07-08,7.125000,7.937500,7.000000,7.562500,6.876888,14600
2000-07-15,7.562500,7.937500,7.250000,7.375000,6.706385,15900
2000-07-22,7.187500,7.187500,6.000000,6.312500,5.740212,100900
2000-07-29,6.062500,6.437500,6.062500,6.437500,5.853881,18300
2000-08-05,6.375000,6.437500,6.375000,6.375000,5.797046,22500
2000-08-12,6.437500,6.437500,6.125000,6.250000,5.683378,107900
2000-08-19,6.437500,6.750000,5.812500,5.937500,5.399210,223600
2000-08-26,6.000000,7.312500,5.750000,6.875000,6.251717,191700
2000-09-02,7.000000,7.125000,6.312500,6.312500,5.740212,15200
2000-09-09,6.437500,7.125000,6.437500,6.937500,6.308549,4000
2000-09-16,6.937500,7.062500,6.750000,7.062500,6.422217,19000
2000-09-23,6.812500,7.000000,6.812500,6.937500,6.308549,8400
2000-09-30,6.812500,6.812500,6.250000,6.750000,6.138048,33300
2000-10-07,6.750000,6.750000,6.000000,6.250000,5.683378,21600
2000-10-14,6.250000,7.000000,6.250000,6.640625,6.038589,27600
2000-10-21,6.593750,6.625000,4.750000,5.000000,4.546702,42200
2000-10-28,5.000000,6.000000,4.875000,5.562500,5.058207,52200
2000-11-04,5.531250,6.656250,5.531250,6.250000,5.683378,44400
2000-11-11,6.250000,6.562500,6.250000,6.375000,5.797046,78000
2000-11-18,6.375000,6.375000,5.750000,6.187500,5.626544,8700
2000-11-25,6.171875,6.187500,5.687500,5.687500,5.171874,26800
2000-12-02,5.625000,5.812500,4.968750,5.281250,4.802455,56900
2000-12-09,5.375000,5.375000,5.187500,5.187500,4.717203,77400
2000-12-16,5.312500,6.093750,5.187500,5.812500,5.285541,318200
2000-12-23,5.812500,6.000000,5.500000,5.875000,5.342375,61800
2000-12-30,5.875000,6.000000,5.500000,6.000000,5.456044,195800
2001-01-06,5.875000,6.750000,5.875000,6.750000,6.138048,97600
2001-01-13,6.859375,7.562500,6.812500,7.125000,6.479051,22200
2001-01-20,7.062500,7.062500,5.500000,6.125000,5.569710,65700
2001-01-27,6.000000,6.375000,6.000000,6.250000,5.683378,27900
2001-02-03,6.250000,6.437500,5.937500,6.000000,5.456044,6300
2001-02-10,6.000000,6.500000,6.000000,6.187500,5.626544,14100
2001-02-17,6.171875,6.437500,6.062500,6.437500,5.853881,20700
2001-02-24,6.125000,6.625000,6.125000,6.500000,5.910712,24000
2001-03-03,6.500000,6.687500,6.500000,6.625000,6.024382,10900
2001-03-10,6.671875,7.000000,6.375000,6.625000,6.024382,130200
2001-03-17,6.500000,6.562500,6.000000,6.250000,5.683378,39400
2001-03-24,6.250000,6.250000,6.062500,6.125000,5.569710,12800
2001-03-31,6.125000,6.156250,6.000000,6.125000,5.569710,4200
2001-04-07,6.150000,6.150000,6.000000,6.050000,5.501509,29800
2001-04-14,6.000000,6.500000,6.000000,6.400000,5.819778,36700
2001-04-21,6.450000,6.480000,5.900000,6.030000,5.483324,19900
2001-04-28,6.110000,6.250000,5.950000,6.150000,5.592445,6400
2001-05-05,6.150000,6.520000,6.010000,6.350000,5.774312,27600
2001-05-12,6.400000,8.490000,6.310000,7.900000,7.183790,24200
2001-05-19,7.800000,7.850000,6.850000,6.960000,6.329010,10600
2001-05-26,7.500000,7.600000,7.400000,7.580000,6.892801,22000
2001-06-02,7.570000,7.650000,7.250000,7.390000,6.720026,16400
2001-06-09,7.390000,7.390000,7.110000,7.110000,6.465412,5700
2001-06-16,7.010000,7.010000,6.750000,6.750000,6.138048,5500
2001-06-23,6.710000,6.760000,6.640000,6.740000,6.128956,13300
2001-06-30,6.550000,6.740000,6.550000,6.740000,6.128956,1900
2001-07-07,6.740000,6.740000,6.250000,6.350000,5.774312,23800
2001-07-14,6.280000,6.550000,6.180000,6.500000,5.910712,17200
2001-07-21,6.500000,7.000000,5.980000,6.950000,6.319917,15400
2001-07-28,6.950000,7.120000,6.560000,7.000000,6.365384,21900
2001-08-04,7.090000,7.090000,6.500000,6.590000,5.992554,91500
2001-08-11,6.640000,7.000000,6.530000,7.000000,6.365384,9600
2001-08-18,7.000000,7.250000,6.760000,6.800000,6.183515,53600
2001-08-25,7.050000,7.390000,6.850000,7.200000,6.547251,38600
2001-09-01,7.240000,7.240000,6.960000,7.150000,6.501785,33900
2001-09-08,7.150000,7.150000,6.850000,6.850000,6.228981,5200
2001-09-15,6.850000,7.100000,6.000000,6.400000,5.819778,66100
2001-09-22,6.490000,7.250000,6.400000,6.470000,5.883432,9500
2001-09-29,6.460000,6.960000,6.210000,6.450000,5.865246,13700
2001-10-06,6.550000,6.740000,6.300000,6.740000,6.128956,21600
2001-10-13,6.750000,6.900000,6.590000,6.900000,6.274450,16000
2001-10-20,6.710000,7.000000,6.320000,7.000000,6.365384,16400
2001-10-27,6.880000,7.240000,6.700000,7.000000,6.365384,62300
2001-11-03,7.000000,7.090000,6.380000,6.480000,5.892526,71100
2001-11-10,6.510000,7.000000,6.400000,6.960000,6.329010,24600
2001-11-17,7.000000,7.000000,6.460000,7.000000,6.365384,22400
2001-11-24,8.200000,9.040000,7.000000,7.250000,6.592718,106600
2001-12-01,7.010000,7.700000,6.920000,7.500000,6.820053,113800
2001-12-08,7.490000,8.250000,7.140000,7.150000,6.501785,26200
2001-12-15,7.130000,7.420000,6.750000,6.780000,6.165329,41300
2001-12-22,6.900000,7.450000,6.900000,7.450000,6.774588,35000
2001-12-29,7.620000,8.150000,7.250000,8.110000,7.374752,57100
2002-01-05,8.080000,8.360000,7.930000,8.190000,7.447499,65200
2002-01-12,8.190000,8.250000,7.470000,7.470000,6.792774,73600
2002-01-19,7.690000,8.500000,7.690000,8.300000,7.547525,54800
2002-01-26,8.390000,8.700000,8.050000,8.690000,7.902168,38600
2002-02-02,8.740000,9.450000,8.550000,9.310000,8.465960,67400
2002-02-09,9.400000,9.410000,8.580000,9.090000,8.265904,62100
2002-02-16,8.950000,9.840000,8.950000,8.970000,8.156785,80900
2002-02-23,9.350000,10.250000,9.010000,9.950000,9.047938,98900
2002-03-02,10.070000,10.490000,9.700000,10.050000,9.138871,227000
2002-03-09,10.030000,10.170000,9.810000,10.000000,9.093405,99700
2002-03-16,10.000000,10.050000,9.580000,9.770000,8.884256,59700
2002-03-23,9.590000,10.000000,9.530000,9.850000,8.957003,54900
2002-03-30,9.990000,11.500000,9.900000,11.000000,10.002748,130900
2002-04-06,11.240000,11.290000,10.950000,11.200000,10.184611,335500
2002-04-13,11.230000,11.280000,10.210000,10.850000,9.866343,69700
2002-04-20,10.980000,13.000000,10.750000,13.000000,11.821424,402500
2002-04-27,12.750000,16.000000,12.750000,15.910000,14.467607,528100
2002-05-04,16.030001,17.000000,16.000000,16.700001,15.185989,427800
2002-05-11,16.910000,19.379999,16.350000,18.889999,17.177441,302300
2002-05-18,19.600000,19.600000,14.850000,16.400000,14.913181,336300
2002-05-25,17.100000,19.000000,16.780001,18.850000,17.141069,270800
2002-06-01,19.100000,20.040001,17.200001,18.209999,16.559088,419500
2002-06-08,19.490000,20.200001,17.150000,18.700001,17.004671,298300
2002-06-15,17.400000,19.000000,16.959999,17.230000,15.667938,143700
2002-06-22,16.690001,17.500000,14.260000,16.830000,15.304201,502100
2002-06-29,16.309999,17.320000,11.900000,13.750000,12.503433,260900
2002-07-06,14.040000,16.700001,13.750000,16.000000,14.549446,213200
2002-07-13,15.850000,16.290001,14.050000,14.130000,12.848980,128400
2002-07-20,13.760000,13.760000,9.830000,10.380000,9.438953,229500
2002-07-27,10.160000,13.220000,10.160000,12.610000,11.466782,338700
2002-08-03,12.110000,14.140000,11.900000,14.140000,12.858071,123300
2002-08-10,13.260000,14.650000,12.500000,14.300000,13.003570,100200
2002-08-17,13.320000,15.340000,13.310000,14.150000,12.867169,46300
2002-08-24,13.810000,14.330000,12.860000,13.300000,12.094228,142800
2002-08-31,10.300000,12.390000,10.300000,12.160000,11.057579,157800
2002-09-07,12.040000,12.190000,11.000000,11.720000,10.657472,101100
2002-09-14,11.670000,12.180000,10.240000,10.640000,9.675384,77700
2002-09-21,11.060000,11.430000,10.000000,10.900000,9.911811,80000
2002-09-28,10.270000,11.240000,8.230000,8.880000,8.074945,93900
2002-10-05,7.710000,8.250000,6.900000,7.030000,6.392665,285200
2002-10-12,7.250000,9.000000,7.080000,8.310000,7.556618,277900
2002-10-19,8.070000,8.990000,7.560000,8.800000,8.002194,149000
2002-10-26,9.030000,9.750000,8.740000,9.750000,8.866070,123800
2002-11-02,9.750000,9.750000,8.350000,9.000000,8.184064,119600
2002-11-09,8.960000,9.200000,8.350000,9.090000,8.265904,125700
2002-11-16,9.040000,9.890000,8.610000,8.810000,8.011289,124900
2002-11-23,8.990000,10.330000,8.990000,9.880000,8.984285,118200
2002-11-30,9.830000,10.900000,9.500000,10.490000,9.538981,197600
2002-12-07,10.240000,11.300000,9.930000,11.000000,10.002748,165600
2002-12-14,10.760000,13.670000,10.750000,13.600000,12.367030,124100
2002-12-21,12.660000,13.500000,10.260000,10.280000,9.348020,80000
2002-12-28,10.220000,10.720000,9.260000,9.970000,9.066125,121000
2003-01-04,10.000000,10.700000,9.380000,10.570000,9.611729,181400
2003-01-11,10.760000,11.940000,10.500000,11.340000,10.311920,126800
2003-01-18,11.210000,11.800000,11.210000,11.600000,10.548350,56500
2003-01-25,11.300000,12.120000,11.060000,12.000000,10.912088,52000
2003-02-01,12.020000,12.110000,11.200000,11.200000,10.184611,75900
2003-02-08,11.340000,11.340000,10.300000,10.500000,9.548074,32700
2003-02-15,10.480000,11.250000,10.180000,10.520000,9.566261,37400
2003-02-22,10.500000,10.500000,9.670000,10.150000,9.229805,38100
2003-03-01,10.330000,10.610000,9.510000,9.520000,8.656921,133800
2003-03-08,9.730000,9.730000,8.810000,8.900000,8.093129,98500
2003-03-15,8.900000,10.120000,8.400000,9.170000,8.338652,160600
2003-03-22,9.340000,9.540000,8.570000,8.900000,8.093129,56200
2003-03-29,8.860000,9.250000,8.860000,9.140000,8.311372,53400
2003-04-05,9.140000,9.580000,8.760000,9.270000,8.429587,61000
2003-04-12,9.250000,9.440000,9.000000,9.230000,8.393210,58400
2003-04-19,9.110000,9.570000,8.900000,9.360000,8.511428,85900
2003-04-26,9.490000,10.950000,9.360000,10.820000,9.839061,125000
2003-05-03,10.870000,10.940000,9.860000,10.900000,9.911811,117800
2003-05-10,10.930000,11.140000,10.100000,10.430000,9.484423,116200
2003-05-17,10.470000,10.470000,9.650000,10.310000,9.375300,138300
2003-05-24,12.960000,12.960000,11.900000,12.380000,11.257634,496700
2003-05-31,12.400000,13.720000,11.980000,13.430000,12.212444,273400
2003-06-07,13.420000,14.000000,12.250000,12.490000,11.357660,220100
2003-06-14,12.350000,12.580000,11.760000,11.970000,10.884807,194500
2003-06-21,11.980000,13.400000,11.850000,13.150000,11.957829,148700
2003-06-28,13.300000,13.710000,12.750000,13.240000,12.039668,315400
2003-07-05,13.230000,13.450000,12.550000,13.170000,11.976011,123200
2003-07-12,13.030000,14.100000,13.030000,14.090000,12.812605,171900
2003-07-19,14.090000,15.750000,13.570000,15.520000,14.112964,167600
2003-07-26,15.520000,15.520000,14.010000,14.470000,13.158158,138200
2003-08-02,14.410000,15.100000,14.230000,14.950000,13.594638,103600
2003-08-09,15.160000,15.300000,14.370000,14.370000,13.067222,76400
2003-08-16,14.350000,14.700000,14.300000,14.650000,13.321837,71100
2003-08-23,14.460000,14.620000,13.500000,14.140000,12.858071,90600
2003-08-30,14.140000,14.240000,13.730000,13.900000,12.639833,97200
2003-09-06,13.700000,14.350000,13.180000,13.830000,12.576180,124100
2003-09-13,13.800000,14.090000,13.510000,13.550000,12.321563,62000
2003-09-20,13.510000,13.900000,13.100000,13.100000,11.912360,96600
2003-09-27,13.250000,13.750000,12.850000,13.500000,12.276096,58000
2003-10-04,13.500000,13.960000,13.020000,13.300000,12.094228,120600
2003-10-11,13.210000,13.860000,13.060000,13.460000,12.239720,60600
2003-10-18,13.310000,13.570000,12.300000,13.100000,11.912360,90200
2003-10-25,13.950000,15.000000,13.950000,14.880000,13.530986,310400
2003-11-01,15.600000,16.139999,15.010000,15.570000,14.158431,145000
