Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,7.999000,9.900000,7.850000,8.590000,7.842023,256200
2018-05-07,9.000000,10.999000,8.497000,9.500000,8.672782,937000
2018-05-14,9.500000,9.500000,8.510000,8.960000,8.179805,199100
2018-05-21,9.240000,9.240000,7.010000,9.000000,8.216320,279400
2018-05-28,8.100000,8.280000,7.150000,7.650000,6.983872,142400
2018-06-04,7.600000,8.230000,7.550000,7.760000,7.084294,41500
2018-06-11,7.600000,9.195000,7.600000,8.690000,7.933312,697400
2018-06-18,8.640000,10.390000,8.500000,8.700000,7.942442,1120300
2018-06-25,8.640000,8.750000,6.760000,7.380000,6.737383,468300
2018-07-02,7.210000,7.260000,5.830000,5.910000,5.395382,136900
2018-07-09,6.200000,7.600000,6.200000,7.110000,6.490893,173500
2018-07-16,6.960000,7.072000,5.921000,6.250000,5.705778,104800
2018-07-23,6.020000,6.500000,5.990000,6.006000,5.483025,63500
2018-07-30,6.010000,6.350000,5.980000,6.232000,5.689345,29200
2018-08-06,6.082000,7.680000,6.082000,7.527000,6.871582,84800
2018-08-13,7.500000,7.600000,6.750000,7.285000,6.650655,106200
2018-08-20,6.975000,7.300000,6.850000,6.850000,6.253532,48200
2018-08-27,6.850000,7.240000,6.000000,6.300000,5.751424,53000
2018-09-03,6.220000,6.800000,6.000000,6.050000,5.523194,31900
2018-09-10,6.000000,6.495000,5.250000,5.600000,5.112377,105700
2018-09-17,5.610000,5.640000,4.770000,5.210000,4.756336,198700
2018-09-24,5.320000,6.550000,5.150000,6.450000,5.888362,70200
2018-10-01,6.300000,6.600000,5.380000,5.380000,4.911534,28400
2018-10-08,5.613000,5.950000,5.060000,5.850000,5.340608,29300
2018-10-15,5.797000,6.160000,5.500000,6.100000,5.568840,39300
2018-10-22,6.130000,6.210000,5.700000,6.200000,5.660132,15900
2018-10-29,6.250000,6.332000,5.700000,6.300000,5.751424,21800
2018-11-05,5.660000,8.500000,5.660000,7.920000,7.230362,216900
2018-11-12,7.900000,8.140000,7.110000,7.802000,7.122637,175500
2018-11-19,7.573000,8.000000,7.418000,7.992000,7.345191,80300
2018-11-26,7.900000,8.250000,7.600000,7.650000,7.030870,162700
2018-12-03,7.850000,8.090000,6.150000,6.150000,5.652267,138100
2018-12-10,6.150000,6.340000,5.800000,6.010000,5.523599,40900
2018-12-17,6.080000,6.111000,5.860000,6.000000,5.514408,41100
2018-12-24,6.000000,6.030000,5.800000,6.030000,5.541980,8000
2018-12-31,6.050000,6.260000,5.960000,6.200000,5.698221,18500
2019-01-07,6.270000,6.490000,6.008000,6.200000,5.698221,51200
2019-01-14,6.470000,7.050000,6.286000,6.767000,6.219334,34100
2019-01-21,6.815000,7.000000,6.630000,6.650000,6.111802,24300
